exhibitor_id,company_name,exhibitor_type,parent_exhibitor_id,area,hall,booth,detail_url,source_page,source_position
parent:365,"01Booster, Inc.",parent,,X (Transformation) Park,|,6H135,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,1
parent:49,346 Inc,parent,,General Exhibits,|,7H510,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,2
parent:289,3D Incorporated,parent,,Next Generation Park,|,4H324,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,3
parent:364,53M LLC,parent,,Next Generation Park,|,4H235,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,4
parent:54,a.inc,parent,,General Exhibits,|,6H022,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,5
parent:373,ABeam Consulting Ltd.,parent,,X (Transformation) Park,|,5H416,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,6
parent:395,"Acoustic Professor Tech Co., Ltd",parent,,General Exhibits,|,7H321,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,7
parent:1292,Active Retech Inc.,parent,,X (Transformation) Park,|,6H133,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,8
parent:82,agile effect,parent,,Next Generation Park,|,4H422,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,9
parent:252,"Agile-Tech Co., Ltd.",parent,,General Exhibits,|,8H226,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,10
parent:1264,AIdeaLab inc.,parent,,Next Generation Park,|,4H148,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,11
parent:128,"aiESG, Inc.",parent,,Next Generation Park,|,4H022,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,12
parent:179,AISIN CORPORATION,parent,,General Exhibits,|,7H210,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,13
parent:105,"AIsmiley, Inc.",parent,,X (Transformation) Park,|,5H118,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,14
parent:225,"AIX JAPAN Co., Ltd.",parent,,Next Generation Park,|,4H430,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,15
parent:143,Aixtal Corporation,parent,,Next Generation Park,|,4H019,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,16
parent:122,"Alpha Vision Japan Co., Ltd.",parent,,General Exhibits,|,8H314,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,17
parent:71,"Alphadrive Co., Ltd",parent,,X (Transformation) Park,|,6H131,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,18
parent:197,Amazon Web Services Japan G.K.,parent,,X (Transformation) Park,|,4H535,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,19
parent:197:co-exhibitor:1,▸ YASKAWA Electric Corporation,co_exhibitor,197,X (Transformation) Park,|,4H535,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,20
