id,exhibitor_name,country,booth_numbers,exhibitor_urn,supplier_urn,virtual_booth_url,contact_url,source_position,source_url
c81c079790a44095b727dbbd1b1c175a,Microtech Technology Company Limited,Hong Kong,"""5B-D08""",1S006675E,1X006CV5,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S006675E/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,1,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
794d71d9f33a49469fbf6c610f4ff0e7,Yan Chuen Company Limited,Hong Kong,"""5B-A01""",1S00666X3,1X0008MQ,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00666X3/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,2,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
6f2567568a3544c6adb487b61afc2605,Connaught (HK) Limited,Hong Kong,"""5B-C05""",1S00666UC,1X08PO5V,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00666UC/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,3,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
5e303dd30b944cdcaaa758696cfb91f8,Trio Engineering Company Limited,Hong Kong,"""5B-D13""",1S006676B,1X05SO1Z,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S006676B/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,4,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
7915e98522084c0eb7abf24d0d8fdd99,SJHI Co. Limited,Hong Kong,"""5B-C09""",1S00666ZX,1X0AFVSN,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00666ZX/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,5,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
9472682537e345c7a338043b513a0c10,Kwan Da Electronic (HK) Limited,Hong Kong,"""5B-A07""",1S00666W6,1X0AVHVQ,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00666W6/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,6,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
ff1f1f051c15485f8dc1ccebef0ecf3a,"Easttop Display Co., Limited",Hong Kong,"""5B-D02""",1S00666TF,1X04P45J,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00666TF/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,7,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
8dcb8327b4cd4632bfeeee7438983dd4,Surface Mount Technology Ltd.,Hong Kong,"""5B-D01""",1S006671Q,1X00FM15,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S006671Q/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,8,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
4bf1a8c4de374a5b8a8ff5e526598008,Mobicon Holdings Ltd,Hong Kong,"""5B-C01""",1S0066792,1X04P3N4,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0066792/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,9,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
0e8f94450c854e23a07f36b38956958f,See-Plus Industrial Limited,Hong Kong,"""5B-C02""",1S006674H,1X0009JQ,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S006674H/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,10,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
713f8de9618c483d90cb6baebc6d9341,Shenzhen HZY Photoelectric Technology Co Ltd,Chinese Mainland,"""5B-E08""",1S0067Y2W,1S00O9IWU,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0067Y2W/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,11,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
3bc1e6812e454d5b850af543459cf54e,Chung Yi Enterprise (H.K.) Company Limited,Hong Kong,"""5B-C07""",1S006672N,1X00J3HA,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S006672N/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,12,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
b30200ae163a4c48ad3d9ff718f9cb6c,Fenghua (Hong Kong) Electronics Limited,Hong Kong,"""5B-B10""",1S00667AZ,1X00J44K,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00667AZ/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,13,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
c67102e4e764461d9c64883323b0c18a,General Circuit International Limited,Hong Kong,"""5B-B14""",1S00666Y0,1X00JO9R,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00666Y0/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,14,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
ee88ee3ea6db4575a44a1d30bf2c84f4,Golden Resources Metal Industrial Limited,Hong Kong,"""5B-C18""",1S00684M2,1X05VOKG,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00684M2/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,15,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
9348ba6afe8b45c6a89ef0c482a66aa4,Maxtech Circuit HK Limited,Hong Kong,"""5B-C13""",1S00666V9,1X07SZ4Z,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00666V9/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,16,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
b34d3b840fd242b49d3cc3bc0f5cd7e6,Mecca Electronics Co. Limited,Hong Kong,"""5B-D09""",1S006670T,1X00CWC0,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S006670T/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,17,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
943cbe972910498ea1222fec8c93a9e9,SGST (HK) Limited,Hong Kong,"""5B-B06""",1S0066778,1X05A3ZS,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0066778/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,18,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
67b8ff718a7442f7864203898cc038a5,"ABO Electronics (Shenzhen) Co., Ltd.",Chinese Mainland,"""5B-D07""",1S0067ZXA,1X064NTA,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0067ZXA/?source=vep&eoFairFiscalYear=2627&eoFairId=electronicasia,19,https://www.hktdc.com/event/electronicasia/en/exhibitor-list?pageNum=1&pageSize=50
