company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,supplier_url,exhibitor_url,,Booth: 5C-A08   |   Convenient & Instant Food   |   Korea (aT-Head),Certificates,Other Certificates,"Booth: 5C-B31   |   Health, Green & Organic Food   |   ",Booth: 5E-D06   |   Convenient & Instant Food   |   ,"Booth: 5E-E17   |   Canned, Frozen & Processed Food   |   ",Booth: 5C-E20   |   Bakery Products   |   Chinese Mainland (Zhejiang),Booth: 5C-C26   |   Sauces & Seasonings   |   Chinese Mainland (Sichuan Supplier),"Booth: 5C-C02   |   Biscuits, Snacks & Confectionery   |   Chinese Mainland (Sichuan)","Booth: 5E-E22   |   Canned, Frozen & Processed Food   |   ","Booth: 5E-E09   |   Canned, Frozen & Processed Food   |   ",Booth: 5C-C22   |   Halal Food & Beverage   |   Chinese Mainland (Sichuan Supplier)
Perusahaan Alam Sejahtera,Brunei Darussalam    |    Factory in Malaysia,"Perusahaan Alam Sejahtera is a Brunei Darussalam-based company and owner of the Afiya brand. Afiya specializes in premium goat milk powder products developed for everyday family consumption. Our products are manufactured in Malaysia at a certified food manufacturing facility and are made using imported goat milk powder from the Netherlands, combined with carefully selected ingredients to deliver a creamy taste and enjoyable drinking experience. Afiya products are available through selected retail outlets and online platforms in Brunei. The company is actively expanding into international markets through distributors, importers, retailers and strategic partners. Our focus is to build long-term partnerships while growing the Afiya brand across Asia and beyond. Certifications include Halal certification and compliance with relevant food manufacturing standards.","Exporter, Wholesaler, Retailer, Distributor, Manufacturer","Milk, Milk","Premium Brunei goat milk powder beverage in Original and Chocolate variants. Made with imported goat milk powder from the Netherlands. Halal-certified, no added sugar, with prebiotics and a smooth, creamy taste. Suitable for the whole family.",OBM,Afiya,www.afiyasusukambing.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Perusahaan-Alam-Sejahtera/1S00PD5Y1?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065G1H?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Japan External Trade Organization (JETRO),Japan,,"Trade/Industrial Organisation, Government","Trade Associations & Government Organisations, Trade Associations & Government Organisations, Trade Associations & Government Organisations, Trade Associations & Government Organisations","JETRO, or the Japan External Trade Organization, is a government-related organization that works to promote mutual trade and investment between Japan and the rest of the world. Originally established in 1958 to promote Japanese exports abroad.",Others,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Wine and Spirits Fair 2024 HKTDC Food Expo PRO 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Hong Kong International Wine and Spirits Fair 2023 Eco Expo Asia 2023 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Japan-External-Trade-Organization/1S00NJVLE?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065EJ1?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Hosan Co Ltd,"Korea, Republic Of    |    Factory in Korea, Republic Of","Founded in 1994, Hosan Co., Ltd. exports food products and consumer goods to more than 40 countries worldwide. Through strong partnerships with manufacturers and suppliers, we provide a wide range of products with competitive pricing and reliable service. Our A+ brand products, including Aloe Drinks, Fresh Udon, Dried Noodles, and Seaweed Laver, are well recognized by consumers. We also serve as a Korean food consolidator, HORECA supplier, OEM partner, and sourcing office for overseas clients.",Exporter,"Fruit Juice, Bread, Frozen Food, Health Food, Fruits Juice, Noodle, Health Drink, Ginseng, Sauce, Canned Food, Snack, Tea, Candy, Instant Noodle, Seasoning, Frozen Seafood, Liquor / Fortified Wine, Dessert, Instant Food, Beer, Dried Seafood, Cooking Oil, Biscuit, Fruit Juice, Bread, Frozen Food, Health Food, Fruits Juice, Noodle, Health Drink, Ginseng, Sauce, Canned Food, Snack, Tea, Candy, Instant Noodle, Seasoning, Frozen Seafood, Liquor / Fortified Wine, Dessert, Instant Food, Beer, Dried Seafood, Cooking Oil, Biscuit","Established in 1994, Hosan Co., Ltd. exports Korean food worldwide with a wide range of products under its own brand, A+ HOSAN. We are also a Korean Food Consolidator, HORECA Supplier, OEM Partner, and Sourcing Office for global customers.","ODM, OBM, Others, OEM","A+HOSAN,FINE,HOLA",koreanproducts.net/us/index.php,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hosan-Co-Ltd/1S00PD877?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065G62?fairCode=foodexpopro&locale=en,,,,FSSC22000 Issued By IGC Type FSSC22000 Valid Date 22 Aug 2024 - 31 Oct 2027 KMF HALAL Issued By KOREA MUSLIM FEDERATION HALAL COMMITTEE Type OTHERS Valid Date 14 Apr 2026 - 13 Apr 2029,,,,,,,,,
J-LEC. Processed Meat Export Council,Japan,,Others,"Sausage, Sausage","Japanese Processed Meat, e.g. Loin ham, Arabiki sausages, Bacon, Salami sausages, Dry-cured ham, Roast pork, Roast beef, Grilled pork, Salad chicken, Side dishes (Stewed pork belly, Hamburg steak, etc.), Retort pouch food (Gyudon, Curry, etc.)",OBM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/J-LEC-Processed-Meat-Export-Council/1S00P41M5?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S006508C?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
JD Food Public Company Limited,Thailand    |    Factory in Thailand,,"Exporter, Manufacturer","Instant Food, Seasoning, Snack","JD Food is seasoning powder, dehydrated food and coconut snack manufacturer from Thailand with more than 20 years’ experience. Our facilities are certified by many global food safety standards such as GHP, HACCP, HALAL, ISO, BRC, Sedex, etc","Others, OEM",,www.jdfthailand.com/en/,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/JD-Food-Public-Company-Limited/1S00PCPF2?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0066GJZ?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
JTB Corp.,Japan    |    Factory in Japan,,Service Company,"Sauce, Seasoning, Sake, Sauce, Seasoning, Sake, Sauce, Seasoning, Sake, Sauce, Seasoning, Sake, Sauce, Seasoning, Sake, Sauce, Seasoning, Sake",Regional products from Shiga Prefecture （Sake、Tea、seasoning　etc）,OBM,BIWAKO FOOD PRODUCT,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/JTB-Corp-/1S00PDJEB?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S006506I?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
MANIKER F&G,"Korea, Republic Of","Since 2004, we have been dedicated to providing safe, high-quality, and delicious products based on advanced meat processing technology. Through continuous innovation, we continue to grow as a global food company bringing health and convenience to customers around the world. We operate a specialized R&D center focused on meat processing, enabling the development of a wide range of innovative products. Since becoming the first company in Korea to export Samgyetang to the U.S. in 2014, Maniker F&G has expanded into global markets including Italy, Germany, Netherlands, the U.K., Japan, Canada and Hong Kong through exceptional quality and technological expertise.",Manufacturer,"Frozen Food, Frozen Food","Korean-style boneless chicken with a crispy texture, available in sauce-coated and sauce-on-the-side options. Simple and convenient preparation allows you to enjoy the true taste of Korea with ease.",OEM,"KOREAN CRISPY CHICKEN,SAMGYETANG",www.manikerfng.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/MANIKER-F-G/1S00PDRIR?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065G0K?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Naiffy Inc.,"Korea, Republic Of    |    Factory in Korea, Republic Of","NAIFFY Inc. is a venture company dedicated to delivering healthy and delicious foods under the slogan ""Happiness Found in Nature."" With a mission to introduce Korean pickled and fermented foods to the global market, we develop and manufacture products that combine traditional Korean flavors with domestically sourced shiitake mushrooms. Building on our export experience to countries including China, Vietnam, Japan, and the United States, we are expanding our global presence with the vision of promoting Korean cuisine worldwide. We hold six patents related to traditional Korean sauce-based manufacturing technologies and maintain rigorous quality and food safety standards, certified by ISO 9001, ISO 22000, HACCP, and HALAL. As part of our commitment to functional, nature-derived ingredients, we also incorporate curcumin-the active compound found in turmeric-into our product development. Long valued as a natural ingredient rich in antioxidants, curcumin reflects our belief that food should not only taste good but also support a healthy everyday lifestyle.",Manufacturer,"Dried & Preserved Food, Fruit Juice, Dried & Preserved Food, Fruit Juice","1. Pickzzi mushroom pickle is a line of Korean pickled and fermented foods made with traditional sauces and domestic shiitake mushrooms. 2. Enhanced with curcumin from turmeric, a natural ingredient rich in antioxidants, it supports everyday wellnes","ODM, OEM, OBM",Pickzzi,naiffy.kr/eng,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Naiffy-Inc-/1S00PDRR0?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065GT5?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Nextbio Co., Ltd.","Korea, Republic Of    |    Factory in Korea, Republic Of","NEXTBIO is a pioneering biotechnology and food tech company specializing in the global supply of premium coffee extracts and micro-cutting powders.Driven by innovation, we operate a dedicated, state-of-the-art manufacturing facility to deliver unparalleled quality to international food and beverage brands.Our core expertise lies in two proprietary, advanced technologies:Super Drop Process: An innovative cold extraction technology that captures the authentic flavor and rich aroma of coffee at their peak, ensuring maximum taste preservation and high concentration without heat damage.Cold Coincide Micro Cutting (CCMC): A advanced micro-grinding technology that achieves an optimized particle size distribution ($DV_{90}$), delivering superior solubility and a smooth texture.As a trusted global B2B partner, NEXTBIO ensures strict regulatory compliance and absolute consistency in every batch. From premium cold brew concentrates to tailored beverage ingredients, we provide scalable, high-performance solutions that empower our partners to lead the global market.","Exporter, Wholesaler, Manufacturer","Fruit Juice, Halal Food Processing, Tea, Coffee Technology, Coffee, Fruits Juice, Fruit Juice, Halal Food Processing, Tea, Coffee Technology, Coffee, Fruits Juice","NEXTBIO specializes in premium coffee extracts and micro-cutting powders. Utilizing our proprietary Super Drop cold extraction and CCMC micro-grinding technologies, we deliver high-concentration ingredients with maximum aroma preservation.","OEM, ODM","Brewzen,Aero Dispenser",nextbio.co.kr,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo 2019,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Nextbio-Co-Ltd-/1X0AVNEP?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065GNN?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
OTOKI Corporation,"Korea, Republic Of    |    Factory in Korea, Republic Of","WHO WE ARE Otoki? lives on the edge of culinary innovation and cultural legacy. By infusing vibrant authentic flavors into every meal, we transform the mundane into the daringly BOLD. Dynamic, joyful, and hungry- Otoki? will always bring it 100% BRAND MISSION To perk up the everyday lives of busy individuals by delivering authentic Korean flavors that are quick, easy, and rich in taste, transforming daily meals into joyful and satisfying experiences.",Manufacturer,"Sauce, Sauce","OTOKI provides various sauce/dressing products to QSR(McDonald's HK, TW, KR). Based on the experience of developing(R&D) and manufacturing products for QSR, OTOKI will present related dressing, sauce products","OBM, ODM",OTOKI,www.otoki.com/en/main/,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/OTOKI-Corporation/1S00PDFEF?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0064WAA?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Warich Foods Company Limited,Thailand    |    Factory in Thailand,"founded on the principle of ""From waste to global taste"", warich foods is an agritech company transforming Thailand's agricultural landscape. We address the systemic inefficiency where 30% of premium bananas are rejected for minor defects. By upcycling this ""ugly"" produce, we convert environmental waste into a high margin, functional snack ecosystem. Our facility in Pathum Thani operates under strict GHPs and HACCP certifications, enabling us to manufacture premium products like Banana Pop and Protein Puff. With successful distribution in 7-11 Thailand and emerging export footprints in Japan and South Korea, Warich Foods is currently in a high growth phase. We are nut just a snack producer: we are a circular-economy infrastructure driving the future of sustainalbe, functional foods.",Manufacturer,Snack,"Banana pop and Protein Puff: we transfrom ""ugly"" bananas into premium, nutrient-dense treats. Infused with many functional ingredients, our snacks support gut health and focus. Delicious, sustainable and better for you and the planet.","OBM, ODM","Krispy Preme,Warich,Jaakjai",www.warichfood.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Warich-Foods-Company-Limited/1S00OR9BU?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0066GKW?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Whale City Co., Ltd.","Korea, Republic Of    |    Factory in Korea, Republic Of","Whale City Co., Ltd. is a Korean alcoholic beverage manufacturer based in Ulsan, Republic of Korea. The company produces premium Korean rice wine under the GOJU brand, using locally sourced Korean rice and refined brewing techniques inspired by traditional Korean fermentation. Our main products, GOJU Cheongju and GOJU Cheongju Reserve, feature a clean, smooth and well-balanced taste suitable for food pairing, premium restaurants, hotels, gift markets and international buyers. Whale City is actively expanding into overseas markets through exhibitions, buyer meetings and export programs, aiming to introduce high-quality Korean rice wine to global consumers.","Exporter, Manufacturer","Sake, Sake","Premium Korean rice wine under the GOJU brand, made with Korean rice and refined fermentation techniques. GOJU Cheongju and GOJU Cheongju Reserve offer a clean, smooth taste suitable for food pairing, restaurants, hotels and global buyers.",OBM,,http://www.whalecity.co.kr,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Whale-City-Co-Ltd-/1S00PDRLI?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065G7Z?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Yunnan Tea Investment Industrial Development Group Co., Ltd",Chinese Mainland    |    Factory in Chinese Mainland,"Yunnan Tea investment industry Deveiopment Group Co,Ltd.was jointiy established in 2022 by the Yunnan Tea ResearchCenter of the Tea Science Research lnstitute and Kangtou Holding. Adhering to the development philosophy of ""integrated managemennt of three types of tea.""the group is rooted in Yunnan-the world's origin oftea plants. with national invention patents as its core driving force and technology-driven flavored tea as its main business focus,is strictly controls raw material supply throughout the entire production chain, building a modeerm tea industry ecosystem that integrates research,cultivation,deep processing,customized services,and intemational trade,with the ambition to become an intemtional leaderinAsia'sflavoredtea sector.",Others,"Coffee, Tea, Coffee, Tea","Yunnan Tea investment lndustry Development Group Co.,Ltd.leverages the research expertise of the Tea College at Yunnan Agricultural University,with its core offerings including Dianhuangjing health-boosting black tea,refined tea tannins,and signature",OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yunnan-Tea-Lnvestment-Lndustrial-Development-Group-Co-Ltd/1S00PDK0G?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065IKU?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Ganyuan Foods Co., Ltd.",Chinese Mainland,,"Importer, Exporter, Manufacturer","Snack, Dried Nuts, Snack, Dried Nuts","Ganyuan Foods Co.,Ltd Founded In 2006, Is Headquartered In Pingxiang City. Ganyuan Offers a Diverse Product Portfolio Including Flavored Beans, Flavored Nuts, Savory Snacks, Chocolate Snacks, And Freeze-Dried Snacks. Selling 6 Billion Packs Annually.","OEM, Others, ODM",,https://www.ganyuanfood.com/,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ganyuan-Foods-Co-Ltd-/1S00PE1WB?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S006610Z?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
