company name,location,Booth,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,HKTDC Events,supplier_url,exhibitor_url,Company Background,Brand Name,Company Website,Certificates,Other Certificates
"Worldex G.E.C. Co., Ltd.",Thailand,Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion,Others,"Emerald, Sapphire, Ruby",Service Company,Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Jewellery Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong Gifts & Premium Fair 2019 Hong Kong International Stationery Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 Hong Kong International Stationery Fair 2018 HKTDC Hong Kong Gifts & Premium Fair 2017 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Worldex-G-E-C-Co-Ltd/1X00NJNS,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005ZKIY,,,,,
GIA Hong Kong Laboratory Limited,Hong Kong,"Booth: AWE 9-M03   |   Testing, Inspection & Certification   |   ","Others, Trade/Industrial Organisation","Trade Service, Gemmological Laboratory, Testing Inspection & Certification","Established in 1931, GIA is the foremost authority on diamonds, colored stones, and pearls. A public benefit, nonprofit institute, GIA is the leading source of knowledge, standards, and education in gems and jewelry.",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Jewellery Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Jewellery Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025",https://sourcing.hktdc.com/en/Supplier-Store/Profile/GIA-Hong-Kong-Laboratory-Ltd/1S00OWA82,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005W62O,"Established in 1931, GIA is the foremost authority on diamonds, colored stones, and pearls. A public benefit, nonprofit institute, GIA is the leading source of knowledge, standards, and education in gems and jewelry.","Gemological Institute of America,Gemological Institute of America (GIA),GIA",gia.edu,,
S. Goldi (Asia) Limited,Hong Kong,Booth: AWE 7-E01   |   Diamond   |   ,"Distributor, Exporter, Importer","Fancy Diamond, Carat Size Diamond, Loose Diamond","SRK is a leading Diamond Crafter and highest Exporter in the industry with annual revenue of 1.8 bn USD. Our crafting facilities are certified green buildings. An emphasis on Purity, Transparency & Trust assures authenticity of our diamonds.",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024",https://sourcing.hktdc.com/en/Supplier-Store/Profile/S-Goldi-Asia-Ltd/1X00A2P5,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005YJF8,We serving diamond industry since more than 20 years!!!,SRK,srk.one,,
Takat Gems SR Limited,Hong Kong    |    Factory in India,Booth: AWE 9-D02   |   Precious Stone   |   ,"Manufacturer, Importer, Retailer, Buying Office, Exporter, Buying Cooperative, Wholesaler","Sapphire, Carat Size Diamond, Emerald, Tanzanite, Testing Inspection & Certification, Aquamarine, Loose Diamond, Coloured Gemstone, Ruby","We do shows Worldwide and we deal in Precious Stones. We are manufacturers from Jaipur, India and we are into Gemstones since 1955",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Takat-Gems-SR-Limited/1S00O4WZ7,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005YIF9,"Est 1955. Indian company ,the branches are located in Hong Kong ,Shenzhen, Dubai , Thailand, New York, Milan, Jaipur , etc.",,,,
Diarough (Hong Kong) Limited,Hong Kong,Booth: AWE 5-J02   |   Diamond   |   ,"Exporter, Wholesaler, Importer","Fancy Diamond, Carat Size Diamond, Loose Diamond",All kinds of diamonds,Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2022 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/DIAROUGH-HONG-KONG-LIMITED/1X00NMJN,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005YCQI,,,,,FOREVERMARK Issued By FOREVERMARK Type - Valid Date (N/A) - (N/A) Responsible Jewellery Council Issued By Responsible Jewellery Council Type - Valid Date (N/A) - (N/A)
Sheetal (Far East) Limited,Hong Kong,Booth: AWE 7-B02   |   Diamond   |   ,Manufacturer,"Carat Size Diamond, Loose Diamond, Fancy Diamond","Cut: Round Brilliant & Fancy Shapes. Carat: 0.01 to 6.99cts. Colour: D-F, G-H, I-J. K-L, M-N (White & Brown). Clarity: IF-VVS, VS, SI, I1, I2, I3. Certified Diamonds: GIA, IGI. Fine Jewellery with Diamond & Gold.","ODM, OBM, OEM","Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Jewellery Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Jewellery Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Jewellery Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Jewellery Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sheetal-Far-East-Limited/1X0737C3,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005UKR7,"We are DTC Sight Holder & Select RIO TINTO DIAMONDS We have office in INDIA, BELGIUM, HONG KONG, CHINA, USA,DUBAI","SHEETAL JEWELLERY HOUSE,SHEETAL GROUP",www.sheetalgroup.com,,
A Concept Group Limited,Hong Kong,Booth: AWE 1-B28   |   Fresh Water Pearl   |   ,"Manufacturer, Wholesaler, Retailer","Natural Pearl, Akoya Pearl, Fresh Water Pearl, Natural Pearl, Tahiti Pearl, South Sea Pearl","We are pearl supplier based in Hong Kong and supply South sea pearl, Tahitian pearl, akoya, fresh water pearl and pearls products in 925 silver, 14K & 18K",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong Gifts & Premium Fair 2022",https://sourcing.hktdc.com/en/Supplier-Store/Profile/A-CONCEPT-GROUP-LIMITED/1X0ALPLC,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005Y6HF,"We are pearl supplier based in Hong Kong and supply South sea pearl, Tahitian pearl, akoya, fresh water pearl and pearls products in 925 silver, 14K & 18K",,www.aconceptgroup.com.hk,,
Ankit Gems (Hong Kong) Limited,Hong Kong    |    Factory in Botswana,Booth: AWE 7-A24   |   Diamond   |   ,"Importer, Retailer, Wholesaler, Trade/Industrial Organisation, Import Agent, Exporter","Carat Size Diamond, Fancy Diamond, Loose Diamond","Diamonds ranging from 0.30ct to 10cts in all colours, different shape and clarities.",OBM,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Jewellery Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ankit-Gems-Hong-Kong-Limited/1X00NKZD,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005Y6A0,"HK Branch operated on 2008, We have our Manufactory in Surat, India. With world class diamond processing facilities & Machineries of highest international standards at disposal.","GIA,HRD (Antwerpen),IGI",www.ankitgems.com,,
Dharam Creations (HK) Limited,Hong Kong    |    Factory in India,Booth: AWE 5-H02   |   Diamond   |   ,"Wholesaler, Manufacturer, Exporter, Export Agent, Distributor, Import Agent, Importer, Retailer","Fancy Diamond, Loose Diamond, Carat Size Diamond",CUT AND POLISHED DIAMONDS OF ALL COLOR AND ALL SHAPES FROM POINTERS TO OVER 10 CARATS SIZE. BOTH IN PARCELS AND CERTIFIED GOODS. CUSTOM ORDER IS AVAILABLE. CRAFTSMANSHIP IS 3 EXCELLENT. STABLE EXCELLENT QUALITY.,"ODM, OBM, Others, OEM","Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dharam-Creations-HK-Ltd/1X0081P8,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005YBK1,"Regarded as one of the world's largest diamond manufacturers, Dharmanandan Diamonds formerly known as Shreeji Gems, was founded by Laljibhai Patel & Tulsibhai Patel, in 1973. Shortly after, achieving the above tag of largest diamond manufacturer in the world in 0.20 carats to 25.00 carat size diamonds the firm rebranded as Dharmanandan Diamonds Pvt. Ltd. In 2008, the company became the Sightholder of DeBeers Group and has implemented Best Practice Principles throughout the supply chain to produce malpractice free diamonds. Dharmanandan Diamonds Pvt. Ltd. has further developed itself by becoming the Long Term Alliance of Alrosa as well as joining Forevermark Program to manufacture the most ethical, rare and beautiful diamonds in the world.","DHARMANANDAN DIAMONDS,SIRIUS STARS,PADMA CUT,7 HEARTS",https://www.ddpl.com/,,
Fook Yue Pearl Co Ltd,Hong Kong,Booth: AWE 1-L36   |   Sea Water Pearl   |   ,Wholesaler,"Natural Pearl, Akoya Pearl, Mabe Pearl, Tahiti Pearl, South Sea Pearl","WHOLESALER OF SOUTHSEA PEARLS, TAHITIAN PEARLS AND JAPANESE AKOYA PEARLS.",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Jewellery Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fook-Yue-Pearl-Co-Ltd/1X00232P,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005U6TF,,,,,
