company name,location,,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,HKTDC Events,Certificates,Verified Certificates,supplier_url,exhibitor_url,Company Background,Company Website,Other Certificates,Booth: 1B-F05   |   Hall of Fame - Gadgets World   |   ,Booth: 1C-D12   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1A-C02   |   Hall of Fame - Power & Accessories   |   ,Booth: 1D-B19   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1CON-004   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-E08   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1E-C09   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1D-E23   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1D-E21   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-A24   |   Hall of Fame - Gadgets World   |   ,Booth: 1A-B02   |   Hall of Fame - Power & Accessories   |   ,Booth: 1A-F11   |   Hall of Fame - Home Tech   |   ,Booth: 1D-B12   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1D-B02   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1A-F14   |   Hall of Fame - Home Tech   |   ,Booth: 1C-A02   |   Hall of Fame - Gadgets World   |   ,Booth: 1C-C06   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1B-E06   |   Hall of Fame - Gadgets World   |   ,Booth: 1C-E25   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-B21   |   Hall of Fame - Gadgets World   |   ,Booth: 1A-B09   |   Hall of Fame - Power & Accessories   |   ,Booth: 1C-D25   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-B20   |   Hall of Fame - Gadgets World   |   ,Booth: 1D-A12   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1B-D05   |   Hall of Fame - Gadgets World   |   ,Booth: 1E-C22   |   Hall of Fame - Digital Entertainment   |   ,Booth: 5B-D04   |   Personal Electronics   |   ,Booth: 5C-B01   |   Personal Electronics   |   ,Booth: 1D-A22   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-F21   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1B-E07   |   Hall of Fame - Gadgets World   |   ,Booth: 1B-B18   |   Hall of Fame - Home Tech   |   ,Booth: 3G-B35   |   Home Appliances   |   ,Booth: 1A-B04   |   Hall of Fame - Power & Accessories   |   ,Booth: 1A-B25   |   Hall of Fame - Power & Accessories   |   ,Booth: 1E-E26   |   Hall of Fame - Digital Entertainment   |   ,Booth: 5E-A26   |   Health Tech & Fitness   |   ,Booth: 5G-D12   |   Electronic Manufacturing Services (EMS)   |   ,Booth: 5B-D16   |   Personal Electronics   |   ,Booth: 5G-D01   |   Audio Visual Products   |   ,Booth: 3G-B37   |   Home Appliances   |   ,Booth: 3G-C30   |   Home Appliances   |   ,Booth: 5B-E07   |   Personal Electronics   |   ,Booth: 3F-C30   |   Electronic Accessories   |   ,Booth: 5F-G23   |   Audio Visual Products   |   ,Booth: 5B-F29   |   Personal Electronics   |   ,Booth: 3F-F16   |   Home Appliances   |   ,Booth: 3F-F32   |   Home Appliances   |   ,Booth: 3G-D25   |   Home Appliances   |   ,Booth: 3G-D05   |   Home Appliances   |   ,Booth: 3F-E03   |   Electronic Accessories   |   ,Booth: 3F-F35   |   Electronic Accessories   |   ,Booth: 5C-F05   |   Automotive & In-Vehicle Electronics   |   ,Booth: 5E-G09   |   Energy Storage & E-mobility   |   ,Booth: 3F-F43   |   Electronic Accessories   |   ,Booth: 3G-A15   |   Home Appliances   |   ,Booth: 3G-C11   |   Home Appliances   |   ,Booth: 5E-E02   |   Energy Storage & E-mobility   |   
"Guangzhou Hualiang Xinxing Electronic Manufacturing Co., Ltd.",Chinese Mainland,,Manufacturer,"Hi-Fi Equipment, Blu-ray Player, Home Theatre, Amplifier",speaker,"ODM, OEM, Others, OBM",AILiANG,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition),,CE Test Report Issued By Shenzhen Anbotek Compliance Laboratory Limiteed Valid Date (N/A) CE Issued By Shenzhen Anbotek Compliance Laboratory Limiteed Valid Date (N/A) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Hualiang-Xinxing-Electronic-Manufacturing-Co-Ltd/1S00OUZVG,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005UAOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GuangDong Topleo Technology Co., Ltd.",Chinese Mainland,,Distributor,"Video Game Accessory, Remote Control","Topleo is a professional high-tech enterprise with independent R&D,production lines,marketing,after services department.We specialize Tv Box & Projector OEM/ODM solution.","ODM, OEM",Topleo,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024,,"ISO 9001 Issued By Intertek Testing Services Ltd., Shanghai Valid Date 24 Aug 2026 FCC Issued By Eurofins Electrical and Electronic Testing NA. Inc Valid Date (N/A) Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/GuangDong-Topleo-Technology-Co-Ltd/1S00OLNOD,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005V9HC,"Topleo is a professional high-tech enterprise with independent R&D,production lines,marketing,after services department.We specialize Tv Box & Projector OEM/ODM solution.",www.topleo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shenzhen Risun Technology Co., Ltd.",Chinese Mainland,,Manufacturer,,"Electric Toothbrushes, Dental Rinsers, Teeth Whitening Devices","OEM, ODM",RISUNTECH,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 HKTDC Hong Kong Electronics Fair (Spring Edition) 2020 Show More,,CHEAA Issued By China Household Electrical Appliances Association Valid Date 28 Feb 2027 ISO 13485 Issued By Intertek Valid Date 26 Dec 2027 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Risun-Technology-Co-Ltd-/1X0759HS,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005SMTZ,"RISUNTECH was founded in 2006, 16 years research and development of oral care industry manufacturing experience, has developed for production area of 120000 square meters, employees over 2600 people of national high and new technology enterprise, focus on sonic electric toothbrush, dental unit, UV sterilizer and teeth whitening device of oral care products such as scientific research, production and sales. Rui st, take out the fixed budget every year as a research and development center of science and technology in such aspects as function of new technology, new special research funding, scientific research personnel 95 people, has 150 patents, 14 software works. As China household electrical appliances association director unit, and China home appliance association to develop the electric toothbrush and electric blunt feed industry standards. Get MDSAP, ISO9001:2015 quality management system, iso13485:2003 medical product quality assurance system certification, 2016 as well as the BSCI, WCA corporate social responsibility certification.",,ISO 9001:2008 Issued By - Type - Valid Date (N/A) - (N/A) ISO 13485 Issued By - Type - Valid Date (N/A) - (N/A) Show More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ningbo Leader Import & Export Co., Ltd.",Chinese Mainland,,Manufacturer,"Hair Straightener, Hair Dryer, Electric Hair Clipper, Electric Hair Curler, Video Game Accessory","MP3 ,MP4, Mirror, Wireless charger",ODM,siwiey,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 HKTDC Hong Kong Electronics Fair (Spring Edition) 2020 HKTDC Hong Kong Electronics Fair (Spring Edition) 2019 HKTDC Hong Kong Electronics Fair (Spring Edition) 2018 HKTDC Hong Kong Electronics Fair (Spring Edition) 2017 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Leader-Import-Export-Co-Ltd-/1X050Z30,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005US3Z,,,ISO 9000 Issued By - Type - Valid Date (N/A) - (N/A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ningbo SKL International Co., Ltd.",Chinese Mainland,,Exporter,"Cell Phone Holder, Mobile Phone Accessory, Audio & Video Cleaning Supply, Tablet & Accessory","Regarding our factory, we mainly do cleaning liquid(digital and whiteboard), also many plastics items(like cable organizers, and plastic covers), we have our own workshop to develop the tooling to control the costs.","OEM, ODM",Loukin,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-SKL-International-Co-Ltd-/1X06YBQD,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005V6ZX,"Regarding our factory, we mainly do cleaning liquid(digital and whiteboard), also many plastics items(like cable organizers, and plastic covers), we have our own workshop to develop the tooling to control the costs. Besides, for many other items, like some travel items(lock, pillow, bag), we have been in this field for over 18 years, and have built long-term stable cooperation with many professional factories, cheap prices with high quality.",www.sklinter.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rongta Trade Co., Ltd.",Chinese Mainland,,Manufacturer,"Computer Printer, Point of Sales (POS) Equipment & Technology","Thermal printer, Barcode printer, POS terminal, PDA, Label scale, AI scale","OEM, ODM, OBM",RT RONGTA,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/RONGTA-TRADE-CO-LTD/1S00OII9R,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005SN27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenzhen Unique Scales Co Ltd,Chinese Mainland,,"Exporter, Distributor, Department Store, Chain Store, Retailer","Electronic Kitchen Scale, Fitness Equipment, Electronic Bathroom Scale","Household scale, including 8 electrode scale, bluetooth+wifi duel connected scale, bathroom scale, kitchen scale","OEM, ODM",Unique,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Autumn Edition) 2019 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2018 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Unique-Scales-Co-Ltd/1X08G7IX,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005VY4Q,"Shenzhen Unique Scales was founded in 2010 until 13 years. In 2012, the company's positioning was defined as: Focusing on intelligent scale hardware and software manufacturing (providing one-stop ODM services in hardware and software for global customers). It has been recognized as a National High-Tech Enterprise and a Shenzhen City Specialized, Focused, Refined, and New Enterprise of consecutive seven years The factory covers an area of 25,000 square meters, with 20 production lines and a current workforce of 600 employees. Annual production capacity of more than 15 million units, annual output value of 400 million",www.smartscales.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ningbo Taller Intelligent Technology Co., Ltd.",Chinese Mainland,,Manufacturer,"Humidifier, Air Purifier, Dehumidifier, Electric Hair Curler, Electric Fan","LED light;Air purifier,power supply",ODM,Taller,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair (Spring Edition) 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Taller-Intelligent-Technology-Co-Ltd-/1S00O9SP5,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005UXY9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dongguan Osm Digital Co., Ltd.",Chinese Mainland,,"Manufacturer, Export Agent, Distributor","Cell Phone Holder, Joystick",Tripod Music Stand LED Light Projector Mounts,"ODM, OEM, OBM",SEAJIC,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Osm-Digital-Co-Ltd/1S00O9SQ2,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005YXHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huizhou Clinav Industrial Development Limited,Chinese Mainland,,Exporter,Earphone,"Speakers, headphones",OBM,SAMESAY,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Huizhou-Clinav-Industrial-Development-Limited/1S00OW04O,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005V6M0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
