Company Name,Location,Booth,url
"Xinjiang Bainian Manor Wine Co., Ltd.",Chinese Mainland,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0065297?fairCode=hkfoodexpo&locale=en
Ng Fung Hong Limited,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0062WSS?fairCode=hkfoodexpo&locale=en
Tai Po Chun Hing Limited,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063NBG?fairCode=hkfoodexpo&locale=en
"Chuan Chiong Co., Ltd.",Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063EYS?fairCode=hkfoodexpo&locale=en
Hualien County Government,Taiwan,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063VKH?fairCode=hkfoodexpo&locale=en
Everway Industrial Limited,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063VIN?fairCode=hkfoodexpo&locale=en
Life Is For Excellence Limited,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063N34?fairCode=hkfoodexpo&locale=en
"Shandong Delisi Food Co., Ltd",Chinese Mainland,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0064ZN4?fairCode=hkfoodexpo&locale=en
Eagle Wine Store Company,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063N6V?fairCode=hkfoodexpo&locale=en
Kairun Food H.K. Limited,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063MS2?fairCode=hkfoodexpo&locale=en
Exclusive J Company Limited,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063MJT?fairCode=hkfoodexpo&locale=en
Diverxu Limited,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063K6Y?fairCode=hkfoodexpo&locale=en
Tristar Industrial Ltd,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063MNH?fairCode=hkfoodexpo&locale=en
Urban Dining Limited,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S00660EU?fairCode=hkfoodexpo&locale=en
Great (HK) Investment Company Limited,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063N5Y?fairCode=hkfoodexpo&locale=en
Ilifa Hong Kong Limited,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063OP9?fairCode=hkfoodexpo&locale=en
LY Drinks & Bites Limited,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063U8I?fairCode=hkfoodexpo&locale=en
P & J Food HK Limited,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063MKQ?fairCode=hkfoodexpo&locale=en
Georgian Vino Company,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063VRW?fairCode=hkfoodexpo&locale=en
Koon Wah Food & Preserved Fruit Factory Limited,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063KH1?fairCode=hkfoodexpo&locale=en
New Base Trading Co,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063IWU?fairCode=hkfoodexpo&locale=en
Ping Shan Foods Company Limited,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063R7O?fairCode=hkfoodexpo&locale=en
San Yie International Holdings Limited,Hong Kong,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0063JF8?fairCode=hkfoodexpo&locale=en
Chongqing Municipal Commission of Commerce,Chinese Mainland,['Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   '],/event/hkfoodexpo/en/exhibitor/1S0064U8I?fairCode=hkfoodexpo&locale=en
