Company Name,Location,Booth,url
"Yiwu Tecai Import&Export Co., Ltd.",Chinese Mainland,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005HT21
"Yiwu Xuyi Import & Export Co., Ltd.",Chinese Mainland,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005HSKK
"Yiwu Zenper Crafts Co., Ltd.",Chinese Mainland,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005I15K
"Yiwu Anjiu Imp & Exp Co., Ltd.",Chinese Mainland,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005I396
"Nice Paper Stationery Co., Ltd.",Chinese Mainland,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005HZRS
China Pearl (HK) Company Limited,Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005J1SN
Max Concept Enterprises Limited,Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005M3UF
Guangdong Woodsun Housewares Co Ltd,Chinese Mainland,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005J9GF
"Hangzhou Guangzhong Imp & Exp co.,Ltd",Chinese Mainland,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005EU3X
Matrix Promotion Limited,Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005HGCK
Weaver Industrial (Europe) Company Limited,Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005JW2Y
Win Seng Manufacturing Factory Limited,Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005F594
Top Orient Enterprise Limited,Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005IXC3
"King Young Enterprise Co., Ltd.",Taiwan,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005HJIZ
Jet Print Technology Corporation,Taiwan,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005HJT2
"King Char Co., Ltd.",Taiwan,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005HK44
