company name,location,,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,HKTDC Events,supplier_url,exhibitor_url,Company Background,Brand Name,"Booth: 5C-C02, 5B-S011   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK, Dragon Lounge - hktdc.com Showcase Zone - Cubic Showcase   |   ",Certificates,Verified Certificates,Other Certificates,Company Website,"Booth: 5B-S015, 1B-C06   |   Dragon Lounge - hktdc.com Showcase Zone - Cubic Showcase, Deluxe Gift Ideas   |   ",Booth: 5B-B07   |   Corporate Gifts   |   ,Booth: 1E-F31   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ,Booth: 5C-C02   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK,Booth: 5B-C17   |   Advertising Premium   |   ,Booth: 1D-C03   |   Hall of Fine Designs   |   ,Booth: 1C-D03   |   Hall of Fine Designs   |   ,Booth: 1C-E13   |   Hall of Fine Designs   |   ,Booth: 1B-C01   |   Deluxe Gift Ideas   |   ,"Booth: 1A-F41, 5B-S007   |   Deluxe Gift Ideas, Dragon Lounge - hktdc.com Showcase Zone - Cubic Showcase   |   ",Booth: 1B-D23   |   Deluxe Gift Ideas   |   ,Booth: 1B-A24   |   Deluxe Gift Ideas   |   ,Booth: 1B-G23   |   Deluxe Gift Ideas   |   ,Booth: 1C-F34   |   Deluxe Gift Ideas   |   ,Booth: 1B-F10   |   Deluxe Gift Ideas   |   ,Booth: 1C-A24   |   Deluxe Gift Ideas   |   ,Booth: 1C-A01   |   Deluxe Gift Ideas   |   ,Booth: 1A-F03   |   Deluxe Gift Ideas   |   ,Booth: 1A-B40   |   Deluxe Gift Ideas   |   ,Booth: 1E-D39   |   Deluxe Gift Ideas   |   ,Booth: 1CON-081   |   Deluxe Gift Ideas   |   ,Booth: 1B-B20   |   Deluxe Gift Ideas   |   ,Booth: 1B-D02   |   Deluxe Gift Ideas   |   ,Booth: 1D-A05   |   Hall of Fine Designs   |   ,Booth: 1B-A32   |   Deluxe Gift Ideas   |   ,Booth: 3B-E35   |   Green Living   |   ,Booth: 1B-F02   |   Deluxe Gift Ideas   |   ,Booth: 1C-E29   |   Deluxe Gift Ideas   |   ,Booth: 1B-A02   |   Deluxe Gift Ideas   |   ,Booth: 1B-A38   |   Deluxe Gift Ideas   |   ,Booth: 1D-B34   |   Deluxe Gift Ideas   |   ,Booth: 1A-D23   |   Deluxe Gift Ideas   |   ,Booth: 1C-C23   |   Deluxe Gift Ideas   |   ,Booth: 1B-D19   |   Deluxe Gift Ideas   |   ,Booth: 1E-A36   |   Deluxe Gift Ideas   |   ,Booth: 1A-E11   |   Deluxe Gift Ideas   |   ,Booth: 1D-A30   |   Deluxe Gift Ideas   |   ,Booth: 1C-B12   |   Deluxe Gift Ideas   |   ,Booth: 1A-D37   |   Deluxe Gift Ideas   |   ,Booth: 1C-A05   |   Deluxe Gift Ideas   |   ,Booth: 1B-D22   |   Deluxe Gift Ideas   |   ,Booth: 1E-C32   |   Deluxe Gift Ideas   |   ,Booth: 1B-E27   |   Deluxe Gift Ideas   |   ,Booth: 1B-E39   |   Deluxe Gift Ideas   |   ,Booth: 1E-A31   |   Deluxe Gift Ideas   |   ,Booth: 1B-E43   |   Deluxe Gift Ideas   |   ,Booth: 1B-G33   |   Deluxe Gift Ideas   |   ,Booth: 1A-B14   |   Deluxe Gift Ideas   |   ,Booth: 1D-B38   |   Deluxe Gift Ideas   |   ,Booth: 1CON-035   |   Deluxe Gift Ideas   |   ,Booth: 1A-F36   |   Deluxe Gift Ideas   |   ,Booth: 1B-G20   |   Deluxe Gift Ideas   |   ,Booth: 1A-A08   |   Deluxe Gift Ideas   |   ,Booth: 1B-C44   |   Deluxe Gift Ideas   |   ,Booth: 1A-A16   |   Deluxe Gift Ideas   |   ,Booth: 1B-F36   |   Deluxe Gift Ideas   |   ,Booth: 1B-G16   |   Deluxe Gift Ideas   |   ,Booth: 1E-A44   |   Deluxe Gift Ideas   |   ,Booth: 1C-B24   |   Deluxe Gift Ideas   |   ,Booth: 1B-C13   |   Deluxe Gift Ideas   |   ,Booth: 5B-F26   |   Advertising Premium   |   ,Booth: GH-F09   |   Decorative Gifts & Festive Items   |   ,Booth: 3B-D43   |   Green Living   |   ,Booth: GH-A12   |   Travel & Luggage   |   ,Booth: 5CON-02A   |   Advertising Premium   |   ,"Booth: 5B-D13, 5B-S012   |   Advertising Premium, Dragon Lounge - hktdc.com Showcase Zone - Cubic Showcase   |   ",Booth: 3B-A14   |   Taiwan Pavilion   |   ,Booth: 3B-C43   |   Tech Gifts   |   ,Booth: GH-B03   |   Travel & Luggage   |   ,Booth: 5B-C08   |   Advertising Premium   |   ,Booth: 3B-C23   |   Tech Gifts   |   ,Booth: GH-E04   |   Decorative Gifts & Festive Items   |   ,Booth: 5B-D07   |   Advertising Premium   |   ,Booth: 5B-B20   |   Advertising Premium   |   ,Booth: 5C-B20   |   Advertising Premium   |   ,Booth: 3B-B13   |   Taiwan Pavilion   |   ,Booth: 5B-C14   |   Advertising Premium   |   Cantonese Business Go Global,Booth: GH-D21   |   Chinese Mainland Pavilion   |   Chinese Mainland Pavilion (Yangzhou Pavilion),Booth: 5C-D21   |   Advertising Premium   |   ,Booth: GH-F17   |   Decorative Gifts & Festive Items   |   ,Booth: 3B-D41   |   Green Living   |   ,Booth: 3B-B18   |   Tech Gifts   |   ,Booth: 3B-D39   |   Green Living   |   ,Booth: 3B-C37   |   Tech Gifts   |   ,Booth: 5C-E01   |   Stationery   |   ,Booth: 3B-E18   |   Tech Gifts   |   
"Yiwu Tecai Import&Export Co., Ltd.",Chinese Mainland,,"Manufacturer, Retailer",Hat & Cap,"Shawls, Hats.","Others, OBM, ODM, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-Tecai-Import-Export-Co-Ltd-/1S00OBZ1Y,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005HT21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yiwu Xuyi Import & Export Co., Ltd.",Chinese Mainland,,"Retailer, Manufacturer","Inflatable Toy, Plastic Toy",Toys.,"OEM, OBM, Others, ODM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2020 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-Xuyi-Import-Export-Co-Ltd-/1X08HJXI,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005HSKK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yiwu Zenper Crafts Co., Ltd.",Chinese Mainland,,"Retailer, Manufacturer",Costume Jewellery,"Gemstone Bracelet Earring Necklace Jewelry; Natural Stone Pendant, Keychain, Crystal Water Bottle, Semi-precious Stone Home Decoration Products.","ODM, Others, OBM, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong International Jewellery Show 2018 HKTDC Hong Kong Gifts & Premium Fair 2017 HKTDC Hong Kong Gifts & Premium Fair 2016,https://sourcing.hktdc.com/en/Supplier-Store/Profile/YIWU-ZENPER-CRAFTS-CO-LTD/1X098XTG,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005I15K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yiwu Anjiu Imp & Exp Co., Ltd.",Chinese Mainland,,"Manufacturer, Retailer",Backpack,Small Commodities Gifts.,"OBM, ODM, Others, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-Anjiu-Imp-Exp-Co-Ltd-/1S00OL6EO,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005I396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nice Paper Stationery Co., Ltd.",Chinese Mainland,,"Retailer, Manufacturer","Note Book,Paper & Paper Product",Paper.,"Others, ODM, OBM, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 Hong Kong International Stationery & School Supplies Fair 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Nice-Paper-Stationery-Co-Ltd-/1S00OJVB8,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005HZRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Pearl (HK) Company Limited,Hong Kong    |    Factory in Chinese Mainland,,"Manufacturer, Exporter","Mug,Advertising Premium,Environmental Friendly Product",Ceramic Tableware with matching accessories,"OEM, ODM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC International Sourcing Show 2021 HKTDC Hong Kong Houseware Fair 2020 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Houseware Fair 2018 HKTDC Hong Kong Houseware Fair 2017 HKTDC Hong Kong Houseware Fair 2016 HKTDC Hong Kong Houseware Fair 2015 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/China-Pearl-HK-Co-Ltd/1X003BY5,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005J1SN,"Established in Hong Kong since 1993, China Pearl (HK) Company Limited has been devoted to producing unique tableware with excellent quality over the years. Our sales, merchandising, logistic and design teams work closely together with our fully audited factory partners to ensure our customers receive the best in terms of products, designs, pricing, services & shipments. We are offering series of ""Thomson Pottery"" brand tableware, which are marketed world-wide and are well received by numerous customers. Finished with superior quality, each piece of our products is suitable for microwave and dishwasher use. All our goods are also meeting with food contact testing standards. Our main product lines include everyday casual dinnerware sets in different compositions as well as practical tabletop and kitchen accessories, such as embossed, pad printing, antique & distressed effect, wax-resist & textured, matte & gloss finish, solid color glazed porcelain & stoneware.",Thomson Pottery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Concept Enterprises Limited,Hong Kong,,,,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Max-Concept-Enterprises-Limited/1X0AFJZG,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005M3UF,,,,,CE Issued By STC (Dongguan) Company Limited Valid Date (N/A) Test Report Issued By STC (Dongguan) Company Limited Valid Date (N/A) Show More,ISO13485:2016 Issued By nqa Type ISO_13485 Valid Date (N/A) - 26 Oct 2024 ISO 9001:2015 Issued By TUV NORD Type ISO_9001 Valid Date (N/A) - 08 Sep 2024 Show More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong Woodsun Housewares Co Ltd,Chinese Mainland,,Manufacturer,"Wooden Toy, Mug, Vacuum Flask",Gift/household,"OEM, ODM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2024 Home InStyle 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Woodsun-Housewares-Co-Ltd/1S00O7MPB,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005J9GF,,Woodsun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hangzhou Guangzhong Imp & Exp co.,Ltd",Chinese Mainland,,Manufacturer,"Stationery & Office Equipment, Writing Equipment",Ballpoint Pen,"OEM, ODM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong International Optical Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hangzhou-Guangzhong-Imp-Exp-co-Ltd/1S00OOLE9,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005EU3X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matrix Promotion Limited,Hong Kong,,"Service Company, Retailer, Export Agent","Educational Toy, Advertising Premium, Metal Toy, Printed Matter, Plastic Toy, Toy Parts, Model Kit & Accessory","Bespoke Licensed Monopoly gameboard Corporate Limited-Edition Monopoly Gameboard Suggestions/Usages: VIP Gifts, Staff Gifts, Anniversary Events, Charity Fundraising and IP Crossover Promotion",Others,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2022 HKTDC Hong Kong Book Fair 2021 HKTDC International Sourcing Show 2021 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Matrix-Promotion-Limited/1X0033I9,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005HGCK,"Matrix Promotion Limited was established since 2006, serves as one of the leading corporate and promotion gift suppliers in Hong Kong. We have completed lots of big projects with lots of MNCs and HKSAR over the years with our historic brand GIFTU.","Monopoly,Top Trumps",,,ISO 9001 Issued By Hong Kong Quality Assurance Agency Valid Date 29 Oct 2026,EMC Test Report for ME-EMC-1108 Issued By - Type - Valid Date (N/A) - 06 Oct 2020 FCC Test Report for ME-EMC-1108 Issued By - Type - Valid Date (N/A) - 06 Oct 2020 Show More,www.giftu.com.hk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
