url,Nature of Business,Location,Year of Establishment,Main Categories,Contact Person,Position,Office Address,Country/Region,Major Markets,Total Employees,Annual Turnover,Brands
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-Tecai-Import-Export-Co-Ltd-/1S00OBZ1Y,"Exporter, Manufacturer","Jinhua, Zhejiang, Chinese Mainland",2021,Fashion Accessories View Details Company Information Verified on 06 Feb 2026 by Disclaimer,Mr Rufeng Ren,Legal representative,"Room101, Second Building, First Floor, A District, No.158,Tongbao Road, Jiangdong Street, Yiwu, Jinhua, Zhejiang, Mainland China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-Xuyi-Import-Export-Co-Ltd-/1X08HJXI,"Exporter, Manufacturer","Jinhua, Zhejiang, Chinese Mainland",2013,,Mr Anfu Pan,Sales Manager,"No. 26 Dashi Road, Yinan Indl Zone, Yiwu Yiwu, Zhejiang, China Jinhua",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/YIWU-ZENPER-CRAFTS-CO-LTD/1X098XTG,"Exporter, Manufacturer","Jinhua, Zhejiang, Chinese Mainland",2015,"Arts & Crafts, Bags, Handbags & Accessories, Costume & Fashion Jewellery, Gifts / Souvenirs, Lights",Ms Joy Shen,Sales Manager,"5/F, Bldg No.2 NO.335 Yangcun Rd Yiwu, Zhejiang, China China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-Anjiu-Imp-Exp-Co-Ltd-/1S00OL6EO,Exporter,"Jinhua, Zhejiang, Chinese Mainland",,,Mr feng li,,"2nd Floor, Building 1 No. 88 Pinghu Road, Jiangdong Street Yiwu City, Jinhua City, Zhejiang Province China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Nice-Paper-Stationery-Co-Ltd-/1S00OJVB8,Exporter,"Jinhua, Zhejiang, Chinese Mainland",2020 View Details Company Information Verified on 06 Feb 2026 by Disclaimer,,DONGMEI MENG,Legal representative,"Room 1015A, No.328, Wandao road, Yiwu, Zhejiang, Mainland China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/China-Pearl-HK-Co-Ltd/1X003BY5,"Distributor, Exporter, Manufacturer",Hong Kong,,"Festive Supplies, Gifts / Souvenirs, Homeware & Lifestyle Essentials",Ms Anna Lam,General Manager,"Room 1606, 16/F, Tower 3, Enterprise Square, 9 Sheung Yuet Road, Kowloon Bay, Hong Kong",Hong Kong,Worldwide,1001 - 2000,"US$ 10,000,000 - 49,999,999","Thomson Pottery, China Pearl ODM OEM Stoneware Dinnerware Porcelain Tableware Solid Color Pad Printing View Details Company Information Verified on 23 Dec 2025 by Disclaimer"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Max-Concept-Enterprises-Limited/1X0AFJZG,"Exporter, Manufacturer",Hong Kong,,"Bags, Handbags & Accessories, Beauty Supplies, Consumer Electronics, Eyewear & Accessories, Fashion Accessories, Fashion, Eyewear & Accessories, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Hardwares (Tools & Parts), Health Care & Medical Supplies, Health, Beauty and Baby Care, Home Appliances, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Lights, Personal Care, Shoes & Accessories, Sports Supplies",Ms Karen Hung,Sales Director,"Room 1601, Kodak House II, No.39 Healthy Street East, North Point, Hong Kong",Hong Kong,"Australasia, Central & South America, Eastern Europe, Japan, Korea, Middle East, Southeast Asia, Western Europe, Worldwide",201 - 500,"US$ 100,000,000 - 249,999,999 30,000 sqm Dongguan Factory 30 years MFG & EXP experience BSCI, ISO9001,ISO 13485 cert 50 R&D experienced Engineer 500 skilled workers Provide CE, ROHS certifcate OEM/ODM Project welcome EXW/CFS/FOB Terms Certification Verified by Certificate Name Issued By Certificate Type Valid Date CE STC (Dongguan) Company Limited CE - Test Report STC (Dongguan) Company Limited Others - Test Report STC (Dongguan) Company Limited Others - ISO 9001 TÜV NORD (Hangzhou) Co., Ltd. Shanghai Branch ISO 9001 08 Sep 2027 Other Certification Certificate Name Issued By Certificate Type Valid Date ISO13485:2016 nqa ISO 13485 (N/A) - 26 Oct 2024 Show More View Details Company Information Verified on 19 Dec 2025 by Disclaimer Certification(s) Verified on 22 Aug 2025 by Disclaimer View details Factory & Facility Research & Development Quality Control Company contact info MC0573C MC0557 Relief Shiatsu Body Massage Pillow MC0559 3D-Tri Perfect Support Massage Cushion MC0586 Cordless Airwrap Arm/Leg MC0568 MC0360C Slim Belle C00827 - Ultrasonic Facial Scraper Cleanser Massager Series Full Product Catalogue Special recommendation",
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Woodsun-Housewares-Co-Ltd/1S00O7MPB,"Exporter, Manufacturer","Yangjiang, Guangdong, Chinese Mainland",,Homeware & Lifestyle Essentials View Details Company Information Verified on 02 Jan 2026 by Disclaimer,Ms Yuxin Tan,,"Guangdong Woodsun Housewares Co., Ltd. (Smart Factory) New Industrial Avenue Yangdong District Yangjiang City, Guangdong Mainland China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hangzhou-Guangzhong-Imp-Exp-co-Ltd/1S00OOLE9,,Chinese Mainland,,"Gifts / Souvenirs, Stationery",Apollo Liu,,"Tianying Industrial Park, Fenshui Town Tonglu Country, Hangzhou, Zhejiang, Mainland China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Matrix-Promotion-Limited/1X0033I9,"Distributor, Exporter, Mail Order Co., Service Company, Trade/Industrial Organisation, Wholesaler, e-tailer",Hong Kong,2006,"Art & Collectibles, Arts & Crafts, Bags, Handbags & Accessories, Consumer Electronics, Educational Toys, Fashion Accessories, Gift Packaging, Gift Sets, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Hand Tools, Home Appliances, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Office Equipment, Paper Packaging, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies, Party Supplies, Sports Supplies, Stationery, Telecommunication",Mr Mark Tse,Senior Project Executive,"3/F., The Rays, 71 Hung To Road, Kwun Tong, Kowloon, Hong Kong",Hong Kong,"Eastern Europe, Hong Kong, Japan, Korea, North America, Scandinavia, Southeast Asia, Western Europe, Worldwide",51 - 100,"US$ 5,000,000 - 9,999,999","XD Design, Swiss Peak, Premec, BrandCharger Certification Verified by Certificate Name Issued By Certificate Type Valid Date ISO 9001 Hong Kong Quality Assurance Agency ISO 9001 29 Oct 2026 Other Certification Certificate Name Issued By Certificate Type Valid Date EMC Test Report for ME-EMC-1108 - - (N/A) - 06 Oct 2020 FCC Test Report for ME-EMC-1108 - - (N/A) - 06 Oct 2020 SDS Report for ME-EMC-1108 - - (N/A) - 06 Oct 2020 RoHS Test Report for ME-EMC-1108 - - (N/A) - 06 Oct 2020 Show More View Details Company Information Verified on 27 Feb 2026 by Disclaimer Certification(s) Verified on 10 Sep 2025 by Disclaimer ISO90012015 Certificate - Matrix HKQAA Awards 2023 Best SME's Partner Award 10 Years + Caring Company Ecommas 2017 Excellence Brand Award Enterprising HK Awards Marketing Award"
