company name,location,,Nature of Business,Exhibit / Brand / Service Description,Product Strategy,Company Website,HKTDC Events,supplier_url,exhibitor_url,Company Background,Product / Service Range,Brand Name,Booth: 3E-C01   |   Hong Kong MedTech Association (HKMTA)   |   Hong Kong MedTech Association Pavilion,Certificates,Other Certificates,Booth: 3E-C09   |   Hong Kong MedTech Association (HKMTA)   |   Hong Kong MedTech Association Pavilion,Booth: 3E-A14   |   Medical Supplies and Disposables   |   ,Booth: 3D-D06   |   Rehabilitation and Elderly Care   |   ,Booth: 3D-D05   |   World of Health and Wellness   |   Chinese Mainland (Jilin),Booth: 3D-D40   |   Startup Zone   |   ,Booth: 3E-F33   |   Hospital Equipment and Digital Health   |   ,Booth: 3E-B25   |   Medical Supplies and Disposables   |   ,Booth: 3E-A38   |   Medical Supplies and Disposables   |   
Hong Kong Science and Technology Parks Corporation,Hong Kong,,Statutory Body,"Life and Health Technology is one of the core industries we focus on at HKSTP. We currently host more than 300 biotech companies in our Park, ranging from therapeutics and medical devices to digital health and diagnostics.",OEM,www.hkstp.org,"Exhibited in HKTDC Event(s) in recent years Asia Summit on Global Health 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2026 Innoex 2026 Think Business, Think Hong Kong - Hong Kong Dinner, Milan Eco Expo Asia 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2025 ""Think Business Think Hong Kong"" Jakarta, Indonesia Asian Logistics, Maritime and Aviation Conference 2024 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/HONG-KONG-SCIENCE-TECHNOLOGY-PARKS-CORP/1X00H0R9,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S0061N41,,,,,,,,,,,,,,
"Dayton Industrial Co., Ltd.",Hong Kong    |    Factory in Chinese Mainland,,"Trade/Industrial Organisation, Exporter, Retailer, Service Company, Manufacturer","Watch2Care Vital leverages big data integration aggregating health data from wearables to identify trends, predict health risk, and provide personalized care actionable recommendations to empower everyone to proactively manage their well-being.","OEM, OBM, ODM",www.link2care.asia,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 CHILL 11 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2021 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dayton-Industrial-Co-Ltd/1X0A3SDB,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S0060ZY7,"At LINK2CARE, our vision is to promote the integration of Modern Chinese Medicine and Western Medicine using smart wearables technology developed and manufactured by Dayton Industrial Company Limited which has over 65 years of unparalleled experience in state-of-the-art micro-electronics. The LINK2CARE is to support truly preventive healthcare where everyone is empowered to proactively manage their well-being. The Watch2Care Vital Smartwatch stands as the flagship product and cornerstone of the LINK2CARE ecosystem. Its development is a testament to deep collaboration, cutting-edge research, and a revolutionary approach to health monitoring. At its core, the Watch2Care Vital leverages big data integration aggregating health data from wearables and AI-powered analyze to identify trends, predict health risks, and provide personalized care actionable recommendations. The powerful integration also includes the sophisticated mathematical models of MCM's Five Organs insights from an extensive database of over 5,000,000 historical medical cases and a unique framework for the Five Organ System's functional positioning. By leveraging innovative technology and blending the best of Eastern and Western Medicine, we can create a healthier, more sustainable future for all.","Health Management and Consultancy, Electronic Health Product, Healthcare Product, Health Supplement, Healthcare & Medical Science Course","LINK2CARE,Watch2Care",,,,,,,,,,,
"Pro-safe Nutritionals Co., Limited",Hong Kong,,Manufacturer,香港御安營養品製造有限公司 是一家專注於為客戶提供一站式的營養保健食品代加工服務的高科技型研發、生產型及品牌代理商公司。 我們致力於打造「全球代工廠 」模式，為各大品牌商提供供應鏈管理保健食品代工、客製化、產品開發、設計、生產一手包辦的代加工服務！ 經過行業積累，擁有豐富的進口膳食營養品研發、生產和營經驗，而且集團也歡迎接受海外其他國家的訂單。,"OEM, OBM, ODM",www.prosafenutri.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pro-safe-Nutritionals-Co-Limited/1S00P85SJ,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005YY7H,,"Skin Care, Joint & Bone Support, Hair Removal Product, Health Food, Anti-Aging Supplement, Healthcare Product, Immune System Booster, Cosmetics, Weight Loss Product, Nutritional Manufacturing/ Processing Service","AIDEVI,御安堂",,,HACCP Issued By SGS Type HACCP Valid Date 22 Jul 2024 - 21 Jul 2027 ISO 22000 Issued By SGS Type ISO_22000 Valid Date 22 Jul 2024 - 21 Jul 2027 Show More,,,,,,,,
Promised Land Management Limited,Hong Kong,,Service Company,"1) BTO Wellness Treatment 2) LPG Infinity Series, LPG Alliance Series, LPG Huber 3) Healthway Air Purifier 4) Life Element Health supplement",Others,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Promised-Land-Management-Limited/1S00P9HPG,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005YYSQ,"We are the owner and manager of the BTO brand, dedicated to its long-term growth and value creation. Through integrated strategy, operations, and marketing, we ensure consistent brand innovation and deliver exceptional experiences, driving sustainable returns for our investors.","Treatment Equipment, Health Supplement, Air Purifier, Elderly Care Product, Healthcare Product, Skin Care, Body Trimming and Shaping, Physiotherapy Treatment, Health Food, Rehabilitation Equipment","BTO,LPG,Healthway,Life Element",,,,,,,,,,,
Action Medical Sundries Limited,Hong Kong,,"Wholesaler, Manufacturer, Distributor","Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing",ODM,www.action.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2022 HKTDC Simply Shopping Fest 2022 HKTDC Hong Kong International Medical and Healthcare Fair 2021 HKTDC Hong Kong International Medical and Healthcare Fair 2019 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Action-Medical-Sundries-Ltd-/1X00ABW7,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005YY8E,,"First Aid Equipment, Medical Mask, Dental Supplies, Medical Gloves, Medical Protective Clothing, Medical Preparation & Production Equipment, Rapid Test, Medical Consumable, Personal Hygiene Supplies, Personal Protective Equipment",Canuxi,,,ISO14611-1:Class 8 Issued By Fugro Type ISO_OTHERS Valid Date 08 Dec 2023 - 08 Dec 2024 ISO13485:2016 Issued By Lloyd's Register Type ISO_13485 Valid Date 20 Aug 2023 - 19 Aug 2026,,,,,,,,
Contin Technology Limited,Hong Kong,,"Wholesaler, Manufacturer","Professional in fall management system, anti-wandering system, incontinence monitoring system and elderly care related product.","OBM, OEM, ODM",www.warmcarehk.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2023 MEDICA, Dusseldorf, Germany HKTDC Hong Kong International Medical and Healthcare Fair 2022 HKTDC Hong Kong International Medical and Healthcare Fair 2021 HKTDC Hong Kong International Medical and Healthcare Fair 2020 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Contin-Technology-Ltd/1X0044TV,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005Z8X1,"Contin Technology Company was established in 1997, we are professional, energetic and innovative enterprise integrating with developing, manufacturing and exporting high-end safety and security products for elderly/patients in hospital, senior housing and retirement center.","Companion and Caring Robots, Elderly Care Product, First Aid Equipment, Rehabilitation Equipment, Monitoring Support Devices and Solutions, Medical Consumable, Fall Prevention and Preventive Care Solutions",Warmcare,,,Patent & Management Certification Issued By - Type - Valid Date (N/A) - (N/A),,,,,,,,
Green Life Technology Ltd,Hong Kong    |    Factory in Germany,,Distributor,"HAB:Ozone-oxygen therapy by autohaemo&insufflation;Colon Hydro therapy with water purifier Schumann:Neuromodulation via Earth-frequency resonance Sanza:Magnetic fields,biofrequency&laser to balance body NatuGena:Labtested,toxinfree,German supplement","OEM, OBM, ODM",greenlifetechnology.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Green-Life-Technology-Ltd/1S00P23X6,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005ZAU8,"Green Life Technology LTD. is a leading provider of innovative medical devices and technologies based in Hong Kong. With a focus on cutting-edge solutions, we are dedicated to improving the quality of healthcare and enhancing patient outcomes. Our team of experts is committed to developing and delivering advanced products that meet the evolving needs of the medical industry. We strive to create impactful solutions that make a difference in the lives of healthcare professionals and patients worldwide.","Skin Care, Massager, Health Supplement, Anti-Aging Supplement, Treatment Equipment, Healthcare Product, Fitness & Gym Equipment, Joint & Bone Support","NatuGena,Schumann 3D System,HAB,Sanza",,,,,,,,,,,
Pacific Medical Systems Limited,Hong Kong    |    Factory in USA,,Distributor,"Ultrasound Medical device, Surgical device, patient care solution, AED and etc.",OBM,www.pacificmedicalsystems.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2022 HKTDC Hong Kong International Medical and Healthcare Fair 2021 HKTDC Hong Kong International Medical and Healthcare Fair 2019,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pacific-Medical-Systems-Limited/1X0ARK0C,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005YYLB,"Pacific Medical Systems (PMS) focuses in the marketing, sales and after sales support of innovative medical products in the Asia Pacific region.","Smart Healthcare Platform & Solution, Dental Equipment, Orthopedics Equipment, Diagnostic Equipment, Diagnostic Imaging and IVD, Ultrasound Equipment, Rescue Equipment and Service, Surgical Instrument","GE Healthcare,verathon,ZOLL",,,,,,,,,,,
"Synergy Medical Supply Co., Ltd.",Hong Kong,,Distributor,"We offer a wide range of products that cover all the major specialties in medicine including the Operating Room, Intensive Care Unit, Infection Control, Specialty Clinics and the Emergency Room.",OEM,hkmedicalstore.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2022 HKTDC Hong Kong International Medical and Healthcare Fair 2019 HKTDC Hong Kong International Medical Devices and Supplies Fair 2018 HKTDC Hong Kong International Medical Devices and Supplies Fair 2017 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Synergy-Medical-Supply-Co-Ltd/1X0910LF,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005YZLA,"Since 2001, Synergy Medical Supply Co. Limited has established excellent long-term relationships with the best manufacturers in the world. We are the exclusive distributors of many well-known medical brands in the United States, Europe, Australia and Asia.","Dental Equipment, Infection Prevention - UV Light Devices, Nursing Beds, Smart Healthcare Platform & Solution, Medical Consumable, Air Purifier, Personal Hygiene Supplies, Surgical Instrument, Wound Care & Dressing, Sterilization","Enduro,Eolis,Power Technologies",,,,,,,,,,,
Anward Co,Hong Kong    |    Factory in Chinese Mainland,,"Importer, Retailer, Distributor","VR First Aid Training, Safety Footwears, Fire Protection PPE, Medical Dressing, Rapid First Aid, Chemical Protection PPE, Personal Alarm",ODM,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2021,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Anward-Co/1X0A2NTA,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005Z4GK,"Anward Shop is based in HK for many years, and have been providing our customers the highest quality indoor & outdoor activities and industrial PPE, including many well-known domestic and foreign brands such as MSA, HAIX, KASK, CMC, etc. We are always committed to collecting the latest & the best international brand equipment and products that are certified to meet safety standards locally and around the world. Members and new customers are welcome to visit our showroom in Cheung Sha Wan and purchase.","First Aid Equipment, Medical Consumable, Wound Care & Dressing, VR and AR in Healthcare, Personal Protective Equipment","Aemulus XR,E-GEAR,HAIX,PAX",,,,,,,,,,,
