Company Name,Location,Booth,url
Memorigin Watch Company Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NIDF?fairCode=hkwatchfair&locale=en
"Hong Kong Airufo Watch Industrial Co., Ltd.",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MP6T?fairCode=hkwatchfair&locale=en
"Carisen Industrial Co., Limited",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MXHO?fairCode=hkwatchfair&locale=en
Heromex Watch Company Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005N9TC?fairCode=hkwatchfair&locale=en
"Guangdong Starking Intelligent Technology Co., Ltd",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005NCT9?fairCode=hkwatchfair&locale=en
"Dayton Industrial Co., Ltd.",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005OWWG?fairCode=hkwatchfair&locale=en
Gifvinn Watch Co Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005N9RI?fairCode=hkwatchfair&locale=en
"1 Heart Watch Industrial Co., Limited",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MS7N?fairCode=hkwatchfair&locale=en
3 Wells Watch Industries Ltd,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MXD0?fairCode=hkwatchfair&locale=en
AWC International Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MWVJ?fairCode=hkwatchfair&locale=en
Ching Mei Industrial Co,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MILR?fairCode=hkwatchfair&locale=en
Daniel Klein Group Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005RNAJ?fairCode=hkwatchfair&locale=en
Epson Hong Kong Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MYEW?fairCode=hkwatchfair&locale=en
"Excellent Watch HK Co., Limited",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJ45?fairCode=hkwatchfair&locale=en
Gotop Industrial Ltd.,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJIZ?fairCode=hkwatchfair&locale=en
Greenland Watch Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJCH?fairCode=hkwatchfair&locale=en
"HK HWD Industrial Co., Limited",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005N1M5?fairCode=hkwatchfair&locale=en
HK J & H International Trading Co Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MXEX?fairCode=hkwatchfair&locale=en
Ice Universal Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005N9U9?fairCode=hkwatchfair&locale=en
Inspire Workshop Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MHOJ?fairCode=hkwatchfair&locale=en
Lond Weil Watch Ind Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MXIL?fairCode=hkwatchfair&locale=en
Longitude Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005N0C0?fairCode=hkwatchfair&locale=en
Majo Time Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MHT4?fairCode=hkwatchfair&locale=en
Modern Ltd.,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJ2B?fairCode=hkwatchfair&locale=en
Oro Time Ltd,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MHWV?fairCode=hkwatchfair&locale=en
Overseas Honest Ltd,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NNZG?fairCode=hkwatchfair&locale=en
Peacock Watch (Group) HK Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MXRU?fairCode=hkwatchfair&locale=en
Perfect Products Company Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJ6Z?fairCode=hkwatchfair&locale=en
Renley Watch Manufacturing Co Ltd,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MXC3?fairCode=hkwatchfair&locale=en
Ronda Ltd,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NINL?fairCode=hkwatchfair&locale=en
Sun International Concepts Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NCXX?fairCode=hkwatchfair&locale=en
"Sunqueen Watch Industrial Co., Limited",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NM0E?fairCode=hkwatchfair&locale=en
"Time Easy Industrial Co., Limited",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NM35?fairCode=hkwatchfair&locale=en
Time Module Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MHZM?fairCode=hkwatchfair&locale=en
Tsinlien Sea Gull Company Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NKBJ?fairCode=hkwatchfair&locale=en
"Dongguan Watchmaker Technology Co., Ltd.",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005OWVJ?fairCode=hkwatchfair&locale=en
"Guangzhou Watch Home Precision Machinery Co., Ltd",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005NQJP?fairCode=hkwatchfair&locale=en
"Huizhou Ouchuangxing E-commerce Co., Ltd",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005NPAH?fairCode=hkwatchfair&locale=en
Montres Michel Herbelin SA,France,[],/event/hkwatchfair/en/exhibitor/1S005RE64?fairCode=hkwatchfair&locale=en
Pierre Lannier Sarl,France,[],/event/hkwatchfair/en/exhibitor/1S005U9OR?fairCode=hkwatchfair&locale=en
Riba Watch Suisse SARL,Switzerland,[],/event/hkwatchfair/en/exhibitor/1S005NCU6?fairCode=hkwatchfair&locale=en
"Shenzhen Leqi Cronusart Technology Co., Ltd.",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005NVEZ?fairCode=hkwatchfair&locale=en
Belton China Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MXJI?fairCode=hkwatchfair&locale=en
Bergeon (HK) Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MIVX?fairCode=hkwatchfair&locale=en
Bomass International Ltd,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MXN6?fairCode=hkwatchfair&locale=en
Citizen Watches (H.K.) Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005N0EU?fairCode=hkwatchfair&locale=en
Dailywin Watch Products Mfg Ltd,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MXM9?fairCode=hkwatchfair&locale=en
Exhibition+,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005RXN6?fairCode=hkwatchfair&locale=en
Golden Hawk Manufactory Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MXQX?fairCode=hkwatchfair&locale=en
HK Zwear Industry Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MI9R?fairCode=hkwatchfair&locale=en
Hong Kong Brands Protection Alliance Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005PLBI?fairCode=hkwatchfair&locale=en
ILG Asia Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005PLDC?fairCode=hkwatchfair&locale=en
JC Universal Group Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MHRA?fairCode=hkwatchfair&locale=en
Perfect Hard Development (HK) Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MP5W?fairCode=hkwatchfair&locale=en
Prince Jewellery and Watch Company,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005PLE9?fairCode=hkwatchfair&locale=en
Singar Watch Industrial Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MIMO?fairCode=hkwatchfair&locale=en
Sky Winner (Asia) Ltd,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NCPL?fairCode=hkwatchfair&locale=en
Boderry Watch Co Ltd,Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005NPCB?fairCode=hkwatchfair&locale=en
Briston,France,[],/event/hkwatchfair/en/exhibitor/1S005RRKL?fairCode=hkwatchfair&locale=en
"Fujian Zhongchen Precision Instrument Co., Ltd.",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005N9V6?fairCode=hkwatchfair&locale=en
"Guangzhou Pinlun Watch Co., Ltd.",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005NCV3?fairCode=hkwatchfair&locale=en
"Lucky Harvey (Guangzhou) Commercial Co., Ltd.",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005NVFW?fairCode=hkwatchfair&locale=en
Maison De Prince Watches and Spare Parts Trading,United Arab Emirates,[],/event/hkwatchfair/en/exhibitor/1S005NVD2?fairCode=hkwatchfair&locale=en
SMB SAS / Lip,France,[],/event/hkwatchfair/en/exhibitor/1S005RRJO?fairCode=hkwatchfair&locale=en
"Shanghai Jinghe Industrial Co., Ltd.",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005N9QL?fairCode=hkwatchfair&locale=en
Sun Yin Crystal Industry Company Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MHMP?fairCode=hkwatchfair&locale=en
"Foshan Roerdum Watch Co., Ltd",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005NP9K?fairCode=hkwatchfair&locale=en
"2Win Enterprise (HK) Co., Limited",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MVTQ?fairCode=hkwatchfair&locale=en
JCWATCH Hong Kong Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MIDF?fairCode=hkwatchfair&locale=en
"Time King Industrial Co., Ltd.",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJAN?fairCode=hkwatchfair&locale=en
Best Power (HK) Enterprises Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MI8U?fairCode=hkwatchfair&locale=en
Ching Chi Industrial Company Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJDE?fairCode=hkwatchfair&locale=en
