url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Brands,Contact Person,Position,Office Address,Country / Region,Annual Turnover
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Memorigin-Watch-Co-Ltd/1X07U2Q4?fairCode=hkwatchfair&locale=en,"Exporter, Manufacturer, Retailer, Wholesaler",Hong Kong,2011.0,"Jewellery & Watch, Watches & Clocks",Worldwide,16 - 25,Memorigin Certificate Name Issued By Certificate Type Valid Date world-class excellence Japan watch testing center - Watch Repair Master - (N/A) - 18 Mar 2015 View details Factories & Facilities Research & Development Quality Control View All Watch Collection YQL_Diamond Tourbillon Marketing A Marketing B,Ms Joyce Hung,HR & Operations Manager,"Unit 4, 8/F, Phase 1, Chai Wan Ind'l City, 60 Wing Tai Road, Chai Wan, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hong-Kong-Airufo-Watch-Industrial-Co-Ltd/1X0AGV96?fairCode=hkwatchfair&locale=en,,Hong Kong,,"Jewellery & Watch, Watches & Clocks",,,,Simon Phang,General manager,"7/F, SPA Ctr, 53-55 Lockhart Rd, Wan Chai, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Carisen-Industrial-Co-Limited/1X0A3TWP?fairCode=hkwatchfair&locale=en,"Exporter, Manufacturer, Wholesaler",Hong Kong,2012.0,"Jewellery & Watch, Watches & Clocks","Australasia, Central & South America, Hong Kong, Japan, Korea, Middle East, North America, Scandinavia, Southeast Asia, Western Europe",101 - 200,,Ms Yang Selena,Marketing Manager,"Rm.909B, 9/F, Two Grand Tower, 625 Nathan Road, Mongkok, Kln, Hong Kong",Hong Kong,"US$ 1,000,000 - 4,999,999 ODM OEM Certificate Name Issued By Certificate Type Valid Date CE certificate - - - RoHS certificate - - - ISO9001 certificate - - - View details Quality Control"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Heromex-Watch-Company-Limited/1X00DZHM?fairCode=hkwatchfair&locale=en,"Exporter, Manufacturer, Retailer, e-tailer",Hong Kong,1991.0,Watches & Clocks,"Australasia, Chinese Mainland, Hong Kong, Japan, Korea, Middle East, Other Asian Countries, Southeast Asia, Taiwan, Worldwide OEM ODM Brand Watch Design Watch Mechanism Development Certificate Name Issued By Certificate Type Valid Date Arcana Design Certification Hong Kong Design Registry Intellectual Property Department Others 17 Nov 2025 - 17 Nov 2030 Epoch Design Certification Hong Kong Designs Registry Intellectual Property Department Others 03 Jan 2025 - 03 Jan 2030 Grand Slammer 1959 Design Certification Hong Kong Designs Intellectual Property Department Others 03 Jan 2025 - 03 Jan 2030 Monarch Design Certification Hong Kong Designs Intellectual Property Department Others 07 Nov 2025 - 07 Nov 2030 Nomad Design Certification Hong Kong Design Registry Intellectual Property Department Others 07 Nov 2025 - 07 Nov 2030 Hong Kong Showroom IP Certificates Hong Kong Office View All AERIS GRAND SLAMMER 1959 ARCANA SEA VOYAGER",,,Mr Chas Kwong,Assistant Marketing Manager,"Unit C, 22/F., Phase 1 Kingsford Industrial Building 26-32 Kwai Hei Street Kwai Chung, New Territories",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Starking-Intelligent-Technology-Co-Ltd/1S00OSKAM?fairCode=hkwatchfair&locale=en,"Exporter, Manufacturer, Wholesaler, e-tailer","Shenzhen, Guangdong, Chinese Mainland",1993.0,"Consumer Electronics, Watches & Clocks","Central & South America, Chinese Mainland, Hong Kong, North America, Scandinavia, Southeast Asia, Taiwan, Western Europe",101 - 200,STARKING Tourbillon R&D Technology Top 10 Enterprises in the Watc China High-Tech Enterprise Movement R&D Center View details Factories & Facilities Research & Development Quality Control,Mr Zhihua Zhang,CEO,"13/F, Starking Mansion, Starking Science Park, Fangyuan Rd, Guangming Dist Shenzhen, Guangdong 518000, Mainland China",Chinese Mainland,"US$ 100,000 - 249,999"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dayton-Industrial-Co-Ltd/1X0A3SDB?fairCode=hkwatchfair&locale=en,"Exporter, Manufacturer",Hong Kong,,"Consumer Electronics, Health Care & Medical Supplies, Watches & Clocks","Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",51 - 100 ODM OEM,,Mr Tony Chung,Sales and Marketing Manager,"Unit A, 11/F., Tai Tak Industrial Building, 2-12 Kwai Fat Road, Kwai Chung, New Territories, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Gifvinn-Watch-Co-Ltd/1X05H5UR?fairCode=hkwatchfair&locale=en,"Exporter, Manufacturer",Hong Kong,2004.0,"Jewellery & Watch, Watches & Clocks","Chinese Mainland, Hong Kong, Middle East, North America, Western Europe, Worldwide",,"Switick, Apsara, Bearshark, Bolgona, Jolly Jollie Stainless Steel Watch High-end Process OEM/ODM Well Quality Control Brand Distributor Ship Design/Rendering Support Tailor Made Style Diving Watches View details Factories & Facilities Research & Development Year 2023 Catalogue Jolly Jollie Introduction",Mr Lea Huang,Sales Manager,"Flat/RM 917B BLK A 9/F; New Mandarin Plaza No.14; Science Museum Road, Tsimshatsui Kowloon, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/1-Heart-Watch-Industrial-Co-Limited/1X0A3ULX?fairCode=hkwatchfair&locale=en,Manufacturer,Hong Kong,1993.0,"Jewellery & Watch, Watches & Clocks",Worldwide,201 - 500,"Customer's Brand Certificate Name Issued By Certificate Type Valid Date CE DEELAY - - FCC DEELAY - - ROHS ILAC-MRA,CNAS - - Lead content,Total cadmium, Nickel Release ILAC-MRA, CNAS - - View details Factories & Facilities Research & Development Quality Control",Ms Achievi Xu,Sales manager,"Room 8, 11/F Wang Fai Industrial Building, 29 Luk Hop Street,San Po Kong, Kln, Hong Kong",Hong Kong,"US$ 10,000,000 - 49,999,999"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/3-Wells-Watch-Industries-Ltd/1X00IWUI?fairCode=hkwatchfair&locale=en,"Exporter, Manufacturer",Hong Kong,1986.0,Watches & Clocks,"Australasia, Central & South America, Chinese Mainland, Hong Kong, Middle East, Other Asian Countries, Southeast Asia, Western Europe, Worldwide",201 - 500 High & New Technology Co. ODM Certificate Name Issued By Certificate Type Valid Date ISO 9001:2015 DNV GL ISO 9001 10 Feb 2021 - 19 Jul 2023 View details Factories & Facilities The Professional Validation Centre of HK Business Sector Ltd. / HK Business Excellence Award 2016 China High and New Technology Enterprise 2019 HK's Most Outstanding Business Awards 2021 / Best Watches Manufacturer & Exporter of The Year Published Quality System & Specifications Hand Book 2021 The Professional Validation Council of HK Industries / Learning Enterprise Award 3 Wells' Corporate Video The Hong Kong Q-Mark Licence,,Mr Clement Cheuk,President,"Units 1503-6, 15/F, Tower I, Ever Gain Plaza, 88 Container Port Road, Kwai Chung, NT, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/AWC-International-Limited/1X08NXVE?fairCode=hkwatchfair&locale=en,"Distributor, Exporter, Manufacturer, Wholesaler",Hong Kong,,"Jewellery & Watch, Watches & Clocks",Worldwide,,"Slzenger, Quantum ODM OEM",Ms Emily Chen,Asistant of Director,"Unit C, 11/F, Block 1, Wah Fung Ind'l Ctr, 33-39 Kwai Fung Crescent, Kwai Chung,",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ching-Mei-Industrial-Co/1X00I6MW?fairCode=hkwatchfair&locale=en,Manufacturer,Hong Kong,1993.0,"Jewellery Machinery, Jewellery Parts & Tools, Watches & Clocks","Chinese Mainland, Hong Kong, Japan, Southeast Asia, Taiwan, Western Europe, Worldwide",,Ching Mei Watch Sapphire Glass Optical Coating Sapphire Watch Case Sapphire Dial Sapphire Jewelry Sapphire Bezel,Mr Ali Lam,-,"Rm C, 10/F, Fully Ind. Bldg., 6 Tsun Yip Lane, Kwun Tong, Kln., H.K. Hong Kong.",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Daniel-Klein-Group-Ltd/1X082LZA?fairCode=hkwatchfair&locale=en,"Exporter, Manufacturer, Wholesaler",Hong Kong,,"Jewellery & Watch, Watches & Clocks","Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Western Europe, Worldwide",1001 - 2000,Daniel Klein ODM OEM,Ms Annie Liu,Manager,"Flat B, 5/F, Phase 2 Wah Fung Industrial Centre, 33-39 Kwai Fung Street, Kwai Chung, N.T., Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Epson-Hong-Kong-Limited/1X097VSN?fairCode=hkwatchfair&locale=en,Manufacturer,Hong Kong,,"Apparel & Textile Machines, Consumer Electronics, Industrial Machinery, Parts & Raw Materials, Jewellery & Watch, Lights, Office Equipment, Printing Machines, Stationery, Watches & Clocks",,51 - 100 Certificate Name Issued By Certificate Type Valid Date Hong Kong Authorized Economic Operator - - -,,Mr Kelvin Fung,Marketing Manager,"Unit 715-723, 7/F, Trade Square, 681 Cheung Sha Wan Road, Cheung Sha Wan, Kowloon, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/EXCELLENT-WATCH-HK-CO-LIMITED/1X07FMSE?fairCode=hkwatchfair&locale=en,"Exporter, Manufacturer",Hong Kong,,"Jewellery & Watch, Watches & Clocks",Worldwide,,,Ms Alice Qi,,"Flat 1202, 12/F, Tung Chun Comm Ctr, 438-444 Shanghai St, Kln, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Gotop-Industrial-Ltd-/1X0A3V96?fairCode=hkwatchfair&locale=en,Manufacturer,Hong Kong,2008.0,"Jewellery & Watch, Watches & Clocks","Central & South America, Western Europe",201 - 500 ODM OEM,,Ms Celine Chan,Manager,"Unit C, 2/F, Wah Lai Bldg, 2 Lo Lung Hang St, Hunghom, Kln, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Greenland-Watch-Ltd/1X00ANKJ?fairCode=hkwatchfair&locale=en,"Exporter, Manufacturer",Hong Kong,1994.0,Watches & Clocks,"North America, Western Europe",51 - 100,,Mr Eric Chevillard,Managing Director,"6/F, Block B, Eldex Industrial Building, 21 Ma Tau Wai Road, Hunghom, Kowloon, Hong Kong",Hong Kong,"US$ 500,000 - 999,999 ODM OEM View details Factories & Facilities"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/HK-HWD-Industrial-Co-Limited/1X092TVQ?fairCode=hkwatchfair&locale=en,,Hong Kong,,"Consumer Electronics, Jewellery & Watch, Watches & Clocks",,,,Ken Zheng,,"Flat/Rm. 1005(B), 10/F, Ho King Commercial Centre, 2-16 Fa Yuen Street,",Hong Kong,
