company name,location,,Nature of Business,Product / Service Range,supplier_url,exhibitor_url,Company Background,Exhibit / Brand / Service Description,Company Website,HKTDC Events,Certificates,Other Certificates,Brand Name
Sinomax Health & Household Products Limited,Hong Kong,,"Retailer, Chain Store",Bed Linen,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sinomax-Health-Household-Products-Limited/1X03U909?fairCode=homedelights&locale=en,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063WXD?fairCode=homedelights&locale=en,,,,,,,
Iplus Home Limited,Hong Kong,,"Distributor, Chain Store","Electric Blender, Electric Kettle, Lighting Product, Electric Oven, Electric Rice Cooker, Environmental Protection Equipment & Product, Electrical Personal Care Appliances, Electric Food Steamer, Electric Heater, Electric Iron, Electrical Juice Extractor, Electric Fan",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Iplus-Home-Limited/1X079ZCR?fairCode=homedelights&locale=en,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063W6M?fairCode=homedelights&locale=en,Enjoy Your Home Life,Smart cooking for health life,www.iplushome.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025 HKTDC Home Delights Expo 2024 HKTDC Home Delights Expo 2023 HKTDC Home Delights Expo 2021 HKTDC Home Delights Expo 2019 HKTDC Home Delights Expo 2018 HKTDC Home Delights Expo 2017 Show More,,,
Thermos Hong Kong Limited,Hong Kong,,Retailer,"Energy Saving Product, Vacuum Pot, Tableware",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Thermos-Hong-Kong-Limited/1X06D4ZP?fairCode=homedelights&locale=en,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064A1N?fairCode=homedelights&locale=en,"The name ""THERMOS"" originates from the Greek word for ""heat."" Since its founding in 1904, Thermos has led the world into a new era of insulation, constantly pushing its own boundaries and pursuing newer technologies and qualities to provide simple and lasting warmth to countless households. THERMOS currently has locations on every continent, with strong and innovative R&D teams in the United States and Japan. With a design philosophy focused on meeting the needs of global consumers, THERMOS tailors its products to the diverse lifestyles, leisure styles, dietary habits, and culinary cultures of consumers in Europe, America, Japan, and Asia, continuously evolving and striving for excellence. THERMOS officially entered the Hong Kong market in 1994 and currently has over 40 department store counters and 6 specialty stores.","Ultralight titanium vacuum insulated cups, stainless steel vacuum insulated bottles, stainless steel vacuum cookers, vacuum food jars, children's straw bottles, vacuum insulated hand-pouring jugs, vacuum insulated cups",www.thermos.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Houseware Fair 2018 HKTDC Hong Kong Houseware Fair 2017 HKTDC Hong Kong Houseware Fair 2016 HKTDC Hong Kong Houseware Fair 2015 HKTDC Hong Kong Houseware Fair 2014 HKTDC Hong Kong Houseware Fair 2013 Show More,,,
"Ming Tat Hong Group Hardware Supplier Co., Ltd.",Hong Kong,,"Wholesaler, Import Agent","Smart Door Lock, Kitchen Cabinet, Door Lock",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ming-Tat-Hong-Group-Hardware-Supplier-Co-Ltd/1X09E2JB?fairCode=homedelights&locale=en,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063WEY?fairCode=homedelights&locale=en,"Ming Tat Hong Group Hardware Supplier Co., Ltd has established in 1990, it is develops and sells hardware products continuously. At present our company are become the large-scale import furniture accessories agent and distributor in Asia. We have a wealth of experience and undertake the construction engineering of cabinet. As an expert, we provide solutions with a wide range of furniture accessories, while satisfy the customer's needs for comfort, design, and safety. The brands include: GRASS, VAUTH-SAGEL, REPON, Kwikset, CYBERLOCK, Atim and ARMSTRONG. In addition, our company has factories producing stainless steel cabinet, stainless steel panel, aluminum roller shutter, sliding door, aluminum frame and aluminum handle.","Aluminum frame structure of the cabinet with stone, BBQ kitchen, Outdoor cabinet 316, 304 Stainless steel Sintered Stone Outdoor Cabinet Aluminum Sintered Stone Outdoor Cabinet Kwikset Electric Door Lock",mth.com.hk/index.html,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 Home InStyle 2026 HKTDC Home Delights Expo 2023 HKTDC Home Delights Expo 2022 HKTDC Simply Shopping Fest 2022 HKTDC Home Delights Expo 2021 HKTDC International Sourcing Show 2021 HKTDC Hong Kong Houseware Fair 2016 Show More,,The Hong Kong Q-Mark Service Scheme Issued By - Type - Valid Date (N/A) - (N/A) Bureau Veritas Certification ISO9001:2008 Issued By - Type - Valid Date (N/A) - (N/A) Show More,
Pete's Studio & Co.,Hong Kong,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pete-s-Studio-Co-/1S00OK3CX?fairCode=homedelights&locale=en,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064XTO?fairCode=homedelights&locale=en,"The Lanes HK aims to introduce different regions and festive cultures through high-quality products. The Lanes HK also sources unique, exquisite and finest boutiques from all over the world, adding taste and colour to lifestyle.","Our designed and hand crafted products focus on Hong Kong and British sentiment, commemorating the essence of British and Hong Kong heritage.",www.thelaneshk.com,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Hong Kong Book Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Home Delights Expo 2025 HKTDC Hong Kong Book Fair 2025 HKTDC Hong Kong Sports and Leisure Expo 2025 HKTDC Home Delights Expo 2024 HKTDC Hong Kong Book Fair 2024 Show More,,,"The Lanes HK,Bicycle"
BOC Group Life Assurance Company Limited,Hong Kong,,Service Company,"Safe Products, Elderly care and service, Safe Products, Elderly care and service",https://sourcing.hktdc.com/en/Supplier-Store/Profile/BOC-Group-Life-Assurance-Company-Limited/1X03HE4Q?fairCode=homedelights&locale=en,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064PZE?fairCode=homedelights&locale=en,,"Insurance product, Savings",,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Home Delights Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026 Home InStyle 2026 HKTDC Beauty & Wellness Expo 2025 HKTDC Home Delights Expo 2025 HKTDC Beauty & Wellness Expo 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2023 Show More,,,
Plateau Consultant Services Company,Hong Kong,,Service Company,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Plateau-Consultant-Services-Company/1S00O3AI8?fairCode=homedelights&locale=en,https://www.hktdc.com/event/homedelights/en/exhibitor/1S00650L9?fairCode=homedelights&locale=en,BOC LIFE,BOC LIFE,,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Home Delights Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026 Eco Expo Asia 2025 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Beauty & Wellness Expo 2025 HKTDC Home Delights Expo 2025 HKTDC Hong Kong Sports and Leisure Expo 2025 Show More,,,
Heng Lee Jade,Hong Kong,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Heng-Lee-Jade/1S00NXAFH?fairCode=homedelights&locale=en,https://www.hktdc.com/event/homedelights/en/exhibitor/1S00650RR?fairCode=homedelights&locale=en,,"輕手飾,自家設計及製作生產",,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Hong Kong International Jewellery Show 2026 HKTDC Beauty & Wellness Expo 2025 HKTDC Hong Kong International Jewellery Show 2025 HKTDC Beauty & Wellness Expo 2024 HKTDC Hong Kong International Jewellery Show 2024 HKTDC Hong Kong International Jewellery Show 2023 HKTDC Hong Kong International Jewellery Show 2022 Show More,,,
OUD Design Store,Hong Kong,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/OUD-Design-Store/1S00OELJU?fairCode=homedelights&locale=en,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064XSR?fairCode=homedelights&locale=en,"OUD Own ur design:每位顧客在其中必得到各自的設計空間, 在OUD內,自創造設計與承接設計玩美自然地揉合其中,創造即是承設,而承設亦是創造,兩者相 互影響,環環相扣,生生不息,使其千變萬化",Handmade quality fashion accessory,,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 Fashion InStyle 2026 CENTRESTAGE 2025 HKTDC Home Delights Expo 2025 HKTDC Hong Kong Sports and Leisure Expo 2025 Fashion InStyle 2025 CENTRESTAGE 2024 HKTDC Home Delights Expo 2024 Show More,,,OUD Design Store
Airland Holding Company Limited,Hong Kong,,Retailer,"Pillow, Bed Linen",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063W2Y?fairCode=homedelights&locale=en,"For the past 60 years, we have focused on one thing: operating with integrity and dedicating ourselves to creating a quality sleep experience for the public.",AIRLAND雅蘭，作為香港床褥行業的先驅，陪伴香港成長60年，一直緊貼香港人的生活習慣及健康需求。多年來以香港人常見的脊椎問題、體型比例及睡眠習慣等等。AIRLAND雅蘭與香港專業物理治療師團隊攜手合作床褥研發項目，針對研究香港人的肌肉骨骼及脊柱健康，並糅合品牌獨家專業床褥技術及物理治療師多角度的臨床測試及數據。研發出多種適合不同香港人的優質床褥。我們深知雅蘭床褥帶給香港人的不只是一件產品，更是對我們健康的一份承諾。,www.airland.com.hk/,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
