Company Name,Location,Booth,url
"Guangzhou Chengzhi Intelligent Machine Technology Co., Ltd.",Chinese Mainland,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LDDK
Hong Kong Science And Technology Parks Corporation,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LZXA
Hong Kong Applied Science and Technology Research Institute Company Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005JQWM
Macau Productivity and Technology Transfer Center,Macao,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005K2L7
Nano and Advanced Materials Institute Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005JQVP
Hi-Think Technology International Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LII0
Business France,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LZLA
Digital Policy Office,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LCPL
Hong Kong Alumni Association of Beijing Universities Co Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005MQYG
Huawei International Co Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LV4T
Innobator (Hong Kong) Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LZ3S
Smart City Consortium Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005L396
AEROFUGIA,Chinese Mainland,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LKPD
China Council for the Promotion of International Trade Shenzhen Municipal Committee (CCPIT Shenzhen),Chinese Mainland,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LXRU
Government of Canada - Consulate General of Canada in Hong Kong,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005JR8L
Hong Kong Generative AI Research and Development Center Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LOG0
Innobator Center,Chinese Mainland,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LZA7
Inspur,Chinese Mainland,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LXSR
Logistics and Supply Chain MultiTech R&D Centre Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005JQUS
British Consulate General Hong Kong,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005JR30
China Mobile Hong Kong Company Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LFQF
The Hong Kong Research Institute of Textiles and Apparel Limited (HKRITA),Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005JR4X
ClusterTech Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005JQTV
"Shaanxi ORCA Electronic Intelligent Technology Corporation Co., LTD",Chinese Mainland,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LZN4
"Shaanxi ArcherMind Information Technology Co., LTD",Chinese Mainland,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LZSP
"Shaanxi Chang'An Pilot Industrial Innovation Centre Co., LTD",Chinese Mainland,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LZTM
"Shaanxi Ericco Inertial System Co., Ltd",Chinese Mainland,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005MEH7
"Shaanxi Yunchang Information Technology Co., Ltd",Chinese Mainland,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005M1WB
"Xi'an Meinan Biotechnology Co., LTD",Chinese Mainland,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LZM7
"Xi'an Xuanwu Tongyun Information Technology Co., LTD",Chinese Mainland,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LZUJ
"Xi'an Zhongchuang Cloud Atlas Technology Co., LTD",Chinese Mainland,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LZQV
"Xian Chishine Optoelectronics Technology Co., Ltd",Chinese Mainland,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005MEDJ
Tradelink Electronic Commerce Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005JQXJ
Cellac Innovative Company,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LN27
Envisage Digital Technology Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005M8MY
"Shenzhen Kenqing Technology Co., Ltd.",Chinese Mainland,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005MNE7
Godo Innovation Technology HK Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LZC1
Novautek Autonomous Driving Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005JR09
The Hong Kong Polytechnic University,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LCT9
Transwarp Technology Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LZY7
WildFaces Technology Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005JR16
AccessOrange Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LZ1Y
AlphaPro Technology (Hong Kong) Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LZKD
"Centre for Artificial Intelligence and Robotics, Hong Kong Institute of Science & Innovation, Chinese Academy of Science",Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005M13Q
Centre for Intelligent Multidimensional Data Analysis Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005M1A5
ConnectAR Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005M1IH
Dexibel Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005JR5U
E-PowerSpot Hong Kong Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005JR6R
Firealert Limited,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005M1HK
Hong Kong Center for Construction Robotics,Hong Kong,['Booth: 3E-B01   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005M11W
Hong Kong Industrial Artificial Intelligence & Robotics Centre (FLAIR),Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005M14N
"HongKe Technology Co., Limited",Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005JR23
KK Mobile Investment Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LY1Z
"LUISUAN TECHNOLOGY (HONG KONG) CO., LIMITED",Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005K4CW
Laboratory for AI-powered Financial Technologies Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005M0Z3
Network Box Hong Kong Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005KACQ
Quickstart Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005M1PW
Socif Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LCJ3
Synergy Marketing Technology Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005M1DW
Value Platforms Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005K2M4
WiseSpot Company Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005JQYG
Career Hackers,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005M8CS
Define Clean Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005MB9Y
EnerRight Intelligent Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005M877
Esign HK Holding Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005L37C
Green AI Technology Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LCV3
Hoplite Technology Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LN41
Innocorn Technology Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005M83J
KellyJohn Studio Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LD8Z
Locolla Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LCU6
Manifold Tech Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005LDT8
Oodles Systems Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005M6ZX
Pantheon Lab Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005M81P
PerksBar Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005MHFA
PropBid Property Auctions Limited,Hong Kong,['Booth: 3D-A19   |   Smart City   |   '],/event/innoex/en/exhibitor/1S005M891
