Company Name,Location,Booth,url
Man Sang Envelope Manufacturing Co Ltd,Hong Kong,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005ISRZ
EXHIBITION+,Hong Kong,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005LMKQ
Marshallom (Holdings) Limited,Hong Kong,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005ISVN
TouchPoint Company Limited,Hong Kong,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005ISWK
"Wing Chun Gift Boxes Product (HK) Co., Limited",Hong Kong,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005J2B1
"Changshan Shunfa Bags Co., Ltd.",Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005L297
"Sate-Lite (Foshan) Plastics Co., Ltd.",Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005LXLC
Best Planner Development Ltd,Hong Kong,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005LYWE
"Flowers Sky Industry Co., Limited",Hong Kong,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005JP25
Fung Ming Ribbon Industrial Limited,Hong Kong,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005ISZB
Hyacinth Paper (HK) Co. Limited,Hong Kong,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005ISQ2
JEF Industrial Limited,Hong Kong,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005ISTT
MPP Packaging (Asia) Limited,Hong Kong,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005ISSW
Mooly (HK) Limited,Hong Kong,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005ISYE
Roy Mark (Asia) Limited,Hong Kong,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005ISXH
Siluck (Hong Kong) Limited,Hong Kong,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005IY6K
Starry Gift Box Products Limited,Hong Kong,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005J2Z1
Well Packaging Company Limited,Hong Kong,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005ISUQ
