company name,location,Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   ,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,,HKTDC Events,Certificates,Verified Certificates,Other Certificates,supplier_url,exhibitor_url,Booth: 3-A05   |   DeLuxe PrintPack Hong Kong   |   ,Brand Name,Company Website,Booth: 3-B02   |   DeLuxe PrintPack Hong Kong   |   ,Booth: 3-A11   |   DeLuxe PrintPack Hong Kong   |   ,Booth: 3-B01   |   DeLuxe PrintPack Hong Kong   |   ,Booth: 3-A02   |   DeLuxe PrintPack Hong Kong   |   ,Booth: 3-C18   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global,Booth: 3-B29   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global,Booth: 3-C04   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global,Booth: 3-A10   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global,Booth: 3-C05   |   DeLuxe PrintPack Hong Kong   |   
Man Sang Envelope Manufacturing Co Ltd,Hong Kong    |    Factory in Chinese Mainland,,"Man Sang provides one-stop shop printing solution to all business needs. We are experienced in the printing industry for more than 44 years, offering both OEM and ODM services. Our product categories including commercial printing, packaging for all industries, seasonal packaging, promotion materials, customized VIP gifts & PR kits, personalized gifts on various materials, etc.",Manufacturer,"Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging","Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Lifestyle Sourcing Show | Physical + Online HKTDC International Sourcing Show 2021 HKTDC Hong Kong Gifts & Premium Fair 2019 Show More,,Quality Management System Certificate Issued By China Quality Certification Centre Valid Date 21 May 2028 Environmental Management System Certificate Issued By China Quality Certification Centre Valid Date 30 May 2027 Show More,FSCᵀᴹ Chain-of-Custody Certificate 2022-2027 Issued By SGS Type FSC Valid Date 07 Feb 2022 - 06 Feb 2027 Quality Management System Certificate Issued By China Quality Certification Centre Type ISO_9001 Valid Date 21 Apr 2022 - 21 May 2025 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Man-Sang-Envelope-Mfg-Co-Ltd/1X0019JQ,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005ISRZ,,,,,,,,,,,,
EXHIBITION+,Hong Kong,,"The Hong Kong Trade Development Council (HKTDC) introduces ‘EXHIBITION+’, a brand-new exhibition model integrating online-and-offline trade show formats, extending face-to-face interactions from its world-class exhibitions in Hong Kong to an online smart business matching platform to help you connect business partners proactively.",,,,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Hong Kong International Tea Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2026 Fashion InStyle 2026 Home InStyle 2026 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Smart Lighting Expo 2026 HKTDC Hong Kong International Jewellery Show 2026 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/EXHIBITION-/1S00O2V5Q,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005LMKQ,,,,,,,,,,,,
Marshallom (Holdings) Limited,Hong Kong,,"'Marshallom (Holdings) LTD'., is a leading manufacturing company located in Hong Kong. Our group was established in 1993, specializing in tin packaging. Our factory occupies an area of 150,000 square meters in Huizhou, Guangdong Province, China. It integrated with a one-way stop service to provide customer designing, printing manufacturing and finally packaging. We have over 4000 sets of mouldings available. With our fully equipped resources, our maximum monthly production capacity reaches up to 1.5 million pieces.",Manufacturer,Metal Box & Can,"Tin box tin can metal box metal can, round tin rectangle tin","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2026 HKTDC Hong Kong Gifts & Premium Fair 2026 DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2021 HKTDC Hong Kong Gifts & Premium Fair 2019 Show More,,,Sedex Members Ethical Trade Audit Issued By Sedex Type SEDEX Valid Date 13 Feb 2023 - 13 Feb 2024 FAMA Issued By Disney Type OTHERS Valid Date 30 Dec 2022 - 30 Dec 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Marshallom-Holdings-Ltd/1X03U3AH,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005ISVN,,Audemars Piguet,www.marshallom.hk,,,,,,,,,
TouchPoint Company Limited,Hong Kong    |    Factory in Chinese Mainland,,"We design and produce boxes, bags, pouches and displays products for watch and jewelry brands. Our factory is located in Southern China, with product development team to handle innovative projects. Our sourcing team is expertise in material sourcing and handling.",Manufacturer,"Bag and Pouch,Silk Boxes/Bags,Luxury Packaging,Jewelry Packaging & Display,Watch Packaging","Jewelry and watch Boxes, pouches, shopping bag, displays","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 HKTDC Hong Kong Watch & Clock Fair 2021 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 BASELWORLD 2017 - The World Watch and Jewellery Show HKTDC Hong Kong Watch & Clock Fair 2016 HKTDC Hong Kong Watch & Clock Fair 2015 HKTDC Hong Kong International Jewellery Show 2015 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/TouchPoint-Co-Ltd/1X05MLXC,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005ISWK,,,,,,,,,,,,
"Wing Chun Gift Boxes Product (HK) Co., Limited",Hong Kong    |    Factory in Hong Kong,,"WING CHUN is a specialized printing and packaging company , we want to set the standards in our industries. Through revolution rattan evolution, and solutions we create sustainable value for our customers. We provide printed packaging service to various renowned brands. Our head company located in Hong Kong, and our factory located in Guang Dong. We had successfully obtained ISO9001: 2015 , FSC?-C156449 , G7 , QS food packing, certification etc. With our rich experience in printing packaging more than 10 years, we help customer to promote their products & brand names, we can supply various products specially design Luxury packaging gift boxes, paper bag, plastic trays, clear plastic box, trademark sticker and so on. We have well-trained and experienced team in handling oversea shipment, providing one-stop service for our clients. We will do our best grow our clients profitability by providing high value at a lower per-piece cost, and hope to be the preferred partner for our customers. Welcome to send us further information for pricing or you have any OEM / ODM items need us to develop and manufactur.",Manufacturer,"Luxury Packaging, Watch Packaging, Packaging Design, Paper Decoration, Glasses Packaging, Jewelry Packaging & Display, Wine Packaging, Cosmetics Packaging","With our rich experience in printing packaging more than 10 years, we help customer to promote their products & brand names, we can supply various products specially design Luxury packaging gift boxes, paper bag, plastic trays, clear plastic box, tra","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2026 DeLuxe PrintPack Hong Kong 2025 HKTDC Food Expo PRO 2024 DeLuxe PrintPack Hong Kong 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2022 HKTDC International Sourcing Show 2021 HKTDC Hong Kong International Printing and Packaging Fair 2019 Show More,,,G7 Issued By IDEA lliance CHINA Type OTHERS Valid Date 01 Sep 2022 - 31 Aug 2025 ISO9001 Issued By BM TRADA Certification Ltd. Type ISO_9001 Valid Date 20 Dec 2023 - 16 Dec 2026 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wing-Chun-Gift-Boxes-Product-HK-Co-Ltd/1X080VE1,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005J2B1,,,wing-chun.com.hk,,,,,,,,,
"Changshan Shunfa Bags Co., Ltd.",Chinese Mainland,,"Changshan Shunfa Bags Co., Ltd has established in 2007 and located in Quzhou city, Zhejiang province, China. It covers land area of 18,000 sam and holds 200 skilled workers with monthly output 2.000,000 pieces. Our product line covers drawstring bag, dust bag, shopping bags, garment bag and all kinds of gift packing bag. With great achievement in past years, Shunfa has become the nominated supplier of many famous luxury brands. Our company has SA8000, BSCl, GRS and ISO9001 system certification, and strictly carry out these standards from the product quality, social responsibility to environmental protection.",,"Watch Packaging, Luxury Packaging, Velvet Box / Bag, Jewelry Packaging & Display, Bag and Pouch, Packaging Design, Smart Packaging, Cosmetics Packaging, Silk Box / Bag, Art Printing",Eco-Friendly Collection; Drawstring Bags; Envelope bags; Shopping Bag; Tote Bag; Cosmetic Bag; Other Bag; Garment Bag; Riding Equipment; Eyes Mask,"ODM, OEM, OBM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2026 DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024,,,SA8000:2014 Issued By - Type - Valid Date (N/A) - (N/A) CNSA CERITIFATE Issued By - Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Changshan-Shunfa-Bags-Co-Ltd/1X0B4ZNG,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005L297,,,www.shunfabag.com,,,,,,,,,
"Sate-Lite (Foshan) Plastics Co., Ltd.",Chinese Mainland,,,,"Packaging Design,Cosmetics Packaging,Jewelry Packaging & Display",Paper box & paper bag,OBM,,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC International Sourcing Show 2021 HKTDC Hong Kong Gifts & Premium Fair 2016,,,ISO9001:2008 Issued By - Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sate-Lite-Foshan-Plastics-Co-Ltd/1X09A6H1,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005LXLC,,deflecto,,,,,,,,,,
Best Planner Development Ltd,Hong Kong    |    Factory in Chinese Mainland,,PREMIUM PRODUCT MANUFACTURING AND PRINTING SERVICES PROVIDER.,"Exporter, Manufacturer","Cosmetics Packaging, Jewelry Packaging & Display, Smart Packaging, Luxury Packaging, Art Printing, Wine Packaging","LUXURY PACKAGING BOXES, GIFT BOXES","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2026 DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Best-Planner-Development-Ltd/1S00O6ZTM,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005LYWE,,,www.bp-printing.com,,,,,,,,,
"Flowers Sky Industry Co., Limited",Hong Kong    |    Factory in Chinese Mainland,,"Flowers Sky Industry Co., Limited is a distinguished manufacturer specializing in high-quality cigar boxes, cigar accessories, watch boxes, and jewelry boxes.","Exporter, Wholesaler, Manufacturer","Wooden Box and Case,Presentation Box,Velvet Boxes/Bags,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Watch Packaging,Cigar Packaging","Manufacturer specializing in high-quality cigar boxes, cigar accessories, watch boxes, and jewelry boxes.","OEM, ODM, Others, OBM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Flowers-Sky-Industry-Co-Limited/1S00OYXGR,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005JP25,,,,,,,,,,,,
Fung Ming Ribbon Industrial Limited,Hong Kong    |    Factory in Chinese Mainland,,"Fung Ming Ribbon Industrial Limited was established in 1998, accumulated many years of experiences in producing high quality ribbons. Our technicians had been well trained in Japan for many years, excel at making Japanese quality ribbons. Both the dyeing and weaving technologies achieve the world highest standard, the qualities are reliable and stable. We have 120 Swiss high speed shuttleless looms, 60 custom-made shuttle looms, the capacity is 3 times of a normal shuttle. We are proud of our products as we use import dyestuff from Germany, coordinating with technician's rich experiences and skills and with our high temperature high pressure dyeing equipments, in addition, using a jumbo setting machine to complete the final processes. As we have those technologies, facilities and capable staffs, enable us to produce rich color and high color fastness ribbons, fully satisfy customers from Japan, UA, the European Union countries as well as those customers concern about both environmental and quality.",Manufacturer,"Cosmetics Packaging, Perfume Bottle, Cut-Edge Ribbon, Wine Packaging, Luxury Packaging, Glass Packaging, Cigar Packaging, Packaging Design, Jewelry Packaging & Display, Smart Packaging","Fung Ming Ribbon produces high quality ribbons for luxury products, Fast delivery and small MOQ for customized printed ribbons.",OEM,,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2026 DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC International Sourcing Show 2021 HKTDC Hong Kong International Printing and Packaging Fair 2020 HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong International Printing and Packaging Fair 2017 Show More,,,Oeko-Tex 100 Issued By - Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fung-Ming-Ribbon-Industrial-Limited/1X092XEV,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005ISZB,,,www.fungmingribbon.com,,,,,,,,,
