Company Name,Location,Booth,url
Microtech Technology Company Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S006675E?fairCode=electronicasia&locale=en
Rapid Conn (S) Pte. Ltd.,Singapore,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0066QIS?fairCode=electronicasia&locale=en
Connaught (HK) Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00666UC?fairCode=electronicasia&locale=en
Trio Engineering Company Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S006676B?fairCode=electronicasia&locale=en
"Salecom Electronics Co., Ltd.",Taiwan,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0066QJP?fairCode=electronicasia&locale=en
SJHI Co. Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00666ZX?fairCode=electronicasia&locale=en
Yan Chuen Company Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00666X3?fairCode=electronicasia&locale=en
Co-Electronic Company Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0066EXV?fairCode=electronicasia&locale=en
Kwan Da Electronic (HK) Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00666W6?fairCode=electronicasia&locale=en
"Easttop Display Co., Limited",Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00666TF?fairCode=electronicasia&locale=en
Surface Mount Technology Ltd.,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S006671Q?fairCode=electronicasia&locale=en
Mobicon Holdings Ltd,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0066792?fairCode=electronicasia&locale=en
See-Plus Industrial Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S006674H?fairCode=electronicasia&locale=en
Shenzhen HZY Photoelectric Technology Co Ltd,Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0067Y2W?fairCode=electronicasia&locale=en
"Suzhou UIGreen Micro&Nano Technologies Co., Ltd.",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0067ZY7?fairCode=electronicasia&locale=en
Chung Yi Enterprise (H.K.) Company Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S006672N?fairCode=electronicasia&locale=en
Fenghua (Hong Kong) Electronics Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00667AZ?fairCode=electronicasia&locale=en
General Circuit International Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00666Y0?fairCode=electronicasia&locale=en
Golden Resources Metal Industrial Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00684M2?fairCode=electronicasia&locale=en
KARSEN TECH LIMITED,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0066VVK?fairCode=electronicasia&locale=en
Maxtech Circuit HK Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00666V9?fairCode=electronicasia&locale=en
