company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,Certificates,,Other Certificates,supplier_url,exhibitor_url,Booth: 5B-B09   |   Electronics Components   |   ,Booth: 5B-C14   |   Printed Circuit Board & EMS   |   ,Booth: 5B-D01   |   Printed Circuit Board & EMS   |   ,Booth: 5B-C07   |   Electronics Components   |   ,Booth: 5B-C13   |   Electronics Components   |   ,Booth: 5B-D07   |   Printed Circuit Board & EMS   |   ,Booth: 5B-F05   |   Display Technology   |   ,Booth: 5B-B01   |   Electronics Components   |   ,Booth: 5B-A02   |   Electronics Components   |   
Microtech Technology Company Limited,Hong Kong    |    Factory in:  Chinese Mainland,"Microtech Technology Company Limited established in 2001,offers professional design and manufacturing services for hundreds types of Liquid Crytal Display modules and Touch Panels-TN,FSTN,TFT,RTP,CTP.With the advantages of high contrast,fast response time,wide viewable angle and low power consumption,Microtech's products are widely used in Industrial Equipment,Medical devices,Home Intelligent Devices,Digital cameras,Video Game Devices,Instruments etc.Since its establishment,the management has been following human-oriented strategy and developing reliance among customers.To comply with these beliefs and ISO 9001:2015 standards,Microtech keeps on recruiting capable professionals,adopting advanced technology,developing new products,improving process and enhancing quality.Based on its strong R&D capacity, outstanding product quality and professional service,Microtech has won the high reputation from both mainland and oversea customers,and established long-term strategic partner relationship with them.",Manufacturer,"Embedded Systems Assembly / Module, Liquid Crystal Display (LCD), Embedded Systems Assembly / Module, Liquid Crystal Display (LCD), Embedded Systems Assembly / Module, Liquid Crystal Display (LCD)","Design and maufacturing TFT Modules, OLED Display Modules, TN, FSTN LCD Display, COB Character LCD Module, Graphic LCD, Capactive Touch Screen, Customise LCD display and Touch Screen Solution, Android Board Solution, TFT Driving Board Solution.","OBM, ODM, OEM","MICROTECH,Microtech Technology Company Limited",www.microtech-lcd.com,"Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 electronicAsia 2025 electronica - International Trade Fair for Components and Assemblies in Electronics, Munich, Germany electronicAsia 2024 electronicAsia 2023 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2022 (Autumn Edition) electronica - International Trade Fair for Components and Assemblies in Electronics, Munich, Germany Show More",,,Rosh Compliant Issued By - Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Microtech-Technology-Co-Ltd/1X006CV5,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S006675E?fairCode=electronicasia&locale=en,,,,,,,,,
Rapid Conn (S) Pte. Ltd.,Singapore    |    Factory in:  Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Rapid-Conn-S-Pte-Ltd/1S00PEDNQ,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0066QIS?fairCode=electronicasia&locale=en,,,,,,,,,
Connaught (HK) Limited,Hong Kong    |    Factory in:  Chinese Mainland,"Connaught Motor (Shenzhen) Limited was established in 2005 with solely HK capital,Headquartered in Kwun Tong District, Kowloon, Hong Kong, the factory is located in Pingshan New District, Shenzhen, with a total factory area of More than 10,000 square meters, a workshop area of 8000 square meters, and 200-300 employees .",Manufacturer,"Production Management, Prototype Making, Manufacturing & Industrial Engineering, Motors, Actuator",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Connaught-HK-Limited/1X08PO5V,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00666UC?fairCode=electronicasia&locale=en,,,,,,,,,
Trio Engineering Company Limited,Hong Kong    |    Factory in:  Chinese Mainland,"Trio Engineering is an established electronics and original design manufacturing services provider (EMS/ODM) providing its service to a wide range of industries. Our state-of-the-art production facilities in Europe, Thailand, China, and North America (2025) offer quick-turn prototyping and efficient manufacturing of both advanced PCB assemblies and complex turn-key systems. Since our founding in 1983, our customers have trusted us to manufacture millions of products and systems, including a wide range of power supply units for industrial and medical applications, industrial battery chargers, EV chargers, inverters, filters and winding products, smart vending machines, self-service kiosks, and more. Our experts offer comprehensive support across the entire process from NPI over mass production to end-of-life management, including in securing critical certifications, enhancing supply chain and production traceability, and embedding design-to-manufacturing driven excellence into your products. We are a subsidiary of the Trio Industrial Electronics Group Limited (Hong Kong Stock Exchange HK 1710).",Manufacturer,"Bluetooth / NFC chips, Electrical & Electronic Products Testing, Assembly & Subsystem ( include PCB Assembly ), Electronic Manufacturing Service, Reliability Testing, Testing Instrument For Electrical / Electronic Product, Inverter, UPS / Power Supply, Power Transformer, Display Unit & Accessories, Bluetooth / NFC chips, Electrical & Electronic Products Testing, Assembly & Subsystem ( include PCB Assembly ), Electronic Manufacturing Service, Reliability Testing, Testing Instrument For Electrical / Electronic Product, Inverter, UPS / Power Supply, Power Transformer, Display Unit & Accessories","EMS, ODM, JDM, Outsourced Manufacturing, All Electric Society, Power Electronics, Turn-key Solutions, and Box Build","ODM, OBM, OEM","Trio ,Deltrix",www.triohk.com.hk,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 electronicAsia 2025 electronicAsia 2019 electronicAsia 2018 electronicAsia 2017 electronicAsia electronicAsia 2015 electronicAsia 2014 Show More,,,ISO9001 Issued By BSI Type - Valid Date (N/A) - 11 Jan 2021 Certificate of Industry 4.0 1i Recognition Issued By HKPC Type - Valid Date (N/A) - (N/A) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Trio-Engineering-Co-Ltd-/1X05SO1Z,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S006676B?fairCode=electronicasia&locale=en,,,,,,,,,
"Salecom Electronics Co., Ltd.",Taiwan,,Manufacturer,Actuator,"VARIOUS OF SWITCH AND SOCKET,",OBM,"SALECOM,CHILY,INALWAYS",www.salecom.com,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 electronicAsia 2024 electronicAsia 2023 electronicAsia 2019 electronicAsia 2018 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2017 electronicAsia electronicAsia 2015 Show More,,,ISO9001 Issued By - Type ISO_9001 Valid Date (N/A) - (N/A) ISO14001 Issued By - Type ISO_14001 Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Salecom-Electronics-Co-Ltd/1X00KQGE,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0066QJP?fairCode=electronicasia&locale=en,,,,,,,,,
SJHI Co. Limited,Hong Kong,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SJHI-Co-Limited/1X0AFVSN,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00666ZX?fairCode=electronicasia&locale=en,,,,,,,,,
Yan Chuen Company Limited,Hong Kong    |    Factory in:  Chinese Mainland,"Yan Chuen Co., Ltd. is Hong Kong base with 30 years of experience in Silicone Rubber Keypad, Rubber Parts and Membrane Keypad manufacturing and ISO9001/IATF16949, ISO14001 & ISO13485 Certificate. We are well known for being a reliable source of quality products in the field. Products of Yan Chuen are widely used in telecom, security, medical, machinery, home appliance and toys etc. With the finest machinery, raw material, well trained staff and strong managing structure, we done very well in the past but we still continuously improve ourselves in order to provide the best quality products to our valued customers.","Exporter, Importer, Manufacturer","Keyboard Panel Membrane, Keyboard (Excl. Computer Keyboard), Keyboard Panel Membrane, Keyboard (Excl. Computer Keyboard)",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yan-Chuen-Co-Ltd/1X0008MQ,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00666X3?fairCode=electronicasia&locale=en,,,,,,,,,
Co-Electronic Company Limited,Hong Kong    |    Factory in:  Chinese Mainland,,,"Assembly & Subsystem ( include PCB Assembly ), Electronic Manufacturing Service, Assembly & Subsystem ( include PCB Assembly ), Electronic Manufacturing Service","CO-E is a professional manufacturer offering comprehensive OEM and ODM services. We specialize in producing high-quality solutions and products for industries, including health care,lighting and sports.","OEM, ODM",,co-electronic.com/,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026,,,ISO9001:2015 Issued By China Quality Certification Centre Type ISO_9001 Valid Date 20 Oct 2020 - 16 Oct 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Co-Electronic-Co-Ltd/1S00M19RI,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0066EXV?fairCode=electronicasia&locale=en,,,,,,,,,
Kwan Da Electronic (HK) Limited,Hong Kong    |    Factory in:  Chinese Mainland,"The world-renowned companies EMERSON, EATON, JABIL, BBK and PANASONIC all recognize that our products are very good and agree with our products, because we are constantly focusing on the details, introducing new ideas and innovations to enhance our company's competitiveness and the competitiveness of customers Therefore, these well-known companies have maintained a long-term strategic cooperative relationship with our company. Since 1989, we have insisted on pursuing high-quality products and obtained ISO9001: 2015, ISO1400: 2015 and other certifications. The products comply with ROHS and REACH standards, and a 100,000-level dust-free workshop; in addition, we have more than 20 professional quality inspection personnel The quality of the products is checked and controlled by sophisticated testing equipment (including plasma spectrometers, contour projectors, etc.), which guarantees our high-quality product quality and complies with ROHS and REACH standards. With more than 30 years of industry experience, we currently have more than 2,000 conventional products for you to choose from. So many customers come to Qunda to inquire about a variety of products from very professional prototypes to large-scale project operations.",Manufacturer,"Reed Switch, Reed Switch, Reed Switch","Our company is established in 1989 and has more than 30 years of production experience in the electrical switch and jacks industry. So far, we have cooperated long-term with many companies.",Others,KD,www.kwanda.net,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 electronicAsia 2025 electronicAsia 2024 electronicAsia 2023 electronicAsia 2019,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/KWAN-DA-ELECTRONIC-HK-LIMITED/1X0AVHVQ,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00666W6?fairCode=electronicasia&locale=en,,,,,,,,,
"Easttop Display Co., Limited",Hong Kong,"Eastop Display Co., Ltd. registed in HK, is for promotion of our LCD products to overseas market. We have China mainland production base of Heyuan Top Strategy Electronics Co. Ltd., which is located in LinJiang Industrial Park, Heyuan City, Guangdong Province (800m away from Heyuan East Railway Station.). Our company has total capital of 30 million dollars, covers an area of 25,000 square meters, factory area of 33,000 square meters, R&D personnel of 70 people, Quality personnel of 80 people, total employees of 700 people. We have four system certifications of ISO9001, ISO14001, IATF16949 and ISO13485. Products are sold to more than 40 countries and regions (80% for export, 20% for domestic market). Our annual sales are nearly 400 million RMB and we have our own patents. Our company is a local star enterprise.",Manufacturer,"Liquid Crystal Display (LCD), Liquid Crystal Display (LCD)",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Easttop-Display-Co-Ltd/1X04P45J,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00666TF?fairCode=electronicasia&locale=en,,,,,,,,,
