Company Name,Location,Booth,url,exhibitor_url,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,Certificates,Unnamed: 11,Other Certificates,supplier_url,Booth: 5B-B09   |   Electronics Components   |   ,Booth: 5B-C14   |   Printed Circuit Board & EMS   |   ,Booth: 5B-D01   |   Printed Circuit Board & EMS   |   ,Booth: 5B-C07   |   Electronics Components   |   ,Booth: 5B-C13   |   Electronics Components   |   ,Booth: 5B-D07   |   Printed Circuit Board & EMS   |   ,Booth: 5B-F05   |   Display Technology   |   ,Booth: 5B-B01   |   Electronics Components   |   ,Booth: 5B-A02   |   Electronics Components   |   ,url_L3,Nature of Business_L3,Location_L3,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Brands,Contact Person,Position,Office Address,Country / Region
Microtech Technology Company Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S006675E?fairCode=electronicasia&locale=en,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S006675E?fairCode=electronicasia&locale=en,"Microtech Technology Company Limited established in 2001,offers professional design and manufacturing services for hundreds types of Liquid Crytal Display modules and Touch Panels-TN,FSTN,TFT,RTP,CTP.With the advantages of high contrast,fast response time,wide viewable angle and low power consumption,Microtech's products are widely used in Industrial Equipment,Medical devices,Home Intelligent Devices,Digital cameras,Video Game Devices,Instruments etc.Since its establishment,the management has been following human-oriented strategy and developing reliance among customers.To comply with these beliefs and ISO 9001:2015 standards,Microtech keeps on recruiting capable professionals,adopting advanced technology,developing new products,improving process and enhancing quality.Based on its strong R&D capacity, outstanding product quality and professional service,Microtech has won the high reputation from both mainland and oversea customers,and established long-term strategic partner relationship with them.",Manufacturer,"Embedded Systems Assembly / Module, Liquid Crystal Display (LCD), Embedded Systems Assembly / Module, Liquid Crystal Display (LCD), Embedded Systems Assembly / Module, Liquid Crystal Display (LCD)","Design and maufacturing TFT Modules, OLED Display Modules, TN, FSTN LCD Display, COB Character LCD Module, Graphic LCD, Capactive Touch Screen, Customise LCD display and Touch Screen Solution, Android Board Solution, TFT Driving Board Solution.","OBM, ODM, OEM","MICROTECH,Microtech Technology Company Limited",www.microtech-lcd.com,"Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 electronicAsia 2025 electronica - International Trade Fair for Components and Assemblies in Electronics, Munich, Germany electronicAsia 2024 electronicAsia 2023 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2022 (Autumn Edition) electronica - International Trade Fair for Components and Assemblies in Electronics, Munich, Germany Show More",,,Rosh Compliant Issued By - Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Microtech-Technology-Co-Ltd/1X006CV5,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Microtech-Technology-Co-Ltd/1X006CV5,"Export Agent, Exporter, Import Agent, Manufacturer, Trade/Industrial Organisation",Hong Kong,2003.0,"Consumer Electronics, Design Services, Information Technology, Marketing & Public Relations, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies, Professional Services, Telecommunication","Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",101 - 200,"US$ 500,000 - 999,999",Microtech ODM OEM TFT LCD Screen OLED Screen LCD Module lcd touch screen Certificate Name Issued By Certificate Type Valid Date Rosh Compliant - - - View details Factories & Facilities Research & Development Quality Control ISO9000 ISO 9001:2015 ROHS German ERP German exhibition American exhibition,Mr Edward Chu,Managing Director,"Unit 505, 5/F, On Hing Industrial Centre, 18 On Kui Street, Fanling, N.T., Hong Kong.",Hong Kong
Rapid Conn (S) Pte. Ltd.,Singapore,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0066QIS?fairCode=electronicasia&locale=en,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0066QIS?fairCode=electronicasia&locale=en,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Rapid-Conn-S-Pte-Ltd/1S00PEDNQ,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Rapid-Conn-S-Pte-Ltd/1S00PEDNQ,Manufacturer,Singapore,1994.0,"Automobile Parts & Accessories, Environmental Protection, Motorcycle Parts & Accessories, Parts, Components & Electrical Supplies","Chinese Mainland, Eastern Europe, North America, Southeast Asia, Taiwan, Worldwide",51 - 100,"US$ 1,000,000 - 4,999,999 View details Factories & Facilities Research & Development Quality Control",,Ms Marie Tham,Business Development Manager,18 Ah Hood Road #11-51 Hiap Hoe Building,Singapore
Connaught (HK) Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00666UC?fairCode=electronicasia&locale=en,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00666UC?fairCode=electronicasia&locale=en,"Connaught Motor (Shenzhen) Limited was established in 2005 with solely HK capital,Headquartered in Kwun Tong District, Kowloon, Hong Kong, the factory is located in Pingshan New District, Shenzhen, with a total factory area of More than 10,000 square meters, a workshop area of 8000 square meters, and 200-300 employees .",Manufacturer,"Production Management, Prototype Making, Manufacturing & Industrial Engineering, Motors, Actuator",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Connaught-HK-Limited/1X08PO5V,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Connaught-HK-Limited/1X08PO5V,Manufacturer,Hong Kong,2004.0,"Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies","Chinese Mainland, Hong Kong, Korea, North America, Western Europe",201 - 500,"US$ 1,000,000 - 4,999,999 ODM OEM Certificate Name Issued By Certificate Type Valid Date 2011/65/EU(RoHS) - - - REACH1907/2006/EC - - - ISO9001:2008 - - -",,Mr David Chow,Marketing manager,"Room 1330, 13/F, Shing Yip Industrial Building, 19-21 Shing Yip Street, Kwun Tong, Kowloon, Hong Kong.",Hong Kong
Trio Engineering Company Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S006676B?fairCode=electronicasia&locale=en,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S006676B?fairCode=electronicasia&locale=en,"Trio Engineering is an established electronics and original design manufacturing services provider (EMS/ODM) providing its service to a wide range of industries. Our state-of-the-art production facilities in Europe, Thailand, China, and North America (2025) offer quick-turn prototyping and efficient manufacturing of both advanced PCB assemblies and complex turn-key systems. Since our founding in 1983, our customers have trusted us to manufacture millions of products and systems, including a wide range of power supply units for industrial and medical applications, industrial battery chargers, EV chargers, inverters, filters and winding products, smart vending machines, self-service kiosks, and more. Our experts offer comprehensive support across the entire process from NPI over mass production to end-of-life management, including in securing critical certifications, enhancing supply chain and production traceability, and embedding design-to-manufacturing driven excellence into your products. We are a subsidiary of the Trio Industrial Electronics Group Limited (Hong Kong Stock Exchange HK 1710).",Manufacturer,"Bluetooth / NFC chips, Electrical & Electronic Products Testing, Assembly & Subsystem ( include PCB Assembly ), Electronic Manufacturing Service, Reliability Testing, Testing Instrument For Electrical / Electronic Product, Inverter, UPS / Power Supply, Power Transformer, Display Unit & Accessories, Bluetooth / NFC chips, Electrical & Electronic Products Testing, Assembly & Subsystem ( include PCB Assembly ), Electronic Manufacturing Service, Reliability Testing, Testing Instrument For Electrical / Electronic Product, Inverter, UPS / Power Supply, Power Transformer, Display Unit & Accessories","EMS, ODM, JDM, Outsourced Manufacturing, All Electric Society, Power Electronics, Turn-key Solutions, and Box Build","ODM, OBM, OEM","Trio ,Deltrix",www.triohk.com.hk,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 electronicAsia 2025 electronicAsia 2019 electronicAsia 2018 electronicAsia 2017 electronicAsia electronicAsia 2015 electronicAsia 2014 Show More,,,ISO9001 Issued By BSI Type - Valid Date (N/A) - 11 Jan 2021 Certificate of Industry 4.0 1i Recognition Issued By HKPC Type - Valid Date (N/A) - (N/A) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Trio-Engineering-Co-Ltd-/1X05SO1Z,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Trio-Engineering-Co-Ltd-/1X05SO1Z,"Exporter, Manufacturer, Professional Association, Service Company",Hong Kong,1983.0,,"Eastern Europe, Middle East, North America, Southeast Asia, Western Europe, Worldwide",1001 - 2000,,"TRIO, DELTRIX Power Supply PCBA Magnetics Battery Charger New Energy EV Charger Certificate Name Issued By Certificate Type Valid Date ISO9001 BSI - (N/A) - 11 Jan 2021 Certificate of Industry 4.0 1i Recognition HKPC - - ISO13485 BSI - (N/A) - 15 Feb 2021 ISO14001 BSI - (N/A) - 09 Mar 2022 OHSAS18001 BSI - (N/A) - 11 Mar 2021 Show More",Ms Shan Leung,Senior Marketing Manager,"5J, Phase 2, Kaiser Estate, 51 Man Yue Street, Hung Hom, Hon Kong",Hong Kong
"Salecom Electronics Co., Ltd.",Taiwan,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0066QJP?fairCode=electronicasia&locale=en,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0066QJP?fairCode=electronicasia&locale=en,,Manufacturer,Actuator,"VARIOUS OF SWITCH AND SOCKET,",OBM,"SALECOM,CHILY,INALWAYS",www.salecom.com,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 electronicAsia 2024 electronicAsia 2023 electronicAsia 2019 electronicAsia 2018 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2017 electronicAsia electronicAsia 2015 Show More,,,ISO9001 Issued By - Type ISO_9001 Valid Date (N/A) - (N/A) ISO14001 Issued By - Type ISO_14001 Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Salecom-Electronics-Co-Ltd/1X00KQGE,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Salecom-Electronics-Co-Ltd/1X00KQGE,Manufacturer,"Changhua County, Taiwan",1976.0,"Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies",Worldwide,201 - 500,"US$ 1,000,000 - 4,999,999 ODM OEM Certificate Name Issued By Certificate Type Valid Date ISO9001 - ISO 9001 - ISO14001 - ISO 14001 - View details Factories & Facilities",,Mr Chia-Ying Chen,Marketing Specialist,"4F-10, No.1 Wu Chyuan 1st Road, Hsin Chuang City, Taipei, Taiwan",Taiwan
SJHI Co. Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00666ZX?fairCode=electronicasia&locale=en,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00666ZX?fairCode=electronicasia&locale=en,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SJHI-Co-Limited/1X0AFVSN,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SJHI-Co-Limited/1X0AFVSN,,Hong Kong,,"Home Appliances, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies",,,,,Karl Yip,Sales Manager,"Suite 3B-4, 8/F, Twr 5, China Hongkong City, 33 Canton Rd, Tsim Sha Tsui, Kowloon, Hong Kong",Hong Kong
Yan Chuen Company Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00666X3?fairCode=electronicasia&locale=en,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00666X3?fairCode=electronicasia&locale=en,"Yan Chuen Co., Ltd. is Hong Kong base with 30 years of experience in Silicone Rubber Keypad, Rubber Parts and Membrane Keypad manufacturing and ISO9001/IATF16949, ISO14001 & ISO13485 Certificate. We are well known for being a reliable source of quality products in the field. Products of Yan Chuen are widely used in telecom, security, medical, machinery, home appliance and toys etc. With the finest machinery, raw material, well trained staff and strong managing structure, we done very well in the past but we still continuously improve ourselves in order to provide the best quality products to our valued customers.","Exporter, Importer, Manufacturer","Keyboard Panel Membrane, Keyboard (Excl. Computer Keyboard), Keyboard Panel Membrane, Keyboard (Excl. Computer Keyboard)",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yan-Chuen-Co-Ltd/1X0008MQ,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yan-Chuen-Co-Ltd/1X0008MQ,"Exporter, Manufacturer",Hong Kong,1992.0,"Building Materials & Supplies, Consumer Electronics, Gifts, Toys & Sports Supplies, Hardwares (Tools & Parts), Industrial Machinery, Parts & Raw Materials, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Raw Materials, Stationery",Worldwide,201 - 500,"US$ 10,000,000 - 49,999,999 Certificate Name Issued By Certificate Type Valid Date ROHS Test Report - - - REACH (SVHC) REPORT - - - PAHs Test Report - - - GMC-Global Manufacturer Cert. - - - ISO14001:2015 TUV - (N/A) - 23 Aug 2024 Show More View details Factories & Facilities Quality Control",,Miss Ivy Cheung,Sales Manager,"Unit 1404, 14/F, Fo Tan Industrial Centre, 26-28 Au Pui Wan Street, Fotan, N.T., Hong Kong",Hong Kong
Co-Electronic Company Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0066EXV?fairCode=electronicasia&locale=en,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0066EXV?fairCode=electronicasia&locale=en,,,"Assembly & Subsystem ( include PCB Assembly ), Electronic Manufacturing Service, Assembly & Subsystem ( include PCB Assembly ), Electronic Manufacturing Service","CO-E is a professional manufacturer offering comprehensive OEM and ODM services. We specialize in producing high-quality solutions and products for industries, including health care,lighting and sports.","OEM, ODM",,co-electronic.com/,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026,,,ISO9001:2015 Issued By China Quality Certification Centre Type ISO_9001 Valid Date 20 Oct 2020 - 16 Oct 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Co-Electronic-Co-Ltd/1S00M19RI,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Co-Electronic-Co-Ltd/1S00M19RI,Manufacturer,Hong Kong,1979.0,"Lights, Parts, Components & Electrical Supplies","Australasia, Hong Kong, North America, Western Europe",201 - 500,"US$ 5,000,000 - 9,999,999 SMT SMD Plastic Injection Plastic extrusion OEM PCBA PCB Assemble Electronic Transformer High Frequency Transformer Certificate Name Issued By Certificate Type Valid Date ISO9001:2015 China Quality Certification Centre ISO 9001 20 Oct 2020 - 16 Oct 2023 View details Factories & Facilities Research & Development Quality Control",,Mr Jacky Lai,Assistant Operation Manager,"Flat 1, 13/F. Wah Hung Centre Hung To Road Kwun Tong, Kowloon, Hong Kong",Hong Kong
Kwan Da Electronic (HK) Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00666W6?fairCode=electronicasia&locale=en,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00666W6?fairCode=electronicasia&locale=en,"The world-renowned companies EMERSON, EATON, JABIL, BBK and PANASONIC all recognize that our products are very good and agree with our products, because we are constantly focusing on the details, introducing new ideas and innovations to enhance our company's competitiveness and the competitiveness of customers Therefore, these well-known companies have maintained a long-term strategic cooperative relationship with our company. Since 1989, we have insisted on pursuing high-quality products and obtained ISO9001: 2015, ISO1400: 2015 and other certifications. The products comply with ROHS and REACH standards, and a 100,000-level dust-free workshop; in addition, we have more than 20 professional quality inspection personnel The quality of the products is checked and controlled by sophisticated testing equipment (including plasma spectrometers, contour projectors, etc.), which guarantees our high-quality product quality and complies with ROHS and REACH standards. With more than 30 years of industry experience, we currently have more than 2,000 conventional products for you to choose from. So many customers come to Qunda to inquire about a variety of products from very professional prototypes to large-scale project operations.",Manufacturer,"Reed Switch, Reed Switch, Reed Switch","Our company is established in 1989 and has more than 30 years of production experience in the electrical switch and jacks industry. So far, we have cooperated long-term with many companies.",Others,KD,www.kwanda.net,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 electronicAsia 2025 electronicAsia 2024 electronicAsia 2023 electronicAsia 2019,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/KWAN-DA-ELECTRONIC-HK-LIMITED/1X0AVHVQ,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/KWAN-DA-ELECTRONIC-HK-LIMITED/1X0AVHVQ,Manufacturer,Hong Kong,1989.0,"Consumer Electronics, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies","Australasia, Central & South America, Chinese Mainland, Eastern Europe, Japan, Scandinavia, Southeast Asia, Taiwan, Western Europe",201 - 500,,KD,Ms XIUMEI ZHOU,,"3906, 39/F, TOWER 11, METROPLAZA, 223 HING FONG, ROAD,KWAI CHUNG, N.T., HONG KONG",Hong Kong
"Easttop Display Co., Limited",Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00666TF?fairCode=electronicasia&locale=en,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00666TF?fairCode=electronicasia&locale=en,"Eastop Display Co., Ltd. registed in HK, is for promotion of our LCD products to overseas market. We have China mainland production base of Heyuan Top Strategy Electronics Co. Ltd., which is located in LinJiang Industrial Park, Heyuan City, Guangdong Province (800m away from Heyuan East Railway Station.). Our company has total capital of 30 million dollars, covers an area of 25,000 square meters, factory area of 33,000 square meters, R&D personnel of 70 people, Quality personnel of 80 people, total employees of 700 people. We have four system certifications of ISO9001, ISO14001, IATF16949 and ISO13485. Products are sold to more than 40 countries and regions (80% for export, 20% for domestic market). Our annual sales are nearly 400 million RMB and we have our own patents. Our company is a local star enterprise.",Manufacturer,"Liquid Crystal Display (LCD), Liquid Crystal Display (LCD)",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Easttop-Display-Co-Ltd/1X04P45J,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Easttop-Display-Co-Ltd/1X04P45J,"Exporter, Manufacturer",Hong Kong,2005.0,"Parts, Components & Electrical Supplies, Parts, Components & Raw Materials","Eastern Europe, Hong Kong, Korea, North America, Other Asian Countries, Western Europe",201 - 500,"US$ 10,000,000 - 49,999,999 Certificate Name Issued By Certificate Type Valid Date Business Registration Certification - - -",,Li Helen,Sales Manager,"Unit 1001, Fourseas Bldg, 208-212 Nathan Rd, Kowloon, Hong Kong",Hong Kong
