Company Name,Location,Booth,url
A Simple Trading Limited,Hong Kong,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005IZSP
Exhibition+,Hong Kong,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005HAHB
"DB-tex Tech.(Hangzhou) Co.,Ltd",Chinese Mainland,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005M0TL
"TONGXIANG TONGCHENG TECHNOLOGY CO.,LTD",Chinese Mainland,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005L84G
Deansenew Knitting Mfy Limited,Hong Kong,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005J25J
Craft Focus Mfg Limited,Hong Kong,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005J297
Ludwick Garment Factory Limited,Hong Kong,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005IY02
Noble Best International (HK) Limited,Hong Kong,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005J21V
Poly Asia(HK)International Ltd,Hong Kong,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005IXQX
Rainbow Handbag Factory Limited,Hong Kong,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005IZXA
Sunwin Worldwide Company Limited,Hong Kong,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005IZRS
The Hong Kong Research Institute of Textiles and Apparel Limited (HKRITA),Hong Kong,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005J4X5
Wenlo's Apparel Manufacturer Limited,Hong Kong,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005J6HF
YICK SHUN INDUSTRIAL COMPANY LIMITED,Hong Kong,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005J28A
GuangZhou Easy Wear Clothing Ltd,Chinese Mainland,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005JOYI
"Hangzhou Heran Clothing Co., LTD",Chinese Mainland,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005L0HL
"Hangzhou Tailory Garments Co.,Ltd.",Chinese Mainland,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005K8ZV
Nantong Forcheng Enterprise Limited,Chinese Mainland,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005JM6W
"Shiny Fashion Garment Co., Ltd.",Chinese Mainland,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005JOXL
"YIWU HOPEWAY GARMENTS CO.,LTD.",Chinese Mainland,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005LH7Y
Easey Garment Factory Limited,Hong Kong,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005J22S
Lei Shing Industrial Company Limited,Hong Kong,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005JHS7
TUNG FONG INTERNATIONAL LIMITED,Hong Kong,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005IZUJ
Triple Force Garment Co Ltd,Hong Kong,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005IXRU
"Guangzhou Jinyi Garments Co., Ltd",Chinese Mainland,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005MS15
"Jiaxing Shenran Trading Co., Ltd",Chinese Mainland,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005M4IE
Thygesen Textile Trading (Shanghai) Co Ltd,Chinese Mainland,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005KBJ4
Hansun Textile Printing Company Limited,Chinese Mainland,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005LHFA
"Jiangsu Bolong Textile Technology Co., Ltd.",Chinese Mainland,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005L8MY
Nanjing Beleo International Limited,Chinese Mainland,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005LGZN
"SUZHOU CITY PROTOP GARMENT CO.,LTD",Chinese Mainland,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005LH0J
"Shanghai Feihong Industrial Co., Ltd",Chinese Mainland,['Booth: 3F-B01   |   Urban Chic   |   '],/event/fashioninstyle/en/exhibitor/1S005K94F
