url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Contact Person,Office Address,Country/Region,Brands,Position
https://sourcing.hktdc.com/en/Supplier-Store/Profile/A-SIMPLE-TRADING-LIMITED/1S00OV4UE,"Manufacturer, Trade/Industrial Organisation",Hong Kong,2024.0,Clothing/ Garments,Japan,1 - 5,"US$ 100,000 - 249,999 Sustainable Materials Thermal Bonding Organic Textile Recycled Fabric Long Term Japanese Customers Long Term International Trade Fabric Technologies Manufacturing View details Factory & Facility",Ms ZHIHUA FANG,Room 515; Level 5; Tower 2 Silvercord; 30 Canton Rd Tsim Sha Tsui; Kowloon Hong Kong,Hong Kong,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/EXHIBITION-/1S00O2V5Q,Others,Hong Kong,,"Business Research, Management, Consultancy & General Services, Packaging Services, Parts, Electrical Electronic Supplies, Real Estate, Watches & Clocks ODM OEM Toys loose diamonds Trendy led light",,,,Prof Sourcing Genius,HKCEC,Hong Kong,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/DB-tex-Tech-Hangzhou-Co-Ltd/1S00P16CU,,Chinese Mainland,,"Textiles, Fabrics & Yarns",,,,Luyao Pan,"8F,Zhebao Building, No.88 Yuzhang road, Zhejiang, Hangzhou, 310016, China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/TONGXIANG-TONGCHENG-TECHNOLOGY-CO-LTD/1S00OV3B0,,Chinese Mainland,,Apparel & Textile Machines View details Factory & Facility,,,,Mr GUOBIN QIU,,Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Deansenew-Knitting-Mfy-Limited/1X001E0U,"Exporter, Manufacturer",Hong Kong,1993.0,"Baby Toys, Bags, Handbags & Accessories, Clothing/ Garments, Consumer Electronics, Educational Toys, Fashion Accessories, Fashion, Eyewear & Accessories, Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Socks, Legwears & Hosiery","Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Other Asian Countries, Scandinavia, Western Europe, Worldwide",11 - 15,"US$ 5,000,000 - 9,999,999",Ms Jenny Li,"Flat 403, 4/F., Ho Lik Centre, 66A Sha Tsui Road, Tsuen Wan, N.T., Hong Kong",Hong Kong,"Deansenew, Knit Bonbons knitted glove OEM beanie scarf baby knitted item knitted toys Certification Verified by Certificate Name Issued By Certificate Type Valid Date Business registration certificate The Government of the Hong Kong Special Administrative Region Companies Registry License 03 Nov 2025 View Details Company Information Verified on 19 Dec 2025 by Disclaimer Certification(s) Verified on 18 Jun 2025 by Disclaimer View details Factory & Facility",Merchandising Manager
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Craft-Focus-Mfg-Ltd/1S00OY1Y5,"Exporter, Manufacturer, Retailer, Wholesaler, e-tailer",Hong Kong,2015.0,Clothing/ Garments,"Australasia, Hong Kong, North America, Scandinavia, Western Europe",51 - 100,"US$ 1,000,000 - 4,999,999",Mr Au Alex,ROOM 2106 LEVEL 2 SHEUNG SHUI CENTRE 3 CHI CHEONG ROAD SHENG SHUINT HONG KONG,Hong Kong,ANEU,Manager
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ludwick-Garment-Factory-Limited/1S00O3C2I,Manufacturer,Hong Kong,,Clothing/ Garments View All Fabric Sourcing Design Development OEM & ODM Quality and On-Time Delivery,,,,Mr Andy Cheung,"Flat/Rm 05-06, 18/F Hollywood Plaza 610 Nathan Rd Mong Kok, Kowloon, Hong Kong",Hong Kong,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Noble-Best-International-HK-Ltd/1X03X0FL,Manufacturer,Hong Kong,2008.0,,"North America, Western Europe",16 - 25,"US$ 1,000,000 - 4,999,999 ODM OEM View details Factory & Facility",Mr Terrence Lee,"Rm 1401, 14/F., Kwai Cheong Centre, 40-52 Kwai Cheong Road, Kwai Chung, N.T., Hong Kong",Hong Kong,,General Merchandising Manager
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Poly-Asia-HK-International-Ltd/1S00OYGYQ,Manufacturer,Hong Kong,2001.0,"Textiles, Fabrics & Yarns","Australasia, Japan, Western Europe",1 - 5,"US$ 500,000 - 999,999",Mr Alfred Wong,"Unit H, 12/F, Ph 2, Leader Ind Ctr, 188-202 Texaco Rd, Tsuen Wan, New Territories, Hong Kong",Hong Kong,NATER View details Factory & Facility Research & Development Quality Control,manager
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Rainbow-Handbag-Factory-Limited/1X02PWNP,"Export Agent, Exporter, Manufacturer",Hong Kong,1973.0,,"Australasia, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Western Europe, Worldwide Design Product Development QC System Embellishment Technique View details Factory & Facility",,,Mr HENRY CHAN,"Room 10, 30/F., Prosperity Center, 25 Chong Yip Street, Kwun Tong, Kowloon, Hong Kong.",Hong Kong,,
