Company Name,Location,Booth,url
Perusahaan Alam Sejahtera,Brunei Darussalam,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065G1H?fairCode=foodexpopro&locale=en
Japan External Trade Organization (JETRO),Japan,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065EJ1?fairCode=foodexpopro&locale=en
Hosan Co Ltd,"Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065G62?fairCode=foodexpopro&locale=en
J-LEC. Processed Meat Export Council,Japan,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S006508C?fairCode=foodexpopro&locale=en
JD Food Public Company Limited,Thailand,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0066GJZ?fairCode=foodexpopro&locale=en
JTB Corp.,Japan,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S006506I?fairCode=foodexpopro&locale=en
MANIKER F&G,"Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065G0K?fairCode=foodexpopro&locale=en
Naiffy Inc.,"Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GT5?fairCode=foodexpopro&locale=en
"Nextbio Co., Ltd.","Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GNN?fairCode=foodexpopro&locale=en
OTOKI Corporation,"Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0064WAA?fairCode=foodexpopro&locale=en
Warich Foods Company Limited,Thailand,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0066GKW?fairCode=foodexpopro&locale=en
"Whale City Co., Ltd.","Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065G7Z?fairCode=foodexpopro&locale=en
"Yunnan Tea Investment Industrial Development Group Co., Ltd",Chinese Mainland,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065IKU?fairCode=foodexpopro&locale=en
"Ganyuan Foods Co., Ltd.",Chinese Mainland,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S006610Z?fairCode=foodexpopro&locale=en
Hong Kong Huaxi Zhimei Technology Development Limited,Hong Kong,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0064ZXA?fairCode=foodexpopro&locale=en
A.Ayam Berjaya Sdn Bhd,Brunei Darussalam,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065CFF?fairCode=foodexpopro&locale=en
"ALLGOT Co., Ltd.","Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GS8?fairCode=foodexpopro&locale=en
Atoll Agro & Cold Storage Sdn Bhd,Brunei Darussalam,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065G2E?fairCode=foodexpopro&locale=en
"Baoshan Xinlong Agricultural Technology Development Co., Ltd.",Chinese Mainland,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S00662Z1?fairCode=foodexpopro&locale=en
"Biomed Innovation Co., Ltd",Thailand,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0066GLT?fairCode=foodexpopro&locale=en
Cahya Matha Enterprise,Malaysia,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0066U3X?fairCode=foodexpopro&locale=en
Chingdowon,"Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065H54?fairCode=foodexpopro&locale=en
"Crefarm Co., Ltd","Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GKW?fairCode=foodexpopro&locale=en
DRS,"Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GRB?fairCode=foodexpopro&locale=en
"Da Jung Co., Ltd.","Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GG8?fairCode=foodexpopro&locale=en
Daeyang Corporation,"Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065H3A?fairCode=foodexpopro&locale=en
Danmijeong Agricultural Corporation,"Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GVZ?fairCode=foodexpopro&locale=en
"Deal Value (Thailand) Co., Ltd.",Thailand,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065F8X?fairCode=foodexpopro&locale=en
