company name,location,supplier_url,exhibitor_url,,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,HKTDC Events,Company Website,Company Background,Brand Name
Promised Land Management Limited,Hong Kong,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Promised-Land-Management-Limited/1S00P9HPG?fairCode=hkbeautyexpo&locale=en,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064Q31?fairCode=hkbeautyexpo&locale=en,,,,,,,,,
Golden Biotech Limited,Hong Kong,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Golden-Biotech-Limited/1S00PBWMA?fairCode=hkbeautyexpo&locale=en,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064DCN?fairCode=hkbeautyexpo&locale=en,,"Others, Manufacturer","Cosmetics, Skin Care","Golden GynoBio Intimate Care Gel and GoldenEV Skincare Collection feature our patented Plant Intelligent Microcapsule technology, boosting transdermal absorption to deliver active ingredients deeper for superior efficacy and professional care.",OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 Asia Summit on Global Health 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2026,,,
"Hunan Jiayexing International Expo Co., Ltd.",Chinese Mainland,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hunan-Jiayexing-International-Expo-Co-Ltd-/1S00P3PCB?fairCode=hkbeautyexpo&locale=en,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00661TK?fairCode=hkbeautyexpo&locale=en,,Distributor,Fitness Equipment,Gym,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Beauty & Wellness Expo 2026 HKTDC Food Expo PRO 2025 HKTDC Hong Kong International Tea Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Tea Fair 2024,,,
Autumn Grain Creation Company Limited,Hong Kong,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Autumn-Grain-Creation-Company-Limited/1X08FL36?fairCode=hkbeautyexpo&locale=en,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RLI?fairCode=hkbeautyexpo&locale=en,,"Manufacturer, Retailer","Outdoor Sports Equipment, Sports Accessories, Outdoor Sports Equipment, Sports Accessories, Outdoor Sports Equipment, Sports Accessories",6dots.co 於2018秋季創立，抱著「創造出無限可能性」的理念，沒有框架及包袱，用不一樣的材料，創造出不一樣的東西。我們選用輕巧與防水特性的物料，創作出一系列行山及戶外使用的袋類產品！為了讓每位客人都可以擁有強烈的個人風格，我們提供「自選拼色」的客製服務，每個人都可以訂製「屬於自己色系」的登山包，走屬於自己的路！,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026 HKTDC Beauty & Wellness Expo 2025 HKTDC Hong Kong Sports and Leisure Expo 2025 HKTDC Hong Kong Sports and Leisure Expo 2024 HKTDC Hong Kong Sports and Leisure Expo 2023 HKTDC Hong Kong Sports and Leisure Expo 2022 HKTDC Hong Kong Gifts & Premium Fair 2019 Show More,www.6dots.co,,
Oh You Made My Day Limited,Hong Kong,https://sourcing.hktdc.com/en/Supplier-Store/Profile/OH-YOU-MADE-MY-DAY-LIMITED/1S00OEPD8?fairCode=hkbeautyexpo&locale=en,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RF0?fairCode=hkbeautyexpo&locale=en,,Chain Store,,"OHU offers a curated range of cat-themed streetwear and lifestyle products, including graphic tees, hoodies, accessories, and limited-edition collectibles. Each piece blends cat culture with urban street style aesthetics",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong Gifts & Premium Fair 2026 DesignInspire, Hong Kong, 2025 HKTDC Hong Kong Sports and Leisure Expo 2025 HKTDC Hong Kong Sports and Leisure Expo 2024 HKTDC Hong Kong Sports and Leisure Expo 2023",,"OH YOU MADE MY DAY -OHU is a HK based cat culture streetwear brand founded by designer and creative entrepreneur Elvis Kwok. The brand is blending a love for cat culture with fashion design to create apparel and lifestyle products that are both expressive and wearable. With over 12 years of experience in the advertising and creative industries, the founder brings strong expertise in breand communication and consumer insight, which forms the foundation of OHU's design language and market positioning. OHU currently operates a physical retail store in HK's creative landmark Central Market, alongside an e-commerce business serving customers across Asia. Rooted in bold graphic design, quality streetwear silhouettes, and an authentic community of ""cat slaves"" and fans, OHU attracts young urban consumers who love design and pop culture. Beyond its in-house collections, the brand actively explores collaboration opportunities with retailers and creative partners. OHU is now expanding into Southeast. Asia, with Singapore, Taiwan, and Thailand as priority markets, aiming to bring original HK Cat culture to a wider regional audience.",
Plateau Consultant Services Company,Hong Kong,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Plateau-Consultant-Services-Company/1S00O3AI8?fairCode=hkbeautyexpo&locale=en,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0066P0B?fairCode=hkbeautyexpo&locale=en,,Retailer,Elderly Care Product,BOC LIFE,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Home Delights Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026 Eco Expo Asia 2025 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Beauty & Wellness Expo 2025 HKTDC Home Delights Expo 2025 HKTDC Hong Kong Sports and Leisure Expo 2025 Show More,,BOC LIFE,
Sup Fook Pharma Limited,Hong Kong,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SUP-FOOK-PHARMA-LIMITED/1S00P98X1?fairCode=hkbeautyexpo&locale=en,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00641Z2?fairCode=hkbeautyexpo&locale=en,,"Private Individual, Service Company","Healing Products & Experience, Healthcare Product",保健痛症養生,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2026,,,
BOC Group Life Assurance Company Limited,Hong Kong,https://sourcing.hktdc.com/en/Supplier-Store/Profile/BOC-Group-Life-Assurance-Company-Limited/1X03HE4Q?fairCode=hkbeautyexpo&locale=en,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064D65?fairCode=hkbeautyexpo&locale=en,,Trade/Industrial Organisation,Health Insurance,Provide bank service,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Home Delights Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026 Home InStyle 2026 HKTDC Beauty & Wellness Expo 2025 HKTDC Home Delights Expo 2025 HKTDC Beauty & Wellness Expo 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2023 Show More,https://www.boclife.com.hk/tc/index.html,,
Beauty Parade,Hong Kong,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Beauty-Parade/1X0AR43L?fairCode=hkbeautyexpo&locale=en,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00661UH?fairCode=hkbeautyexpo&locale=en,,"Distributor, Retailer","Slimming Product, Hair Care, Aroma Oil & Incense Stick, Anti-Aging Supplement, Organic Beauty Product, Health Supplement, Spiritual & Metaphysical Product, Cosmetics, Mindfulness & Meditation Tools, Facial Care Instrument, Health Drink, Skin Care, Slimming Product, Hair Care, Aroma Oil & Incense Stick, Anti-Aging Supplement, Organic Beauty Product, Health Supplement, Spiritual & Metaphysical Product, Cosmetics, Mindfulness & Meditation Tools, Facial Care Instrument, Health Drink, Skin Care, Slimming Product, Hair Care, Aroma Oil & Incense Stick, Anti-Aging Supplement, Organic Beauty Product, Health Supplement, Spiritual & Metaphysical Product, Cosmetics, Mindfulness & Meditation Tools, Facial Care Instrument, Health Drink, Skin Care, Slimming Product, Hair Care, Aroma Oil & Incense Stick, Anti-Aging Supplement, Organic Beauty Product, Health Supplement, Spiritual & Metaphysical Product, Cosmetics, Mindfulness & Meditation Tools, Facial Care Instrument, Health Drink, Skin Care, Slimming Product, Hair Care, Aroma Oil & Incense Stick, Anti-Aging Supplement, Organic Beauty Product, Health Supplement, Spiritual & Metaphysical Product, Cosmetics, Mindfulness & Meditation Tools, Facial Care Instrument, Health Drink, Skin Care",https://www.beautyparade.tv/shop,OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2019,www.beautyparade.tv/,,
Heung Yau Hong Kong Limited,Hong Kong,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Heung-Yau-Hong-Kong-limited/1S00P15QP?fairCode=hkbeautyexpo&locale=en,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064E1J?fairCode=hkbeautyexpo&locale=en,,"Retailer, Exporter","Aroma Oil & Incense Stick, Aroma Oil & Incense Stick","Hong Kong, once renowned for its agarwood, a place named after ""Incense"". We aspire to revive the traditional methods of incense-making with innovative ideas, crafting a variety of natural and beneficial incense products.",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026 HKTDC Hong Kong Gifts & Premium Fair 2026 DesignInspire, Hong Kong, 2025 HKTDC Beauty & Wellness Expo 2025 HKTDC Hong Kong Sports and Leisure Expo 2025 HKTDC Hong Kong Gifts & Premium Fair 2025",,,
Life Sources Limited,Hong Kong,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Life-Sources-Limited/1X0AE4EA?fairCode=hkbeautyexpo&locale=en,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S006426G?fairCode=hkbeautyexpo&locale=en,,"Wholesaler, Distributor, Retailer, Import Agent","Smart Healthcare Electronics, Healthcare Product, Personal Care Product, Health Supplement","5D-MRA (magnetic resonance analysis) device, wearable AI quantum cell frequencies watch. Model QQT for balancing the spine Aculife electrical acupuncture device(FDA approval), Anion Device. Enzyme for digestion ,metabolism,& beauty, NMN","ODM, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Beauty & Wellness Expo 2025 HKTDC Hong Kong Sports and Leisure Expo 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Beauty & Wellness Expo 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Beauty & Wellness Expo 2023 Show More,www.lifesourcesltd.com,"Life Sources is the wholesaler and retailer of healthcare & medical products for worldwide markets. Products include 5D-MRA(magnetic resonance analysis) device, wearable AI quantum cell frequencies watch, quantum chips, electrical acupuncture device, anion device, quantum mask, NMN, enzyme for improving digest system, metabolism, fitness and beauty. In 2023, we are launching an innovative device by using the quantumn and AI technology - Model QQT. It could help the balancing of the spine, enhance good sleep and pain relieve.",
MUK6JIN6,Hong Kong,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mukjin/1S00O12N1?fairCode=hkbeautyexpo&locale=en,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064DZQ?fairCode=hkbeautyexpo&locale=en,,"Department Store, Retailer, Manufacturer, Distributor","Scented Body Care, Aroma Oil & Incense Stick, Aroma Diffuser, Perfume, Scented Candle, Home Fragrance","muk6jin6 x notonly - Local Perfume Brand by 90's Boy All products are developed, designed, and produced locally in Hong Kong. The founder aims to integrate traditional Chinese medicine into perfumery.","ODM, OEM, OBM",Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong International Tea Fair 2026 HKTDC Hong Kong International Tea Fair 2025 HKTDC Simply Shopping Fest 2022,notonlymuk6jin6.store,"muk6jin6 x notonly - Local Perfume Brand by 90's Boy All products are developed, designed, and produced locally in Hong Kong. The founder aims to integrate traditional Chinese medicine into perfumery by incorporating various herbal elements into the products, approaching it from a male perspective to achieve both elegance and practicality. We also hope to connect memories with scents, .. with users. Signature products: Tea Series Perfumes and Aromatherapy, Exclusive Traditional Chinese Herbal Bathbombs, Story Series Perfumes, etc. ""Muk6jin6"" focuses on natural herbal personal care products ""Notonly"" specializes in aromatherapy and perfume products.",
Thai Therapy Academy Company,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0066IQC?fairCode=hkbeautyexpo&locale=en,,Private Individual,"Yoga Accessories, Yoga Accessories",Partner Yoga Therapy,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,www.krupansy.com,,
The Divine Life Society (Hong Kong Branch) Yoga Centre,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0066H1G?fairCode=hkbeautyexpo&locale=en,,Religious Group,Yoga Accessories,"Aiming to promote the Yoga of Synthesis taught by Swami Sivananda, the founder of The Divine Life Society in India, and to deepen the Hong Kong public's understanding of Yoga.",Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,www.hkyoga-dls.org,,
Media Publishing Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064BBS?fairCode=hkbeautyexpo&locale=en,,Others,"Slimming Product, Health Supplement, Skin Care, Healthcare Product, Personal Care Product, Slimming Product, Health Supplement, Skin Care, Healthcare Product, Personal Care Product, Slimming Product, Health Supplement, Skin Care, Healthcare Product, Personal Care Product, Slimming Product, Health Supplement, Skin Care, Healthcare Product, Personal Care Product, Slimming Product, Health Supplement, Skin Care, Healthcare Product, Personal Care Product","As part of the New Media Group, More is one of Hong Kong’s leading digital lifestyle, beauty, and fashion platforms. We deliver trend-driven content spanning beauty, fashion, shopping, relationships, and holistic wellness.",Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Beauty & Wellness Expo 2025,www.sundaymore.com,"As part of the New Media Group, More is one of Hong Kong’s premier digital lifestyle, beauty, and fashion platforms. We cultivate an interactive space for experience sharing, delivering trend-driven content across beauty, wellness, and shopping.",
Mannings,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0066P4Z?fairCode=hkbeautyexpo&locale=en,,Retailer,"Chinese Medicated Oil,Joint & Bone Support,Elderly Care Product,Anti-Aging Supplement",health and beauty products,OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Beauty & Wellness Expo 2025,,DFI Retail Group is a leading retailer in Asia,
Vogue Biotechnology International Group Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065B1M?fairCode=hkbeautyexpo&locale=en,,Manufacturer,"Joint & Bone Support, Physiotherapy Treatment, Chinese Medicated Oil, Anti-Aging Supplement, Elderly Care Product, Joint & Bone Support, Physiotherapy Treatment, Chinese Medicated Oil, Anti-Aging Supplement, Elderly Care Product, Physiotherapy Treatment, Chinese Medicated Oil, Anti-Aging Supplement, Elderly Care Product, Joint & Bone Support","Vogue Biotechnology International Group Co., Ltd. was founded in August 2025 in Hong Kong. It is a Hong Kong-based biotechnology health brand integrating scientific research, production, patents, sales, wholesale, retail, and a membership system. The",OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026,voguebio.com,,
Hong Kong Hair & Beauty Merchants Association Ltd,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0066P5W?fairCode=hkbeautyexpo&locale=en,,"Chain Store, Exporter, Wholesaler, Retailer, Importer, Professional Association, Export Agent, Others, Trade/Industrial Organisation, Distributor, Import Agent, Manufacturer","Skin Care,Cosmetics,Hair Care,Hair Styling Tool,Manicure Supplies,Beauty Salon Equipment,Organic Beauty Product,Slimming Product,Facial Care Instrument,Hair Accessories,Online Shopping Platform",The only association of Hair and Beauty industry in Hong Kong.,"ODM, OBM, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Beauty & Wellness Expo 2025,,The only association of Hair and Beauty industry in Hong Kong.,
Hong Kong Association of Flower Arranging Societies,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00663IF?fairCode=hkbeautyexpo&locale=en,,Distributor,,Flower arrangements exhibition,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Beauty & Wellness Expo 2025,,An association of flower arranging societies to promote the art of flower arrangements,
Skin Vertex Group Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S006427D?fairCode=hkbeautyexpo&locale=en,,Import Agent,Facial Care Instrument,"Oligihome inherits patented clinic-grade RF tech from the renowned Oligio system. Developed by Wonmedco Korea, it delivers professional skin lifting and collagen regeneration for home use. Safe, effective, and clinic-quality results daily.",Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,www.oligihome.com.hk,"Skin Vertex Group Limited, based in Hong Kong, is a premier distributor dedicated to elevating home beauty standards through world-class, medical-grade technology. Our mission is to bring ""clinic-grade tightening miracles"" into every modern woman's home, making professional, safe, and effective care truly accessible.",
ALL PRO GROUP PTY LIMITED,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064DAT?fairCode=hkbeautyexpo&locale=en,,"Import Agent, Wholesaler, Importer",Skin Care,"Ingram's Product Introduction (Camphor Cream) Ingram's is a well-known national skincare brand from South Africa, best recognized for its iconic Camphor Cream. With a history of over 80 years, it is often referred to as one of South Africa's national","OBM, ODM, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
New Cynosure Company Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065CLX?fairCode=hkbeautyexpo&locale=en,,Wholesaler,"Hair Accessories, Hair Care","[髮再生]系列產品採用中藥製造 不同產品系列針對不同頭髮問題, 主要為控油止癢, 防脫育髮, 配合現代科技令藥液能全面覆蓋脫髮根源,改善各種頭皮和脫髮問題. 髮再生專業生髮護髮十多年,用心待客,不誇張療效,幫助顧客解決頭髮問題, 是看得見生髮的品牌.",OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Beauty & Wellness Expo 2025 HKTDC Beauty & Wellness Expo 2024 HKTDC Beauty & Wellness Expo 2023 HKTDC Beauty & Wellness Expo 2022 HKTDC Hong Kong International Medical and Healthcare Fair 2021 HKTDC Beauty & Wellness Expo 2021 HKTDC Beauty & Wellness Expo 2019 Show More,www.hairagain.com.hk,,
S.A.N.D Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064WN7?fairCode=hkbeautyexpo&locale=en,,"Wholesaler, Retailer","Elderly Care Product, Elderly Care Product, Elderly Care Product, Elderly Care Product","Perfume Jewellery ~ We are a Hong Kong–original jewelry design and manufacturing company. In particular, our series of perfume-bottle jewelry is designed to be fashionable and elegant—combining jewelry with perfumes/incense in one cohesive piece.","OEM, ODM",Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong International Jewellery Show 2024,silverkings.shop,,
Southern District Health Centre,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S006424M?fairCode=hkbeautyexpo&locale=en,,Charity / Welfare Organisation,"Physiotherapy Treatment, Elderly Care Product, Joint & Bone Support, Healthcare Product, Anti-Aging Supplement","Through engaging event activities, we boost residents' self-health management awareness, promote primary healthcare services and screening programs, and recruit new members with free registration and welcome gifts.",Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
Alialand Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065ZSP?fairCode=hkbeautyexpo&locale=en,,Retailer,,產品簡介：我們以藝術、音樂、創作、表達藝術、大自然等等各種的媒介讓人尋回內心的平靜，同時我們希望赤道光園成為一個藝術文化平台，舉行不同的工作坊、課程、活動、派對，去成就具天賦、熱情的人向世界展現自己。,"OEM, Others",Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
B2W Consultancy Company,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064DH8?fairCode=hkbeautyexpo&locale=en,,Service Company,,BOC Life offers a series of global whole life insurance plans designed for comprehensive wealth protection and generational transfer. The New Fire Inheritance Plan provides flexible multi-currency options.,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
BOC Group Life Assurance Company Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00664IE?fairCode=hkbeautyexpo&locale=en,,Others,Physiotherapy Treatment,月悅出息,OBM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
Bestop Group Holdings Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064DFE?fairCode=hkbeautyexpo&locale=en,,"Distributor, Buying Office, Charity / Welfare Organisation, Buying Cooperative",Skin Care,"Beauty And Skincare Pouducts,And Anti-Aging Products,Including Masks,Serums, Creams,With Whitening,Firming ,And anti-Wrinkle Effects.",Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,sgcsgcc.com,"R&D supported By The Hong Kong Government,Patented Researh Products collaborated with the Hong Kong University Of Science And Technology, 2024 Geneva Invention Gold Medal awarded.",
Carla Healing,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RHU?fairCode=hkbeautyexpo&locale=en,,Private Individual,"Mindfulness & Meditation Tools, Healing Products & Experience, Mindfulness & Meditation Tools, Healing Products & Experience, Mindfulness & Meditation Tools, Healing Products & Experience","Co-founded by meditation enthusiasts, our healing products are crafted from diverse crystals that emit specific frequencies.",Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
