Company Name,Location,Booth,url
"Worldex G.E.C. Co., Ltd.",Thailand,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005ZKIY
GIA Hong Kong Laboratory Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005W62O
S. Goldi (Asia) Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YJF8
Takat Gems SR Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YIF9
Diarough (Hong Kong) Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YCQI
Sheetal (Far East) Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005UKR7
A Concept Group Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005Y6HF
Ankit Gems (Hong Kong) Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005Y6A0
Dharam Creations (HK) Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YBK1
Fook Yue Pearl Co Ltd,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005U6TF
H.K. Impex Pvt. Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YAMW
Kiran Exports (Hong Kong) Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005UKQA
Miranda Group Company Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005UOYI
RMC Gems HK Co.,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YIS6
Royal Pearl Materials Group Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YJEB
Sunny Gems,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YJ9Q
Israel Diamond Institute,Israel,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005ZF3C
A. A Rachminov Diamonds (Asia) Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005UNLM
Ajay Diam Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005UTTS
"Angeperle (International) Co., Limited",Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005Y5VA
Aspeco (HK) Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005Y66C
Charkon Pearl House Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YA9Z
Fine Diamond (HK) Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YB1M
Hini Star Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005Y8YY
Hong Kong Edison Pearl Company Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YARH
Jumbo Eternal Pearl Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005Y9X0
Victory Jewells,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YJ38
"Blue Gems Co., Ltd.",Thailand,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XGU2
"Colombin Stone Co., Ltd.",Thailand,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XHDG
"Fine Green Gems Co., Ltd.",Thailand,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XJPE
"Gemburi Co., Ltd.",Thailand,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XIDF
