Company Name,Location,Booth,url
Oxygen Ltd,Hong Kong,['Booth: 1E-C02   |   Hall of Fame - Digital Entertainment   |   '],/event/hkelectronicsfairae/en/exhibitor/1S0061NHY?fairCode=hkelectronicsfairae&locale=en
Chung Pak Battery Works Ltd,Hong Kong,['Booth: 1E-C02   |   Hall of Fame - Digital Entertainment   |   '],/event/hkelectronicsfairae/en/exhibitor/1S0062SQ2?fairCode=hkelectronicsfairae&locale=en
Shenzhen Cager Digital Technology Co Ltd,Chinese Mainland,['Booth: 1E-C02   |   Hall of Fame - Digital Entertainment   |   '],/event/hkelectronicsfairae/en/exhibitor/1S0066EWY?fairCode=hkelectronicsfairae&locale=en
Shenzhen Interthings Technology Co Ltd,Chinese Mainland,['Booth: 1E-C02   |   Hall of Fame - Digital Entertainment   |   '],/event/hkelectronicsfairae/en/exhibitor/1S0064MXN?fairCode=hkelectronicsfairae&locale=en
"Shenzhen Trendwoo Tech. Co., Ltd.",Chinese Mainland,['Booth: 1E-C02   |   Hall of Fame - Digital Entertainment   |   '],/event/hkelectronicsfairae/en/exhibitor/1S0063983?fairCode=hkelectronicsfairae&locale=en
"Shenzhen Kingstar Technology Co., Ltd.",Chinese Mainland,['Booth: 1E-C02   |   Hall of Fame - Digital Entertainment   |   '],/event/hkelectronicsfairae/en/exhibitor/1S00639ZU?fairCode=hkelectronicsfairae&locale=en
Hong Kong Science and Technology Parks Corporation,Hong Kong,['Booth: 1E-C02   |   Hall of Fame - Digital Entertainment   |   '],/event/hkelectronicsfairae/en/exhibitor/1S0068PMH?fairCode=hkelectronicsfairae&locale=en
"Shenzhen Youmei Electronics Co., Ltd",Chinese Mainland,['Booth: 1E-C02   |   Hall of Fame - Digital Entertainment   |   '],/event/hkelectronicsfairae/en/exhibitor/1S0067V4T?fairCode=hkelectronicsfairae&locale=en
"Guangzhou Jie Li Electron Co., Ltd.",Chinese Mainland,['Booth: 1E-C02   |   Hall of Fame - Digital Entertainment   |   '],/event/hkelectronicsfairae/en/exhibitor/1S00682B1?fairCode=hkelectronicsfairae&locale=en
Shenzhen Xinshuo Technology Co.Ltd,Chinese Mainland,['Booth: 1E-C02   |   Hall of Fame - Digital Entertainment   |   '],/event/hkelectronicsfairae/en/exhibitor/1S0064RYF?fairCode=hkelectronicsfairae&locale=en
