company name,location,Booth: 1E-C02   |   Hall of Fame - Digital Entertainment   |   ,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,Certificates,,Other Certificates,supplier_url,exhibitor_url,Booth: 1A-C09   |   Hall of Fame - Power & Accessories   |   ,Booth: 1CON-020   |   Hall of Fame - Power & Accessories   |   ,Booth: 3B-C02   |   Personal Electronics   |   ,Booth: 1A-D10   |   Hall of Fame - Home Tech   |   ,Booth: 1D-A19   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1A-B13   |   Hall of Fame - Power & Accessories   |   ,Booth: 1A-C02   |   Hall of Fame - Power & Accessories   |   ,Booth: 1D-C10   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-F09   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1B-A13   |   Hall of Fame - Home Tech   |   ,Booth: 1D-A21   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1CON-014   |   RISE Avenue   |   ,Booth: 1B-D08   |   Hall of Fame - Gadgets World   |   ,Booth: 3C-A02   |   Personal Electronics   |   ,Booth: 1CON-017   |   RISE Avenue   |   ,Booth: 1D-B14   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1CON-003   |   RISE Avenue   |   ,Booth: 1C-C02   |   Hall of Fame - Gadgets World   |   ,Booth: 1A-B02   |   Hall of Fame - Power & Accessories   |   ,Booth: 3D-D24   |   Audio Visual Products   |   ,Booth: 1CON-025   |   Hall of Fame - Home Tech   |   ,Booth: 1CON-022   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-A04   |   Hall of Fame - Gadgets World   |   ,Booth: 1E-E08   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1B-D04   |   Hall of Fame - Gadgets World   |   ,Booth: 1A-D06   |   Hall of Fame - Home Tech   |   ,Booth: 1A-B18   |   Hall of Fame - Power & Accessories   |   ,Booth: 1C-D20   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-E21   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1A-A02   |   Hall of Fame - Power & Accessories   |   ,Booth: 1D-A08   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1A-A10   |   Hall of Fame - Power & Accessories   |   ,Booth: 1A-D05   |   Hall of Fame - Power & Accessories   |   ,Booth: 1B-E07   |   Hall of Fame - Gadgets World   |   ,Booth: 1D-D21   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-A26   |   Hall of Fame - Gadgets World   |   ,Booth: 1B-B08   |   Hall of Fame - Home Tech   |   ,Booth: 1A-C22   |   Hall of Fame - Power & Accessories   |   ,Booth: 1B-E25   |   Hall of Fame - Gadgets World   |   ,Booth: 1C-C09   |   Hall of Fame - Gadgets World   |   ,Booth: 3D-B17   |   Audio Visual Products   |   ,Booth: 1C-D18   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1B-D17   |   Hall of Fame - Home Tech   |   ,Booth: 3B-B01   |   Security Products   |   ,Booth: 1C-A09   |   Hall of Fame - Gadgets World   |   ,Booth: 3E-B12   |   Audio Visual Products   |   ,Booth: 1E-D23   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-F12   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1A-E21   |   Hall of Fame - Home Tech   |   ,Booth: 1B-C24   |   Hall of Fame - Home Tech   |   ,Booth: 3F-G28   |   Home Appliances   |   ,Booth: 1A-A09   |   Hall of Fame - Power & Accessories   |   ,Booth: 1E-E23   |   Hall of Fame - Digital Entertainment   |   ,Booth: 3G-A32   |   Home Appliances   |   ,Booth: CH-K04   |   Tech Hall   |   ,Booth: 3F-G04   |   Home Appliances   |   ,Booth: 3D-E13   |   Audio Visual Products   |   ,Booth: 3G-B27   |   Home Appliances   |   ,Booth: 3F-D03   |   Beauty & Healthcare Electronics   |   ,Booth: 3C-A28   |   Personal Electronics   |   ,Booth: 3D-B06   |   Audio Visual Products   |   ,Booth: 3C-A12   |   Personal Electronics   |   ,Booth: 3D-B01   |   Automotive & In-Vehicle Electronics   |   ,Booth: 3C-C27   |   Personal Electronics   |   ,Booth: 3B-C07   |   Personal Electronics   |   ,Booth: 3D-C23   |   Audio Visual Products   |   ,Booth: 3G-B03   |   Home Appliances   |   ,Booth: 3B-B05   |   Security Products   |   ,Booth: 3C-B20   |   Telecommunications Products   |   ,Booth: 5C-D24   |   Electronic Accessories and Mobile Electronics   |   ,Booth: GH-D14   |   Future Industries Zone   |   ,Booth: 3G-B15   |   Home Appliances   |   ,Booth: 3F-D16   |   Beauty & Healthcare Electronics   |   ,Booth: 3E-B05   |   Audio Visual Products   |   ,Booth: 3B-C26   |   Personal Electronics   |   ,Booth: 5C-C21   |   Group Pavilion   |   Taiwan Pavilion,Booth: 5C-D19   |   Electronic Accessories and Mobile Electronics   |   ,Booth: 3B-B19   |   Security Products   |   ,Booth: 5C-E18   |   Electronic Accessories and Mobile Electronics   |   ,Booth: 3G-A18   |   Home Appliances   |   ,Booth: 3F-F19   |   Home Appliances   |   ,Booth: 3B-C16   |   Personal Electronics   |   ,Booth: 3E-A07   |   Audio Visual Products   |   ,Booth: 3D-C08   |   Audio Visual Products   |   ,Booth: 3G-B18   |   Home Appliances   |   ,Booth: 3G-D02   |   Home Appliances   |   ,Booth: 3G-C34   |   Connected Home   |   ,Booth: 5C-B06   |   Group Pavilion   |   Taiwan Pavilion,Booth: 3G-D08   |   Home Appliances   |   ,Booth: 3E-E22   |   Audio Visual Products   |   ,Booth: 3G-A17   |   Home Appliances   |   ,Booth: 3F-C17   |   Beauty & Healthcare Electronics   |   ,Booth: 3G-A16   |   Home Appliances   |   ,Booth: 5C-F17   |   Electronic Accessories and Mobile Electronics   |   ,Booth: 3C-E16   |   Automotive & In-Vehicle Electronics   |   ,Booth: 5C-D22   |   Electronic Accessories and Mobile Electronics   |   ,Booth: 3F-C07   |   Beauty & Healthcare Electronics   |   ,Booth: 5C-D06   |   Electronic Accessories and Mobile Electronics   |   ,Booth: 3F-F23   |   Pet Electronics   |   ,Booth: 3G-C06   |   Group Pavilion   |   
Oxygen Ltd,Hong Kong    |    Factory in:  Chinese Mainland,,"OXYGEN is a member of Interforce Group engaged in concept, design, development, production and quality control of electronic products (audio, video). The Group develops its own product line in these activities integrating in-house design, engineering, quality and process control.","Buying Office, Exporter","Cassette Player, Audio Speaker, Turntable, Compact Disc Player, AM / FM Radio, Speaker, Wireless Speaker, Digital Audio System","AM/FM Radio, Wireless Speaker, Turntable, Audio Speaker, Digital Audio System, Speaker, Compact Disc Player, Karaoke Equipment, Loudspeaker, Cassette Player, Boombox, Walkman, Discman, Digital Clock, Clock Radio","OEM, ODM","MUSE,ARSK",www.oxygen-ltd.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2027 HKTDC Hong Kong Electronics Fair 2026 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2020 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Autumn Edition) 2019 Show More,,,IS0 9001/2015 Certify Company Issued By ACI Type ISO_9001 Valid Date 27 May 2024 - 30 May 2027 ISO 14001/2015 Certify Company Issued By ACI Type ISO_OTHERS Valid Date 31 May 2025 - 31 May 2028 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Oxygen-Ltd/1X001L54,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0061NHY?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chung Pak Battery Works Ltd,Hong Kong,,"Chung Pak Battery Works Ltd is one of the major battery manufacturers, it offers brand of Vinnic, including No Lead Added Zinc Chloride Battery, Ni-MH Rechargeable Batteries, Lithium Coin, Mercury & Cadumium Free Alkaline Battery and Button Cell. In the past 29 years, Chung Pak has invested significantly in advanced machinery to develop environmentally friendly products to expand its existing business and networks. For both OEM and ODM industrial use, including local and overseas toy and household product manufacturers, and to lesser exent, for retail sales in the US and European consumer markets.",Manufacturer,,No Lead Zinc Chloride Battery; No Mercury Added Button Cell-Alkaline & Silver Oxide; Lithium Coin; Ni-MH Rechargeable Battery; Paper Separator; Battery Zinc Calot; Zinc Strip,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chung-Pak-Battery-Works-Ltd/1X000BCR,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0062SQ2?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenzhen Cager Digital Technology Co Ltd,Chinese Mainland,,"Shenzhen Cager Digital Technology Co., Ltd. was founded in 2005, is one of the first high-tech companies who focus on the research, development, production, sales of power bank and power solutions. The company has R&D, product control, manufacturing, marketing and other major modules, Equipped with first-rate instruments, equipment and office environment, owned a group of professional engineers, production managements and pioneering marketing sales, we always committed to develop and sale ""Safety, Portable, Fast"" products, focusing on the combination of science, practical and fashionable. Standard design, research and development, production and service management system will ensure that each production link has reached the international standard, to provide a strong guarantee for the stable performance of products and reliable quality. ""Good products, high cost performance, short delivery time"". The sales relies on ""Cager global strategic alliance"" and combines industry and finance. At present, the core partners of ""Cager global strategic alliance"" have covered the whole world!Our factory has passed ISO9001 certification; Approved by Wal Mart and BSCI.","Manufacturer, Exporter","Power Bank, Wireless Headphone, Wireless Charger, Mobile Phone Accessory, Power Bank, Wireless Headphone, Wireless Charger, Mobile Phone Accessory","1. Normal 5V/2A power bank 2.PD fast charging, from 18W to 100W 3.AC wall plug power bank 4. Magnetic wireless power bank 5. high-power from 18000mAh to 60000mAh power bank 6. Special hand warmers, sterilizers, etc.","OEM, ODM",Cager,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair 2026 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 HKTDC Hong Kong Electronics Fair (Spring Edition) 2020 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2019,,,BSCI Issued By amfori Social Audit - Manufacturing Type BSCI Valid Date 06 Aug 2025 - 06 Aug 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Cager-Digital-Technology-Co-Ltd/1X0AY4J5,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0066EWY?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenzhen Interthings Technology Co Ltd,Chinese Mainland,,"Shenzhen Interthings Technology Co.,Ltd(Interthings) is an emerging Internet technology company that provides industrial design (ID), mechanism design (MD), hardware design (HW), software design (SW), manufacturing, testing (TE) and quality assurance (QA) assurance a complete solution. With the accumulation of intelligent imaging application field for more than 10 years and the trend of the development of intelligent systems in the future, the company has provided new products, technical expertise and equipment innovation for product users with a new concept and a unique and efficient corporate culture management model, stable quality, timely and flexible, humanized and reliable intimate multi-faceted service concept.","Buying Office, Distributor, Exporter, Wholesaler, Import Agent, Export Agent, Buying Cooperative, Chain Store","Baby Monitor, Car Cameras, Web Camera, Camcorder, Smart Glasses, Doorbell, Smart Home, IoT, Security Camera, Pet Feeder, Monitoring & Communication Products, Baby Monitor, Car Cameras, Web Camera, Camcorder, Smart Glasses, Doorbell, Smart Home, IoT, Security Camera, Pet Feeder, Monitoring & Communication Products",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Interthings-Technology-Co-Ltd/1X0AIHPW,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0064MXN?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shenzhen Trendwoo Tech. Co., Ltd.",Chinese Mainland,,,Manufacturer,"Digital Audio System, Speaker, Digital Media Player, Hi-Fi Equipment, Audio Speaker",outdoor bluetooth speaker,"OEM, ODM, OBM",trendwoo,www.trendwoo.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair 2026 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 Show More,,,Reddot Award Issued By Reddot Organization Type - Valid Date (N/A) - 16 Jun 2022 Reddot Award Issued By Reddot Organization Type - Valid Date (N/A) - 12 Jan 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Trendwoo-Tech-Co-Ltd/1X09110X,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0063983?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shenzhen Kingstar Technology Co., Ltd.",Chinese Mainland,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Kingstar-Technology-Co-Ltd-/1X0B3HBA,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S00639ZU?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong Science and Technology Parks Corporation,Hong Kong,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/HONG-KONG-SCIENCE-TECHNOLOGY-PARKS-CORP/1X00H0R9,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0068PMH?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shenzhen Youmei Electronics Co., Ltd",Chinese Mainland,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Youmei-Electronics-Co-Ltd/1S00OQOXL,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0067V4T?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guangzhou Jie Li Electron Co., Ltd.",Chinese Mainland,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Jie-Li-Electron-Co-Ltd/1S00OBCK0,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S00682B1?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenzhen Xinshuo Technology Co.Ltd,Chinese Mainland,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Xinshuo-Technology-Co-Ltd/1S00P62Z1,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0064RYF?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
