company name,location,Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   ,,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Brand Name,Company Website,HKTDC Events,Certificates,Other Certificates,supplier_url,exhibitor_url,Company Background,Booth: 1B-A10   |   Public Hall - Sauces & Seasonings   |   
"Xinjiang Bainian Manor Wine Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,,Manufacturer,"Table Wine, Liquor / Fortified Wine, Sparkling Wine","Dry wine,Sweet Wine,compound wine,Whisky,Brandy,Grape Distillate","佰年莊,小萌驢,喜多聚",www.9bainian.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Hong Kong International Wine & Spirits Fair 2025 HKTDC Food Expo 2024 HKTDC Hong Kong International Wine and Spirits Fair 2023,,Ecocert Organic Standard Issued By Ecocert SAS Type OTHERS Valid Date 10 Mar 2023 - 31 Mar 2024 HACCP SYSTEM CERTIFICATE Issued By CHINA QUALITY CERTIFICATION CENTRE Type HACCP Valid Date 17 Mar 2022 - 04 Jun 2025 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xinjiang-Bainian-Manor-Wine-Co-Ltd/1S00OI4X5?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0065297?fairCode=hkfoodexpo&locale=en,,
Ng Fung Hong Limited,Hong Kong,,,"Retailer, Distributor, Wholesaler","Rice, Chinese Liquor, Sauce, Sparkling Wine, Frozen Seafood, Rice Noodle, Seasoning, Noodle, Instant Food, Canned Food, Candy, Biscuit, Tea, Fruit, Frozen Meat, Table Wine, Fruit Juice, Dried & Preserved Food, Snack, Fresh Meat, Rice, Chinese Liquor, Sauce, Sparkling Wine, Frozen Seafood, Rice Noodle, Seasoning, Noodle, Instant Food, Canned Food, Candy, Biscuit, Tea, Fruit, Frozen Meat, Table Wine, Fruit Juice, Dried & Preserved Food, Snack, Fresh Meat","Ng Fung Hong Limited's business in Hong Kong includes Ng Fung Fresh Meat, Frozen Aquatic Products, Chilled Pork, Chilled Poultry and Fresh Beef and Lamb, etc., while its agency business includes alcoholic beverages, poultry and eggs, rice and noodles",五豐行,www.nfh.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Food Expo PRO 2026 HKTDC Hong Kong International Wine & Spirits Fair 2025 HKTDC Food Expo PRO 2025 HKTDC Food Expo 2025 HKTDC Food Expo PRO 2024 HKTDC Food Expo 2024 HKTDC Food Expo PRO 2023 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ng-Fung-Hong-Limited/1S00NYSHT?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0062WSS?fairCode=hkfoodexpo&locale=en,,
Tai Po Chun Hing Limited,Hong Kong    |    Factory in Hong Kong,,,"Wholesaler, Retailer, Manufacturer","Canned Food, Dried & Preserved Food, Frozen Meat, Frozen Seafood, Canned Food, Dried & Preserved Food, Frozen Meat, Frozen Seafood",Tai Po Chun Hing aims at all products are made by 100% raw meat under a hardware configuration eg. ISO 22000 and HACCP. TPCH continues to cater to Hong Kongers with unwavering service from our hearts.,"大埔振興肉丸,丸俠",www.beefball.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Food Expo PRO 2026 HKTDC Food Expo 2025 HKTDC Food Expo 2024 HKTDC Food Expo 2023 HKTDC Food Expo 2022 HKTDC Food Expo 2021 HKTDC Food Expo 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tai-Po-Chun-Hing-Ltd/1X04NH3I?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063NBG?fairCode=hkfoodexpo&locale=en,,
"Chuan Chiong Co., Ltd.",Hong Kong,,,"Import Agent, Manufacturer, Wholesaler","Noodle, Health Supplement, Seasoning","Chinese Medicines, Honey, Foods, Personal Care Products","同仁堂,以嶺,雙喜牌",www.chuanchiong.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Food Expo 2025 HKTDC Food Expo 2024 HKTDC Food Expo 2023 HKTDC Food Expo 2022 HKTDC Food Expo 2021 HKTDC Lifestyle ShoppingFest 2021 HKTDC Food Expo 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chuan-Chiong-Co-Ltd/1X07E5WP?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063EYS?fairCode=hkfoodexpo&locale=en,,
Hualien County Government,Taiwan    |    Factory in Taiwan,,,Government,"Functional Food, Coffee, Snack, Rice, Canned Food, Noodle, Candy, Sauce, Fruit, Instant Food, Elderly Food, Instant Noodle, Fruit, Rice Noodle, Instant Food, Tea, Organic Food & Beverage, Trade Associations & Government Organisations, Soft Drink","Hualien County joins the 2025 Food Expo with local producers to showcase safe, eco-friendly rice, daylilies, pomelos, coffee, millet, tea, and indigenous foods. By tasting and displays, Hualien connects with buyers, grows markets, and shares its pure",,www.hl.gov.tw,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Food Expo PRO 2026 HKTDC Food Expo 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hualien-County-Government/1S00P48UA?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063VKH?fairCode=hkfoodexpo&locale=en,"Hualien County is located in eastern Taiwan and is known for its pure mountains, ocean resources, and diverse cultures. This clean environment produces unique, high-quality agricultural products. The Hualien County Government promotes sustainable and eco-friendly farming. Some products are organic or traceable, showing the county's care for nature. Hualien's main products include rice, pomelos, daylilies, coffee, millet, honey-scented black tea, and indigenous crops and foods. Local farmer's groups and young farmers develop value-added items like tea gift sets, rice snacks, grain drinks, and local specialty foods. In recent years, Hualien has also linked agriculture with tribal experiences, food tourism, and culture, adding stories and value to local products. To help local products reach more markets, the Hualien County Government joins key food shows to connect with buyers and promote the county's clean, diverse farm products to show healthy, natural products like grains, teas, indigenous snacks, and local coffee. The goal is to expand sales, find new buyers, and share Hualien's pure and trusted products with the world.",
Everway Industrial Limited,Hong Kong    |    Factory in Netherlands,,,"Distributor, Importer",Table Wine,"24ICE and Dolfin are Ready-to-Freeze products. No cooling is required during transport and storage. 24ICE offers 9 cocktails and 3 mocktails whereas SensoFreddo offers 3 Sorbet and 1 Granita. How to use: take home, freeze and eat/drink.","24 ICE,SensoFreddo",www.partydroid.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026 HKTDC World of Snacks 2026 HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Food Expo 2025 HKTDC Hong Kong Sports and Leisure Expo 2025 HKTDC World of Snacks 2025 Show More,,"Test Report for Aqueous and fatty food Contact (US FDA 21 CFR 176.170) and Free BPA free cutlery Issued By Bureau Veritas Shenzhen Co., LTD Type - Valid Date (N/A) - (N/A) Test Report for Aqueous and fatty food Contact (US FDA 21 CFR 176.170) and Free BPA free cutlery Issued By Bureau Veritas Shenzhen Co., LTD Type - Valid Date (N/A) - (N/A)",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Everway-Industrial-Limited/1S00O0LT0?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063VIN?fairCode=hkfoodexpo&locale=en,,
Life Is For Excellence Limited,Hong Kong,,,"Importer, Retailer, Wholesaler, Distributor","Frozen Seafood, Fresh Seafood, Organic Food & Beverage, Snack, Coffee","New Zealand Premium and sustainable seafood: AKAROA King Salmon, Ling Cod Maw, Blue Cod, Paua, LIFE organic salba chia, Superfood Latte Coffee, Organic Coconut Cream Powder Korean MSG-free soup powder Organic Coconut Oil",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Wine & Spirits Fair 2025 HKTDC Food Expo 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Wine and Spirits Fair 2024 HKTDC Food Expo 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2024 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Life-Is-For-Excellence-Limited/1X0B5ADT?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063N34?fairCode=hkfoodexpo&locale=en,,
"Shandong Delisi Food Co., Ltd",Chinese Mainland    |    Factory in Chinese Mainland,,,"Chain Store, Buying Cooperative, Import Agent, Buying Office, Manufacturer, Wholesaler, Distributor, Importer, Department Store, Shopping Mall, Export Agent, Retailer, Exporter","Chinese Cake, Dried & Preserved Food, Canned Food, Frozen Meat, Organic Food & Beverage, Sauce, Frozen Vegetable, Seasoning, Frozen Fruit, Fresh Meat, Chinese Cake, Dried & Preserved Food, Canned Food, Frozen Meat, Organic Food & Beverage, Sauce, Frozen Vegetable, Seasoning, Frozen Fruit, Fresh Meat","Delisi Group formed a product series of 10 categories and over 1000 varieties, including chilled meat, ham and sausage products, frozen meat products, frozen rice and flour products, beef products, and ready to eat dishes.",delisi,www.delisi.com.cn,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Food Expo PRO 2026,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shandong-Delisi-Food-Co-Ltd-/1S00PCEZP?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0064ZN4?fairCode=hkfoodexpo&locale=en,"Delisi Group was founded in 1984 and is a large-scale food industry group integrating high-quality pig breeding, grain, oil, and feed processing, pig farming and slaughtering, meat product processing, and biotechnology. Its food division was listed on the Shenzhen Stock Exchange in 2010. The Group has 62 subsidiaries, with five production bases established nationwide in Beijing, Jilin, Shandong, Shaanxi, and Jiangxi, 10 marketing centers, and over 200 branch offices.",
Eagle Wine Store Company,Hong Kong,,,Importer,"Liqueur, Sparkling Wine","Italian Wine, Japanese sake, spirits and LIQUEUR","Marzadro Distillery,EVA GREEK DISTILLATION,Gavioli,FIVE FARMS",www.eaglewinestore.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Hong Kong International Wine & Spirits Fair 2025 HKTDC Food Expo 2025 HKTDC Hong Kong International Wine and Spirits Fair 2024 HKTDC Food Expo 2024 HKTDC Hong Kong International Wine and Spirits Fair 2023 HKTDC Food Expo 2023 HKTDC World of Snacks 2023 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Eagle-Wine-Store-Company/1S00NYKUY?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063N6V?fairCode=hkfoodexpo&locale=en,"Eagle Wine Store is an boutique wine importer established in 2014, We focuses on sourcing wines & spirit and offers retail, wholesale. Our goal is to promote well-known small and medium-sized boutique wineries in Italy, but they are not well known in the Asian market. Since 2017, we have also imported various liquors from Japan, including sake, shochu, liqueur and plum wine.... In 2022, unique liqueurs introduced from Ireland and Greece. And German wine.",
Kairun Food H.K. Limited,Hong Kong    |    Factory in Germany,,,"Wholesaler, Importer, Retailer","Sauce, Organic Food & Beverage, Dried & Preserved Food, Sparkling Wine, Seasoning, Ice Cream","Truffle and Caviar importer and retailer, Truffle Gelato and caviar Cake/Wildmushroom/Cocktails","Morley,Kai's Gourmet",kaisgourmet.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Hong Kong International Wine & Spirits Fair 2025 HKTDC Food Expo 2025 HKTDC Hong Kong International Wine and Spirits Fair 2024 HKTDC Food Expo 2024 HKTDC Food Expo 2023 HKTDC Food Expo 2022 HKTDC Simply Shopping Fest 2022 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kairun-Food-H-K-Limited/1X03LHG5?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063MS2?fairCode=hkfoodexpo&locale=en,Truffle and Wildmushroom/Truffle Gelato and Caviar cake Gourmet Food/cocktails and wine,
