url,Nature of Business,Location,Main Categories,Major Markets,Contact Person,Position,Office Address,Country/Region,Year of Establishment,Brands,Total Employees,Annual Turnover
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Animation-International-Limited/1X07050L,"Export Agent, Import Agent, Private Individual, Service Company",Hong Kong,Franchising & Licensing,Worldwide,Mr Brian Chan,Event & Marketing Manager,"23/F., Times Tower, 391-407 Jaffe Road, Wan Chai, Hong Kong., HKSAR",Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Innovative-Entrepreneur-Association-Company-Limited/1S00NNH0J,,Hong Kong,,,Yannie Law,,"1F Teng Fu Commercial Building, 333 Queen's Road Central, Sheung Wan, Hong Kong",Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Bandai-Namco-Asia-Company-Limited/1X0AM5MZ,,Hong Kong,,,Tsz-Ching Li,License Executive,"28/F, Mg Twr, 133 Hoi Bun Rd, Kwun Tong, Kowloon, Hong Kong",Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Medialink-Entertainment-Limited/1X06YAIO,Others,Hong Kong,,Worldwide,Harold Lee,,"Suite 1001B, Tower 1, South Seas Centre, 75 Mody Road, Tsim Sha Tsui, Kowloon, Hong Kong",Hong Kong,1994.0,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/QP-HK-Limited/1X008QR3,Manufacturer,Hong Kong,,"Eastern Europe, Worldwide",Ms Martin Li,Sr. Sales Manager,"25/F Delta House 3 On Yiu Street Shatin, N.T., Hong Kong",Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Seoul-Business-Agency-SBA-/1S00NK9V6,,"Korea, Republic Of",,,Hyo-eun Park,Assistant Manager,"400, World Cup buk-ro, Mapo-gu, Seoul, Republic of Korea","Korea, Republic Of",,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Adlib-International-Trading-Limited/1X07N839,"Chain Store, Manufacturer, Retailer, Wholesaler",Hong Kong,"Bags, Handbags & Accessories, Clothing/ Garments, Fashion Accessories, Gifts / Souvenirs, Homeware & Lifestyle Essentials",Worldwide,Mr Walter Chi Shan Chan,Director,"Room C, 19/F., Mai Luen Industrial Building, 23-31 Kung Yip Street, Kwai Chung, NT, HK",Hong Kong,2007.0,Adlib,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/AT-LICENSING-MERCHANDISING-LTD/1X04IM24,Service Company,Hong Kong,"Franchising & Licensing, Professional Services","Chinese Mainland, Hong Kong, Southeast Asia, Taiwan",Miss Alice Tang,Licensing Administrator,"Unit 1007, 10/F. Lu Plaza 2 Wing Yip Street Kwun Tong, Kowloon, Hong Kong",Hong Kong,1998.0,ASTRO BOY；BLACK JACK; JUNGLE EMPEROR LEO; PRINCESS KNIGHT; TEZUKA MODERNO; THE PHOENIX; ...,11 - 15,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Enchanted-Forest-Limited/1S00OLXWF,Others,Hong Kong,"Gifts / Souvenirs, Printed Matters, Stationery","Hong Kong, Other Asian Countries, Southeast Asia",Miss Bonny Tam,,"Unit Q, 6/F, Phase 2, Kwun Tong Industrial Centre, 460-470 Kwun Tong Road, Kowloon, Hong Kong",Hong Kong,2021.0,I am SIMBA Licensor Design Service Paper Products SIMBA and friends It's party time! Let's travel!,1 - 5,"US$ < 50,000"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fun-Way-Brands-Limited/1S00OKYC2,,Hong Kong,,,Ms Shirley Gao,,,Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mighty-Brand-Company-Limited/1X09BWHV,,Hong Kong,"Franchising & Licensing, Professional Services",,Carol Wong,Head Of Licensing,"Rm 1301, 13/F, Block A, Ming Po Industrial Centre, 18 Ka Yip Street, Chai Wan, Hong Kong",Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/PPW-Sports-Entertainment-HK-Ltd/1X072R1Q,"Others, Service Company",Hong Kong,"Franchising & Licensing, Gifts, Toys & Sports Supplies, Homeware & Lifestyle Essentials, Professional Services",Worldwide,Miss Jennifer Chan,Assistant Marketing Manager,"21/F, Cornell Centre 50 Wing Tai Road Chai Wan, Hong Kong Hong Kong.",Hong Kong,,,51 - 100,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Rights-Brands-Asia-Ltd/1S00OKPVQ,,Hong Kong,,,Miss Selina Tam,,,Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/SHIBAINC-LIMITED/1X09CBGN,Retailer,Hong Kong,"Bags, Handbags & Accessories, Consumer Electronics, Festive Supplies, Franchising & Licensing, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Plush & Stuffed Toys, Stationery",Worldwide,Ms Wing Y. Li,Founder and Director,"Room D03, 5/F On Tat Industrial Building Pat Tat Street San Po Kong, Kowloon, Hong Kong",Hong Kong,2013.0,SHIBAINC | 柴犬工房,1 - 5,"US$ 50,000 - 99,999"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Arwama-Company-Limited/1S00NQMG2,"Exporter, Others",Thailand,"Festive Supplies, Plush & Stuffed Toys","Central & South America, Hong Kong, Japan, Southeast Asia, Taiwan, Worldwide",Ms Anita Tantasirin,Director,"15/20 Moo.5 Ratchapruek Road, Bangraknoi, Mueng Nonthaburi, Nonthaburi",Thailand,2016.0,Warbie Yama Award winning short film animation Most popular LINE emoticon,16 - 25,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Gravity-Co-Ltd/1S00O7L50,Others,"Korea, Republic Of",Video Games & Accessories,"Chinese Mainland, Hong Kong, Japan, Korea, Other Asian Countries, Taiwan",Ms Hena Lee,Business Manager,"15F, Nuritkum Square R&D Tower Worldcup Buk-Ro 396, Sangam-Dong, Mapo-Gu Seoul Korea","Korea, Republic Of",2000.0,"Ragnarok, Ragnarok Monsters Game Development Game Publishing Licensing Business Merchandising Business Animation Ragnarok Monsters Animation Gravity 20th Anniversary of Gravity",201 - 500,"US$ > 250,000,000"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Amaz-Co-Ltd/1X06JNPE,Service Company,Hong Kong,,"Chinese Mainland, Hong Kong, Other Asian Countries, Southeast Asia, Worldwide",Mr Jackie Lok,Account Manager,"Unit 8, 11/F, Fuk Keung Industrial Building, 66-68 Tong Mi Road, Tai Kok Tsui, Kowloon, Hong Kong",Hong Kong,2008.0,,6 - 10,"US$ 1,000,000 - 4,999,999"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/ARTOX-GROUP-LIMITED/1S00OXWC4,,Hong Kong,,,WAI KIT WONG,,,Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chill-Top-Mall/1S00OZH61,,Hong Kong,,,King Tim Wong,Designer,,Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/CHULIANG-TECHNOLOGY-HK-LIMITED/1S00P6NIV,,Hong Kong,,,Kiya Xu,,,Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Gimans-Care-Limited/1S00OP92L,,Hong Kong,"Gifts / Souvenirs, Homeware & Lifestyle Essentials, Personal Care",,Alex Lee,,"2B, FUK ON FACTORY BUILDING, 1123, CANTON ROAD, MONGKOK, KOWLOON",Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hola-Studio/1S00OYNNG,,Hong Kong,,,Winncie Tse,Illustrator/ founder,"Rm 609, 6/F, Ka Ying House, Ka Keung Court, 3 Fu Mei Street, Wong Tai Sin, Hong Kong",Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/I-Licensing-Asia-Limited/1S00OJNR4,,Hong Kong,,,Mr WAI YIN CHAN,,,Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/PEG-BAR-LIMITED/1S00OJ5BY,,Hong Kong,,,Chun Kwan,,,Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/PLANET-PRODUCTION-HOUSE-LIMITED/1S00ONUIO,,Hong Kong,"Clothing/ Garments, Gifts / Souvenirs",,Sze Ting Lie,Director,"Room 2006E, 20/F, Rear Block, Wah Fat Industrial B 10-14 Kung Yip Street, Kwai Chung",Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Postgal-Workshop/1X07O63F,"Distributor, Private Individual, Service Company, Wholesaler",Hong Kong,"Franchising & Licensing, Professional Services",Worldwide,Pam HUNG,,"Unit 3, 6/F, Siu Wai Ind Bldg, 29-33 Wing Hong St, Cheung Sha Wan, Kln, Hong Kong",Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Studio-Invitro/1X06GPFI,"Exporter, Manufacturer",Hong Kong,"Consumer Electronics, Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Religious Items & Crafts, Telecommunication","Africa, Australasia, Central & South America, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",Ms Yoyo Szeto,Marketing Executive,"Unit 3, 10/F., Block A1, Hang Wai Industrial Centre, No. 6 Kin Tai Street, Tuen Mun, New Territories, Hong Kong",Hong Kong,2007.0,,6 - 10,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Toyzeroplus/1S00O7AYW,,Hong Kong,,,Miss Aubrey Chan,,,Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yogurt-Studio-Ltd-/1X08VASE,"Manufacturer, Service Company",Hong Kong,,Southeast Asia,Miss Helen Tam,Illustrator,"Rm F, 14/F, Block 17, Clevalier Garden, Shatin, N.T.,",Hong Kong,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/2Spot-Communications-Co-Ltd-/1X00MN30,,Thailand,,,Maneerat Supnaphaphan,,"5/F, Yongvanich Bldg, 385 Silom Rd, Bangrak, Bangkok, 10500, Thailand",Thailand,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Aniplex-Inc/1S00NQP0B,,Japan,,,Mu Li,Senior Manager,"4-5 Rokubancho, Chiyoda-ku, Tokyo",Japan,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kai3-publishing-limited-partnership/1S00OO4HH,,Thailand,,,Mr Pittaya Werasakwong,,,Thailand,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mimi-worldwild-Co-Ltd/1S00NVEMS,,Thailand,,,Pravara Ekarphanich,,,Thailand,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sweet-Summer-Company-Limited/1X09XKKS,,Thailand,,,Chavalvechakul Alissara,Sale Manager,"33 Unit B55, Pradipat 17, Pradipat Road Samsennai, Phayathai, Bangkok",Thailand,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/The-Happy-Fruit-Farm-Co-Ltd-/1S00P0D4B,,Thailand,,,Ms Sirikorn Suchanarak,,,Thailand,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/X10-Studio-Co-Ltd-/1S00P0IDF,,Thailand,,,Mr Tanasorn Boonlue,,,Thailand,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Mengli-Planet-Network-Co-Ltd/1S00PAQLJ,,Chinese Mainland,,,MENGXIN GUO,director,"7F, Building B, Feiyu Mansion, No.76 Hu'an Road, high-tech park, Huli District, Xiamen City, Fujian Province, CHINA",Chinese Mainland,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
about:blank,,,,,,,,,,,,
