Company Name,Location,Booth,url
Zund Asia Limited,Hong Kong,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005IVAB
"Shenyang Morning Banner Display Co., Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005LXGR
EXHIBITION+,Hong Kong,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005LLE9
"Wenzhou Baofeng Packing Technology Co., Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005MH8V
"Zhejiang Qinggengyudu Industrial Co., Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005MALZ
"Zhejiang Xinya Packaging Co., Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005MQSY
"Wenzhou Xifa Industrial Co., Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005MH61
"Zhejiang Qianlin Packaging Technology Co., Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005MLZI
"Ningbo Eastsun Paper Products Co., Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005L92L
"Shenyang Sunshine Advert Co., Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005LXHO
"Xiamen Jihong Technology Co., Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005LPYH
"HuaHao Nonwovens Co., Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005MAOQ
"Wenzhou Hongke Printing Co., Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005MAMW
"Wenzhou Quanwei Printing Technology Co., Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005MANT
"Zhejiang Gurun Packaging Co., Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005MAK2
"Zhejiang Siri Packaging Co., Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005MLYL
"Zhejiang Zunhao Packaging Co., Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005MH7Y
Emix Development Limited,Hong Kong,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005IVKH
Golden Cup Printing Company Limited,Hong Kong,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005IVEZ
He Chang Printing Limited,Hong Kong,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005IZB4
Sandbox Industries Limited,Hong Kong,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005IVIN
The United Label-Trade Limited,Hong Kong,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005IVB8
"Foshan DXC Packaging Co.,Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005KW04
"Fujian Nanwang Environment Protection Scien-Tech Co., Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005KZ1Y
"Guangdong Gaowei Printing & Packaging Technology Co., Ltd.",Chinese Mainland,['Booth: 6-F02   |   Printing & Packaging Equipment   |   '],/event/hkprintpackfair/en/exhibitor/1S005KW11
