company name,location,,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,supplier_url,exhibitor_url,"Booth: 6-C18   |   Retail Display, Advertising and Signs   |   ",Certificates,Other Certificates,Company Background,Booth: 6-A13   |   Packaging Services and Solutions   |   ,Booth: 3-J14   |   Packaging Services and Solutions   |   ,Booth: 3-D12   |   Printing Services   |   ,Booth: 6-D05   |   Packaging Services and Solutions   |   ,Booth: 3-H14   |   Food & Beverage Packaging Solutions   |   Cantonese Business Go Global,Booth: 6-C14   |   Packaging Services and Solutions   |   ,Booth: 6-B21   |   Food & Beverage Packaging Solutions   |   Cantonese Business Go Global,Booth: 3-J01   |   Food & Beverage Packaging Solutions   |   Cantonese Business Go Global,Booth: 6-E05   |   Packaging Services and Solutions   |   ,Booth: 3-D01   |   Printing Services   |   ,Verified Certificates,Booth: 3-E06   |   Green Printing & Packaging Solutions   |   ,Booth: 3-F13   |   Green Printing & Packaging Solutions   |   ,Booth: 6-E12   |   Green Printing & Packaging Solutions   |   Cantonese Business Go Global,Booth: 3-F33   |   Green Printing & Packaging Solutions   |   ,Booth: 6-D03   |   Packaging Services and Solutions   |   ,Booth: 3-F05   |   Green Printing & Packaging Solutions   |   ,Booth: 6-C08   |   Packaging Services and Solutions   |   ,Booth: 6-B14   |   Packaging Services and Solutions   |   Cantonese Business Go Global,Booth: 3-J17   |   Food & Beverage Packaging Solutions   |   ,Booth: 3-J30   |   Food & Beverage Packaging Solutions   |   ,Booth: 6-A33   |   Food & Beverage Packaging Solutions   |   Cantonese Business Go Global,Booth: 3-G31   |   Green Printing & Packaging Solutions   |   Cantonese Business Go Global,Booth: 6-A22   |   Food & Beverage Packaging Solutions   |   Cantonese Business Go Global,Booth: 3-J09   |   Food & Beverage Packaging Solutions   |   Cantonese Business Go Global,Booth: 6-G11   |   Printing Consumables & Packaging Materials   |   Cantonese Business Go Global,Booth: 3-F24   |   Green Printing & Packaging Solutions   |   ,Booth: 3-G22   |   Green Printing & Packaging Solutions   |   ,Booth: 3-E31   |   Printing Services   |   ,Booth: 3-H23   |   Packaging Services and Solutions   |   ,Booth: 6-C05   |   Packaging Services and Solutions   |   ,Booth: 6-B26   |   Food & Beverage Packaging Solutions   |   ,Booth: 3-F06   |   Green Printing & Packaging Solutions   |   Cantonese Business Go Global
Zund Asia Limited,Hong Kong    |    Factory in Switzerland,,Manufacturer,Cutting System,Zund Swiss Cutting System,Others,Zund,www.zund.com,Exhibited in HKTDC Event(s) in recent years HK Int'l Printing & Packaging Fair 2026 HK Int'l Printing & Packaging Fair 2025 HK Int'l Printing & Packaging Fair 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong International Printing and Packaging Fair 2018 HKTDC Hong Kong International Printing and Packaging Fair 2017 HKTDC Hong Kong International Printing and Packaging Fair 2016 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zund-Asia-Ltd-/1X00GI1H,https://www.hktdc.com/event/hkprintpackfair/en/exhibitor/1S005IVAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shenyang Morning Banner Display Co., Ltd.",Chinese Mainland,,,Flag & Banner,"Flag & banner, display backdrop, tent","ODM, OBM, Others, OEM",Morning,,Exhibited in HKTDC Event(s) in recent years HK Int'l Printing & Packaging Fair 2025 HK Int'l Printing & Packaging Fair 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong International Printing and Packaging Fair 2019,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenyang-Morning-Banner-Display-Co-Ltd/1X0AQHYN,https://www.hktdc.com/event/hkprintpackfair/en/exhibitor/1S005LXGR,,,CE Issued By ECTI CERT Ltd. Type OTHERS Valid Date 16 Jun 2021 - 16 Jun 2028 Alibaba Varified Supplier Certificate Issued By Alibaba.com Type TÜV_RHEINLAND Valid Date 10 Jul 2021 - 09 Jul 2029 Show More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXHIBITION+,Hong Kong,,,,,,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Hong Kong International Tea Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2026 Fashion InStyle 2026 Home InStyle 2026 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Smart Lighting Expo 2026 HKTDC Hong Kong International Jewellery Show 2026 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/EXHIBITION-/1S00O2V5Q,https://www.hktdc.com/event/hkprintpackfair/en/exhibitor/1S005LLE9,,,,"The Hong Kong Trade Development Council (HKTDC) introduces ‘EXHIBITION+’, a brand-new exhibition model integrating online-and-offline trade show formats, extending face-to-face interactions from its world-class exhibitions in Hong Kong to an online smart business matching platform to help you connect business partners proactively.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wenzhou Baofeng Packing Technology Co., Ltd.",Chinese Mainland,,,"Printed Matter,Packing Material,Art and Design Service,Flexographic Printing,Package Printing",Paper Box; paper bag; paper cup paper bowl,"OEM, ODM, OBM",,,Exhibited in HKTDC Event(s) in recent years HK Int'l Printing & Packaging Fair 2025 HK Int'l Printing & Packaging Fair 2024 HK Int'l Printing & Packaging Fair 2023 HK Int'l Printing & Packaging Fair 2022,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wenzhou-Baofeng-Packing-Technology-Co-Ltd/1X0B9S8G,https://www.hktdc.com/event/hkprintpackfair/en/exhibitor/1S005MH8V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhejiang Qinggengyudu Industrial Co., Ltd.",Chinese Mainland,,,"Aluminum Foil Bag,PE, PP & PET Bag,Bio-degradable & Recycled Products and Packaging,Food Packaging,General Packaging & Assembling,Wine Packaging,Beverage Packaging,Functional Packing,Gravure Printing","“Sunny Company” concentrate on paper packaging more than 25 years.”Sunny” means good quality in packaging,such as paper box and notebook. Company provides one-stop service from design, printing, film/glazing/pressing, gilding /UV, mounting/compound","OEM, ODM",QGYD,,Exhibited in HKTDC Event(s) in recent years HK Int'l Printing & Packaging Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HK Int'l Printing & Packaging Fair 2024 HK Int'l Printing & Packaging Fair 2023 HK Int'l Printing & Packaging Fair 2022 HKTDC Hong Kong International Printing and Packaging Fair 2020 HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Qing-Geng-Yu-Du-Printing-Co-Ltd/1X091GK4,https://www.hktdc.com/event/hkprintpackfair/en/exhibitor/1S005MALZ,,,BSCI Issued By - Type BSCI Valid Date (N/A) - (N/A) FSC Issued By - Type FSC Valid Date (N/A) - (N/A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhejiang Xinya Packaging Co., Ltd.",Chinese Mainland,,,"Stickers,Gift Wrapping Paper,Flexographic Printing,Form Printing,Package Printing",Paper Bag,"OBM, ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 HK Int'l Printing & Packaging Fair 2025 HK Int'l Printing & Packaging Fair 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong International Printing and Packaging Fair 2018 HKTDC Hong Kong International Printing and Packaging Fair 2017 HKTDC Hong Kong Gifts & Premium Fair 2016 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/ZHEJIANG-XINYA-PACKAGING-CO-LTD/1X09G6D5,https://www.hktdc.com/event/hkprintpackfair/en/exhibitor/1S005MQSY,,,Sedex Issued By - Type SEDEX Valid Date (N/A) - (N/A) BSCI Issued By - Type BSCI Valid Date (N/A) - (N/A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wenzhou Xifa Industrial Co., Ltd.",Chinese Mainland,,,"Printed Paper Bag,Gifts Packaging","PP WOVEN BAG,PE BAG, FIBC BAG","OBM, ODM",XIFA,,Exhibited in HKTDC Event(s) in recent years HK Int'l Printing & Packaging Fair 2025 HK Int'l Printing & Packaging Fair 2024 HK Int'l Printing & Packaging Fair 2023 HK Int'l Printing & Packaging Fair 2022 HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong International Printing and Packaging Fair 2018 HKTDC Hong Kong International Printing and Packaging Fair 2017 HKTDC Hong Kong International Printing and Packaging Fair 2016 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wenzhou-Xifa-Industrial-Co-Ltd/1X091GM2,https://www.hktdc.com/event/hkprintpackfair/en/exhibitor/1S005MH61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhejiang Qianlin Packaging Technology Co., Ltd.",Chinese Mainland,,,"Non-Woven Bag,Paper Packaging","Paper Bag, Paper Box, Paper Cup","Others, OEM",,,Exhibited in HKTDC Event(s) in recent years HK Int'l Printing & Packaging Fair 2025 HK Int'l Printing & Packaging Fair 2024 HK Int'l Printing & Packaging Fair 2023 HK Int'l Printing & Packaging Fair 2022,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Qianlin-Packaging-Technology-Co-Ltd-/1S00O2ZPY,https://www.hktdc.com/event/hkprintpackfair/en/exhibitor/1S005MLZI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ningbo Eastsun Paper Products Co., Ltd.",Chinese Mainland,,,"Floor-Stand Display,Advertising Sign & Display,Point of Purchase Display,Display Shelf,Corrugated Carton Box,Display Design,Point of Sales (POS) Equipment & Technology,Plastic Food Packaging","Corrugated paperboard display, coloured printing packaging","Others, ODM, OEM, OBM",Eastsun,,Exhibited in HKTDC Event(s) in recent years HK Int'l Printing & Packaging Fair 2025 HK Int'l Printing & Packaging Fair 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong International Printing and Packaging Fair 2018 HKTDC Hong Kong International Printing and Packaging Fair 2017 HKTDC Hong Kong International Printing and Packaging Fair 2016 HKTDC Hong Kong International Printing & Packaging Fair 2015 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Eastsun-Paper-Products-Co-Ltd-/1X0APP6R,https://www.hktdc.com/event/hkprintpackfair/en/exhibitor/1S005L92L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shenyang Sunshine Advert Co., Ltd.",Chinese Mainland,,,"Sign & Display Product,Flag & Banner,Poster,Transfer Printing,Non-paper Materials Printing",Flags/tent,"ODM, Others, OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years HK Int'l Printing & Packaging Fair 2025 HK Int'l Printing & Packaging Fair 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong International Printing and Packaging Fair 2018,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenyang-Sunshine-Advert-Co-Ltd-/1X0ADWC0,https://www.hktdc.com/event/hkprintpackfair/en/exhibitor/1S005LXHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
