url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Contact Person,Position,Office Address,Country/Region,Annual Turnover,Brands
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zund-Asia-Ltd-/1X00GI1H,Manufacturer,Hong Kong,1998.0,"Consumer Electronics, General Industrial Machinery, Industrial Machinery, Parts & Raw Materials, Printing Machines","Australasia, Chinese Mainland, Hong Kong, Japan, Korea, Other Asian Countries, Southeast Asia, Taiwan",1 - 5,Mr Cheung Alex,ARFA Manager,"Room 911, Eastern Harbour Centre, 28 Hoi Chak Street, Quarry Bay, Hong Kong.",Hong Kong,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenyang-Morning-Banner-Display-Co-Ltd/1X0AQHYN,Exporter,"Shenyang, Liaoning, Chinese Mainland",2002.0,"Consumer Electronics, Furniture & Parts, Gifts / Souvenirs, Party Supplies, Play Tents, Houses & Tunnels","Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",26 - 50,Ms April Qu,business manager,"16th Door, No. 10-1, Yunfeng North Street, Tiexi District, Shenyang, Liaoning 110023, China",Chinese Mainland,"US$ 50,000 - 99,999",Morning ODM OEM outdoors supply Certificate Name Issued By Certificate Type Valid Date CE ECTI CERT Ltd. Others 16 Jun 2021 - 16 Jun 2028 Alibaba Varified Supplier Certificate Alibaba.com TÜV Rheinland 10 Jul 2021 - 09 Jul 2029 Eu intellectual property certificate EUROPEAN UNION INTELLECTUAL PROPERTY OFFICE Others 27 Aug 2021 - (N/A) View details Factory & Facility Research & Development Quality Control
https://sourcing.hktdc.com/en/Supplier-Store/Profile/EXHIBITION-/1S00O2V5Q,Others,Hong Kong,,"Business Research, Management, Consultancy & General Services, Packaging Services, Parts, Electrical Electronic Supplies, Real Estate, Watches & Clocks ODM OEM Toys loose diamonds Trendy led light",,,Prof Sourcing Genius,,HKCEC,Hong Kong,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wenzhou-Baofeng-Packing-Technology-Co-Ltd/1X0B9S8G,"Exporter, Manufacturer","Wenzhou, Zhejiang, Chinese Mainland",,"Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Paper Packaging, Party Supplies",,,Mr Jerry Yang,Sales Manager,"No.247-299 Dongcheng Road, Longgang, Wenzhou City, Zhejiang Province, China.",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Qing-Geng-Yu-Du-Printing-Co-Ltd/1X091GK4,,Chinese Mainland,,"Gift Sets, Gifts, Toys & Sports Supplies, Jewellery & Watch, Packaging & Displaying Materials, Paper Packaging, Stationery Certificate Name Issued By Certificate Type Valid Date BSCI - BSCI - FSC - FSC -",,,Xiaoxue Lin,Sales Manager,"Banhe Industrial Zore, Huqian, LongGang Town, Wenzhou City,",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/ZHEJIANG-XINYA-PACKAGING-CO-LTD/1X09G6D5,Manufacturer,"Wenzhou, Zhejiang, Chinese Mainland",1991.0,"Festive Supplies, Gifts, Toys & Sports Supplies, Paper Packaging","Australasia, Chinese Mainland, Hong Kong, North America, Other Asian Countries, Western Europe",201 - 500,Mr Jack Zhu,Sales Director,"Xinya Industrial Park Century Avenue, Longgang,Cangnan, Wenzhou, Zhejiang, China",Chinese Mainland,"US$ 10,000,000 - 49,999,999",xinya ODM OEM Certificate Name Issued By Certificate Type Valid Date Sedex - SEDEX - BSCI - BSCI -
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wenzhou-Xifa-Industrial-Co-Ltd/1X091GM2,,Chinese Mainland,,"Food & Beverage, Packaging Materials, Plastic Packaging",,,Sharmay Wu,Trade Manager,"Lingxi Industrial Zone, Cangnan County, Wenzhou City,",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Qianlin-Packaging-Technology-Co-Ltd-/1S00O2ZPY,,Chinese Mainland,,"Packaging Materials, Paper Packaging",,,Emily Yan,Manager,"4th Building of Factory Building, No. 1090-1162, Century Avenue, Longgang City, Wenzhou, Zhejiang, China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Eastsun-Paper-Products-Co-Ltd-/1X0APP6R,,Chinese Mainland,,,,,Weifeng Sun,Manager,,Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenyang-Sunshine-Advert-Co-Ltd-/1X0ADWC0,,Chinese Mainland,,,,,Dong Li,General Manager,"18 Changqing S St, Huiquan E Rd, Hunnan Dist., Shenyang, Liaoning, China 110141",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Jihong-Technology-Co-Ltd-/1S00OA6Y0,,Chinese Mainland,,"Packaging Materials, Paper Packaging",,,Nancy -,Sales Director,"No.9 Putou Road, Dongfu Industry Parki, Haicang District, Xiamen, Fujian, China 361000",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/HuaHao-Nonwovens-Co-Ltd-/1S00OB5VA,,Chinese Mainland,,,,,Roy -,Sales Manager,,Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wenzhou-Hongke-Printing-Co-Ltd/1X08JFXU,,Chinese Mainland,,,,,Dengkui Yang,Manager,"#111, No .4 Jintian Industrial Zone, Longgang Town, Cangnan County, Wenzhou City,",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wenzhou-Quanwei-Printing-Technology-Co-Ltd-/1S00O2Y4Q,,Chinese Mainland,,"Bags, Handbags & Accessories, Gift Packaging, Gifts / Souvenirs, Packaging Materials, Paper Packaging, Stationery",,,Phoebe Fang,sales,"No. 118 Haixi Road, Long Gang Town, Wenzhou, Zhejiang, China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Gurun-Packaging-Co-Ltd-/1S00P1C73,,Chinese Mainland,,,,,WU SU,General Manager,"Perth Estate Building, 777 Nancheng Road, Longgang, Wenzhou, Zhejiang, China 325802",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Siri-Packaging-Co-Ltd-/1S00OOR09,,Chinese Mainland,,,,,Mike Lin,Manager,"No.2168 Yingfu Road, Lingxi Town, Cangnan County, Wenzhou, Zhejiang 325800, China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Zunhao-Packaging-Co-Ltd-/1S00OBA0Q,,Chinese Mainland,,,,,Zhangwei Huang,Sales Manager,"Dongtang Road No. 505-561, Longgang, Wenzhou, Zhejiang, China 325802",Chinese Mainland,,
