company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,,HKTDC Events,supplier_url,exhibitor_url,Certificates,Other Certificates,Booth: 1C-B34   |   Electronic & Remote Control Toys   |   ,Booth: 5E-H02   |   Group Pavilion   |   ,Booth: 5E-F16   |   Group Pavilion   |   ,Booth: 1CON-023   |   Educational Toys & Games   |   Green Toy Exhibitors,Booth: 1B-D41   |   Educational Toys & Games   |   Green Toy Exhibitors,Booth: 5E-E07   |   Group Pavilion   |   ,Booth: 1A-D42   |   Educational Toys & Games   |   ,Booth: 3B-B08   |   Multiple Toys Products   |   Green Toy Exhibitors,"Booth: SA-09, 5E-D19   |   Group Pavilion, Group Pavilion   |   ",Booth: 5G-C21   |   Group Pavilion   |   Cantonese Business Go Global,Booth: 5E-E23   |   Group Pavilion   |   ,Booth: 5E-C06   |   Group Pavilion   |   ,Booth: 3B-C38   |   Multiple Toys Products   |   Green Toy Exhibitors,Verified Certificates,Booth: 1E-A02   |   Brand Name Gallery   |   Green Toy Exhibitors,Booth: 1D-D20   |   Brand Name Gallery   |   Cantonese Business Go Global,Booth: 1D-B10   |   Brand Name Gallery   |   Cantonese Business Go Global,Booth: 1E-A20   |   Brand Name Gallery   |   Cantonese Business Go Global,Booth: 1E-E36   |   Brand Name Gallery   |   Green Toy Exhibitors,Booth: 3D-C20   |   Soft Toys & Dolls   |   Green Toy Exhibitors,Booth: 5C-D02   |   Group Pavilion   |   Green Toy Exhibitors,Booth: 5C-C02   |   Group Pavilion   |   Cantonese Business Go Global,Booth: 1C-D35   |   Green Toys   |   Green Toy Exhibitors,Booth: 5E-G24   |   Group Pavilion   |   ,"Booth: 5G-E16, SA-12   |   Group Pavilion, Group Pavilion   |   Green Toy Exhibitors, Green Toy Exhibitors",Booth: 1D-B20   |   Brand Name Gallery   |   ,Booth: 5G-B22   |   Group Pavilion   |   Green Toy Exhibitors,Booth: 1E-E23   |   Brand Name Gallery   |   ,Booth: 1E-E08   |   Brand Name Gallery   |   Green Toy Exhibitors,Booth: 1C-D14   |   Green Toys   |   Green Toy Exhibitors,Booth: 5E-E37   |   Group Pavilion   |   Green Toy Exhibitors,Booth: 5E-E17   |   Group Pavilion   |   Cantonese Business Go Global,Booth: 5CON-022   |   Group Pavilion   |   ,Booth: 1B-C24   |   Educational Toys & Games   |   ,Booth: 3C-E24   |   World of Outdoor & Sporting Goods   |   Green Toy Exhibitors,Booth: 3D-C06   |   Soft Toys & Dolls   |   Green Toy Exhibitors,Booth: 1C-C12   |   Electronic & Remote Control Toys   |   Green Toy Exhibitors,Booth: 5E-H08   |   Group Pavilion   |   Green Toy Exhibitors,Booth: 1D-D26   |   Brand Name Gallery   |   Green Toy Exhibitors,Booth: 1E-D40   |   Brand Name Gallery   |   Green Toy Exhibitors,Booth: 1D-E36   |   Brand Name Gallery   |   Cantonese Business Go Global
Viharbour (HK) Enterprise Limited,Hong Kong,"Viharbour (HK) Enterprise Ltd is a trading and corporate sourcing company in Hong Kong, and we work with all the corporate company to develop their own branded toys and games.","Buying Cooperative, Buying Office","Card Game,Bubble Toy,Novelty","Vigo is a pre-school toy manufacturer, which is to design and manufacture the educational and STEM toys for baby and children. To achieve the international standard for the quality and safety, we design and make our products.","Others, OBM, ODM, OEM","UnitedSports,PlayFun,Vigo",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Toys & Games Fair 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/viharbour-HK-Enterprise-Limited/1S00OP84G,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005SF9U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union World Hong Kong Development Limited,Hong Kong    |    Factory in Chinese Mainland,,"Manufacturer, Export Agent, Distributor, Wholesaler","Sound Control Toy,Toy Walkie-Talkie,Battery Operated Toy,Toy Vehicle",plastic children's toys,"OBM, ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Toys & Games Fair 2020 HKTDC Hong Kong Toys & Games Fair 2019 HKTDC Hong Kong Toys & Games Fair 2018 HKTDC Hong Kong Toys & Games Fair 2017 HKTDC Hong Kong Toys & Games Fair 2016 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Union-World-Hong-Kong-Development-Ltd/1X09CI8A,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005RW8G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ningde Guoxin Trade Co., Ltd.",Chinese Mainland,"Originally named NINGDE SHANGYE FOREIGN TRADE CO.,LTD,have been producing and selling wooden toys and games since 1992.We possess four factories,two producing wooden toys and the others producing wooden games,located in ZHEJIANG province,the biggest production base of china wooden toys.With the modern and advanced equipment,we have been focusing on designing and developing perfect and safe products for all over the world. All our products comply with the safety standards of EN71(EU)and ASTM(USA).AS a professional wooden products company,we achieved the authentication document of FSC and ISO9001 Quality Management System. Our tenet is ""excellent quality, perfect service and competitive price""!","Wholesaler, Export Agent","Toy Brick,Mathematic Toy / Science Kit,STEAM Toy,Board Game,Wooden Toys,Kids Drawing Kit,Kids Craft Kit","All our products comply with the safety standards of EN71(EU)and ASTM(USA).AS a professional wooden products company,we achieved the authentication document of FSC and ISO9001 Quality Management System. Our tenet is ""excellent quality, perfect serv","OEM, OBM",YIZI,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Toys & Games Fair 2020 HKTDC Hong Kong Toys & Games Fair 2019 HKTDC Hong Kong Toys & Games Fair 2018 HKTDC Hong Kong Toys & Games Fair 2017 HKTDC Hong Kong Toys & Games Fair 2016 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningde-Guoxin-Trade-Co-Ltd/1X00F3BG,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005VEZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanjing Grand Step Imp & Exp Co Ltd,Chinese Mainland,"Our company, Nanjing Grand Step Imp. & Exp. Co., Ltd., was founded in 1999. We are proud to be able to introduce ourselves as one of the fastest growing manufacturing and import/export groups in Nanjing, China. Through this company, we are practicing the high class standards in the international market with strong faith to bring children happiness and laughter. And our good service has been recognized by many customers from all over the world.","Exporter, Manufacturer","Talking Toy,Dolls,Inflatable Toy,Soft Ball,Plush Toy,Stuffed Toy,Ride-On Toy","We are trading company and factory specializing in rocking horse and plush toys for over ten years. All of our products are designed and produced by our own factory. Every year we receive orders from Europe, America, Oceania, Afriaca and Asia.","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Toys & Games Fair 2023 HKTDC Hong Kong Toys & Games Fair 2020 HKTDC Hong Kong Toys & Games Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Nanjing-Grand-Step-Imp-Exp-Co-Ltd/1X0AAIA8,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005V1ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hengjiang Art Ceramics Factory,Chinese Mainland,"HengJiang Art Ceramics Factory is a private enterprise, combining production, processing and trading together. It gathers a large number of people doing research, production and management. The products are well received and highly reputed by the clients and are widely sold in more than 50 countries and areas. The main products are color porcelain including cup, saucer, crock, dinner set, tea set and coffee set. The annual output is beyond 10,000,000 pieces. The main quality characteristic of our products are: good heat stability, be able to bear acetate and alkali, and can stand high temperature, be suitable for using in microwave, the release content of lead and cadmium below international standard. We make our products firmly submit to EN71---the international quality assurance system, we contribute our best-quality products and service to our clients, we always establish and develop business relations with friends all over the world on the basis of friendly co-operation, equality and mutual benefit.",Export Agent,,TOYS TEA SET TOYS KITCHENWARE SET TOYS BAKING SET,ODM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Toys & Games Fair 2020 HKTDC Hong Kong Toys & Games Fair 2019 HKTDC Hong Kong Toys & Games Fair 2018 HKTDC Hong Kong Toys & Games Fair 2017 HKTDC Hong Kong Toys & Games Fair 2016 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hengjiang-Art-Ceramics-Factory/1X03W47H,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005V28A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangzhou Artkids Toys Factory Ltd,Chinese Mainland    |    Factory in Chinese Mainland,"Art Kids is a leading manufacturer of arts and crafts products for children. We began Art Kids in 2002, over the years, we prove that we can reach the international including ASTM American and EN71 European toy safety standards and some of certificates including ISO9001:2015, China Compulsory Ceertification and BSCI we obtained. We produce high quality products including play dough, soft clay, magic sand, different paints ,slime and other creative products. Welcome to the world of Art Kids! Art Kids Team will provide good service, high quality and fastest shipment to all of honor customers!","Exporter, Manufacturer","Mathematic Toy / Science Kit,Kids Drawing Kit,Kids Craft Kit,Action & Skill Game","Play dough, soft clay, magic sand, poster paints, finger paints, slime and other crative products.","OEM, OBM, Others, ODM",ART KIDS,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Toys & Games Fair 2020 HKTDC Hong Kong Toys & Games Fair 2019 HKTDC Hong Kong Toys & Games Fair 2018 HKTDC Hong Kong Toys & Games Fair 2017 HKTDC Hong Kong Toys & Games Fair 2016 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Artkids-Toys-Factory-Ltd/1X03W53I,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005V0X9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yidafeng Industrial Co., Limited",Hong Kong,,Manufacturer,Toy Vehicle,"HAVE BSCI, GCC, AND ALL EU, US TEST REPORT",OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Toys & Games Fair 2020,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yidafeng-Industrial-Co-Ltd-/1X00QFP2,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005S3Y3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yau Ka Toys Limited,Hong Kong,"We have our own factory , name: MEISHENG TOYS FACTORY .found in 1999, with a plant construction area of about 10,000 square meters, where is located in the Chenghai District, Shantou City. Our product include :Die-cast model car, baby toys, and DIY plastic truck this three series. We have China 3C reports, GB/T19001-2016/ ISO9001 , other trading reports like:ICTI,ASTM, EN71,7P and so on. All items are all good quility good price! have many items for your choose!","Exporter, Buying Office, Manufacturer, Export Agent","Sound Control Toy,Blinking Toy,Battery Operated Toy","baby toys, die-cast car , DIY plastic car ...",OEM,"MS,KAIWEI,MEIBEILE",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC International Sourcing Show 2021 HKTDC Hong Kong Toys & Games Fair 2020 HKTDC Hong Kong Toys & Games Fair 2019 HKTDC Hong Kong Toys & Games Fair 2018 HKTDC Hong Kong Toys & Games Fair 2017 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yau-Ka-Toys-Ltd/1X04ZY7Z,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005RPLK,,DECLARATION OF CONFORMITY Issued By MEISHENG Type OTHERS Valid Date 19 Dec 2024 - (N/A) DECLARATION OF CONFORMITY Issued By LEZUAN Type OTHERS Valid Date 19 Dec 2024 - (N/A) Show More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellmax Trading Company,Hong Kong,Wellmax Trading Ltd is proud to provide you with our full range product catalogue. Wellmax Trading Ltd is worldwide exporter of general merchandise and toys. Our expertise encompasses over a decade of providing all levels of the importing industry with fast selling high profit items. Wellmax professional sales and support staffs will assist you in service such as OEM program and product development. Our modern experience permits us to service you globally in a timely and cost effective manner. We look forward to serving your future order needs by committing to consistenely offer you the best merchandise selections at the most cost efficient pricing in the industry.,"Exporter, Buying Cooperative, Importer, Manufacturer","Battery Operated Toy,Dolls,Water Gun,Bubble Toy,Toy Vehicle,Plastic Toys,Baby Toys,Novelty,Halloween Product,Festival Item & Party Favour","Wellmax Trading Ltd are one of the leading exporting firm in Hong Kong which deal with a vast variety of merchandise like toys, sundries items housewares, giftware, stationery and electronics productswe have been in business over thirty years.","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Toys & Games Fair 2023 HKTDC International Sourcing Show 2021 HKTDC Hong Kong Toys & Games Fair 2020 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Toys & Games Fair 2019 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wellmax-Trading-Ltd/1X000XLO,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005RMIW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibo Enterprise Company Limited,Hong Kong,"We established in 1983, nearly 40 years experience in toys industry. We are a Hong Kong based manufacturer, factory located at Huizhou city, Guangdong province in China. We specialize at making chemical compound products, wter and air filling products, as well as capability to cross over the ideas with elastomeric lastic, such as TPR / TPU / Squeezing PU /High bounce PU type of stretchy funny toys. Our factory facilities occupy 10,000 ssquare meters of floor space. Manufacturing facilities include in house injection, rubber compression, chemical production, pad printing and color spraying. We are emphasizing the quality first for our product development and production. The quality standard are audited under the SQP (Supplier Qualification Program) by ITS lastest of May 2022. Our performance is over than other makers at score 92, compared to the standard in the toy industry of 82. With years of experience and knowledge, we are well serving with companies such as Disney, Toyrus, Jakks Pacific, MGA, Crayola... For Global business under the requirements of social compliance audit and GSV security, we acquire the necessity of the ICTI, BSCI, FAMA, GSV, and SCAN audit certificates. We are well knowing and well co-ordination to customers, following the rules of honestly.",Manufacturer,,"TPR Stretchy Toys, Stress Balls, Water Filling Toys, Slime and Putty, Pet Toys, Squeeze Toys, Rubber Bouncing Balls, Air Bounce Balls, Funny Fidgets and Novelty, OEM Design Products",OEM,"Vibo,VB",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Toys & Games Fair 2023 HKTDC Hong Kong Toys & Games Fair 2020 HKTDC Hong Kong Toys & Games Fair 2019 HKTDC Hong Kong Toys & Games Fair 2018 HKTDC Hong Kong Toys & Games Fair 2017 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Vibo-Enterprise-Co-Ltd/1X000CPB,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005RKBJ,,ISO9001:2000 Issued By - Type - Valid Date (N/A) - (N/A) 玩具出口認可證 Issued By - Type - Valid Date (N/A) - (N/A) Show More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
