Company Name,Location,Booth,url
Sinomax Health & Household Products Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0063WXD?fairCode=homedelights&locale=en
Iplus Home Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0063W6M?fairCode=homedelights&locale=en
Thermos Hong Kong Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0064A1N?fairCode=homedelights&locale=en
"Ming Tat Hong Group Hardware Supplier Co., Ltd.",Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0063WEY?fairCode=homedelights&locale=en
Pete's Studio & Co.,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0064XTO?fairCode=homedelights&locale=en
BOC Group Life Assurance Company Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0064PZE?fairCode=homedelights&locale=en
Plateau Consultant Services Company,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S00650L9?fairCode=homedelights&locale=en
Heng Lee Jade,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S00650RR?fairCode=homedelights&locale=en
OUD Design Store,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0064XSR?fairCode=homedelights&locale=en
Airland Holding Company Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0063W2Y?fairCode=homedelights&locale=en
Decor Suite Interiors Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0063NUV?fairCode=homedelights&locale=en
EMMAS Spectrum (Hong Kong) Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0063QAG?fairCode=homedelights&locale=en
Hong Kong Telecommunications Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0063NVS?fairCode=homedelights&locale=en
Sleep Health Association Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0065CI6?fairCode=homedelights&locale=en
Art Lane Ltd,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0064Q0A?fairCode=homedelights&locale=en
Change Design Factory Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0064XKF?fairCode=homedelights&locale=en
Happy Kitchen Cafe & Bar,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0064XZ6?fairCode=homedelights&locale=en
Cheong Hing Store Ltd,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0065AYW?fairCode=homedelights&locale=en
German Pool Kitchen Equipment Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0065AXZ?fairCode=homedelights&locale=en
Kuka (HK) Int'l Trade Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0063QBD?fairCode=homedelights&locale=en
Maxcare Industrial Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0063W4S?fairCode=homedelights&locale=en
OTO Bodycare (H.K.) Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0064DWZ?fairCode=homedelights&locale=en
Ogawa Health Care International (HK) Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0063Q8M?fairCode=homedelights&locale=en
Osim (HK) Co. Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0063UXF?fairCode=homedelights&locale=en
Owell International Ltd,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0063W7J?fairCode=homedelights&locale=en
Sealy Asia (Hong Kong) Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0063W3V?fairCode=homedelights&locale=en
Simmons Bedding & Furniture (HK) Ltd,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0063RHU?fairCode=homedelights&locale=en
The Hong Kong and China Gas Company Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S00650N3?fairCode=homedelights&locale=en
Yiu Hing International Development Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S00641Y5?fairCode=homedelights&locale=en
Samily Group Company Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0063W8G?fairCode=homedelights&locale=en
Department of Health - the Government of the HKSAR,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0064Q17?fairCode=homedelights&locale=en
I Love Kitchen Limited,Hong Kong,['Booth: 3F-A01   |   Sleep and Home Comfort Products   |   '],/event/homedelights/en/exhibitor/1S0063WAA?fairCode=homedelights&locale=en
