,url,Nature of Business,Location,Main Categories,Brands,Contact Person,Office Address,Country/Region,Major Markets,Position,Year of Establishment,Total Employees,Annual Turnover
0,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shivam-Jewels-Limited/1S00OFWYA,"Chain Store, Retailer, Wholesaler",Hong Kong,Fine Jewellery,MODANI JEWELS Fine Jewellery Craftmanship Diamonds Ladies' Jewellery Precious Gemstones 18k Gold Bespoke Jewellery,Ms Pragati Dangayach,"704, Hart Avenue Plaza, 5–9 Hart Avenue, Tsim Sha Tsui, Kowloon",Hong Kong,,,,,
1,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Unison-Manufacturing-HK-Limited/1X0AA8XF,Manufacturer,Hong Kong,Fine Jewellery,,Ms Teresa Lui,"Rm 804B, 8/F., Hunghom Comm. Ctr., Tower B, 37-39 Ma Tau Wai Rd, Hung Hom, Kowloon, Hong Kong",Hong Kong,,,,,
2,https://sourcing.hktdc.com/en/Supplier-Store/Profile/CT-Color-Jewelry-Co-Ltd/1X059J1E,"Exporter, Manufacturer","Guangzhou, Guangdong, Chinese Mainland","Clothing/ Garments, Costume & Fashion Jewellery, Fashion Accessories, Fashion, Eyewear & Accessories, Fine Jewellery, Jewellery & Watch, Synthetic Diamonds & Gemstones Jewellery",,Ms Angell Wen,"2nd Floor, No.1, Avenue 10, Fuping Road, Xiaoping Ind. Park, Shiqiao Town, Panyu area, Guangzhou City Guangdong,",Chinese Mainland,Worldwide ODM OEM View Details Company Information Verified on 16 Jan 2026 by Disclaimer,Sales Manager,,,
3,https://sourcing.hktdc.com/en/Supplier-Store/Profile/GIA-Hong-Kong-Laboratory-Ltd/1S00OWA82,,Hong Kong,,,Wai Man Cheng,"20th Floor, The Bay Hub, 17 Kai Cheung Road, Kowloon Bay, Hong Kong",Hong Kong,,Director,,,
4,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Hll-Silver-Jewelry-Co-Ltd/1S00P7O9L,Manufacturer,"Guangzhou, Guangdong, Chinese Mainland",Costume & Fashion Jewellery,,Mr PING WANG,"514 No.9 Dexing Road, Liwan District Guangzhou City, Guangdong China",Chinese Mainland,,,,,
5,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Oriental-Gemco-Limited/1S00O57GH,,Hong Kong,,,Sankalp Nigam,"Unit 5, 13/F Peninsula Square 18 Sung On St Hung Hom, Kowloon, Hong Kong",Hong Kong,,Manager,,,
6,https://sourcing.hktdc.com/en/Supplier-Store/Profile/7-Good-Silver/1S00P3RMF,"Export Agent, Exporter, Manufacturer","New Taipei City, Taiwan","Costume & Fashion Jewellery, Fine Jewellery",,Miss lin han,"1 F., No. 345, Sec. 2, Wenhua Rd., Banqiao Dist., New Taipei City",Taiwan,,,,,
7,https://sourcing.hktdc.com/en/Supplier-Store/Profile/F-Feng-Tai-Jewelry-Co-Ltd-/1X09DUZJ,"Exporter, Manufacturer","New Taipei City, Taiwan","Clothing/ Garments, Costume & Fashion Jewellery, Fashion Accessories, Fashion, Eyewear & Accessories, Fine Jewellery, Jewellery & Watch",,Mr Mr Deng,"Chong Ching Road, Banchiao District, New Taipei City, Taiwan",Taiwan,,,,,
8,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Continental-Jewellery-Mfg-Ltd/1X001VOR,"Exporter, Manufacturer, Wholesaler",Hong Kong,Fine Jewellery,"C Collection, Quattour, Kissing Diamonds Certificate Name Issued By Certificate Type Valid Date RJC Certification Responsible Jewellery Council - (N/A) - 31 Jan 2024",Ms Alice Chan,"Unit M, 1/F, Kaiser Estate, Phase 3, 11 Hok Yuen Street, Hunghom, Kowloon, Hong Kong.",Hong Kong,"Australasia, North America, Scandinavia, Western Europe",Marketing Manager,1975.0,,
9,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Elegance-Jewellery-International-Limited/1X009GN1,"Exporter, Manufacturer, Wholesaler",Hong Kong,Fine Jewellery,EJI ODM OEM Jewellery Manufacturing Bespoke jewellery Innovative design Certificate Name Issued By Certificate Type Valid Date RJC Membership Responsible Jewellery Council Others 20 Oct 2024 - 20 Oct 2027 Tier 1 Authorized Economic Operator Hong Kong Customs and Excise Department Others 09 Feb 2023 - 08 Feb 2026,Mr Jeffrey Lin,"19/F, The Cameron, 33 Cameron Road, Tsim Sha Tsui, Kowloon",Hong Kong,Worldwide,Senior Manager,1991.0,26 - 50,
