url,Nature of Business,Location,Main Categories,Major Markets,Total Employees,Annual Turnover,Brands,Contact Person,Position,Office Address,Country/Region,Year of Establishment
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Energylux-Optoelectronics-Technology-Co-Ltd/1X08S0BP,"Exporter, Importer, Manufacturer","Ningbo, Zhejiang, Chinese Mainland",Lights,"Australasia, Central & South America",101 - 200,"US$ 5,000,000 - 9,999,999",ENERGYLUX ODM OEM,Mr Allan Wang,-,"No.518 Fangshan Road, Qiaotouhu, Ninghai, Ningbo City, Zhejiang Province, China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-OML-Technology-Co-Ltd/1X05Y2R3,"Exporter, Manufacturer",Chinese Mainland,"Environmental Protection, Lights","Central & South America, Chinese Mainland, Eastern Europe, Korea, Middle East, North America, Southeast Asia, Western Europe",201 - 500,"US$ 10,000,000 - 49,999,999",OML or OEM ODM OEM Certificate Name Issued By Certificate Type Valid Date ISO - - - SGS - - - GS - - - CE - - - Rohs - - - View Details Company Information Verified on 12 Dec 2025 by Disclaimer,Ms Winnie Luo,Oversea Sales Assistant,"38 Hetong Rd., Dongfeng Town, Zhongshan City, Guangdong Province, Mainland China.",Chinese Mainland,2009.0
https://sourcing.hktdc.com/en/Supplier-Store/Profile/JIANGSU-SHENGHUI-OPTOELECTRONIC-CO-LTD-/1S00O6PD8,Wholesaler,"Yancheng, Jiangsu, Chinese Mainland",Lights Certification Verified by Certificate Name Issued By Certificate Type Valid Date Quality Management System Certificate China Quality Certification Centre ISO 9001 23 Oct 2026 Environmental Management System Certificate China Quality Certification Centre ISO 14001 22 Oct 2026 CE TÜV Rheinland LGA Products GmbH CE - CE TÜV Rheinland LGA Products GmbH CE - CE TÜV Rheinland LGA Products GmbH CE - Show More View Details Certification(s) Verified on 20 Nov 2025 by Disclaimer,,,,,Ms suyang wu,,"Weiwu Road North Side Dongtai Economic & Development Zone Yancheng, Jiangsu China China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Goldenlux-Co-Ltd/1X0AECBP,,Chinese Mainland,"Environmental Protection, Lights",,,,,Andy Zhong,,"1909A Yun Hua Shi Dai, Shajing Town, Bao'an District, Shenzhen, China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Upshine-Lighting-Co-Ltd-/1X088Q5P,"Exporter, Manufacturer","Shenzhen, Guangdong, Chinese Mainland",Lights,"Australasia, Central & South America, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Western Europe, Worldwide",501 - 1000,"US$ 5,000,000 - 9,999,999 ODM OEM Independent R&D One-stop service View details Factory & Facility Research & Development Quality Control Company Profile IF Design award 2020 CHINA Red star design award ISO9001:2015 ISO14001 2015 National Intellectual Property Advantage Enterprise High-Tech Enterprise Invention patent",,Miss vickey shui,sales manager,"2-5 floor, 2nd building, runheng industrial zone, fuyuan 1st road (west side), Fuyong Sub-district, Shenzhen City, Guangdong Province, China",Chinese Mainland,2009.0
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hangzhou-Sky-Lighting-Co-Ltd/1X00JWC0,Manufacturer,"Hangzhou, Zhejiang, Chinese Mainland","Consumer Electronics, Lights, Parts, Components & Electrical Supplies","Central & South America, Eastern Europe, Japan, Korea, Middle East, Other Asian Countries, Scandinavia, Southeast Asia, Western Europe",501 - 1000,"US$ 100,000,000 - 249,999,999 ODM OEM Certificate Name Issued By Certificate Type Valid Date ISO9001 - - -",,Mr yuchao wang,Sales Manager,"Xingqiao Dev Zone LingPing Hangzhou, Zhejiang, Hangzhou",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Foshan-Nanhai-Mercanvee-Lighting-Co-Ltd/1S00OTL6X,"Distributor, Exporter, Manufacturer","Foshan, Guangdong, Chinese Mainland","Environmental Protection, Homeware & Lifestyle Essentials, Lights","Chinese Mainland, Hong Kong, Middle East, Southeast Asia, Worldwide",,,MERCANVEE,Ms Myra Tsui,Sales Manager,"Factory No.7, Shang An Li Jia Industrial Zone, Danzao Town, Nanhai District, Foshan City, Guangdong, China",Chinese Mainland,2011.0
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-Wanju-Lighting-Technology-Co-Ltd/1S00OJA68,,Chinese Mainland,"Environmental Protection, Lights Certificate Name Issued By Certificate Type Valid Date BKC-171203143C - - -",,,,,niyi liang,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mynice-Optoelectronics-Co-Limited/1X07KL54,Manufacturer,"Shenzhen, Guangdong, Chinese Mainland","Consumer Electronics, Environmental Protection, Lights, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies",Worldwide,,,,Mr Wei Luo,Manager,"FL.5,BLOCK2,BAODAZHOU, SHANCHENG INDUSTRIAL PARK, SHIYAN BAO'AN SHENZHEN CITY, CHINA",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Huadian-Lighting-Co-Ltd/1X087WLR,"Exporter, Manufacturer","Shenzhen, Guangdong, Chinese Mainland",Lights,"Hong Kong, Korea, Middle East, North America, Other Asian Countries, Western Europe",201 - 500,"US$ 50,000,000 - 99,999,999",Huadian ODM OEM Certificate Name Issued By Certificate Type Valid Date led sports light -etl - - - LED SPORTS LIGHT-EMC - - - led sports light-CB - - - LED SPORTS LIGHT-LVD - - - LED SPORTS LIGHT-SAA - - - Show More View details Factory & Facility,Mr Daniel Tang,Sales manager,"A building, Jinkaijing industial park Shilongzai Shiyan Street, Bao'an District, Shenzhen,",Chinese Mainland,2003.0
