company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,,HKTDC Events,Certificates,Other Certificates,supplier_url,exhibitor_url
Memorigin Watch Company Limited,Hong Kong,"Being the first Hong Kong brand that specializes in tourbillon, Memorigin integrates marvelous oriental arts and top western watchmaking sklls to produce tourbillon watches with prominent cultural features. The name Memorigin is a combination of ""memorial"" and ""original"". It is hoped that each watch can ignite inspiration and courage to seize opportunities, conquer challenges and realize dreams, creating infinite miracles ahead.","Retailer, Wholesaler, Manufacturer","Skeleton Mechanical Watch,Ladies Watch,Brandname Watch,Designer Watch,Mens Watch","Being the first Hong Kong brand that specializes in tourbillon watches, Memorigin integrates marvelous oriental arts and top western watchmaking skills to produce tourbillon watches with prominent cultural features.",OBM,Memorigin,,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 ""Think Business, Think Hong Kong"" Product Expo in Bangkok, Thailand HKTDC Hong Kong Gifts & Premium Fair 2023 Show More",,world-class excellence Issued By Japan watch testing center - Watch Repair Master Type - Valid Date (N/A) - 18 Mar 2015,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Memorigin-Watch-Co-Ltd/1X07U2Q4?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064AMW?fairCode=te&locale=en
Heromex Watch Company Limited,Hong Kong,"Heromex is a watchmaker from Hong Kong. It offers services from product design to production. Having served American and European customers for over 30 years, Heromex achieves 100% customer satisfaction.",Manufacturer,Quartz Analogue Watch,Quartz and mechanical watches,Others,"CAUGHT,INSPO",,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 Hong Kong Watch Mission to Jakarta, Indonesia HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024",,Arcana Design Certification Issued By Hong Kong Design Registry Intellectual Property Department Type OTHERS Valid Date 17 Nov 2025 - 17 Nov 2030 Epoch Design Certification Issued By Hong Kong Designs Registry Intellectual Property Department Type OTHERS Valid Date 03 Jan 2025 - 03 Jan 2030 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Heromex-Watch-Company-Limited/1X00DZHM?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064AFH?fairCode=te&locale=en
"Guangdong Starking Intelligent Technology Co., Ltd",Chinese Mainland,,"Wholesaler, Importer, Manufacturer","Digital Watch,Skeleton Mechanical Watch,Mechanical Hands & Digital Watch,24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Radio Control Watch,Diver Watch,Sports Timer Watch,Chronograph Watch,Jewelled-lever Automatic Watch,Pilot Watch,Solar Watch,Ladies Watch,Brandname Watch,Designer Watch,Mens Watch,Moon Phase Mechanical Watch,Promotional Watch,Smart Watch,Bluetooth Smart Watch",watch/Automatic mechanical watch/Quartz watch/tourbillon,"OEM, Others, OBM, ODM","AJUT,STARKING",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Starking-Intelligent-Technology-Co-Ltd/1S00OSKAM?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064AOQ?fairCode=te&locale=en
Dayton Industrial Co Ltd,Hong Kong,"The Dayton group of Companies (DAYTON) has been designed, developing and manfacturing consumer electronic items for over 60 years, with the vision of creating sports specific performance monitors, home automation monitors, personal security sensors and e-mobility human-manchine-interface. As the workd leader of e-bike HMI, Smartwatches, Outdoor Watches and Heart Rate monitor systems, Dayton produces product under various ODM/OEM brand names that are widely used by world champions, serious athletes and recrational sportsmen.",Manufacturer,"Digital Watch,Mechanical Hands & Digital Watch,24 Hour Dial Mechanical Watch,Chronograph Watch,Ladies Watch,Brandname Watch,Designer Watch,Kids Watch,Mens Watch,Smart Watch,Bluetooth Smart Watch","Link2Care is an innovative collaborative alliance focused on developing a mass-manufacturable wireless ecosystem for wearable technology, enhancing interoperability and user experience in health and safety monitoring.","OBM, OEM, ODM",Link2Care,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 CHILL 11 HKTDC Hong Kong Watch & Clock Fair 2023 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dayton-Industrial-Co-Ltd/1X0A3SDB?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064ASE?fairCode=te&locale=en
AWC International Limited,Hong Kong,,Exporter,"Digital Watch,Mechanical Hands & Digital Watch,24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Brandname Watch,Mens Watch","Our products are the leaders of the industry in ""BaselWorld Watch and Jewelry Fair & Hong Kong Watch Fair""","Others, OEM","Slazenger,Beverly Hills Polo Club,Quantum,Lee Cooper,SEOUL 1979 ESSENCE",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/AWC-International-Limited/1X08NXVE?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064U13?fairCode=te&locale=en
Tsinlien Sea Gull Company Limited,Hong Kong,,Others,"Diver Watch,Chronograph Watch,Jewelled-lever Automatic Watch,Pilot Watch,Ladies Watch,Brandname Watch,Designer Watch,Mens Watch,Moon Phase Mechanical Watch,Promotional Watch","Fosun Watch Group, a leading Chinese watch group, marked the 70th anniversary of China's watchmaking heritage by presenting its brands, SEAGULL and SHANGHAI Watch, at the exhibition, featuring 70th-anniversary creations and historical storytelling.","OEM, ODM","海鸥表,上海表",,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 BASELWORLD 2013 - The World Watch and Jewellery Show, Basel, Switzerland HKTDC Hong Kong Watch & Clock Fair 2012 BASELWORLD 2012 - The World Watch and Jewellery Show, Basel, Switzerland HKTDC Hong Kong Watch & Clock Fair 2011 Show More",,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tsinlien-Sea-Gull-Company-Limited/1X00DZ4Z?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064AK2?fairCode=te&locale=en
Sun International Concepts Limited,Hong Kong,To be provide later,"Distributor, Wholesaler, Import Agent","Skeleton Mechanical Watch,24 Hour Dial Mechanical Watch,Brandname Watch,Mens Watch",We will provide later,Others,"CIGA DESIGN,ZBIOLAND ,FIYTA 飛亞達,BEIJING 北京,Moon Yang 沐阳時計",,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 Hong Kong Watch Mission to Jakarta, Indonesia HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 Show More",,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sun-International-Concepts-Limited/1X0B7O00?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064AHB?fairCode=te&locale=en
"Shenzhen Leqi Cronusart Technology Co., Ltd.",Chinese Mainland,,"Exporter, Manufacturer","Ladies Watch,Mens Watch,Smart Watch",Watches and Accessories,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Gifts & Premium Fair 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Leqi-Cronusart-Trading-Co-LTD/1S00OYWXD?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064AJ5?fairCode=te&locale=en
ILG Asia Limited,Hong Kong,"ILG - one of the leading companies in the field of licensed luxury, lifestyle and fashion products. ILG offer a strong & well-established global supply chain and distribution network built on long lasting cooperative partnerships. Alongside being an influential player in the field of licensed watches, jewellery, accessories, eyewear and fragrance. ILG operates with a strong product development-know-how, exercising expertise in the transcription of brand DNA to the product.",Exporter,"Skeleton Mechanical Watch,Quartz Analogue Watch,Chronograph Watch,Ladies Watch,Brandname Watch,Mens Watch,Moon Phase Mechanical Watch,Smart Watch","Watches, Jewellery, Accessories, Eyewear and Fragrance",ODM,"DUCATI CORSE,SWISS MILITARY HANOWA,POLICE,CERRUTI 1881,TIMBERLAND,TSAR BOMBA,KENNETH COLE NEW YORK,GUY LAROCHE,ESCADA,TORNADO",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/ILG-Asia-Limited/1X00I8YE?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064U4U?fairCode=te&locale=en
Prince Jewellery and Watch Company,Hong Kong,"Founded in 1984 by Group Chairman & CEO Dr. Jimmy Tang MH JP, Prince Jewellery & Watch has developed its progressive business expansion with 19 branches in Hong Kong. With its flagship store located in Prestige Tower in Tsimshatsui, Prince Jewellery & Watch is renowned for carrying over 50 global high-end watch brands, such as Breguet, Carl F. Bucherer, Cartier, Chopard, FRANCK MULLER, Omega, I.W.C., Jaeger-LeCoultre, Longines, Piaget, Vacheron Constantin, etc",,,Exhitbit 10 Global High-end Watch Brands,Others,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2021 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Prince-Jewellery-Watch-Co/1X05VMX9?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0063WSS?fairCode=te&locale=en
