url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Brands,Contact Person,Position,Office Address,Country / Region,Annual Turnover
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Memorigin-Watch-Co-Ltd/1X07U2Q4?fairCode=te&locale=en,"Exporter, Manufacturer, Retailer, Wholesaler",Hong Kong,2011.0,"Jewellery & Watch, Watches & Clocks",Worldwide,16 - 25,Memorigin Certificate Name Issued By Certificate Type Valid Date world-class excellence Japan watch testing center - Watch Repair Master - (N/A) - 18 Mar 2015 View details Factories & Facilities Research & Development Quality Control View All Watch Collection YQL_Diamond Tourbillon Marketing A Marketing B,Ms Joyce Hung,HR & Operations Manager,"Unit 4, 8/F, Phase 1, Chai Wan Ind'l City, 60 Wing Tai Road, Chai Wan, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Heromex-Watch-Company-Limited/1X00DZHM?fairCode=te&locale=en,"Exporter, Manufacturer, Retailer, e-tailer",Hong Kong,1991.0,Watches & Clocks,"Australasia, Chinese Mainland, Hong Kong, Japan, Korea, Middle East, Other Asian Countries, Southeast Asia, Taiwan, Worldwide OEM ODM Brand Watch Design Watch Mechanism Development Certificate Name Issued By Certificate Type Valid Date Arcana Design Certification Hong Kong Design Registry Intellectual Property Department Others 17 Nov 2025 - 17 Nov 2030 Epoch Design Certification Hong Kong Designs Registry Intellectual Property Department Others 03 Jan 2025 - 03 Jan 2030 Grand Slammer 1959 Design Certification Hong Kong Designs Intellectual Property Department Others 03 Jan 2025 - 03 Jan 2030 Monarch Design Certification Hong Kong Designs Intellectual Property Department Others 07 Nov 2025 - 07 Nov 2030 Nomad Design Certification Hong Kong Design Registry Intellectual Property Department Others 07 Nov 2025 - 07 Nov 2030 Hong Kong Showroom IP Certificates Hong Kong Office View All AERIS GRAND SLAMMER 1959 ARCANA SEA VOYAGER",,,Mr Chas Kwong,Assistant Marketing Manager,"Unit C, 22/F., Phase 1 Kingsford Industrial Building 26-32 Kwai Hei Street Kwai Chung, New Territories",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Starking-Intelligent-Technology-Co-Ltd/1S00OSKAM?fairCode=te&locale=en,"Exporter, Manufacturer, Wholesaler, e-tailer","Shenzhen, Guangdong, Chinese Mainland",1993.0,"Consumer Electronics, Watches & Clocks","Central & South America, Chinese Mainland, Hong Kong, North America, Scandinavia, Southeast Asia, Taiwan, Western Europe",101 - 200,STARKING Tourbillon R&D Technology Top 10 Enterprises in the Watc China High-Tech Enterprise Movement R&D Center View details Factories & Facilities Research & Development Quality Control,Mr Zhihua Zhang,CEO,"13/F, Starking Mansion, Starking Science Park, Fangyuan Rd, Guangming Dist Shenzhen, Guangdong 518000, Mainland China",Chinese Mainland,"US$ 100,000 - 249,999"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dayton-Industrial-Co-Ltd/1X0A3SDB?fairCode=te&locale=en,"Exporter, Manufacturer",Hong Kong,,"Consumer Electronics, Health Care & Medical Supplies, Watches & Clocks","Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",51 - 100 ODM OEM,,Mr Tony Chung,Sales and Marketing Manager,"Unit A, 11/F., Tai Tak Industrial Building, 2-12 Kwai Fat Road, Kwai Chung, New Territories, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/AWC-International-Limited/1X08NXVE?fairCode=te&locale=en,"Distributor, Exporter, Manufacturer, Wholesaler",Hong Kong,,"Jewellery & Watch, Watches & Clocks",Worldwide,,"Slzenger, Quantum ODM OEM",Ms Emily Chen,Asistant of Director,"Unit C, 11/F, Block 1, Wah Fung Ind'l Ctr, 33-39 Kwai Fung Crescent, Kwai Chung,",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tsinlien-Sea-Gull-Company-Limited/1X00DZ4Z?fairCode=te&locale=en,"Exporter, Manufacturer",Hong Kong,2019.0,Watches & Clocks,Worldwide,501 - 1000,"SEAGUALL Watch, SHANGHAI Watch",Mr Rayven Tang,,"21/Fl., Guangdong Finance Bldg., 88 Connaught Road, West, Sheung Wan, Hong Kong.",Hong Kong,"US$ 100,000,000 - 249,999,999"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sun-International-Concepts-Limited/1X0B7O00?fairCode=te&locale=en,,Hong Kong,,Watches & Clocks,,,,Amy Cheung,Secretary,"Unit 1, 13/F, East Ocean Ctr, 98 Granville Rd, Tsim Sha Tsui, Kowloon, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Leqi-Cronusart-Trading-Co-LTD/1S00OYWXD?fairCode=te&locale=en,,Chinese Mainland,,Watches & Clocks,,,,Mr Kuang Xu,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/ILG-Asia-Limited/1X00I8YE?fairCode=te&locale=en,Others,Hong Kong,2003.0,,Worldwide,26 - 50,,Mr Ricky Chan,,"Units 401-406, 4/F, New East Ocean Centre, 9 Science Museum Road, Tsim Sha Tsui, Kowloon, Hong Kong",Hong Kong,"US$ 10,000,000 - 49,999,999"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Prince-Jewellery-Watch-Co/1X05VMX9?fairCode=te&locale=en,"Import Agent, Retailer",Hong Kong,1985.0,"Jewellery & Watch, Watches & Clocks",Hong Kong,,Blancpain、BOVET、Breguet、BVLGARI、Chopard、CORUM、DeWitt、FRANCK MULLER、Glashütte Original、H. Moser & Cie、Jaeger-LeCoultre、Piaget、Zenith,Ms Annie Chan,,"Unit 1715-16, 17/F Star House 3 Salisbury Road Tsim Sha Tsui, Kowloon, Hong Kong",Hong Kong,
