exhibitor_id,company_name,exhibition_area,hall,booth_number,main_products,profile_url,logo_url,company_profile,source_page,source_position
3731,National Silicon Industry Group,Semiconductor Material,Hall 15,15C75,,https://exhibitors.iicieexpo.com/jtycn/zsen3731.html,https://exhibitors.iicieexpo.com/File/zslogo/202507170933487129.png,,https://exhibitors.iicieexpo.com/gwen/data/zslist.ashx?method=dg_zhanshang&random=1&pageindex=1,1
3732,"SANECHIPS TFCHNOLOGY CO., LTD","Chip,AI Computing Power",Hall 14,14A55,"The products cover all fields of the ICT industry: computing power, networks, and terminals.",https://exhibitors.iicieexpo.com/jtycn/zsen3732.html,https://exhibitors.iicieexpo.com/File/zslogo/202507171501030609.png,,https://exhibitors.iicieexpo.com/gwen/data/zslist.ashx?method=dg_zhanshang&random=1&pageindex=1,2
3558,"C*Core Technology Co., Ltd.",,Hall 14,14B50,1、IP Licensing。 2、Customization Service 。 3、Autonomous chip&Module。,https://exhibitors.iicieexpo.com/jtycn/zsen3558.html,https://exhibitors.iicieexpo.com/File/zslogo/202505281028138529.png,,https://exhibitors.iicieexpo.com/gwen/data/zslist.ashx?method=dg_zhanshang&random=1&pageindex=1,3
3681,ACM Research (Shanghai)，Inc.,Semiconductor Equipment,Hall 15,15B50,,https://exhibitors.iicieexpo.com/jtycn/zsen3681.html,https://exhibitors.iicieexpo.com/File/zslogo/202506301539243914.jpg,,https://exhibitors.iicieexpo.com/gwen/data/zslist.ashx?method=dg_zhanshang&random=1&pageindex=1,4
3682,"Piotech, lnc.",Semiconductor Equipment,Hall 15,15B66,,https://exhibitors.iicieexpo.com/jtycn/zsen3682.html,https://exhibitors.iicieexpo.com/File/zslogo/202506251533093448.png,,https://exhibitors.iicieexpo.com/gwen/data/zslist.ashx?method=dg_zhanshang&random=1&pageindex=1,5
3625,"Hwatsing Technology Co., Ltd.",Semiconductor Equipment,Hall 15,15A48,,https://exhibitors.iicieexpo.com/jtycn/zsen3625.html,https://exhibitors.iicieexpo.com/File/zslogo/202506161639135926.png,,https://exhibitors.iicieexpo.com/gwen/data/zslist.ashx?method=dg_zhanshang&random=1&pageindex=1,6
3157,SKYVERSE,Semiconductor Equipment,Hall 15,15A50,,https://exhibitors.iicieexpo.com/jtycn/zsen3157.html,https://exhibitors.iicieexpo.com/File/zslogo/202606111007498298.png,,https://exhibitors.iicieexpo.com/gwen/data/zslist.ashx?method=dg_zhanshang&random=1&pageindex=1,7
3656,AnJi Microelectronics Technology (Shanghai) Co.， Ltd.,Semiconductor Material,Hall 15,15C68,,https://exhibitors.iicieexpo.com/jtycn/zsen3656.html,https://exhibitors.iicieexpo.com/File/zslogo/202506191051112341.jpg,,https://exhibitors.iicieexpo.com/gwen/data/zslist.ashx?method=dg_zhanshang&random=1&pageindex=1,8
3585,"Shanghai Sinyang Semiconductor Materials Co., Ltd","Semiconductor Equipment,Semiconductor Material",Hall 15,15C80,,https://exhibitors.iicieexpo.com/jtycn/zsen3585.html,https://exhibitors.iicieexpo.com/File/zslogo/202507101112156468.jpg,,https://exhibitors.iicieexpo.com/gwen/data/zslist.ashx?method=dg_zhanshang&random=1&pageindex=1,9
3556,"BEIJING U-PRECISION TECH CO., LTD.",Semiconductor Equipment,Hall 15,15B45,,https://exhibitors.iicieexpo.com/jtycn/zsen3556.html,https://exhibitors.iicieexpo.com/File/zslogo/202506171040134802.png,,https://exhibitors.iicieexpo.com/gwen/data/zslist.ashx?method=dg_zhanshang&random=1&pageindex=1,10
3494,"Peric Special Gases Co.,Ltd",Semiconductor Material,Hall 15,15C70,NF3、WF6、HCl、HF、HBr、BCl3、SiF4、D2、C2F6、C3F8、C4F6、C4F8、C3H2F6、CH3F、CH2F2、CHF3、C2H4、C2H2、SiH4、Si2H6、X%Kr/Ne、X%Ar/X%Xe/Ne、X%F2/N2、X%F2/X%Kr/Ne、X%F2/X%Ar/Ne...,https://exhibitors.iicieexpo.com/jtycn/zsen3494.html,https://exhibitors.iicieexpo.com/File/zslogo/202507221720154698.png,,https://exhibitors.iicieexpo.com/gwen/data/zslist.ashx?method=dg_zhanshang&random=1&pageindex=1,11
