exhibitor_id,company_name,country,booth_number,source_page,source_position
858,3D Prototech Corp.,CANADA,2R02,https://www.medicalfair-asia.com/exhibitor-list/,1
859,8E6 Limited,CANADA,2R02,https://www.medicalfair-asia.com/exhibitor-list/,2
981,A STAR,SINGAPORE,1H25,https://www.medicalfair-asia.com/exhibitor-list/,3
278,"A-MI Global Co.,Ltd",REPUBLIC OF KOREA,2N26,https://www.medicalfair-asia.com/exhibitor-list/,4
262,A. J. COSTA (Irmãos) LDA,PORTUGAL,2F16,https://www.medicalfair-asia.com/exhibitor-list/,5
589,A. J. COSTA IRMAOS LDA,PORTUGAL,2E17,https://www.medicalfair-asia.com/exhibitor-list/,6
58,Abiores Pte. Ltd.,SINGAPORE,1H12,https://www.medicalfair-asia.com/exhibitor-list/,7
271,Abletech Orthopedics Corporation,TAIWAN,2P29,https://www.medicalfair-asia.com/exhibitor-list/,8
509,"Ace Healthcare Co., Ltd.",REPUBLIC OF KOREA,2N06,https://www.medicalfair-asia.com/exhibitor-list/,9
870,"Aco Healthcare Co., Ltd",TAIWAN,2L24,https://www.medicalfair-asia.com/exhibitor-list/,10
195,"ACRO Biomedical Co., Ltd.",TAIWAN,2J30,https://www.medicalfair-asia.com/exhibitor-list/,11
806,"ACUSENSE BIOMEDICAL TECHNOLOGY CO., LTD.",TAIWAN,2L24,https://www.medicalfair-asia.com/exhibitor-list/,12
625,Adapter Technology Co. Ltd.,TAIWAN,2K02,https://www.medicalfair-asia.com/exhibitor-list/,13
561,Advance Medical Designs (Hong Kong) Limited,HONG KONG SAR,1F20,https://www.medicalfair-asia.com/exhibitor-list/,14
153,"Advanced Medical Design Co., Ltd.",TAIWAN,2P23,https://www.medicalfair-asia.com/exhibitor-list/,15
524,Advanced Safety Lifecare Sdn. Bhd.,MALAYSIA,1J33,https://www.medicalfair-asia.com/exhibitor-list/,16
447,ADVANCELAB (S) PTE LTD,SINGAPORE,2F20,https://www.medicalfair-asia.com/exhibitor-list/,17
505,Advantage Austria Singapur - Austrian Embassy - Commercial Section,SINGAPORE,1F02-1E09,https://www.medicalfair-asia.com/exhibitor-list/,18
651,ADVANTECH,TAIWAN,2H01,https://www.medicalfair-asia.com/exhibitor-list/,19
994,"ADVMEDS CO., LTD.",TAIWAN,2L24,https://www.medicalfair-asia.com/exhibitor-list/,20
261,AEP - ASSOCIACAO EMPRESARIAL DE PORTUGAL,PORTUGAL,2E17,https://www.medicalfair-asia.com/exhibitor-list/,21
620,"AeproMED Innovation Co., Ltd.",TAIWAN,2R22C,https://www.medicalfair-asia.com/exhibitor-list/,22
752,AGECARE KOREA,REPUBLIC OF KOREA,2N08,https://www.medicalfair-asia.com/exhibitor-list/,23
340,AHK Singaporean-German Chamber of Industry and Commerce (SGC),SINGAPORE,2S01A,https://www.medicalfair-asia.com/exhibitor-list/,24
912,"AI Platform Co., Ltd.",REPUBLIC OF KOREA,2A02,https://www.medicalfair-asia.com/exhibitor-list/,25
555,"AIDOT Co., Ltd.",REPUBLIC OF KOREA,2R13,https://www.medicalfair-asia.com/exhibitor-list/,26
374,"AIR SUPPORT CO., LTD.",JAPAN,2N20,https://www.medicalfair-asia.com/exhibitor-list/,27
579,Airofit A/S,DENMARK,2K05,https://www.medicalfair-asia.com/exhibitor-list/,28
889,AIRS Medical Inc.,REPUBLIC OF KOREA,KA1,https://www.medicalfair-asia.com/exhibitor-list/,29
837,Akino Medical Pte Ltd,SINGAPORE,1J21,https://www.medicalfair-asia.com/exhibitor-list/,30
197,"Alliance International Medical Co., Ltd.",TAIWAN,2J18,https://www.medicalfair-asia.com/exhibitor-list/,31
34,AllMade Corp.,REPUBLIC OF KOREA,2C19,https://www.medicalfair-asia.com/exhibitor-list/,32
125,AM Medical Equipment Pte Ltd,SINGAPORE,1F18,https://www.medicalfair-asia.com/exhibitor-list/,33
603,"Amed Co., Ltd.",TAIWAN,2J21,https://www.medicalfair-asia.com/exhibitor-list/,34
860,Amptek Technologies Inc.,CANADA,2R02,https://www.medicalfair-asia.com/exhibitor-list/,35
935,Analitika M,RUSSIAN FEDERATION,2P40,https://www.medicalfair-asia.com/exhibitor-list/,36
490,"ANQING JIAXIN MEDICAL TECHNOLOGY CO., LTD",CHINA,1D23,https://www.medicalfair-asia.com/exhibitor-list/,37
473,"ANQING YIPAK PACKAGING MATERIAL CO., LTD.",CHINA,2R01,https://www.medicalfair-asia.com/exhibitor-list/,38
54,"Anti-Microbial Savior BioteQ Co., Ltd.",TAIWAN,2K39,https://www.medicalfair-asia.com/exhibitor-list/,39
187,APEX BIOTECHNOLOGY CORPORATION,TAIWAN,2J32,https://www.medicalfair-asia.com/exhibitor-list/,40
652,APEXBIO,TAIWAN,2H01,https://www.medicalfair-asia.com/exhibitor-list/,41
633,Apps-Connect Pte Ltd,SINGAPORE,1H22,https://www.medicalfair-asia.com/exhibitor-list/,42
1000,AQUATREK SOLUTION CO LTD,THAILAND,2Q02-2P03,https://www.medicalfair-asia.com/exhibitor-list/,43
210,Aria Bioscience Pte Ltd,SINGAPORE,1H25,https://www.medicalfair-asia.com/exhibitor-list/,44
228,ARPI,REPUBLIC OF KOREA,1G20,https://www.medicalfair-asia.com/exhibitor-list/,45
632,ARQon Pte Ltd,SINGAPORE,1H07,https://www.medicalfair-asia.com/exhibitor-list/,46
854,ARTHESYS,FRANCE,2F06,https://www.medicalfair-asia.com/exhibitor-list/,47
450,"ASCH JAPAN Co.,LTD.",JAPAN,2M12,https://www.medicalfair-asia.com/exhibitor-list/,48
732,"ASIA CONNECTION CO., LTD.",TAIWAN,2H35,https://www.medicalfair-asia.com/exhibitor-list/,49
907,"Assay Specialist Laboratories(Jiangsu) Co., Ltd",CHINA,1A23,https://www.medicalfair-asia.com/exhibitor-list/,50
142,Assisted Living Pte Ltd,SINGAPORE,1H02,https://www.medicalfair-asia.com/exhibitor-list/?page=2,51
979,Assisted Living Pte Ltd,SINGAPORE,1N03,https://www.medicalfair-asia.com/exhibitor-list/?page=2,52
822,Astem inc.,JAPAN,2M13,https://www.medicalfair-asia.com/exhibitor-list/?page=2,53
263,"ASTROLABE - Fabricação de Implantes Médicos, LDA",PORTUGAL,2E15,https://www.medicalfair-asia.com/exhibitor-list/?page=2,54
590,ASTROLABE LDA,PORTUGAL,2E17,https://www.medicalfair-asia.com/exhibitor-list/?page=2,55
130,ASUSTek Computer Inc.,TAIWAN,2F07,https://www.medicalfair-asia.com/exhibitor-list/?page=2,56
44,Austrian Federal Economic Chamber - Advantage Austria,AUSTRIA,1F02-1E09,https://www.medicalfair-asia.com/exhibitor-list/?page=2,57
653,AVer,TAIWAN,2H01,https://www.medicalfair-asia.com/exhibitor-list/?page=2,58
273,AVITA CORPORATION,TAIWAN,2Q26,https://www.medicalfair-asia.com/exhibitor-list/?page=2,59
580,Axelgaard Manufacturing,DENMARK,2K07,https://www.medicalfair-asia.com/exhibitor-list/?page=2,60
654,Axiomtek,TAIWAN,2H01,https://www.medicalfair-asia.com/exhibitor-list/?page=2,61
562,"B.Green Technology Co., Ltd.",TAIWAN,2H39,https://www.medicalfair-asia.com/exhibitor-list/?page=2,62
985,Badan Pengusahaan Batam (BP Batam),INDONESIA,2S31,https://www.medicalfair-asia.com/exhibitor-list/?page=2,63
831,"Baisheng Medical Co., Ltd.",CHINA,1R04,https://www.medicalfair-asia.com/exhibitor-list/?page=2,64
388,"Baoying County Fukang Medical Appliance Co., Ltd",CHINA,2G16,https://www.medicalfair-asia.com/exhibitor-list/?page=2,65
213,"Beautechglobal Co., Ltd.",REPUBLIC OF KOREA,1G08,https://www.medicalfair-asia.com/exhibitor-list/?page=2,66
464,"Beijing Choice Electronic Technology Co., Ltd",CHINA,1E18,https://www.medicalfair-asia.com/exhibitor-list/?page=2,67
970,"Beijing Sonicmed Technologies Co., Ltd.",CHINA,2D19,https://www.medicalfair-asia.com/exhibitor-list/?page=2,68
188,BenQ Materials Corp.,TAIWAN,2J14,https://www.medicalfair-asia.com/exhibitor-list/?page=2,69
205,Beyond Medicine,REPUBLIC OF KOREA,1B21,https://www.medicalfair-asia.com/exhibitor-list/?page=2,70
33,BEYONDMEDICINE,REPUBLIC OF KOREA,2C17,https://www.medicalfair-asia.com/exhibitor-list/?page=2,71
131,Bicakcilar Tibbi Cihazlar Sanayi ve Ticaret A.S.,TURKEY,2F29,https://www.medicalfair-asia.com/exhibitor-list/?page=2,72
269,Bio-Bon Corp.,TAIWAN,2Q28,https://www.medicalfair-asia.com/exhibitor-list/?page=2,73
938,Bio-Tech International,BANGLADESH,2P40,https://www.medicalfair-asia.com/exhibitor-list/?page=2,74
744,BioactivX (SingHealth),SINGAPORE,2B01,https://www.medicalfair-asia.com/exhibitor-list/?page=2,75
247,"BioActs BM&S Co., Ltd.",REPUBLIC OF KOREA,2Q20,https://www.medicalfair-asia.com/exhibitor-list/?page=2,76
341,BioCer Entwicklungs-GmbH,GERMANY,2T04,https://www.medicalfair-asia.com/exhibitor-list/?page=2,77
790,"Bioclass Co., Ltd.",THAILAND,2Q08,https://www.medicalfair-asia.com/exhibitor-list/?page=2,78
829,BioCotton Company Limited,THAILAND,2Q08,https://www.medicalfair-asia.com/exhibitor-list/?page=2,79
129,Biofaktor Sp z.o.o.,POLAND,2H16,https://www.medicalfair-asia.com/exhibitor-list/?page=2,80
626,"BioGend Therapeutics Co., Ltd.",TAIWAN,2K04,https://www.medicalfair-asia.com/exhibitor-list/?page=2,81
192,BIOLINK SCIENTIFIC INC.,TAIWAN,2J28,https://www.medicalfair-asia.com/exhibitor-list/?page=2,82
239,BIOMEDICAL SRL,ITALY,2P02,https://www.medicalfair-asia.com/exhibitor-list/?page=2,83
81,Bionime Corporation,TAIWAN,2M36,https://www.medicalfair-asia.com/exhibitor-list/?page=2,84
191,"BIOPTIK TECHNOLOGY, INC.",TAIWAN,2J28,https://www.medicalfair-asia.com/exhibitor-list/?page=2,85
930,BioSAFE Engineering LLC,UNITED STATES,2G05,https://www.medicalfair-asia.com/exhibitor-list/?page=2,86
898,Biospace Latin America,MEXICO,2C29,https://www.medicalfair-asia.com/exhibitor-list/?page=2,87
199,BIOTEGY CORPORATION,TAIWAN,2Q23,https://www.medicalfair-asia.com/exhibitor-list/?page=2,88
507,BitCare,SINGAPORE,1J27,https://www.medicalfair-asia.com/exhibitor-list/?page=2,89
972,Blue Apple International Pte. Ltd,SINGAPORE,2L31,https://www.medicalfair-asia.com/exhibitor-list/?page=2,90
243,Blue Engineering S.r.l.,ITALY,2N13,https://www.medicalfair-asia.com/exhibitor-list/?page=2,91
259,"BlueMed Healthcare Co., Ltd",CHINA,2N29,https://www.medicalfair-asia.com/exhibitor-list/?page=2,92
770,Bodygreen Health Technology (M) Sdn. Bhd,MALAYSIA,2H39,https://www.medicalfair-asia.com/exhibitor-list/?page=2,93
639,"Bonny Medical Technology (Suzhou) Co., Ltd",CHINA,2Q31,https://www.medicalfair-asia.com/exhibitor-list/?page=2,94
804,"Brain Navi Biotechnology Co., Ltd.",TAIWAN,2L24,https://www.medicalfair-asia.com/exhibitor-list/?page=2,95
200,"Brain Navi Biotechnology Co., Ltd.",TAIWAN,2R24,https://www.medicalfair-asia.com/exhibitor-list/?page=2,96
342,Bricon GmbH,GERMANY,2T20,https://www.medicalfair-asia.com/exhibitor-list/?page=2,97
800,BriteMED Technology Inc.,TAIWAN,2L24,https://www.medicalfair-asia.com/exhibitor-list/?page=2,98
194,BROADSIMS Inc.,TAIWAN,2H29,https://www.medicalfair-asia.com/exhibitor-list/?page=2,99
551,"Bullan Bio Co., Ltd.",REPUBLIC OF KOREA,2N32,https://www.medicalfair-asia.com/exhibitor-list/?page=2,100
1016,Burton,UNITED STATES,1J23,https://www.medicalfair-asia.com/exhibitor-list/?page=3,101
90,BUSAN TECHNO PARK,REPUBLIC OF KOREA,2N30,https://www.medicalfair-asia.com/exhibitor-list/?page=3,102
91,BUSAN TECHNO PARK,REPUBLIC OF KOREA,2N24,https://www.medicalfair-asia.com/exhibitor-list/?page=3,103
172,"C&Q Medical Co., Ltd",REPUBLIC OF KOREA,2N39,https://www.medicalfair-asia.com/exhibitor-list/?page=3,104
236,CA-MI SRL,ITALY,2N01,https://www.medicalfair-asia.com/exhibitor-list/?page=3,105
550,"Cangzhou JKJ Medical Devices Co.,Ltd",CHINA,1D26,https://www.medicalfair-asia.com/exhibitor-list/?page=3,106
451,"Care Fort, Inc.",JAPAN,2L01,https://www.medicalfair-asia.com/exhibitor-list/?page=3,107
50,Careforce Medicare Supplies Sdn Bhd,MALAYSIA,2D11,https://www.medicalfair-asia.com/exhibitor-list/?page=3,108
965,CAREPUMP,POLAND,1H10,https://www.medicalfair-asia.com/exhibitor-list/?page=3,109
452,"carewill, INC.",JAPAN,2L03,https://www.medicalfair-asia.com/exhibitor-list/?page=3,110
189,Carilex Medical Inc.,TAIWAN,2H25,https://www.medicalfair-asia.com/exhibitor-list/?page=3,111
382,Carilex Medical Technologies GmbH,GERMANY,2H25,https://www.medicalfair-asia.com/exhibitor-list/?page=3,112
381,Carilex Medical United Kingdom,UNITED STATES,2H25,https://www.medicalfair-asia.com/exhibitor-list/?page=3,113
380,Carilex Medical USA,UNITED STATES,2H25,https://www.medicalfair-asia.com/exhibitor-list/?page=3,114
839,Castomize Technologies Pte. Ltd.,SINGAPORE,1L20,https://www.medicalfair-asia.com/exhibitor-list/?page=3,115
820,Cathay General Hospital,TAIWAN,2L24,https://www.medicalfair-asia.com/exhibitor-list/?page=3,116
692,CBH,REPUBLIC OF KOREA,1G12,https://www.medicalfair-asia.com/exhibitor-list/?page=3,117
872,Cellabsys,REPUBLIC OF KOREA,2Q09,https://www.medicalfair-asia.com/exhibitor-list/?page=3,118
975,Cenefom Corp.,TAIWAN,2J14,https://www.medicalfair-asia.com/exhibitor-list/?page=3,119
267,CERAMED - Coatings SA,PORTUGAL,2E13,https://www.medicalfair-asia.com/exhibitor-list/?page=3,120
