company_name,description,exhibit loc,url,full_url
Anhui Aopu Automotive Braking System Co Ltd,,"B3, G09",/beijing/en/exhibitor-search.detail.html/anhui-aopu-automotive-braking-system-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/anhui-aopu-automotive-braking-system-co-ltd.html#exhibitorheadline
Anhui Aozone Auto Parts Co Ltd.,,"B3, K02",/beijing/en/exhibitor-search.detail.html/anhui-aozone-auto-parts-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/anhui-aozone-auto-parts-co-ltd.html#exhibitorheadline
Anhui Deerfu Auto Parts Co Ltd,,"B3, K08",/beijing/en/exhibitor-search.detail.html/anhui-deerfu-auto-parts-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/anhui-deerfu-auto-parts-co-ltd.html#exhibitorheadline
Anhui Jinli Pump Industry Technology Co Ltd,,"B3, B128",/beijing/en/exhibitor-search.detail.html/anhui-jinli-pump-industry-technology-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/anhui-jinli-pump-industry-technology-co-ltd.html#exhibitorheadline
Anhui King Auto Power Technology Co Ltd,,"B3, G09",/beijing/en/exhibitor-search.detail.html/anhui-king-auto-power-technology-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/anhui-king-auto-power-technology-co-ltd.html#exhibitorheadline
Anhui Lianjun Rubber Technology Co Ltd,,"B3, E111",/beijing/en/exhibitor-search.detail.html/anhui-lianjun-rubber-technology-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/anhui-lianjun-rubber-technology-co-ltd.html#exhibitorheadline
Anhui Parker New Material Co Ltd,,"B2, H47",/beijing/en/exhibitor-search.detail.html/anhui-parker-new-material-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/anhui-parker-new-material-co-ltd.html#exhibitorheadline
"Anhui Sanlian Applied Traffic Technology Co., Ltd.",,"B3, F28",/beijing/en/exhibitor-search.detail.html/anhui-sanlian-university.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/anhui-sanlian-university.html#exhibitorheadline
Anhui Shanhui Automotive Parts Co Ltd,,"B3, D109",/beijing/en/exhibitor-search.detail.html/anhui-shanhui-automotive-parts-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/anhui-shanhui-automotive-parts-co-ltd.html#exhibitorheadline
Anhui Tianyu Auto Parts Manufacturing Co Ltd,,"B3, G01",/beijing/en/exhibitor-search.detail.html/anhui-tianyu-auto-parts-manufacturing-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/anhui-tianyu-auto-parts-manufacturing-co-ltd.html#exhibitorheadline
Auto Maintenance & Repair,,"B1, M02",/beijing/en/exhibitor-search.detail.html/auto-maintenance--repair.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/auto-maintenance--repair.html#exhibitorheadline
Bangyao Technology (Zhejiang) Co Ltd,"Bangyao Technology ( Zhejiang ) Co ., Ltd ., formerly known as Huanjia Filter which was established in 2014 and mainly produces...","B2, F90",/beijing/en/exhibitor-search.detail.html/bangyao-technology-zhejiang-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/bangyao-technology-zhejiang-co-ltd.html#exhibitorheadline
Baoying Runma Auto Parts Factory,,"B2, F120",/beijing/en/exhibitor-search.detail.html/baoying-runma-auto-parts-factory.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/baoying-runma-auto-parts-factory.html#exhibitorheadline
Beijing Babochi Automotive Technology Co Ltd,,"B2, F102",/beijing/en/exhibitor-search.detail.html/beijing-babochi-automotive-technology-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/beijing-babochi-automotive-technology-co-ltd.html#exhibitorheadline
Beijing Beiqing Zhongyu Environmental Protection Technology Development Co Ltd,,"B1, E06",/beijing/en/exhibitor-search.detail.html/beijing-beiqing-zhongyu-environmental-protection-technology-development-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/beijing-beiqing-zhongyu-environmental-protection-technology-development-co-ltd.html#exhibitorheadline
Beijing Gordon Tech Imp and Exp Co Ltd,"GoTech specializes in the R&D, production and manufacturing of car vacuum cleaners and tire inflators. The core team of...","B2, F107",/beijing/en/exhibitor-search.detail.html/beijing-gordon-tech-imp-and-exp-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/beijing-gordon-tech-imp-and-exp-co-ltd.html#exhibitorheadline
"Beijing Langshunxingye Trade Co.,Ltd",,"B1, E30",/beijing/en/exhibitor-search.detail.html/beijing-langshunxingye-trade-coltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/beijing-langshunxingye-trade-coltd.html#exhibitorheadline
Beijing Lubeian Traffic Facilities Technology Co Ltd,,"B1, F93",/beijing/en/exhibitor-search.detail.html/beijing-lubeian-traffic-facilities-technology-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/beijing-lubeian-traffic-facilities-technology-co-ltd.html#exhibitorheadline
