Event Title,Event Date,Event City,Event Country,Event Description,Event More Description,Event URL
SPS – Smart Production Solutions Guangzhou,04.–06.March2026, Guangzhou, CHN,Bringing Automation to Life,international trade fair and trade congress Electronics & Automation Technologies partner event,http://spsinchina.cn.messefrankfurt.com
Asiamold Select,04.–06.March2026, Guangzhou, CHN,"The premier platform for mould, additive manufacturing and forming technologies",trade fair Manufacturing Technologies & Components,http://asiamold-china.cn.messefrankfurt.com
Salon du Chocolat USA,07.–08.March2026, New York, USA,,consumer exhibition Food Technologies,https://www.salonduchocolatnyc.com/
Light + Building,08.–13.March2026, Frankfurt/Main, DEU,The world’s leading trade fair for lighting and building services technology,international trade fair Building Technologies,https://light-building.messefrankfurt.com
Intertextile Shanghai Home Textiles - Spring Edition,11.–13.March2026, Shanghai, CHN,China International Trade Fair for Home Textiles and Accessories,international trade fair Textiles & Textile Technologies,http://www.intertextilehome.com/
Yarn Expo Spring,11.–13.March2026, Shanghai, CHN,China International Trade Fair for Fibres and Yarns,international trade fair Textiles & Textile Technologies,http://yarn-expo-spring.hk.messefrankfurt.com
Intertextile Shanghai Apparel Fabrics - Spring Edition,11.–13.March2026, Shanghai, CHN,China International Trade Fair for Apparel Fabrics and Accessories,international trade fair Textiles & Textile Technologies,http://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com
Oracle AI World Tour Frankfurt,12.March2026, Frankfurt/Main, DEU,,conference,https://www.oracle.com/de/ai-world-tour/
TASH SULTANA - wird auf den 25.03.2027 verlegt,15.March2026, Frankfurt/Main, DEU,Return To The Roots,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/tashsultana.html
Die besten Comedians Deutschlands,18.March2026, Frankfurt/Main, DEU,Live,show,http://festhalle.messefrankfurt.com/comedians
Deutsche Schmerz- und Palliativtage 2026,19.–21.March2026, Frankfurt/Main, DEU,,conference,https://www.dgschmerzmedizin.de/kongresse/deutsche-schmerz-und-palliativtage/
Beautyworld Taipei,20.–23.March2026, Taipei, TWN,Beauty by Innovation,trade fair Consumer Goods,https://www.beautyexpotaipei.com/
Eros Ramazzotti,20.March2026, Frankfurt/Main, DEU,Una Storia Importante - World Tour,concert,https://festhalle.messefrankfurt.com/frankfurt/de/veranstaltungen/ramazzotti.html
Juracon Frankfurt – Der Karrierekongress für Juristinnen und Juristen,20.March2026, Frankfurt/Main, DEU,,conference,https://iqb.de/events/jurakarriere/juracon-frankfurt/
Sarah Connor,21.March2026, Frankfurt/Main, DEU,Arena-Tour 2026,concert,http://festhalle.messefrankfurt.com/sarah
Tag der KZVH 2026,21.March2026, Frankfurt/Main, DEU,,conference,https://fortbildung.kzvh.de/event.php?vnr=7-108
Clueso,23.March2026, Frankfurt/Main, DEU,DEJA-VU TOUR 2026,concert,http://festhalle.messefrankfurt.com/content/messefrankfurt-redaktion/festhalle/frankfurt/de/event-calendar/clueso.html
Fastener Expo 2026,23.–25.March2026, Frankfurt/Main, DEU,,international trade fair,https://www.fastenerexpo.de/
Beautyworld Japan Nagoya,23.–25.March2026, Nagoya, JPN,The gateway to the Tokai region’s beauty market,trade fair Consumer Goods,https://beautyworld-japan-nagoya.jp.messefrankfurt.com
ZukunftForum Edelmetalle 2026,23.–24.March2026, Frankfurt/Main, DEU,,conference,https://zukunftsforum-edelmetalle.de/
EMV,24.–26.March2026, Cologne, DEU,International Exhibition and Conference on Electromagnetic Compatibility (EMC),international exhibition and conference Electronics & Automation Technologies,http://e-emv.com
Institutional Money Kongress 2026,24.–25.March2026, Frankfurt/Main, DEU,,conference,https://www.institutional-money.com/kongress/kongress-2026
Fiberdays,25.–26.March2026, Frankfurt/Main, DEU,,international trade fair,https://www.fiberdays.de/
Kraftklub,26.–27.March2026, Frankfurt/Main, DEU,„Sterben in Karl-Marx-Stadt“ Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/veranstaltungen/kraftklub.html
Zukunft gestalten: der F.A.Z.-Kongress,27.March2026, Frankfurt/Main, DEU,,conference,https://selection.faz.net/veranstaltungen/faz-kongress/
Howard Carpendale,28.March2026, Frankfurt/Main, DEU,MEINE ABSCHIEDSTOURNEE - Live 2026,concert,http://festhalle.messefrankfurt.com/carpendale
ISH China & CIHE,31.March–02.April2026, Beijing, CHN,"China International Trade Fair for Heating, Ventilation, Air-Conditioning, Sanitation & Home Comfort Systems",international trade fair Building Technologies,https://ishc-cihe.hk.messefrankfurt.com
Interpets Tokyo,02.–05.April2026, Tokyo, JPN,International fair for a better life with pets,international trade fair Consumer Goods,https://interpets.jp.messefrankfurt.com
Notes Shanghai Spring,02.–05.April2026, Shanghai, CHN,Notes Shanghai Spring 2026,trade fair open to the public Consumer Goods,https://notesshanghai.com/
Masters of Dirt,04.April2026, Frankfurt/Main, DEU,Freestyle Firestorm,concert,https://festhalle.messefrankfurt.com/frankfurt/de/veranstaltungen/masters-of-dirt.html
Automechanika Buenos Aires,08.–11.April2026, Buenos Aires, ARG,Argentina’s leading international trade fair for the automotive service industry targeting trade visitors from South America,international trade fair Mobility & Logistics,http://automechanika.com.ar
Toy & Hobby China + Licensing China,09.–11.April2026, Shenzhen, CHN,Shenzhen International Toy & Hobby Fair,international trade fair Consumer Goods,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com
