company_name,description,exhibit loc,url,full_url
21st Century Publishing Group,,2 Booths,/shenzhen/en/exhibitor-search.detail.html/21st-century-publishing-group.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/21st-century-publishing-group.html#exhibitorheadline
"52TOYS Development Co.,Ltd.","With the brand slogan ‘Have some fun’, 52TOYS embraces its playful and entertaining DNA, continuously spreading joy and companionship...","14, G35",/shenzhen/en/exhibitor-search.detail.html/52toys-development-coltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/52toys-development-coltd.html#exhibitorheadline
"ADK EMOTIONS-BEIJING CO.,LTD",,"16, T03",/shenzhen/en/exhibitor-search.detail.html/adk-emotions-beijing-coltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/adk-emotions-beijing-coltd.html#exhibitorheadline
"ALPHA SONIC ENTERTAINMENT Co., Ltd.",,"16, E23a",/shenzhen/en/exhibitor-search.detail.html/alpha-sonic-entertainment-co-ltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/alpha-sonic-entertainment-co-ltd.html#exhibitorheadline
"Anhui Yodo Intelligent Robot Co.,Ltd.","Founded in 2023, Anhui Yodu Intelligent Robotics Co., Ltd. (hereinafter referred to as Anhui Yodu) is on a mission to achieve...","11, A21",/shenzhen/en/exhibitor-search.detail.html/anhui-yodo-intelligent-robot-coltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/anhui-yodo-intelligent-robot-coltd.html#exhibitorheadline
"Anyzac Co., Ltd.",,"16, E23b",/shenzhen/en/exhibitor-search.detail.html/anyzac-co-ltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/anyzac-co-ltd.html#exhibitorheadline
ARTALEO ARTWORK STUDIO LIMITED,,,/shenzhen/en/exhibitor-search.detail.html/artaleo-artwork-studio-limited.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/artaleo-artwork-studio-limited.html#exhibitorheadline
Atoonz Inc,,"16, E23c",/shenzhen/en/exhibitor-search.detail.html/atoonz-inc.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/atoonz-inc.html#exhibitorheadline
Aurora World Corp.,,"16, E23d",/shenzhen/en/exhibitor-search.detail.html/aurora-world-corp.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/aurora-world-corp.html#exhibitorheadline
"AVIC Global Cultural Technology (Beijing) Co.,Ltd.",,"16, H35",/shenzhen/en/exhibitor-search.detail.html/avic-global-cultural-technology-beijing-coltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/avic-global-cultural-technology-beijing-coltd.html#exhibitorheadline
"Baoding Baigou New City Lichi Culture Co.,Ltd.","Lichi Culture specialises in crafting premium plush toys, with products spanning in-house developed designs and national...","14, L23",/shenzhen/en/exhibitor-search.detail.html/baoding-baigou-new-city-lichi-culture-coltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/baoding-baigou-new-city-lichi-culture-coltd.html#exhibitorheadline
"Baoding Qile Rongrong Handicrafts Manufacturing Co.,Ltd.",,,/shenzhen/en/exhibitor-search.detail.html/baoding-qile-rongrong-handicrafts-manufacturing-coltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/baoding-qile-rongrong-handicrafts-manufacturing-coltd.html#exhibitorheadline
Baoding yuanhang Commercial and Trading Co.,"Specialising in plush fabric toys (stuffed animals, plush cushions, claw machine dolls, functional toys) for 18 years,the...","14, H23",/shenzhen/en/exhibitor-search.detail.html/baoding-yuanhang-commercial-and-trading-co.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/baoding-yuanhang-commercial-and-trading-co.html#exhibitorheadline
Bbjunior,,"15, A21",/shenzhen/en/exhibitor-search.detail.html/bbjunior.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/bbjunior.html#exhibitorheadline
Bburago,,"15, A21",/shenzhen/en/exhibitor-search.detail.html/bburago.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/bburago.html#exhibitorheadline
"Beibe Good Toys Co.,Ltd",,"11, R35",/shenzhen/en/exhibitor-search.detail.html/beibe-good-toys-coltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/beibe-good-toys-coltd.html#exhibitorheadline
"Beijing Dingqi Brand Management Co.,Ltd.",,"13, H30",/shenzhen/en/exhibitor-search.detail.html/beijing-dingqi-brand-management-coltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/beijing-dingqi-brand-management-coltd.html#exhibitorheadline
