,Event Title,Event Date,Event City,Event Country,Event Description,Event More Description,Event URL
0,SPS – Smart Production Solutions Guangzhou,04.–06.March2026, Guangzhou, CHN,Bringing Automation to Life,international trade fair and trade congress Electronics & Automation Technologies partner event,http://spsinchina.cn.messefrankfurt.com
1,Asiamold Select,04.–06.March2026, Guangzhou, CHN,"The premier platform for mould, additive manufacturing and forming technologies",trade fair Manufacturing Technologies & Components,http://asiamold-china.cn.messefrankfurt.com
2,Salon du Chocolat USA,07.–08.March2026, New York, USA,,consumer exhibition Food Technologies,https://www.salonduchocolatnyc.com/
3,Light + Building,08.–13.March2026, Frankfurt/Main, DEU,The world’s leading trade fair for lighting and building services technology,international trade fair Building Technologies,https://light-building.messefrankfurt.com
4,Intertextile Shanghai Home Textiles - Spring Edition,11.–13.March2026, Shanghai, CHN,China International Trade Fair for Home Textiles and Accessories,international trade fair Textiles & Textile Technologies,http://www.intertextilehome.com/
5,Yarn Expo Spring,11.–13.March2026, Shanghai, CHN,China International Trade Fair for Fibres and Yarns,international trade fair Textiles & Textile Technologies,http://yarn-expo-spring.hk.messefrankfurt.com
6,Intertextile Shanghai Apparel Fabrics - Spring Edition,11.–13.March2026, Shanghai, CHN,China International Trade Fair for Apparel Fabrics and Accessories,international trade fair Textiles & Textile Technologies,http://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com
7,Oracle AI World Tour Frankfurt,12.March2026, Frankfurt/Main, DEU,,conference,https://www.oracle.com/de/ai-world-tour/
8,TASH SULTANA - wird auf den 25.03.2027 verlegt,15.March2026, Frankfurt/Main, DEU,Return To The Roots,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/tashsultana.html
9,Die besten Comedians Deutschlands,18.March2026, Frankfurt/Main, DEU,Live,show,http://festhalle.messefrankfurt.com/comedians
10,Deutsche Schmerz- und Palliativtage 2026,19.–21.March2026, Frankfurt/Main, DEU,,conference,https://www.dgschmerzmedizin.de/kongresse/deutsche-schmerz-und-palliativtage/
