exhibitor_id,company_name,country,stand_number,address,profile_description,product_categories,logo_url,profile_url,source_position
484320,3M Safety,INDONESIA,~Selasar D2~S-400,"Arkadia Green Office, Tower F, 8th Fl., Jl. TB. Simatupang Kav. 88 | South","Empowering Health and Safety, Helping Protect You. 3M helps protect workers in a changing world. Across diverse industries and applications, our technology, knowledge and energy drive innovative solutions. Our goal is to help protect you from hazards in the work environment, so you can focus on the job at hand. One of 3M's passions is protecting the health and safety of workers in all types of industries and work environments. This passion drives us to continually innovate across technologies, disciplines and industries, to help keep you and your workers safe and protected. We strive to deliver comfortable, well-designed personal protective equipment (PPE). You can buy 3M Worker Health & Safety PPE, confident in the knowledge that 3M is working hard to provide products that your employees will feel good about wearing.",Personal Protective Equipment,https://eec.informamarkets-info.com/oga/profile/upload/2025/07/22/blob_2025-07-22_20250722155337A080.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/484320/3m-safety,1
501667,ACE Group,AUSTRALIA,~A3~A3-3225,,"ACE Group is a specialised manufacturer of engineered wear lining solutions and high-voltage (HV) cable handling systems, purpose- built for the demanding conditions of mineral processing, heavy industrial and mining operations. Operating through four integrated businesses - Australian Ceramics Engineering (ACE), Enduraclad (ECI), Wear Liner Solutions (WLS), and Cable Handling Services (CHS) - we deliver true end-to-end capability: design, fabrication, installation, and ongoing site and maintenance support, all under one roof. This integrated model means clients deal with a single, accountable partner across the full lifecycle of their assets, not a fragmented supply chain. Our high-performance wear materials are engineered to extend asset life, minimise unplanned downtime, and drive measurable improvements in operational efficiency. ACE Group adalah perusahaan manufaktur spesialis yang menyediakan solusi sistem pelapis tahan aus (wear lining) hasil rekayasa dan sistem penanganan kabel tegangan tinggi (HV), yang dirancang khusus untuk menghadapi kondisi berat pada fasilitas pengolahan mineral, industri berat, dan operasi pertambangan. Melalui empat unit usaha yang terintegrasi—Australian Ceramics Engineering (ACE), Enduraclad (ECI), Wear Liner Solutions (WLS), dan Cable Handling Services (CHS)—kami menyediakan kapabilitas menyeluruh, mulai dari desain, fabrikasi, dan instalasi hingga dukungan lapangan serta layanan pemeliharaan berkelanjutan, yang seluruhnya terintegrasi dalam satu grup. Model terpadu ini memungkinkan klien bekerja dengan satu mitra yang bertanggung jawab penuh sepanjang siklus hidup aset, tanpa harus bergantung pada rantai pasok yang terfragmentasi. Material tahan aus berkinerja tinggi kami dirancang untuk memperpanjang umur pakai aset, meminimalkan waktu henti tidak terencana, dan menghasilkan peningkatan efisiensi operasional yang terukur.","Conveyer Systems,Electrical Equipment & Supplies,Mineral Processing Plants,Protective Coatings & Linings,Services,Others",https://eec.informamarkets-info.com/oga/profile/upload/2026/08/13/blob_2026-08-13_20260813183816A206.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/501667/ace-group,2
491133,ACME EQUIPMENT,SINGAPORE,ASME~D1~D1-8106,11 Buroh Street,"Since 1981, Acme Equipment has been a leading provider of high-quality concrete and construction equipment throughout Asia. The consistent quality, reliable technical support, and quick spare part delivery allows Acme Equipment to cement its reputation as a premier industry supplier. Acme Equipment features diverse range of ready-to-use machinery including stationary concrete pumps, gunite pumps, grouting stations, alongside customized engineering solutions for complex projects such as concrete batching plants, tunnel formwork molds, launching gantries, and more.","Agitators & Mixers,Pumps,Shotcrete Equipment",https://eec.informamarkets-info.com/oga/profile/upload/2026/06/08/blob_2026-06-08_20260608095523A311.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/491133/acme-equipment,3
484410,AEKS SPARE PARTS,TURKEY,~B2~B2-4501,Fevzi Çakmak Mh. 10770 Sk. No: 1/D 42050 Karatay,"AEKS SPARE PARTS is a manufacturer of spare parts for heavy-duty construction and mining equipment, headquartered in Konya, Türkiye. Specializing in spare parts for Volvo Construction Equipment, AEKS SPARE PARTS offers an extensive range of genuine, OEM, and high-quality aftermarket components under its own AEKS brand. With worldwide distribution capabilities, we maintain a well-stocked warehouse ready for immediate dispatch. Our product portfolio includes engine parts, cooling system parts, exhaust parts, filters, electrical parts, power transmission parts, transfer gearbox parts, propeller shafts, front and rear axle parts, brake parts, steering parts, hydraulic system parts, frame, spring and suspension parts, and cabin parts.","Bearings,Continuous Mining Machines,Earth Moving Equipment,Gears,Graders,Lighting Systems,Loaders & Feeders,Pumps,Trucks,Valves",https://eec.informamarkets-info.com/oga/profile/upload/2026/07/08/blob_2026-07-08_20260708130838A943.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/484410/aeks-spare-parts,4
491124,"Aeolus Tyre CO., LTD",CHINA,CHINA - Henan Minghong~A3~A3-3301,,"Aeolus Tyre Co., Ltd., founded in 1965 and a Sinochem holding company, is China's only central SOE-controlled listed tire manufacturer. As a pioneer in China's OTR tire industry, we produced the country's first bias giant OTR tubeless tire and now offer a full range of all-steel radial OTR and giant OTR tires, covering over 140 specifications and tread patterns. Our OTR products are trusted by leading global construction equipment manufacturers including Volvo, Develon, and Hyundai, and we are a strategic supplier to major Chinese OEMs such as LiuGong, Longking, XCMG, and Xiamen XGMA. With an annual capacity of 300,000 all-steel OTR tires and a giant OTR expansion project underway to add another 20,000 units per year, Aeolus is committed to delivering high-performance, cost-effective tire solutions for mining, construction, and port operations worldwide.",Tyre,https://eec.informamarkets-info.com/oga/profile/upload/2026/07/27/blob_2026-07-27_20260727175939A314.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/491124/aeolus-tyre-co-ltd,5
497878,AGGREKO,SINGAPORE,~D1~D1-8201,"8B Buroh Street, Singapore 627532","Aggreko is a global leader in engineered energy and temperature solutions. We design, deploy and optimise the flexible energy and temperature solutions that are essential to our customers’ operations. Where they are needed. For as long as they are needed. Every industry, every application and every location has its own demands and challenges. We bring expertise and experience from every major sector and application to shape solutions that are right for each customer’s site, operation and needs. From the most demanding locations to the most complex applications in the most challenging environments. We work with a full range of equipment and technologies to develop solutions that meet our customers’ needs through the whole lifecycle: from design and deployment to operation, monitoring, optimisation and maintenance. We created the category we lead back in 1962 and continue to invest in our people, services and technologies to keep us, and our customers, ahead. This includes investing in the sustainable equipment, fuels and services that help accelerate our customers’ energy transition, wherever they are on their journey.","Air Conditioning,Electrical Power Transmission Equipment & System,Power Transmission Equipment",https://eec.informamarkets-info.com/oga/profile/upload/2026/08/12/blob_2026-08-12_20260812160807A627.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/497878/aggreko,6
508998,"AIR SURYA RADIATOR, PT",INDONESIA,~C3~C3-6607,"JL. MAWAR NO. 88 RT. 004/002 PADURENAN, MUSTIKAJAYA",,,,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/508998/air-surya-radiator-pt,7
486294,AIR SUSPENSION WHEEL,AUSTRALIA,~A3~A3-3421,"20 Creek Crs, Beerwah QLD 4519 (Australia)","GACWheels Mining is an mining technology company commercialising the patented Air Suspension Wheel (ASW), a revolutionary airless wheel system designed to replace conventional off-the-road (OTR) mining tyres on haul trucks and other heavy mining equipment. The ASW combines a steel wheel architecture with integrated pneumatic suspension technology to deliver significant improvements in safety, productivity, sustainability, and operating cost performance. Through its innovative Wheels-as-a-Service (WaaS) business model, GACWheels provides mining operators with a fully managed wheel solution focused on reducing tyre-related downtime, improving fleet availability, and lowering total cost of ownership. The company is actively working with leading mining operators to validate and deploy the technology under structured field programs governed by defined performance metrics and operational KPIs. Headquartered in Australia with engineering and operational support delivered through its Queensland-based Operations Centre of Excellence, GACWheels supports mining customers globally through a network of qualified manufacturing partners and service providers. The company's deployment strategy spans Australia, North America, Asia-Pacific, and emerging mining markets, including Indonesia. GACWheels' mission is to help mining operations improve safety, reduce environmental impact, and enhance fleet productivity by eliminating many of the inherent limitations of traditional rubber mining tyres.","Tires,Tyre,Wheels & Rims",https://eec.informamarkets-info.com/oga/profile/upload/2026/07/27/blob_2026-07-27_20260727180205A329.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/486294/air-suspension-wheel,8
484434,ALAKASA MODULAR HOUSE,INDONESIA,~A1~A1-1009,"Jalan Pulo Gadung No. 4, Cakung, Jakarta Timur 13920","PT ALAKASA Andalan Mitra Sejati is an aluminium and metal manufacturer and fabricator company since 1972. ALAKASA now has established Prefabricated Modular House, a multi-purpose product which can be used as site office, mess, warehouse, and many more with quick installation system and building time.",Buildings & Building Materials,https://eec.informamarkets-info.com/oga/profile/upload/2026/06/26/blob_2026-06-26_20260626091404A127.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/484434/alakasa-modular-house,9
491436,ALLTERRA GEOSPASIAL INDONESIA,INDONESIA,~D2~D2-9742,,,,,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/491436/allterra-geospasial-indonesia,10
