,,,,,,,,,
,August 2026 Overseas Trade Events (Hong Kong Focus),,,,,,,,
,,,,,,,,,
,Event Name,Event Organizer,Event URL,Exhibitor Directory Link,Event Dates,Location,Sample / Target Exhibitor Names (Hong Kong Focus),Status,Extracted File Name
,FLAsia - Franchising & Licensing Asia 2026,Constellar Exhibitions,https://www.franchiselicenseasia.com,https://franchiselicenseasia.com/exhibitor-profile/,"August 13–15, 2026",Singapore (Sands Expo),"HK F&B Franchises, Retail Brands, IP Licensors",Done,
,Vietnam Sport Show 2026,VINEXAD,https://sportshow.com.vn,https://sportshow.com.vn/en/listexhibition-this-yr-2/?display=list,"August 13–15, 2026","Ho Chi Minh City, Vietnam","HK Sporting Goods Manufacturers, Wearable Tech Exporters",Done,
,Food & Hospitality Thailand 2026,Informa Markets,https://www.foodhospitalitythailand.com,https://www.fhtevent.com/food/2026/en/list_participants.asp,"August 19–22, 2026","Bangkok, Thailand (QSNCC)","CP Group, Betagro, Nestlé Professional, Diversey, HK F&B Suppliers",Done,
,TAIROS 2026 (Taiwan Automation & Robot Show),TAIROA,https://www.tairos.tw,https://tairos.chanchao.com.tw/en/VisitorExhibitor,"August 19–22, 2026","Taipei, Taiwan","HK AI Startups, Robotics Developers, Electronics Trading",Done,
,CPHI Korea 2026,Informa Markets,https://www.cphi.com/korea/,https://www.cphi.com/korea/exhibit/exhibitor-stands/,"August 25–27, 2026","Seoul, South Korea (COEX)","Samsung Biologics, Celltrion, Lonza, SK Chemical, HK Pharma Traders",Done,
,The Business Show Singapore 2026,The Business Show Ltd,https://www.singaporebusinessshow.com,https://www.asiabusinessshow.com/exhibitors,"August 26–27, 2026",Singapore (Sands Expo),"HK SME Services, FinTech Startups, B2B SaaS Providers",Done,
,TECHSPO Singapore 2026 / DigiMarCon SEA,Digimarcon LLC,https://techsposingapore.sg,https://techsposingapore.sg/exhibitors/,"August 26–27, 2026",Singapore,"HK IT Infrastructure, Cyber Security, Digital Marketing Agencies",Done,
,Asia Pacific Coatings Show 2026,dmg events,https://www.asiapacificcoatingsshow.com,https://www.asiapacificcoatingsshow.com/exhibitors/,"August 26–28, 2026","Bangkok, Thailand","Jotun, AkzoNobel, BASF, Evonik, HK Chemical & Material Distributors",Done,
,ICH Shenzhen 2026 (Connector Cable & Harness Expo),Far East Exhibition,http://www.ich-expo.com/en/,http://www.ich-expo.com/en/exhibitors,"August 26–28, 2026","Shenzhen, China (Shenzhen World)","HK Cable & Wire Harness Traders, Electronic Components Suppliers",Done,
,BioProcess International APAC 2026,Informa Connect,https://informaconnect.com/bioprocess-international-asia/,https://informaconnect.com/bioprocess-international-asia/exhibitors/,"August 31–September 2, 2026",Singapore (Sands Expo),"HK Biotech Firms, Medical Research Institutes, Pharma Supply Chain",Done,
,Retail Asia Conference & Expo (RACE) 2026,Informa Markets,https://www.retailasiaexpo.com,https://www.retailasiaexpo.com/exhibitor-list/,"September 1–3, 2026",Hong Kong (HKCEC),"Retail Tech, E-commerce Logistics, Smart Payment Providers, Store Design",Done,
,Asia Fruit Logistica 2026,Global Produce Events Ltd,https://www.asiafruitlogistica.com,https://www.asiafruitlogistica.com/exhibitors/,"September 2–4, 2026",Hong Kong (AsiaWorld-Expo),"Fresh Produce Suppliers, Agricultural Tech, Cold Chain Logistics, Packaging",Done,
,"Restaurant, Bar & Café Hong Kong 2026 (RBHK)",Informa Markets,https://www.rbhk-ga.com/,https://www.rbhk-ga.com/exhibit/exhibitor/,"September 1–3, 2026",Hong Kong (HKCEC),"HK F&B Suppliers, Commercial Kitchen Equipment, Specialty Coffee Roasters, Craft Beverages",Done,
,SIAL in China South 2026 (SIAL Guangzhou),Comexposium / SIAL,https://www.sialchina.com/guangzhou,https://www.sialchina.com/guangzhou,"September 2–4, 2026","Guangzhou, China (Poly World Trade Expo Center)","HK Gourmet Food Exporters, Beverage Brands, Health & Organic Food Distributors",Done,
,CIFF Shanghai 2026 (China International Furniture Fair),"China Foreign Trade Guangzhou Exhibition Co., Ltd. (CFTE) / Red Star Macalline",https://en.ciff-sh.com/,https://en.ciff-sh.com/exhibitors,"September 5–8, 2026","Shanghai, China (NECC)","HK Furniture Designers, Office Ergonomics Brands, Home Furnishing Exporters",Done,
,CIOE 2026 (The 27th China International Optoelectronic Exposition),Informa Markets / CIOE,https://www.cioe.cn/en/,https://exhibitors.cioe.cn/gwen/index.html,"September 9–11, 2026","Shenzhen, China (Shenzhen World Exhibition & Convention Center)","HK Optical Components Suppliers, Precision Laser Manufacturers, AR/VR Tech Startups",Done,
,BIOHK 2026,Hong Kong Biotechnology Organization (HKBIO),https://www.bio-hk.com/,https://www.bio-hk.com/,"September 9–12, 2026",Hong Kong (HKCEC),"HK Biotech Startups, Clinical Research Labs, Pharmaceutical Developers, MedTech Firms",No Exhibitor List,
,LED CHINA 2026 Shanghai / Digital Signage Shanghai 2026,Informa Markets / Trust Exhibition,https://www.ledchina.com/en/,https://www.ledchina.com/en/shanghai-exhibitors/,"September 15–17, 2026","Shanghai, China (SNIEC)","HK Digital Signage Integrators, Commercial Display Suppliers, Smart Lighting Solutions",Done,
,Seafood Expo Asia 2026,Diversified Communications,https://www.seafoodexpo.com/asia/,https://www.seafoodexpo.com/asia/exhibitor-list/,"September 2–4, 2026",Singapore (Sands Expo & Convention Centre),"HK Seafood Traders, Cold Chain Importers/Exporters, Aquaculture Technology Providers",Done,
,SEMICON Taiwan 2026,SEMI / SEMI Taiwan,https://www.semicontaiwan.org/en,https://expo.semi.org/taiwan2026/public/Enter.aspx,"September 2–4, 2026","Taipei, Taiwan (TaiNEX 1 & 2)","HK Semiconductor Design Houses, IC Packaging & Testing Providers, Electronic Materials Exporters",Done,
,Furniture China 2026 / Maison Shanghai 2026,Shanghai Sinoexpo Informa Markets / China National Furniture Association (CNFA),https://www.furniture-china.cn/en,https://www.furniture-china.cn/en/exhibitors,"September 8–11, 2026","Shanghai, China (SNIEC & SWEECC)","HK Interior Lifestyle Brands, Furniture Designers, Commercial Office Furnishing Exporters",Done,
,Jewellery & Gem WORLD Hong Kong 2026 (JGW September),Informa Markets,https://jgw.exhibitions.jewellerynet.com/,https://jgw.exhibitions.jewellerynet.com/online-exhibitor-list-2026/,"September 14–18, 2026 (AWE) & September 16–20, 2026 (HKCEC)",Hong Kong (AsiaWorld-Expo & HKCEC),"HK Fine Jewellery Manufacturers, Diamond & Gemstone Cutters, Pearl Traders, Jewellery Packaging & Lab Tech",Done,
,SEASONS | Autumn - Fashion Jewellery & Accessories Fair 2026,Informa Markets,https://seasonsautumn.exhibitions.jewellerynet.com/,https://seasonsautumn.exhibitions.jewellerynet.com/online-exhibitor-list-2026/,"September 16–20, 2026","Hong Kong (HKCEC, Halls 5BC)","HK Fashion Jewellery Designers, Silver & Stainless Steel Accessories Exporters, Fashion Accessories Traders",No Exhibitor List,
,Tube China 2026 / wire China 2026,"Messe Düsseldorf (Shanghai) Co., Ltd. / MC-CCPIT",https://www.tubechina.net/en/,https://www.tubechina.net/en/exhibitor/,"September 21–24, 2026","Shanghai, China (SNIEC)","HK Metal Tube & Pipe Traders, Wire & Cable Manufacturers, Industrial Raw Material Suppliers",Done,
,CPHI Shenzhen 2026,Informa Markets,https://www.cphi.com/china-shenzhen/,https://exhibitors.cphi-china.cn/shenzhen/?language=en,"September 16–18, 2026","Shenzhen Convention & Exhibition Center (SZCEC), China","Samsung Biologics, Celltrion, Lonza, SK Chemical, HK Pharma Traders",Done,
,CIBE Guangzhou 2026 (65th China International Beauty Expo - Autumn),Guangdong Beauty & Cosmetic Association / CIBE,https://www.cibe.com.cn/,https://www.cibe.com.cn/exhibitor,"September 4–6, 2026","Guangzhou, China (China Import & Export Fair Complex, Pazhou)","HK Skincare & Cosmetics Brands, OEM/ODM Beauty Manufacturers, Medical Aesthetic Equipment Exporters",Done,
,IFA Berlin 2026,IFA Management GmbH / gfu,https://www.ifa-berlin.com/,https://www.ifa-berlin.com/exhibitors-2026,"September 4–8, 2026","Berlin, Germany (Messe Berlin)","HK Consumer Electronics Exporters, Smart Home IoT Brands, Audio & Mobile Accessories Manufacturers",Agent Extraction,ifa_berlin_exhibitors_2026.csv
,Medical Fair Asia 2026 / Medical Manufacturing Asia 2026,Messe Düsseldorf Asia,https://www.medicalfair-asia.com/,https://www.medicalfair-asia.com/exhibitor-list,"September 9–11, 2026",Singapore (Sands Expo & Convention Centre),"HK MedTech Startups, Medical Diagnostics & PPE Suppliers, Hospital Equipment Importers/Exporters",Agent Extraction,medical_fair_asia_2026_exhibitors.csv
,elexcon 2026 (Shenzhen International Electronics Exhibition),Informa Markets / Creativity Exhibition,https://www.elexcon.com/,https://www.elexcon.com/exhibitors,"September 9–11, 2026","Shenzhen, China (Shenzhen World Exhibition & Convention Center)","HK Semiconductor Distributors, Embedded Systems Developers, Electronic Components Trading Firms",Manual Extraction,
,RubberTech China 2026 (The 24th International Exhibition on Rubber Technology),,https://en.rubbertech-expo.com/,https://registeren.rubbertech-expo.com/,"September 15–17, 2026","Shanghai, China (SNIEC)","HK Polymer & Rubber Trading Firms, Industrial Chemicals Distributors, Automotive Parts Suppliers",No Exhibitor List,
