Name of Contract,Tendering Procedure,Contractor(s) & Address(es),Amount(HK$)/ Contract Award Date,Contractor(s),Address(es),Amount(HK$),Contract Award Date
Provision of Software Licences for Mobile Devices of Enterprise Mobility Management Infrastructure for the Hong Kong Housing Authority (Tender Ref. ITT20250587) (Contract No. IC20250587),Open,"Kinetix Systems Limited Suites 3103-5, 31/F, AIA Kowloon Tower, Landmark East, 100 How Ming Street, Kwun Tong, Kowloon, Hong Kong","2,999,567.50 3 March 2026",Kinetix Systems Limited,"Suites 3103-5, 31/F, AIA Kowloon Tower, Landmark East, 100 How Ming Street, Kwun Tong, Kowloon, Hong Kong","2,999,567.50",3 March 2026
"Construction of Public Housing Development at Po Shek Wu Road, Sheung Shui (Contract No. 20250025)",Selective,"Woon Lee Construction Company Limited 8/F, Enterprise Square Three, 39 Wang Chiu Road, Kowloon Bay, Kowloon, Hong Kong","2,065,790,000.00 11 March 2026",Woon Lee Construction Company Limited,"8/F, Enterprise Square Three, 39 Wang Chiu Road, Kowloon Bay, Kowloon, Hong Kong","2,065,790,000.00",11 March 2026
Construction of Public Housing Development at Tin Wah Road Phase 1 (Contract No. 20250218),Selective,"CR Construction Company Limited Unit 3-16, Level 32, Standard Chartered Tower of Millennium City 1, 388 Kwun Tong Road, Kwun Tong, Kowloon, Hong Kong","1,433,800,000.00 27 March 2026",CR Construction Company Limited,"Unit 3-16, Level 32, Standard Chartered Tower of Millennium City 1, 388 Kwun Tong Road, Kwun Tong, Kowloon, Hong Kong","1,433,800,000.00",27 March 2026
Soft Landscape Works for Public Housing Development at Tung Chung Area 109 (Contract No. 20250239),Selective,"Asia Landscaping Limited Flat A & C, 4/F, International Industrial Centre, 2-8 Kwei Tei Street, Fo Tan, Sha Tin, New Territories, Hong Kong","1,950,000.00 20 March 2026",Asia Landscaping Limited,"Flat A & C, 4/F, International Industrial Centre, 2-8 Kwei Tei Street, Fo Tan, Sha Tin, New Territories, Hong Kong","1,950,000.00",20 March 2026
Supply of Insect Repellent and Sunscreen Lotion for the Hong Kong Housing Authority (Tender Ref. HTQ20250342) (Contract No. DS20250342),Open,"Day Day Clean Limited Flat S, Block 2, 17/F, Goldfield Industrial Building, 144-150 Tai Lin Pai Road, Kwai Fong, New Territories, Hong Kong","160,349.85 24 March 2026",Day Day Clean Limited,"Flat S, Block 2, 17/F, Goldfield Industrial Building, 144-150 Tai Lin Pai Road, Kwai Fong, New Territories, Hong Kong","160,349.85",24 March 2026
Provision of Cleansing Services for the Office of Civil Engineering Sections in Pioneer Centre (Tender Ref. HAQ20250304) (Contract No. DC20250304),Open,"King’s Cleaning Company Limited Flat C, 11/F, United Daily News Centre, 21 Yuk Yat Street, To Kwa Wan, Kowloon, Hong Kong","769,670.00 19 March 2026",King’s Cleaning Company Limited,"Flat C, 11/F, United Daily News Centre, 21 Yuk Yat Street, To Kwa Wan, Kowloon, Hong Kong","769,670.00",19 March 2026
"Partial Lift Modernization for Yiu Chak, Yiu Fung and Yiu Wah Houses in Tin Yiu (II) Estate (Contract No. 20259023)",Selective,"TK Elevator Hong Kong Limited 31/F, Enterprise Square Three, 39 Wang Chiu Road, Kowloon Bay, Kowloon, Hong Kong","24,201,121.00 6 March 2026",TK Elevator Hong Kong Limited,"31/F, Enterprise Square Three, 39 Wang Chiu Road, Kowloon Bay, Kowloon, Hong Kong","24,201,121.00",6 March 2026
"Water Supply & Fire Services Term Maintenance Contract (HKI Region) P 2026/2029 for Housing Authority Estates, Areas and Buildings (Contract No. 20259004)",re-qualified,"Man Lick Engineering and Trading Company Limited Flat 1, 4/F, Kinglet Industrial Building, 21-23 Shing Wan Road, Tai Wai, Sha Tin, New Territories, Hong Kong","163,855,680.00 10 March 2026",Man Lick Engineering and Trading Company Limited,"Flat 1, 4/F, Kinglet Industrial Building, 21-23 Shing Wan Road, Tai Wai, Sha Tin, New Territories, Hong Kong","163,855,680.00",10 March 2026
"Water Supply & Fire Services Term Maintenance Contract (TNS Region) P 2026/2029 for Housing Authority Estates, Areas and Buildings (Contract No. 20259005)",re-qualified,"Lee Yu Kee Fire Protection Limited Unit 13, 6/F, Block A2, Yau Tong Industrial City, 17 Ko Fai Road, Yau Tong, Kowloon, Hong Kong","148,363,800.00 10 March 2026",Lee Yu Kee Fire Protection Limited,"Unit 13, 6/F, Block A2, Yau Tong Industrial City, 17 Ko Fai Road, Yau Tong, Kowloon, Hong Kong","148,363,800.00",10 March 2026
"Water Supply & Fire Services Term Maintenance Contract (KE Region) P 2026/2029 for Housing Authority Estates, Areas and Buildings (Contract No. 20259007)",re-qualified,"Bestwise Envirotech Limited Suite 202, 2/F, Block 1, Hofai Commercial Centre, 218 Sai Lau Kok Road, Tsuen Wan, New Territories, Hong Kong","222,037,750.00 10 March 2026",Bestwise Envirotech Limited,"Suite 202, 2/F, Block 1, Hofai Commercial Centre, 218 Sai Lau Kok Road, Tsuen Wan, New Territories, Hong Kong","222,037,750.00",10 March 2026
