Name of Contract,Tendering Procedure,Contractor(s) & Address(es),Amount(HK$)/ Contract Award Date,Contractor(s),Address(es),Amount(HK$),Contract Award Date
"Design, Implementation, Maintenance, Training and Other Related Services of the Migration of the Enterprise Mobility Management Infrastructure to the Housing Authority Cloud Computing Infrastructure for the Hong Kong Housing Authority (Tender Ref. HAQ20250280) (Contract No. DC20250280)",Open,"Kinetix Systems Limited Suites 3103-5, 31/F, AIA Kowloon Tower, Landmark East, 100 How Ming Street, Kwun Tong, Kowloon, Hong Kong","2,990,000.00 2 December 2025",Kinetix Systems Limited,"Suites 3103-5, 31/F, AIA Kowloon Tower, Landmark East, 100 How Ming Street, Kwun Tong, Kowloon, Hong Kong","2,990,000.00",2 December 2025
"Air-conditioning and Ventilation Systems Term Maintenance Contract P (Kowloon East, Wong Tai Sin, Tsing Yi, Tsuen Wan, Kwai Chung, Tuen Mun and Yuen Long Regions) 2025/26-2028/29 for Housing Authority Estates, Areas and Buildings (Contract No. 20249412)",re-qualified,"Wenden Engineering Service Company Limited Room 1402, 14/F, Causeway Bay Centre, 15-23 Sugar Street, Causeway Bay, Hong Kong","233,307,200.00 5 December 2025",Wenden Engineering Service Company Limited,"Room 1402, 14/F, Causeway Bay Centre, 15-23 Sugar Street, Causeway Bay, Hong Kong","233,307,200.00",5 December 2025
"Air-conditioning and Ventilation Systems Term Maintenance Contract P (Kowloon West, Sai Kung, Tai Po, North, Shatin, Hong Kong and Islands Regions) 2026/27-2029/30 for Housing Authority Estates, Areas and Buildings (Contract No. 20249413)",re-qualified,"Hsin Chong Aster Building Services Limited 6/F, 133 Wai Yip Street, Kwun Tong, Kowloon, Hong Kong","192,892,000.00 5 December 2025",Hsin Chong Aster Building Services Limited,"6/F, 133 Wai Yip Street, Kwun Tong, Kowloon, Hong Kong","192,892,000.00",5 December 2025
"Property Services Contract (PSA Mode) for Mei Lam, Yan On and Fung Wo Estates and Residual Services for Five (5) (HOS) Courts",Selective,"Modern Living Property Management Limited Unit 1102-03, 11/F, Delta House, 3 On Yiu Street, Sha Tin, New Territories, Hong Kong","208,430,633.26 30 December 2025",Modern Living Property Management Limited,"Unit 1102-03, 11/F, Delta House, 3 On Yiu Street, Sha Tin, New Territories, Hong Kong","208,430,633.26",30 December 2025
Cleansing Service Contract for Chun Shek Estate,Selective,"Li Hing Environmental Services Company Limited Flat B, 1/F, Tai King Industrial Building, 700-702 Prince Edward Road East, San Po Kong, Kowloon, Hong Kong","4,932,000.00 (1st Year Contract Sum) 22 December 2025",Li Hing Environmental Services Company Limited,"Flat B, 1/F, Tai King Industrial Building, 700-702 Prince Edward Road East, San Po Kong, Kowloon, Hong Kong","4,932,000.00",(1st Year Contract Sum) 22 December 2025
Cleansing Service Contract for On Ting Estate,Selective,"Li Hing Environmental Services Company Limited Flat B, 1/F, Tai King Industrial Building, 700-702 Prince Edward Road East, San Po Kong, Kowloon, Hong Kong","7,437,600.00 (1st Year Contract Sum) 22 December 2025",Li Hing Environmental Services Company Limited,"Flat B, 1/F, Tai King Industrial Building, 700-702 Prince Edward Road East, San Po Kong, Kowloon, Hong Kong","7,437,600.00",(1st Year Contract Sum) 22 December 2025
Cleansing Service Contract for Sam Shing Estate,Selective,"Li Hing Environmental Services Company Limited Flat B, 1/F, Tai King Industrial Building, 700-702 Prince Edward Road East, San Po Kong, Kowloon, Hong Kong","3,690,000.00 (1st Year Contract Sum) 22 December 2025",Li Hing Environmental Services Company Limited,"Flat B, 1/F, Tai King Industrial Building, 700-702 Prince Edward Road East, San Po Kong, Kowloon, Hong Kong","3,690,000.00",(1st Year Contract Sum) 22 December 2025
Cleansing Service Contract for Wah Fu (II) Estate,Selective,"Ying Wah Cleaning Service Limited Room 1201, 12/F, Kwai Fong Commercial Centre, 7 Shing Fong Street, Kwai Chung, New Territories, Hong Kong","8,196,000.00 (1st Year Contract Sum) 23 December 2025",Ying Wah Cleaning Service Limited,"Room 1201, 12/F, Kwai Fong Commercial Centre, 7 Shing Fong Street, Kwai Chung, New Territories, Hong Kong","8,196,000.00",(1st Year Contract Sum) 23 December 2025
Cleansing Service Contract for Lok Wah (South) Estate,Selective,"Sun Lee Cleansing Company Limited Unit 810, 8/F, Asia Trade Centre, 79 Lei Muk Road, Kwai Chung, New Territories, Hong Kong","11,880,000.00 (1st Year Contract Sum) 23 December 2025",Sun Lee Cleansing Company Limited,"Unit 810, 8/F, Asia Trade Centre, 79 Lei Muk Road, Kwai Chung, New Territories, Hong Kong","11,880,000.00",(1st Year Contract Sum) 23 December 2025
Cleansing Service Contract for Yau Oi Estate,Selective,"Creative Property Services Consultants Limited Units E & F, 25/F, Block 2, Vigor Industrial Building, 49-53 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong","14,520,000.00 (1st Year Contract Sum) 22 December 2025",Creative Property Services Consultants Limited,"Units E & F, 25/F, Block 2, Vigor Industrial Building, 49-53 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong","14,520,000.00",(1st Year Contract Sum) 22 December 2025
Security Service Contract for Cheung Hong Estate,Selective,"Nice Property Management Limited Room 1802-1804, 18/F, New Trend Centre, 704 Prince Edward Road East, Kowloon, Hong Kong","20,226,283.08 (1st Year Contract Sum) 22 December 2025",Nice Property Management Limited,"Room 1802-1804, 18/F, New Trend Centre, 704 Prince Edward Road East, Kowloon, Hong Kong","20,226,283.08",(1st Year Contract Sum) 22 December 2025
Security Service Contract for Model Housing Estate,Selective,"Creative Property Services Consultants Limited Units E & F, 25/F, Block 2, Vigor Industrial Building, 49-53 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong","4,247,748.00 (1st Year Contract Sum) 23 December 2025",Creative Property Services Consultants Limited,"Units E & F, 25/F, Block 2, Vigor Industrial Building, 49-53 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong","4,247,748.00",(1st Year Contract Sum) 23 December 2025
Security Service Contract for Hing Man Estate,Selective,"Pioneer Management Limited 1/F, KOHO, 73-75 Hung To Road, Kwun Tong, Kowloon, Hong Kong","7,300,524.00 (1st Year Contract Sum) 23 December 2025",Pioneer Management Limited,"1/F, KOHO, 73-75 Hung To Road, Kwun Tong, Kowloon, Hong Kong","7,300,524.00",(1st Year Contract Sum) 23 December 2025
Security Service Contract for Wan Tsui Estate,Selective,"Creative Property Services Consultants Limited Units E & F, 25/F, Block 2, Vigor Industrial Building, 49-53 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong","12,672,300.00 (1st Year Contract Sum) 23 December 2025",Creative Property Services Consultants Limited,"Units E & F, 25/F, Block 2, Vigor Industrial Building, 49-53 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong","12,672,300.00",(1st Year Contract Sum) 23 December 2025
Security Service Contract for Sha Kok Estate,Selective,"Unimax Property Consultancy Limited Flat C, 4/F, Harvest Building, 29-35 Wing Kut Street, Sheung Wan, Hong Kong","21,056,820.00 (1st Year Contract Sum) 22 December 2025",Unimax Property Consultancy Limited,"Flat C, 4/F, Harvest Building, 29-35 Wing Kut Street, Sheung Wan, Hong Kong","21,056,820.00",(1st Year Contract Sum) 22 December 2025
