Name of Contract,Tendering Procedure,Contractor(s) & Address(es),Amount(HK$)/ Contract Award Date,Contractor(s),Address(es),Amount(HK$),Contract Award Date
Construction of Public Housing Development at Sheung Shui Areas 4 and 30 Site 1 Phase 2 (Contract No. 20240597),Selective,"Shui On Building Contractors Limited 34/F., Shui On Centre, 6-8 Harbour Road, Wan Chai, Hong Kong","1,448,000,000.00 7 January 2026",Shui On Building Contractors Limited,"34/F., Shui On Centre, 6-8 Harbour Road, Wan Chai, Hong Kong","1,448,000,000.00",7 January 2026
"Construction of Public Housing Development at Wang Chau Site A, Yuen Long (Contract No. 20250015)",Selective,"Woon Lee Construction Company Limited 8/F, Enterprise Square Three, 39 Wang Chiu Road, Kowloon Bay, Kowloon, Hong Kong","2,365,042,000.00 2 January 2026",Woon Lee Construction Company Limited,"8/F, Enterprise Square Three, 39 Wang Chiu Road, Kowloon Bay, Kowloon, Hong Kong","2,365,042,000.00",2 January 2026
Construction of Public Housing Development at Tung Chung Area 119 (Contract No. 20250053),Selective,"Shui On Building Contractors Limited 34/F., Shui On Centre, 6-8 Harbour Road, Wan Chai, Hong Kong","1,636,000,000.00 20 January 2026",Shui On Building Contractors Limited,"34/F., Shui On Centre, 6-8 Harbour Road, Wan Chai, Hong Kong","1,636,000,000.00",20 January 2026
Soft Landscape Works for Public Housing Development at Tuen Mun Area 29 West (Contract No. 20240014),Selective,"Asia Landscaping Limited Flat A & C, 4/F, International Industrial Centre, 2-8 Kwei Tei Street, Fo Tan, Sha Tin, New Territories, Hong Kong","2,000,000.00 9 January 2026",Asia Landscaping Limited,"Flat A & C, 4/F, International Industrial Centre, 2-8 Kwei Tei Street, Fo Tan, Sha Tin, New Territories, Hong Kong","2,000,000.00",9 January 2026
"District Term Contract for the Maintenance, Improvement and Vacant Flat Refurbishment for Tuen Mun and Yuen Long (3) 2026-2029 (Contract No. 20259089)",Selective,"Cheung Hing Construction Company Limited Unit 6, 4/F, Liven House, 61-63 King Yip Street, Kwun Tong, Kowloon, Hong Kong","391,477,840.00 28 January 2026",Cheung Hing Construction Company Limited,"Unit 6, 4/F, Liven House, 61-63 King Yip Street, Kwun Tong, Kowloon, Hong Kong","391,477,840.00",28 January 2026
"District Term Contract for the Maintenance, Improvement and Vacant Flat Refurbishment for Kowloon East (2) 2026-2029 (Contract No. 20259091)",Selective,"Hop Lee Builders Company Limited 12/F, Comweb Plaza, 12 Cheung Yue Street, Cheung Sha Wan, Kowloon, Hong Kong","714,280,980.00 20 January 2026",Hop Lee Builders Company Limited,"12/F, Comweb Plaza, 12 Cheung Yue Street, Cheung Sha Wan, Kowloon, Hong Kong","714,280,980.00",20 January 2026
Redecoration of Choi Yuen Estate and Tai Yuen Estate (Contract No. 20259067),Selective,"K-Peak Company Limited Unit 1, 12/F, Lee Sum Factory Building, 23 Sze Mei Street, San Po Kong, Kowloon, Hong Kong","52,339,535.00 12 January 2026",K-Peak Company Limited,"Unit 1, 12/F, Lee Sum Factory Building, 23 Sze Mei Street, San Po Kong, Kowloon, Hong Kong","52,339,535.00",12 January 2026
"Operation and Maintenance of Automated Refuse Collection System for Kwai Chung Estate Phase 3, 4, 5 and 7, Kwai Chung, New Territories (Contract No. 20259053)",Open,"Envac Far East Limited Unit 508, 5/F, Building 12W, Phase 3, Hong Kong Science Park, Pak Shek Kok, Sha Tin, New Territories, Hong Kong","9,900,000.00 27 January 2026",Envac Far East Limited,"Unit 508, 5/F, Building 12W, Phase 3, Hong Kong Science Park, Pak Shek Kok, Sha Tin, New Territories, Hong Kong","9,900,000.00",27 January 2026
Property Management Agency Contract for Kai Ying Court,Selective,"Creative Property Services Consultants Limited Units E & F, 25/F, Block 2, Vigor Industrial Building, 49-53 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong","27,724,737.04 9 January 2026",Creative Property Services Consultants Limited,"Units E & F, 25/F, Block 2, Vigor Industrial Building, 49-53 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong","27,724,737.04",9 January 2026
Property Management Agency Contract for Kam Pak Court,Selective,"Creative Property Services Consultants Limited Units E & F, 25/F, Block 2, Vigor Industrial Building, 49-53 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong","30,531,555.72 8 January 2026",Creative Property Services Consultants Limited,"Units E & F, 25/F, Block 2, Vigor Industrial Building, 49-53 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong","30,531,555.72",8 January 2026
Property Services Contract (PMA Mode) for Queens Hill Estate,Selective,"China Overseas Property Services Limited 19/F, China Overseas Building, 139 Hennessy Road, Wan Chai, Hong Kong","119,635,251.76 22 January 2026",China Overseas Property Services Limited,"19/F, China Overseas Building, 139 Hennessy Road, Wan Chai, Hong Kong","119,635,251.76",22 January 2026
Property Services Contract (PMA Mode) for Kwu Chun Estate,Selective,"China Overseas Property Services Limited 19/F, China Overseas Building, 139 Hennessy Road, Wan Chai, Hong Kong","135,352,973.75 22 January 2026",China Overseas Property Services Limited,"19/F, China Overseas Building, 139 Hennessy Road, Wan Chai, Hong Kong","135,352,973.75",22 January 2026
Property Services Contract (PMA Mode) for Fung Wong Leng and Choi Shek Estates,Selective,"Funing Property Management Limited Flat D, 11/F, Block 3, Kwun Tong Industrial Centre, 448-458 Kwun Tong Road, Kwun Tong, Kowloon, Hong Kong","158,797,949.82 22 January 2026",Funing Property Management Limited,"Flat D, 11/F, Block 3, Kwun Tong Industrial Centre, 448-458 Kwun Tong Road, Kwun Tong, Kowloon, Hong Kong","158,797,949.82",22 January 2026
