Name of Contract,Tendering Procedure,Contractor(s) & Address(es),Amount(HK$)/ Contract Award Date,Contractor(s),Address(es),Amount(HK$),Contract Award Date
Provision of Virtualisation Software and Related Maintenance Services for the Hong Kong Housing Authority (Tender Ref. ITT20260159) (Contract No. IC20260159),Open,"ELM Computer Technologies Limited Unit 1201-07, 12/F, Topsail Plaza, 11 On Sum Street, Sha Tin, New Territories, Hong Kong","9,880,110.00 16 June 2026",ELM Computer Technologies Limited,"Unit 1201-07, 12/F, Topsail Plaza, 11 On Sum Street, Sha Tin, New Territories, Hong Kong","9,880,110.00",16 June 2026
Advance Civil Engineering Works for Public Housing Development P Projects Batch 15 (2024-2026) (Contract No. 20250407),re-qualified,"Excel Engineering Company Limited 155 Waterloo Road, Kowloon Tong, Kowloon, Hong Kong","9,500,000.00 5 June 2026",Excel Engineering Company Limited,"155 Waterloo Road, Kowloon Tong, Kowloon, Hong Kong","9,500,000.00",5 June 2026
Soft Landscape Works for Public Housing Development at Hiu Ming Street (Contract No. 20250002),Selective,"Blakedown (Hong Kong) Limited Room 411, 4/F, Block B, Sheung Shui Plaza, 3 Ka Fu Close, Sheung Shui, New Territories, Hong Kong","944,892.00 10 June 2026",Blakedown (Hong Kong) Limited,"Room 411, 4/F, Block B, Sheung Shui Plaza, 3 Ka Fu Close, Sheung Shui, New Territories, Hong Kong","944,892.00",10 June 2026
"Engineering Services on Structural and Geotechnical Design for Public Housing Development at Near Tan Kwai Tsuen Phase 3, Yuen Long (Agreement No. CB20250006)",Selective,"Meinhardt (C&S) Limited 10/F, Genesis, 33-35 Wong Chuk Hang Road, Wong Chuk Hang, Hong Kong","9,690,000.00 12 June 2026",Meinhardt (C&S) Limited,"10/F, Genesis, 33-35 Wong Chuk Hang Road, Wong Chuk Hang, Hong Kong","9,690,000.00",12 June 2026
"Architectural Services for Public Housing Development at Near Tan Kwai Tsuen Phase 3, Yuen Long (Agreement No. CB20240632)",Selective,"WCWP International Limited 20/F, Tower 1, The Millennity, 98 How Ming Street, Kwun Tong, Kowloon, Hong Kong","12,988,000.00 3 June 2026",WCWP International Limited,"20/F, Tower 1, The Millennity, 98 How Ming Street, Kwun Tong, Kowloon, Hong Kong","12,988,000.00",3 June 2026
Professional Services Provider Agreement for Provision of Body-shopped Engineering Site Supervisors (Structural) (2026 Package B) (Agreement No. CB20250355),Selective,"Asia Infrastructure Solutions Limited 23/F, Two Harbour Square, 180 Wai Yip Street, Kwun Tong, Kowloon, Hong Kong","5,341,608.00 16 June 2026",Asia Infrastructure Solutions Limited,"23/F, Two Harbour Square, 180 Wai Yip Street, Kwun Tong, Kowloon, Hong Kong","5,341,608.00",16 June 2026
Professional Services Provider Agreement for Provision of Body-shopped Engineering Site Supervisors (Structural) (2026 Package C) (Agreement No. CB20250356),Selective,"Canwest Consultants Limited 15/F, 633 King's Road, North Point, Hong Kong","5,233,608.00 16 June 2026",Canwest Consultants Limited,"15/F, 633 King's Road, North Point, Hong Kong","5,233,608.00",16 June 2026
Professional Services Provider Agreement for Provision of Body-shopped Engineering Site Supervisors (Structural) (2026 Package D) (Agreement No. CB20250357),Selective,"Canwest Consultants Limited 15/F, 633 King's Road, North Point, Hong Kong","5,233,608.00 16 June 2026",Canwest Consultants Limited,"15/F, 633 King's Road, North Point, Hong Kong","5,233,608.00",16 June 2026
Professional Services Provider Agreement for Provision of Body-shopped Engineering Site Supervisors (Structural) (2026 Package E) (Agreement No. CB20250358),Selective,"Mannings (Asia) Consultants Limited 5/F, Winning Commercial Building, 46-48 Hillwood Road, Tsim Sha Tsui, Kowloon, Hong Kong","5,413,608.00 16 June 2026",Mannings (Asia) Consultants Limited,"5/F, Winning Commercial Building, 46-48 Hillwood Road, Tsim Sha Tsui, Kowloon, Hong Kong","5,413,608.00",16 June 2026
Professional Services Provider Agreement for Provision of Body-shopped Engineering Site Supervisors (Structural) (2026 Package G) (Agreement No. CB20250360),Selective,"Meinhardt (C&S) Limited 10/F, Genesis, 33-35 Wong Chuk Hang Road, Wong Chuk Hang, Hong Kong","5,437,008.00 16 June 2026",Meinhardt (C&S) Limited,"10/F, Genesis, 33-35 Wong Chuk Hang Road, Wong Chuk Hang, Hong Kong","5,437,008.00",16 June 2026
Professional Services Provider Agreement for Provision of Body-shopped Land Surveying Professionals (2026-2028) (Agreement No. CB20250523),Selective,"China ARSC (HK) Limited Flat 6, 12/F, Block A, New Trade Plaza, 6 On Ping Street, Sha Tin, New Territories, Hong Kong","4,378,800.00 14 May 2026",China ARSC (HK) Limited,"Flat 6, 12/F, Block A, New Trade Plaza, 6 On Ping Street, Sha Tin, New Territories, Hong Kong","4,378,800.00",14 May 2026
Building Services Engineering Services for Public Housing Development at Near Tan Kwai Tsuen Phase 3 (Agreement No. CB20250019),Selective,"Ove Arup & Partners Hong Kong Limited Level 5, Festival Walk, 80 Tat Chee Avenue, Kowloon Tong, Kowloon, Hong Kong","14,234,200.00 12 June 2026",Ove Arup & Partners Hong Kong Limited,"Level 5, Festival Walk, 80 Tat Chee Avenue, Kowloon Tong, Kowloon, Hong Kong","14,234,200.00",12 June 2026
Supply of Polythene Garbage Bags (Two Sizes) with Recycled Content for the Hong Kong Housing Authority (Tender Ref. HAQ20260067) (Contract No. DC20260067),Open,"Po Yuen Industrial Company Limited 1/F, 34 Tai Nan Street, Mong Kok, Kowloon, Hong Kong","2,522,800.00 30 June 2026",Po Yuen Industrial Company Limited,"1/F, 34 Tai Nan Street, Mong Kok, Kowloon, Hong Kong","2,522,800.00",30 June 2026
Engagement of Professional Services Provider for Landscape Improvement Programme in Public Rental Housing (PRH) Estate 2026/27 (Agreement No. CB20260016),Selective,"AECOM Asia Company Limited 12/F, Tower 2, Grand Central Plaza, 138 Sha Tin Rural Committee Road, Sha Tin, New Territories, Hong Kong","3,000,000.00 28 May 2026",AECOM Asia Company Limited,"12/F, Tower 2, Grand Central Plaza, 138 Sha Tin Rural Committee Road, Sha Tin, New Territories, Hong Kong","3,000,000.00",28 May 2026
"District Term Contract for the Maintenance, Improvement and Vacant Flat Refurbishment for Kowloon West and Sai Kung (2) 2026-2029 (Contract No. 20259325)",Selective,"Sun Fook Kong Construction Limited 7/F, High Fashion Centre, 1-11 Kwai Hei Street, Kwai Chung, New Territories, Hong Kong","575,436,238.00 25 June 2026",Sun Fook Kong Construction Limited,"7/F, High Fashion Centre, 1-11 Kwai Hei Street, Kwai Chung, New Territories, Hong Kong","575,436,238.00",25 June 2026
"District Term Contract for the Maintenance, Improvement and Vacant Flat Refurbishment for Kowloon West and Sai Kung (3) 2026-2029 (Contract No. 20259326)",Selective,"Dao Kee Construction Company Limited Room 504-506, 5/F, Hua Qin International Building, 340 Queen's Road Central, Sheung Wan, Hong Kong","558,324,389.00 25 June 2026",Dao Kee Construction Company Limited,"Room 504-506, 5/F, Hua Qin International Building, 340 Queen's Road Central, Sheung Wan, Hong Kong","558,324,389.00",25 June 2026
Security Service Contract for Wah Fu (II) Estate,Selective,"Creative Property Services Consultants Limited Units E & F, 25/F, Block 2, Vigor Industrial Building, 49-53 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong","9,938,472.00 (1st Year Contract Sum) 3 June 2026",Creative Property Services Consultants Limited,"Units E & F, 25/F, Block 2, Vigor Industrial Building, 49-53 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong","9,938,472.00",(1st Year Contract Sum) 3 June 2026
Security Service Contract for Shek Kip Mei Estate,Selective,"Tonwell Security Limited Flat 1606, 16/F, Harcourt House, 39 Gloucester Road, Wan Chai, Hong Kong","16,147,980.00 (1st Year Contract Sum) 3 June 2026",Tonwell Security Limited,"Flat 1606, 16/F, Harcourt House, 39 Gloucester Road, Wan Chai, Hong Kong","16,147,980.00",(1st Year Contract Sum) 3 June 2026
