,Reference,Subject,Subject_link,Closing Date
0,1230EM26T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of SC27),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6579.html,10.7.2026
1,1028EM26T,Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations in Various Venues of the Government of the Hong Kong Special Administrative Region Maintained by Hong Kong Maintenance Sub-division TWO of General Engineering Services Division,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6577.html,10.7.2026
2,1222EM25T,Quadrennial Term Contract for Maintenance of Security and Electronics Systems at Various Venues for Disciplined Force,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6575.html,10.7.2026
3,2393EM25T,"Triennial Term Contract for the Maintenance and Repair of, Alterations andAdditionsto, Fire Service Installations for the Venues of Boundary Crossing Facilities and Transport Services Division for the Government of HKSAR",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6564.html,10.7.2026
4,1151EM26T,Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations in Various Venues of the Government of the Hong Kong Special Administrative Region Maintained by Hong Kong Maintenance Sub-division ONE of General Engineering Services Division,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6574.html,10.7.2026
5,1007EM26T,"Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Central Government Offices, Chief Executive's Office and Legislative Council Complex, Tamar",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6573.html,10.7.2026
6,1044EM26T,Triennial Term Contract for the Operation and Maintenance of Air-conditioning Installations at Municipal Venues in Hong Kong Region,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6562.html,3.7.2026
7,1078EM26T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package Two of OT26),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6569.html,3.7.2026
8,1082EM26T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of OT26),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6568.html,3.7.2026
9,1782EM25T,30-Month Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of Hospital Authority (FT28),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6560.html,26.6.2026
10,1370EM25W,"Replacement of High Voltage, Low Voltage and Generator Power Supply System at the Eastern Harbour Crossing",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6559.html,26.6.2026
11,EMSSSD0725,"Supply of Scissor Type Aerial Platform Vehicle to the Electrical and Mechanical Services Department, the vehicle to be ready for use within 16 months from the contract date.",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6553.html,15.6.2026
12,2390EM25A,"Triennial Contract for the Provision of Management, Operation and Maintenance Services of the Central to Mid-Levels Escalator and Walkway System (2026 - 2029)",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6570.html,12.6.2026
13,1005EM25W,Replacement of Chiller Plants and Associated Works at Sai Kung Tseung Kwan O Government Complex,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6549.html,12.6.2026
14,2433EM25T,"Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations for Hong Kong Police Force, Correctional Services Department, Fire Services Department, Independent Commission Against Corruption and Security Bureau in Hong Kong Cluster for the Government of The Hong Kong Special Administrative Region",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6551.html,5.6.2026
15,1124EM26T,"Quadrennial Term Contract for the Comprehensive Maintenance of Fire Service Installations for Various Government Departments in the Kowloon, New Territories, and Lantau Regions",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6550.html,5.6.2026
16,1713EM25T,"36-Month Term Contract for Maintenance and Improvement of Heating, Ventilation and Air-conditioning Installations for Hong Kong Children's Hospital and New Acute Hospital (Site B)",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6552.html,29.5.2026
17,1102EM26W,District Cooling System (DCS) – Improvement Works for Seawater Intake System at Kai Tak District Cooling System Plant No.3 (KTDCS-P3),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6554.html,15.5.2026
18,1994EM25T,Quadrennial Term Contract for Maintenance of Liquefied Petroleum Gas Installations at Various Venues of Security and Vehicle Services Division,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6546.html,8.5.2026
19,EMSD P/5-10/13 (2026),Provision of Clerical Services for the Electrical and Mechanical Services Department,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1800.html,29.4.2026
20,1633EM25W,"Supply and Installation of Electric Locks Security Systems at Shek Pik Prison, Siu Lam Psychiatric Centre and Stanley Prison for Correctional Services Department",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6547.html,24.4.2026
21,2175EM25T,Quadrennial Term Contract for Comprehensive Maintenance of Folding Gates and Roller Shutters at Various Disciplined Services Venues,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6542.html,17.4.2026
22,2165EM25T,Biennial Term Contract for Calibration of Vehicle Weighing Installations for Various Hong Kong Police Force Venues,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6541.html,10.4.2026
23,1119EM25T,"Triennial Term Contract for Building Services Fitting-out, Replacement and Improvement Works for Health Sector Venues in Kowloon East Region",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6545.html,10.4.20268.5.2026
24,1981EM25T,Triennial Term Contract for Maintenance of Security and Electronic Systems at Hong Kong-Zhuhai-Macao Bridge Hong Kong Port (HZMB HKP) and Other Airport Engineering Services Venues,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6534.html,27.3.2026
25,EMSDTU1 0051/W/2025,Provision of Basic Workshop Training for Technician Trainees I and II of EMSD,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6543.html,26.3.2026
26,2052EM25T,"Quadrennial Term Contract for Maintenance and Repair of Electrical, Floodlight and Other Installations for Hong Kong Police Force, Correctional Services Department, Fire Services Department, Hong Kong Independent Commission Against Corruption and Security Bureau in Kowloon and Outlying Islands",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6535.html,20.3.2026
27,2067EM25T,Triennial Term Contract for Maintenance of SCADA System for Hong Kong Port (HKP) at Hong Kong Zhuhai Macao Bridge,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6537.html,20.3.2026
28,2110EM25T,Quadrennial Term Contract for Operation and Maintenance of Air-conditioning Installations for various Disciplined Services Departments and Independent Commission Against Corruption in New Territories Region,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6536.html,20.3.2026
29,1885EM25T,"Triennial Term Contract for Maintenance of Main Power System, Electrical and Mechanical Installations for Hong Kong Port (HKP) and Hong Kong Link Road (HKLR) at Hong Kong Zhuhai Macao Bridge Region",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6532.html,20.3.2026
30,EMSD CCSD2025/39,Provision of Communications and Public Relations Services for the Electrical and Mechanical Services Department,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6540.html,12.3.2026
31,1120EM25W,Supply and Installation of Automatic Vehicle Clearance Support System in Man Kam To Control Point,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6539.html,6.3.202613.3.2026
32,2054EM25T,"Quinquennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Arsenal House, Police Headquarters, Wan Chai",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6533.html,6.3.2026
33,2555EM24T,Quadrennial Term Contract for Maintenance Services of Infrastructure Power Network at Hong Kong International Airport (HKIA),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6531.html,27.2.2026
34,1503EM24T,Quadrennial Term Contract for Maintenance of Fire Service Installations for Hong Kong Port (HKP) and Hong Kong Link Road (HKLR) at Hong Kong Zhuhai Macao Bridge,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6529.html,6.2.2026
35,EMSSSD0125,"Supply of Road Sweeper to the Electrical and Mechanical Services Department, the vehicle to be ready for use within 18 months from the contract date.",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6524.html,2.2.2026
36,1237EM25T,"36-Month Term Contract for Maintenance and Improvement of Heating, Ventilation, Air-conditioning and Electrical Installations for Hospitals and Clinics in Kowloon Central Region",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6530.html,30.1.2026
37,1960EM25T,"Quadrennial Term Contract for Repairs, Operation and Maintenance of Boilers, Hot Water Installations, Steam Related Plant and Accessories at Various Venues of Security and Vehicle Services Division",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6527.html,30.1.2026
38,1212EM25W,Enhancement Works for Tunnel Ventilation Fans at Central-Wan Chai Bypass Tunnel,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6526.html,9.1.2026
39,2070EM25T,"24-month Term Contract for Maintenance of Air-conditioning and Electrical Installations at Ruttonjee Hospital, Tung Wah Eastern Hospital and Cheshire Home Chung Hom Kok",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6525.html,9.1.2026
40,EMSSSD0525,"Supply and Installation of Artificial Intelligence Infrastructure for Large Language Models Development to the Electrical and Mechanical Services Department, the system to be ready for use within 24 weeks from the date of acceptance of offer.",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6522.html,29.12.2025
41,1817EM24T,"Triennial Term Contract for Building Services Fitting-Out, Replacement and Improvement Works for Hospital Authority Building, Kowloon Hospital, Hong Kong Children’s Hospital and Nearby Health Services Venues",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6521.html,19.12.2025
42,ADM/T/2025/02,Provision of Property Management Services to the Electrical & Mechanical Services Department Headquarters,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6523.html,12.12.2025
43,1474EM25W,Replacement of Tunnel Ventilation System at Shing Mun Tunnels,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6514.html,12.12.2025
44,EMSSSD0325,"Supply of Portable Raman Detectors to the Electrical and Mechanical Services Department, the goods to be ready for use within 5 months from the contract date.",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6518.html,11.12.2025
45,EMSSSD0425,"Supply of the Artificial Intelligence Infrastructure in Hardware, Software and Provision of Related Services to the Electrical and Mechanical Services Department, the system to be ready for use within 16 weeks from the date of acceptance of offer.",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6511.html,9.12.2025
46,1475EM25T,"Triennial Term Contract for Maintenance of Electrical, Mechanical, Air-conditioning and Building Service Installations in Hospital Authority Supporting Services Centre",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6517.html,5.12.2025
47,EMSSSD1224,"Supply of Desktop Trace Contraband Detectors and Portable Trace Contraband Detectors to the Electrical and Mechanical Services Department, the goods to be ready for use within 26 weeks from the contract date.",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6498.html,26.11.2025
48,1682EM25T,Quadrennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (TK25),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6508.html,14.11.2025
49,EMSD-DTD-B40557,Provision of Data Centre Services to the Electrical and Mechanical Services Department,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6505.html,7.11.2025
50,1340EM25T,"Triennial Term Contract for the Maintenance and Repair, Alteration and Additions to Fire Service Installations in Venues of the Government of the Hong Kong Special Administrative Region Maintained byNew TerritoriesSub-division of General Engineering Services Division",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6507.html,7.11.2025
51,1339EM25T,"Triennial Term Contract for the Maintenance and Repair, Alteration and Additions to Fire Service Installations in Venues of the Government of the Hong Kong Special Administrative Region Maintained by Kowloon Sub-division of General Engineering Services Division",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6506.html,7.11.2025
52,EMSDTU1 0010/C/2025,Provision of Technical Training Services for Training Unit of Electrical & Mechanical Services Department,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6512.html,6.11.2025
53,1810EM25W,Supply and Installation of Private Car Profiling and Inspection System for Huanggang Boundary Control Point,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6509.html,31.10.2025
54,EMSD GSB 13709,Provision of Services for Sampling and Analyzing of Liquefied Petroleum Gas to Electrical and Mechanical Services Department,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6510.html,30.10.2025
55,2548EM24T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of Hospital Authority (KO25),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6503.html,24.10.2025
56,2174EM24T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Hospital Authority (SC25),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6501.html,17.10.2025
57,1716EM25T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of KO25E),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6502.html,17.10.2025
58,2BDTD25003,Provision of SAP Enterprise Support Service for the period from January 2026 to December 2026 to the Electrical and Mechanical Services Trading Fund,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6446.html,13.10.2025
59,1721EM24T,Provision of Radio Systems at the new Huanggang Port Boundary Control Point for the Government of Hong Kong Special Administrative Region,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6496.html,3.10.2025
