,Reference,Subject,Subject_link,Closing Date,Invitation Type
0,RAD/ 26-011 & 26-017,Sit-Down Restaurant Concession,/en/airport-authority/tender-notices/rad-26-011_26-017#it,2026-07-15,Invitation to Tender
1,PRO/T096/26/JK,"Tender for Framework Agreement for the Supply and Delivery of Waterborne Paint for
                        Airfield Pavement Marking at Hong Kong International Airport",/en/airport-authority/tender-notices/PRO_T096_26_JK#it,2026-07-14,Invitation to Tender
2,PRO/PQ010/26/HC,"Pre-Qualification for Provision of Machinery All Risk Insurance (“MAR”) and Motor
                        Vehicle Insurance (“MOTOR”) for the Hong Kong International Airport",/en/airport-authority/tender-notices/PRO_PQ010_26_HC_Inv#it,2026-07-13,Invitation for Prequalification
3,RAD/ 26-014,Wellness Services Concession,/en/airport-authority/tender-notices/rad-26-014#it,2026-07-08,Invitation to Tender
4,I&RPO/L001/2026,"The Provision of Apron Vehicles Pooling Service at the Airside of the Hong Kong International
                        Airport",/en/airport-authority/tender-notices/IRPO_L001_2026#it,2026-07-07,Invitation to Tender
5,PRO/T315/26/NC,"Tender for Provision of Design, Supply, Implementation, Support and Maintenance Services
                        for the Food Pre-Ordering System (FOS) at the Hong Kong International Airport",/en/airport-authority/tender-notices/PRO_T315_26_NC#it,2026-07-07,Invitation to Tender
6,ALD/DG/26-002,"The Provision of Common Cargo Terminal Operator Contractor Services at Hong Kong International
                        Airport Logistics Park in Dongguan",/en/airport-authority/tender-notices/ALD_DG_CCC_TENDER#it,2026-07-06,Invitation to Tender
7,PRO/T261/26/CY,"Provision of Design, Implementation, Support and Maintenance Services for Landside
                        Collaborative Decision Making (LCDM) Platform at the Hong Kong International Airport",/en/airport-authority/tender-notices/PRO_T261_26_CY#it,2026-07-03,Invitation to Tender
8,RAD/ 26-012,Hong Kong/ Macau Packaged Food Concession,/en/airport-authority/tender-notices/rad-26-012#it,2026-07-02,Invitation to Tender
9,RAD/ 26-013,Sit-Down Restaurant Concession,/en/airport-authority/tender-notices/rad-26-013#it,2026-07-02,Invitation to Tender
10,PRO/PQ009/26/JC,"Pre-qualification for Supply and Delivery of Corporate Souvenir for the Hong Kong
                        International Airport",/en/airport-authority/tender-notices/PRO_PQ009_26_JC_Inv#it,2026-06-23,Invitation for Prequalification
11,AD052026,"Prequalification for Development of the Aircraft maintenance Hangar at West Support
                        Area (Agreement AD052026)",/en/airport-authority/tender-notices/AD052026_Preq_notice#it,2026-06-22,Invitation for Prequalification
12,SCOPE3/RFI/2026,"Request for Information for Provision of Services for an AI-Supported Carbon Calculation
                        Solution for Selected Scope 3 Emissions for the Hong Kong International Airport (ref:
                        SCOPE3/RFI/2026)",/en/airport-authority/tender-notices/SCOPE3_RFI_2026#it,2026-06-17,Request for Information
13,ALD/DG/26-001,"The Provision of Transshipment Air Cargo Services at the Hong Kong International Airport
                        at Chek Lap Kok",/en/airport-authority/tender-notices/ALD_DG_THO_TENDER#it,2026-06-17,Invitation to Tender
