,Reference,Subject,Subject_link,Issue Date,Closing Date
0,WSDT26B001,Supply of Gas Chromatographic System Equipped with Tandem Mass Spectrometer “GC/MS-MS” and Accessories to the Water Supplies Department,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_485.html,5 Jun 2026,12:00 noon (Hong Kong Time) on Monday 20 July 2026
1,WSD/CTEC/26/001,Provision of Employment and Management Services for Supporting Staff to Customer Telephone Enquiry Centre of Water Supplies Department (Accounting Teams),/en/tenders-contracts-and-consultancies/contracts/tender/index_id_484.html,21 Apr 2026,"12:00 noon (Hong Kong Time) on Thursday, 21 May 2026"
2,13/WSD/25,Replacement of High Voltage Switchboard at Tuen Mun Fresh Water Pumping Station,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_483.html,20 Apr 2026,"12:00 noon (Hong Kong Time) on Friday, 22 May 2026"
3,15/WSD/25,Provision of Photovoltaic System at Au Tau Water Treatment Works,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_482.html,10 Apr 2026,"12:00 noon (Hong Kong Time) on Friday, 15 May 2026"
4,6/WSD/26,Replacement of High Voltage Switchboard at Pak Kong Fresh Water Pumping Station,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_481.html,30 Mar 2026,"12:00 noon (Hong Kong Time) on Friday, 8 May 2026"
5,4/WSD/26,Provision of Mechanical and Electrical Equipment for Remote Operation of Silver Mine Bay Water Treatment Works,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_480.html,20 Mar 2026,"12:00 noon (Hong Kong Time) on Friday, 24 April 2026"
6,12/WSD/25,Provision of Services for Remote Video Surveillance System Communication Network of Water Supplies Department (2026-2028),/en/tenders-contracts-and-consultancies/contracts/tender/index_id_479.html,6 Mar 2026,"12:00 noon (Hong Kong Time) on Thursday, 16 April 2026"
7,14/WSD/25,Provision of Photovoltaic System at Pak Kong Water Treatment Works,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_478.html,23 Jan 2026,"12:00 noon (Hong Kong Time) on Friday, 27 February 2026"
8,WSDT25A002,Provision of Security Guard Services for Lung Cheung Road Mechanical and Electrical Workshop of the Water Supplies Department,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_477.html,22 Dec 2025,"12:00 noon (Hong Kong Time) on Monday, 19 January 2026"
9,16/WSD/25,Provision of Photovoltaic System at Lung Cheung Road M&E Workshop & Various Pumping Stations,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_476.html,19 Dec 2025,"12:00 noon (Hong Kong Time) on Friday, 23 January 2026"
10,WSDT25A003,Provision of Cleansing Services for Tin Shui Wai Building and H2OPE Centre of the Water Supplies Department,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_475.html,12 Dec 2025,"12:00 noon (Hong Kong Time) on Monday, 26 January 2026"
11,WSDT25B003,Supply of Hydrochloric Acid to the Water Supplies Department,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_474.html,28 Nov 2025,"12:00 noon (Hong Kong Time) on Monday, 12 January 2026"
12,WSDCSWBC2601,Provision of Canteen Services in the Canteen in WSD Cheung Sha Wan Building,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_472.html,14 Nov 2025,"12:00 noon (Hong Kong Time) on Friday, 5 December 2025"
13,WSDT25A001,Provision of Cleansing Services for Lung Cheung Road Mechanical and Electrical Workshop of the Water Supplies Department,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_471.html,7 Nov 2025,"12:00 noon (Hong Kong Time) on Thursday, 18 December 2025"
14,WSDKBBC2501,Provision of Canteen Services in the Canteen in WSD Kowloon Bay Building,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_469.html,10 Oct 2025,"12:00 noon (Hong Kong Time) on Friday, 31 October 2025"
15,WSD/LCRC/25/001,Provision of canteen services in the canteen of WSD Lung Cheung Road M&E Workshop,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_468.html,8 Oct 2025,"12:00 noon (Hong Kong Time) on Friday, 31 October 2025"
16,WSD/CTEC/25/003,Provision of Employment and Management Services for Supporting Staff to Customer Telephone Enquiry Centre of Water Supplies Department,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_467.html,19 Sep 2025,12:00 noon (Hong Kong Time) on 20 October 2025
17,WSDT25B002,"Supply of 15mm Automatic Meter Reading Water Meters to the Water Supplies Department, delivery of the goods in 2 batches",/en/tenders-contracts-and-consultancies/contracts/tender/index_id_462.html,25 Jul 2025,"12:00 noon (Hong Kong Time) on Tuesday, 9 September 2025"
18,WSD/CTEC/25/002,Provision of Employment and Management Services for Supporting Staff to Customer Telephone Enquiry Centre of Water Supplies Department,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_459.html,4 Jul 2025,"12:00 noon (Hong Kong Time) on Tuesday, 5 August 2025"
19,WSDT25B001,Supply of Powdered Activated Carbon to the Water Supplies Department,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_458.html,27 Jun 2025,"12:00 noon (Hong Kong Time) on Monday, 11 August 2025"
20,WSDT24A002,Provision of Security Guard Services for Tin Shui Wai Building and H2OPE Centre of the Water Supplies Department,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_455.html,26 May 2025,"12:00 noon (Hong Kong Time) on Tuesday, 24 June 2025"
21,WSDT24B002,Supply of Liquid Chromatographic System Equipped with Tandem Mass Spectrometer to the Water Supplies Department,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_454.html,25 Apr 2025,"12:00 noon (Hong Kong Time) on Monday, 9 June 2025"
22,WSD/CTEC/25/001,Provision of Employment and Management Services for Supporting Staff to Customer Telephone Enquiry Centre of Water Supplies Department,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_453.html,25 Apr 2025,"12:00 noon (Hong Kong Time) on Tuesday, 27 May 2025"
23,1/WSD/25(W),Term Contract for Waterworks District W ― New Territories West (1.9.2025 - 31.8.2029),/en/tenders-contracts-and-consultancies/contracts/tender/index_id_451.html,28 Feb 2025,"12:00 noon (Hong Kong Time) on Friday, 25 April 2025"
24,1/WSD/25(E),Term Contract for Waterworks District E ― New Territories East (1.9.2025 - 31.8.2029),/en/tenders-contracts-and-consultancies/contracts/tender/index_id_450.html,28 Feb 2025,"12:00 noon (Hong Kong Time) on Friday, 25 April 2025"
25,1/WSD/25(H),Term Contract for Waterworks District H ― Hong Kong Island and Ap Lei Chau (1.9.2025 - 31.8.2029),/en/tenders-contracts-and-consultancies/contracts/tender/index_id_449.html,28 Feb 2025,"12:00 noon (Hong Kong Time) on Friday, 25 April 2025"
26,18/WSD/24,Extension of Ngau Tam Mei Water Treatment Works and Associated Improvement Works of Existing Treatment Stream,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_446.html,17 Jan 2025,"12:00 noon (Hong Kong Time) on Friday, 11 April 2025"
27,3/WSD/24,"Ngau Tam Mei Water Treatment Works Extension – Extension of Ngau Tam Mei Fresh Water Primary Service Reservoir, Modification of Raw Water Tunnel Junction (Chamber G) and Associated Mainlaying",/en/tenders-contracts-and-consultancies/contracts/tender/index_id_444.html,20 Dec 2024,"12:00 noon (Hong Kong Time) on Friday, 28th February 2025"
28,WSD/CTEC/24/003,Provision of Employment and Management Services for Supporting Staff to Customer Telephone Enquiry Centre of Water Supplies Department,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_441.html,1 Nov 2024,"12:00 noon (Hong Kong Time) on Tuesday, 3 December 2024"
29,WSDDJ24001,Provision of Services for Commemoration Ceremony and Television Documentary Programme for the 60th Anniversary of Dongjiang Water Supply to Hong Kong,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_440.html,21 Oct 2024,"12:00 noon (Hong Kong Time) on Monday, 11 November 2024"
30,8/WSD/24,Installation of Meters in Housing Estates in Kowloon and New Territories West,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_439.html,4 Oct 2024,"12:00 noon (Hong Kong Time) on Friday, 15 November 2024"
31,WSDWCON24T001,Provision of Water-smart Taskforce Services for Water Conservation of High-consumption Customers,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_438.html,25 Sep 2024,"12:00 noon (Hong Kong Time) on Wednesday, 16 October 2024"
32,WSD/CTEC/24/002,Provision of Employment and Management Services for Supporting Staff to Customer Telephone Enquiry Centre of Water Supplies Department,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_434.html,16 Aug 2024,12:00 noon (Hong Kong Time) on 19 September 2024 (Late Tenders will not be accepted)
33,WSDT23A007,Provision of Cleansing Services for Kowloon Region of the Water Supplies Department,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_433.html,5 Jul 2024,"12:00 noon (Hong Kong Time) on Monday, 19 August 2024"
34,WSDT23A008,Provision of Cleansing Services for New Territories West Region and Tuen Mun Prosecution Unit Office of the Water Supplies Department,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_431.html,21 Jun 2024,"12:00 noon (Hong Kong Time) on Thursday, 1 August 2024"
35,WSDT24B001,"Supply of DSP Units, Data Acquisition and Control Software, Workstations, Alarm Systems, UPS and Accessories for the Online Water Radiological Contamination Monitoring Equipment to the Water Supplies Department",/en/tenders-contracts-and-consultancies/contracts/tender/index_id_430.html,21 Jun 2024,"12:00 noon (Hong Kong Time) on Monday, 5 August 2024"
36,WSDT23A006,Provision of Cleansing Services for Hong Kong & Islands Region of the Water Supplies Department,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_429.html,31 May 2024,"12:00 noon (Hong Kong Time) on Friday, 12 July 2024"
37,Contract No. 19/WSD/24,Provision of Liquid Fluoride Dosing System at Ma On Shan Water Treatment Works,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_427.html,10 May 2024,"12:00 noon on Friday, 7th June 2024"
38,WSDT23A004,Provision of Cleansing Services for New Territories East Region of the Water Supplies Department,/en/tenders-contracts-and-consultancies/contracts/tender/index_id_426.html,3 May 2024,"12:00 noon (Hong Kong Time) on Friday, 21 June 2024"
