"Project No.*
(Location)","Services Contracts
Type",Contract Title,"Month of
Award","Awarded
Contract Sum","Successful
Tenderer"
YTM-012,Legal Services,"Lead and Conveyancing Solicitor
Services for Project YTM-012 –
Shantung Street/ Thistle Street,
Kowloon",June 2026,M1,"Grandall
Zimmern Law
Firm"
TKO137,"Civil Engineering
Consultancy
Services","Structural, Civil and Geotechnical
Engineering Consultancy Services
for Site PU 1 & 2 - First Site of
Project TKO 137 - Tseung Kwan O
Area 137",June 2026,M4,"Wilson and
Associates
Limited"
"KC-008(A),
DL-11:YTM,
&
YTM-011","Building Surveying
Consultancy
Services","Independent Building Surveying
Consultancy Services for Project
KC-008(A) - Chun Tin Street/ Sung
Chi Street, Kowloon, Project DL-
11:YTM - Ash Street, Kowloon and
Project YTM-011 - Oak Street/ Ivy
Street, Kowloon",June 2026,M2,"John HY Yip
Surveyors
Limited"
-,"Safety Audit
Services","Term Safety Audit Consultancy
Services for Construction Works
(2026-2028)",June 2026,M1,"Y.Y. Wong
Safety
Consultants
Limited"
KC-015,"Structural
Consultancy
Services","Modular Integrated Construction
(MiC) Designer Consultancy
Services for Project KC-015 - Kai
Tak Road/ Sa Po Road, Kowloon
City, Kowloon",May 2026,M2,"SYW &
Associates
Limited"
"CBS-2,
KC-020,
&
KC-017","Engineering
Consultancy
Services","Comprehensive Engineering
Consultancy Services for Design
Development of Underground
Connection to MTRC Stations for
Project CBS-2 - Kau Pui Lung Road/
Chi Kiang Street, Project KC-020 -
Ma Tau Wai Road/ Lok Shan Road
and Project KC-017 - Nga Tsin Wai
Road/ Carpenter Road",May 2026,M3,"AtkinsRealis
Asia Limited"
WC/001 & H6,"Property
Management
Services","Property Management Services for
Project WC/001 - 7 Mallory Street
and Project H6 - CONET",May 2026,M4,"Savills Property
Management
Limited"
YTM-013,"Property
Management
Services","Property Management Services for
Project YTM-013 - Sai Yee Street/
Flower Market Road",May 2026,M4,"Pacific Extend
Properties
Management
Limited"
"Project No.*
(Location)","Services Contracts
Type",Contract Title,"Month of
Award","Awarded
Contract Sum","Successful
Tenderer"
-,"Printing and
Production Services","Design and Production Services of
Annual Reports and Sustainability
Reports 2025/26 and 2026/27",May 2026,M2,"Toppan Nexus
Holdings
Limited"
-,Legal Services,"Legal Services for Setting Up of the
Prequalification Mechanism for
Consultants and Contractors, and
Enhanced Smart Tender Services",April 2026,M2,"Wilkinson &
Grist"
-,"Quantity Surveying
Services","Quantity Surveying Consultancy
Services for Revision of Standard
Forms of Contract",April 2026,M1,"Rider Levett
Bucknall
Limited"
-,"Recruitment
Services",Executive Recruitment Assignment,April 2026,M2,"KOS
International
Limited"
-,"Recruitment
Services",Executive Recruitment Assignment,April 2026,M1,"Randstad Hong
Kong Limited"
-,"Recruitment
Services",Executive Recruitment Assignment,April 2026,M1,"Rise Associates
Asia Limited"
-,Security Services,"Guard Services for the Head Office
of the Urban Renewal Authority and
Other Areas",April 2026,M2,"Securitas
Security Services
(Hong Kong)
Limited"
-,"Traffic Consultancy
Services","Term Traffic Study and Assessment
Consultancy Services",April 2026,M2,"AtkinsRealis
Asia Limited"
-,"Traffic Consultancy
Services","Term Traffic Study and Assessment
Consultancy Services",April 2026,M1,"Aurecon Hong
Kong Limited"
"Project No.*
(Location)","Services Contracts
Type",Contract Title,"Month of
Award","Awarded
Contract Sum","Successful
Tenderer"
-,"Traffic Consultancy
Services","Term Traffic Study and Assessment
Consultancy Services",April 2026,M2,"MVA Hong
Kong Limited"
TKO137,"Comprehensive
Consultancy
Services","Comprehensive Consultancy
Services for Site PU 1 & 2 of Project
TKO 137 - Tseung Kwan O Area
137",April 2026,M4,"LWK + ROCCO
JOINT
VENTURE"
-,"Clerical and
Administrative
Services",Supporting Services,April 2026,M4,"Advance
Resources
Personnel
Consultants
Limited"
