Agreement Number,Agreement Title,Name of Successful Consultant(s),Award Date,Commencement Date,Estimated Completion Date,Fee,award_date,start,end,url
CE 17/2025 (GE),"Landslip Prevention and Mitigation Programme, Hong Kong Island and New Territories East, Phase 1, Package A - Investigation, Design and Construction",Ove Arup & Partners Hong Kong Limited,16/01/2026,30/01/2026,30/01/2032,"HK$27,802,500.00",2026-01-16,2026-01-30,2032-01-30,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html
CE 16/2025 (GE),"Landslip Prevention and Mitigation Programme, New Territories East and New Territories West, Phase 1, Package B - Investigation, Design and Construction",Halcrow China Limited,16/01/2026,30/01/2026,30/01/2032,"HK$30,030,000.00",2026-01-16,2026-01-30,2032-01-30,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html
CE 22/2025 (GE),"Landslip Prevention and Mitigation Programme, 2025, Safety Screening Studies of Private Slopes in Kowloon and Eastern New Territories - Investigation",Meinhardt Infrastructure and Environment Limited,11/11/2025,20/11/2025,20/11/2031,"HK$8,682,500.00",2025-11-11,2025-11-20,2031-11-20,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html
CE 21/2025 (GE),"Landslip Prevention and Mitigation Programme, 2025, Safety Screening Studies of Private Slopes in Hong Kong Island, Western New Territories and Outlying Islands - Investigation",C M Wong & Associates Limited,11/11/2025,20/11/2025,20/11/2031,"HK$21,200,000.00",2025-11-11,2025-11-20,2031-11-20,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html
CE 27/2025 (CE),Eco-Tourism Developments and Local Improvement Works in the Islands District (Package A) – Investigation,Ove Arup & Partners Hong Kong Limited,30/10/2025,03/11/2025,02/05/2029,"HK$58,193,000.00",2025-10-30,2025-11-03,2029-05-02,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html
CE 28/2025 (CE),Eco-Tourism Developments and Local Improvement Works in the Islands District (Package B) – Investigation,AECOM Asia Company Limited,30/10/2025,03/11/2025,02/05/2029,"HK$53,288,188.00",2025-10-30,2025-11-03,2029-05-02,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html
CE 26/2025 (CE),Study on Marina Development at the Expansion Area of Aberdeen Typhoon Shelter – Feasibility Study,Ove Arup & Partners HongKong Limited,30/10/2025,04/11/2025,03/02/2027,"HK$12,400,000.00",2025-10-30,2025-11-04,2027-02-03,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html
CE 24/2025 (CE),Establishment of Sam Po Shue Wetland Conservation Park – Phase 1 – Design and Construction,AECOM Asia Company Limited,23/09/2025,26/09/2025,26/01/2035,"HK$42,880,000.00",2025-09-23,2025-09-26,2035-01-26,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html
CE 10/2025 (GE),"Landslip Prevention and Mitigation Programme, Hong Kong Island and Kowloon, Phase 1, Package A - Investigation, Design and Construction",C M Wong & Associates Limited,22/09/2025,03/10/2025,03/10/2031,"HK$26,800,000.00",2025-09-22,2025-10-03,2031-10-03,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html
CE 9/2025 (GE),"Landslip Prevention and Mitigation Programme, New Territories East and New Territories West, Phase 1, Package A - Investigation, Design and Construction",AECOM Asia Company Limited,22/09/2025,03/10/2025,03/10/2031,"HK$25,800,000.00",2025-09-22,2025-10-03,2031-10-03,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html
