ref,department,description,url,batch_time,award_date,awardee,sum,start,end
Contract No DE/2025/04,Drainage Services Department,Upgrading of Screw Pump No. 6 for To Kwa Wan Preliminary Treatment Works and Step Screen No. 4 for Kwun Tong Preliminary Treatment Works,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,2026-03-08 10:45:30.642617,6 January 2026,"Partner A's works: The Jardine Engineering Corporation, Limited; Partner B's works: Associated Engineers, Limited","HK$14,560,357.00",19 January 2026,12 July 2027
Contract No DC/2025/07,Drainage Services Department,Relocation of Sha Tin Sewage Treatment Works to Caverns – Civil Works for Sewage Treatment Facilities and Associated Works,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,2026-03-08 10:45:30.642617,18 December 2025,Alchmex – STEC Joint Venture (Alchmex International Construction Limited – Shanghai Tunnel Engineering Co. Ltd. Joint Venture),"HK$3,872,000,000.74",30 December 2025,29 October 2030
Contract No DE/2024/13,Drainage Services Department,Relocation of Sha Tin Sewage Treatment Works to Caverns – Provision of Sludge Dewatering System,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,2026-03-08 10:45:30.642617,3 December 2025,SUEZ Infrastructure (China) Company Limited,"HK$302,256,040.00",10 December 2025,9 April 2030
Contract No DE/2024/12,Drainage Services Department,Relocation of Sha Tin Sewage Treatment Works to Caverns – Provision of Biological Treatment System,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,2026-03-08 10:45:30.642617,22 September 2025,"Qingdao Spring Water-treatment Co., Ltd.","HK$423,308,395.00",30 September 2025,28 January 2030
Contract No DE/2024/11,Drainage Services Department,Relocation of Sha Tin Sewage Treatment Works to Caverns – Provision of Primary Sedimentation System,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,2026-03-08 10:45:30.642617,22 September 2025,ATAL Engineering Limited,"HK$132,869,976.00",30 September 2025,28 January 2030
Contract No DE/2024/10,Drainage Services Department,Relocation of Sha Tin Sewage Treatment Works to Caverns – Electrical and Mechanical Works for Sewage Treatment Facilities and Associated Works,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,2026-03-08 10:45:30.642617,22 September 2025,ATAL Engineering Limited,"HK$4,633,479,872.00",30 September 2025,30 August 2030
Contract No DC/2024/12/F1-F4,Drainage Services Department,Framework Contract for Structural Improvement of Sewers and Stormwater Drains in Mainland South Districts (Contract F1-F4),https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,2026-03-08 10:45:30.642617,15 August 2025,WCCL – PMPS JV (Welcome Construction Company Limited – PMPS Liner Technology (Hong Kong) Limited Joint Venture); Hing & Cheong Company Limited; BUDA Surveying Limited; Shun Yuen Construction Company Limited,"HK$709,529,909.00",15 August 2025,14 August 2028
Contract No DC/2023/17,Drainage Services Department,West Kowloon and Tsuen Wan Village Sewerage – Phase 2 (Package 1),https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,2026-03-08 10:45:30.642617,16 July 2025,Darwin Engineering Limited,"HK$141,978,960.00",25 July 2025,26 December 2028
Contract No DE/2024/09,Drainage Services Department,Hung Shui Kiu Effluent Polishing Plant Phase 1 – E&M Works and Biological Treatment Building,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,2026-03-08 10:45:30.642617,16 June 2025,REC-CEL JV (REC Engineering Company Limited-Chevalier (Envirotech) Limited Joint Venture),"HK$3,494,721,442.80",25 June 2025,26 April 2031
Contract No DC/2024/11,Drainage Services Department,Hung Shui Kiu Effluent Polishing Plant Phase 1 – Civil Works,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,2026-03-08 10:45:30.642617,12 June 2025,China State – Best Build Joint Venture (China State Construction Engineering (Hong Kong) Limited – Best Build Construction Company Limited Joint Venture),"HK$2,052,999,999.83",25 June 2025,23 December 2030
