department,Tender Reference,"Tendering Procedure	",Particulars,Contractor(s) & Address(es),Item/Quantity,Amount / Contract Award Date,url
"Culture, Sports and Tourism Bureau","CSTB/NGCO/DE/10/2025
(G.N. -)",Limited,"Provision of Design and Production of Publication and Post-game Promotional Campaign for the 15th National Games, the 12th National Games for Persons with Disabilities and the 9th National Special Olympic Games (Hong Kong)","Sing Tao Magazine Group Limited,
4/F.,
Sing Tao News Corporation Building,
7 Chun Cheong Street,
Tseung Kwan O Industrial Estate,
New Territories, Hong Kong.",1 job,"HK$4,500,000.00

13 Jan 2026",https://pcms2.gld.gov.hk/iprod/#/scn00101
Development Bureau (Planning and Lands Branch),"PLB(T)002/2025
(G.N. 5234)",Open,Provision of security services along promenades at Wan Chai North to Quarry Bay and Kai Tak Development Area managed by Harbour Office of Development Bureau,"China Overseas Property Services Limited,
19/F.,
China Overseas Building,
139 Hennessy Road,
Wan Chai,
Hong Kong.",36 months commencing on 13.1.2026,"HK$34,962,000.00

13 Jan 2026",https://pcms2.gld.gov.hk/iprod/#/scn00101
Development Bureau (Works Branch),"CHO-AMO CST 01/25
(G.N. 5067)",Open,Provision of cleansing and supporting services to various venues and monuments managed by the antiquities and monuments office of the Development Bureau (Works Branch),"Hugo Services Company Limited,
Flat 1103, 11/F.,
Laurels Industrial Centre,
32 Tai Yau Street,
San Po Kong, Kowloon,
Hong Kong.",36 months from 1.3.2026 to 28.2.2029 (both dates inclusive),"HK$10,910,510.00

22 Jan 2026",https://pcms2.gld.gov.hk/iprod/#/scn00101
"Digital Policy Office, Innovation, Technology and Industry Bureau","DPO-61652025
(G.N. 3469)",Open,Provision of Metro-Ethernet Services for Connecting Various Government Departments to Government Backbone Network,"(1) HGC Global Communications Limited,
23/F.,
Kodak House II,
321 Java Road,
North Point,
Hong Kong.",36 months from 19.3.2026 to 18.3.2029,"HK$5,391,768.00

9 Jan 2026",https://pcms2.gld.gov.hk/iprod/#/scn00101
"Digital Policy Office, Innovation, Technology and Industry Bureau","DPO-61652025
(G.N. 3469)",Open,Provision of Metro-Ethernet Services for Connecting Various Government Departments to Government Backbone Network,"(1) HGC Global Communications Limited,
23/F.,
Kodak House II,
321 Java Road,
North Point,
Hong Kong.",36 months from 19.3.2026 to 18.3.2029,"HK$5,391,768.00

9 Jan 2026",https://pcms2.gld.gov.hk/iprod/#/scn00101
"Digital Policy Office, Innovation, Technology and Industry Bureau","DPO-61652025
(G.N. 3469)",Open,Provision of Metro-Ethernet Services for Connecting Various Government Departments to Government Backbone Network,"(2) Hong Kong Telecommunications (HKT) Limited,
28/F., PCCW Tower,
Taikoo Place,
979 King's Road,
Quarry Bay,
Hong Kong.",36 months from 19.3.2026 to 18.3.2029,"HK$6,490,644.00

9 Jan 2026",https://pcms2.gld.gov.hk/iprod/#/scn00101
Health Bureau,"HHBH2417S05T2024
(G.N. -)",Open,"Design, supply, implementation and maintenance of business intelligence system to The Chinese Medicine Hospital of Hong Kong for Health Bureau","Ultra High Point Limited,
Unit 707, 7/F.,
Building 8W,
Hong Kong Science Park,
Pak Shek Kok,
Hong Kong.",1 set,"HK$17,466,620.00

22 Jan 2026",https://pcms2.gld.gov.hk/iprod/#/scn00101
"Agriculture, Fisheries and Conservation Department","AFCD/CPRD/01/25
(G.N. 6749)",Open,"Design, Supply and Installation of Custom-made Play Equipment for the Outdoor Free Exploration Area in Lions Nature Education Centre","Global Architecture Limited,
Shop A, G/F.,
Sun Ho House,
7 Sai Yeung Choi Lane,
Sham Shui Po, Kowloon,
Hong Kong.",1 service job item,"HK$3,550,000.00

19 Jan 2026",https://pcms2.gld.gov.hk/iprod/#/scn00101
Civil Engineering and Development Department,"GE/2026/02
(G.N. 6095)",Selective,"Landslip Prevention and Mitigation Programme, New Territories East, Phase 1, Contract A","U-win Const & Eng Co Limited,
Unit 3, 10/F.,
New Trend Centre,
104 King Fuk Street,
San Po Kong, Kowloon,
Hong Kong.",42 months,"HK$107,880,000.00

21 Jan 2026",https://pcms2.gld.gov.hk/iprod/#/scn00101
Civil Engineering and Development Department,"GE/2026/02
(G.N. 6095)",Selective,"Landslip Prevention and Mitigation Programme, New Territories East, Phase 1, Contract A","U-win Const & Eng Co Limited,
Unit 3, 10/F.,
New Trend Centre,
104 King Fuk Street,
San Po Kong, Kowloon,
Hong Kong.",42 months,"HK$107,880,000.00

21 Jan 2026",https://pcms2.gld.gov.hk/iprod/#/scn00101
Civil Engineering and Development Department,"ND/2024/05
(G.N. 5786)",Selective,"Kwu Tung North new development area, remaining phase: Improvement works of Fanling Highway (Pak Shek Au portion) and associated works","Lanon – Sinohydro – Excel JV,
157 Waterloo Road,
Kowloon Tong, Kowloon,
Hong Kong.",-,"HK$1,818,000,000.00

6 Jan 2026",https://pcms2.gld.gov.hk/iprod/#/scn00101
