ref,department,url,batch_time,awardee,sum,award_date
CSTB/NGCO/DE/10/2025 (G.N. -),gld,https://pcms2.gld.gov.hk/iprod/#/scn00101,2026-03-09 16:17:03.514883,Sing Tao Magazine Group Limited,"HK$4,500,000.00",13 Jan 2026
PLB(T)002/2025 (G.N. 5234),gld,https://pcms2.gld.gov.hk/iprod/#/scn00101,2026-03-09 16:17:03.514883,China Overseas Property Services Limited,"HK$34,962,000.00",13 Jan 2026
CHO-AMO CST 01/25 (G.N. 5067),gld,https://pcms2.gld.gov.hk/iprod/#/scn00101,2026-03-09 16:17:03.514883,Hugo Services Company Limited,"HK$10,910,510.00",22 Jan 2026
DPO-61652025 (G.N. 3469),gld,https://pcms2.gld.gov.hk/iprod/#/scn00101,2026-03-09 16:17:03.514883,HGC Global Communications Limited,"HK$5,391,768.00",9 Jan 2026
DPO-61652025 (G.N. 3469),gld,https://pcms2.gld.gov.hk/iprod/#/scn00101,2026-03-09 16:17:03.514883,HGC Global Communications Limited,"HK$5,391,768.00",9 Jan 2026
DPO-61652025 (G.N. 3469),gld,https://pcms2.gld.gov.hk/iprod/#/scn00101,2026-03-09 16:17:03.514883,Hong Kong Telecommunications (HKT) Limited,"HK$6,490,644.00",9 Jan 2026
HHBH2417S05T2024 (G.N. -),gld,https://pcms2.gld.gov.hk/iprod/#/scn00101,2026-03-09 16:17:03.514883,Ultra High Point Limited,"HK$17,466,620.00",22 Jan 2026
AFCD/CPRD/01/25 (G.N. 6749),gld,https://pcms2.gld.gov.hk/iprod/#/scn00101,2026-03-09 16:17:03.514883,Global Architecture Limited,"HK$3,550,000.00",19 Jan 2026
GE/2026/02 (G.N. 6095),gld,https://pcms2.gld.gov.hk/iprod/#/scn00101,2026-03-09 16:17:03.514883,U-win Const & Eng Co Limited,"HK$107,880,000.00",21 Jan 2026
GE/2026/02 (G.N. 6095),gld,https://pcms2.gld.gov.hk/iprod/#/scn00101,2026-03-09 16:17:03.514883,U-win Const & Eng Co Limited,"HK$107,880,000.00",21 Jan 2026
ND/2024/05 (G.N. 5786),gld,https://pcms2.gld.gov.hk/iprod/#/scn00101,2026-03-09 16:17:03.514883,Lanon – Sinohydro – Excel JV,"HK$1,818,000,000.00",6 Jan 2026
