TYPE,CONTRACT/TENDER REF.,TITLE,url,detail description,awardee,sum,PUBLISH,award_date
Notice of Contract Award,PRO/T693/25/CS,Provision and Comprehensive Maintenance Works of Autonomous Bonded Shuttle for Park and Fly Carpark,https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T693_25_CS_Award#nca,"Notice of Contract Award
Provision and Comprehensive Maintenance Works of Autonomous Bonded Shuttle for Park and Fly Carpark (PRO/T693/25/CS)

Notice is hereby given that Airport Authority of HKIA Tower, 1 Sky Plaza Road, Hong Kong International Airport, Lantau, Hong Kong has awarded the following contracts to KC Smart Mobility Company Limited at 3/F, No.8 Chong Fu Road, Chai Wan, Hong Kong on 25 February 2026:

(i)    Contract T25S045 Provision of Autonomous Bonded Shuttle for Park and Fly Carpark with contract commencement date on 26 February 2026. The awarded Contract Sum is HK$7,410,000.00.

(ii)    Term Contract T25M502 Comprehensive Maintenance Works for Autonomous Bonded Shuttle for Park and Fly Carpark with contract period of 24 months (with options to extend for maximum 36 months) plus a pre-commencement works period. The estimated contract value for this Term Contract is HK$2,280,950.20.

Procurement was by way of limited tendering due to an absence of competition for technical reasons.",KC Smart Mobility Company Limited,"HK$7,410,000.00.",2026-03-04,04 March 2026
Notice of Contract Award,PRO/T709/25/MP,Contract T25S036 Replacement of PIDS Microwave Transceiver Pairs at Perimeter Road,https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T709_25_MP_award#nca,"Notice of Contract Award
Contract T25S036 Replacement of PIDS Microwave Transceiver Pairs at Perimeter Road (PRO/T709/25/MP)

Notice is hereby given that Airport Authority of HKIA Tower, 1 Sky Plaza Road, Hong Kong International Airport, Lantau, Hong Kong has awarded a contract for Contract T25S036 Replacement of PIDS Microwave Transceiver Pairs at Perimeter Road (Tender Ref: PRO/T709/25/MP) to PCCW Technical Services Limited at 23/F Lincoln House, Taikoo Place, 979 King’s Road, Quarry Bay, Hong Kong on 27 February 2026 with contract commencement date on 6 March 2026. The awarded Contract Sum was HK$6,252,052.

 

Procurement was by way of an open tender with tender notice published on 26 November 2025 on Airport Authority’s website.","Here are the extracted company names:

1. Airport Authority
2. PCCW Technical Services Limited","HK$6,252,052.",2026-02-27,27 February 2026
Notice of Contract Award,Contract C25W10,Design and Build for Ground Services Equipment and Vehicles Maintenance Workshop at West Support Area,https://www.hongkongairport.com/en/airport-authority/tender-notices/C25W10_NOA#nca,"Notice of Contract Award
Design and Build for Ground Services Equipment and Vehicles Maintenance Workshop at West Support Area (Contract C25W10)

Notice is hereby given that the Airport Authority of HKIA Tower, 1 Sky Plaza Road, Hong Kong International Airport, Lantau, Hong Kong awarded Contract C25W10 for Design and Build for Ground Services Equipment and Vehicles Maintenance Workshop at West Support Area to China Harbour Engineering Company Limited of 19/F, China Harbour Building, 370-374 King’s Road, North Point, Hong Kong on 12 February 2026.  The awarded contract sum was HK$274,171,728.

This procurement was conducted by way of an open prequalification and selective tendering procedure in accordance with the terms of the Revised World Trade Organisation’s Agreement on Government Procurement. An invitation to express interest in prequalifying to tender for this Contract was published on the Airport Authority’s website (www.hkairport.com) on 2 June 2025.",China Harbour Engineering Company Limited,"HK$274,171,728.",2026-02-24,24 February 2026
Notice of Contract Award,PRO/T195/25/CS,Provision and Comprehensive Maintenance Services of Human Intrusion Detection and Alarm System at Terminal 1,https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T195_25_CS_Award#nca,"Notice of Contract Award
Provision and Comprehensive Maintenance Services of Human Intrusion Detection and Alarm System at Terminal 1 (PRO/T195/25/CS)

Notice is hereby given that Airport Authority of HKIA Tower, 1 Sky Plaza Road, Hong Kong International Airport, Lantau, Hong Kong has awarded the following contracts to Nuctech Operation Company Limited at Unit 507-08, Floor 5, Tower 1, K11 ATELIER 11 SKIES, 6 Sky City Road East, Chek Lap Kok, Hong Kong on 11 February 2026:

(i)    Contract T25S017 Provision of Human Intrusion Detection and Alarm System at Terminal 1 with contract commencement date on 26 February 2026. The awarded Contract Sum is HK$11,297,000.

(ii)    Term Contract T26M299 Comprehensive Maintenance Services for Human Intrusion Detection and Alarm System with contract period of 60 months plus a 30 calendar days pre-commencement works period. The estimated contract value for this Term Contract is HK$6,888,000.

Procurement was by way of an open tender with tender notice published on 26 May 2025 on Airport Authority’s website. 

 ","Here are the extracted company names:

* Nuctech Operation Company Limited","HK$11,297,000.",2026-02-23,23 February 2026
Notice of Contract Award,PRO/T614/25/SW,Contract T25W024 South Runway Resurfacing Works and Relocation of Asphalt Mixing Plant,https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T614_25_SW_award#nca,"Notice of Contract Award
Contract T25W024 South Runway Resurfacing Works and Relocation of Asphalt Mixing Plant (PRO/T614/25/SW)

Notice is hereby given that Airport Authority of HKIA Tower, 1 Sky Plaza Road, Hong Kong International Airport, Lantau, Hong Kong has awarded a Contract for Contract T25W024 South Runway Resurfacing Works and Relocation of Asphalt Mixing Plant (Tender Ref: PRO/T614/25/SW) to Asphalt Surfaces (International) Limited at 3/F, Well Industrial Building, 21-23 Lam Tin Street, Kwai Chung, New Territories, Hong Kong on 30 January 2026 with contract commencement date on 30 January 2026. The awarded Contract Sum was HK$100,959,498.23.

Procurement was by way of an open tender with Tender Notice published on 7 November 2025 on Airport Authority’s website.",Asphalt Surfaces (International) Limited,"HK$100,959,498.23.",2026-02-23,23 February 2026
Notice of Contract Award,PRO/T712/25/TC,Framework Agreement for Provision of Market Research Services at the Hong Kong International Airport,https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T712_25_TC_Award#nca,"Notice of Contract Award
Framework Agreement for Provision of Market Research Services at the Hong Kong International Airport (PRO/T712/25/TC)

Framework Agreement for Provision of Market Research Services at the Hong Kong International Airport (Tender Ref: PRO/T712/25/TC)

Notice is hereby given that Airport Authority of HKIA Tower, 1 Sky Plaza Road, Hong Kong International Airport, Lantau, Hong Kong has awarded a contract for Provision of Market Research Services at the Hong Kong International Airport (Tender Ref: PRO/T712/25/TC) to Cimigo Limited at Flat/Room 01-03, 20/F, Chinachem Leighton Plaza, 25-31 Leighton Troad, Causeway Bay, Hong Kong on 13 February 2026. The estimated contract value for a contract period of two years with an option to extend for a maximum a period of one year is HK$11,683,500.

Procurement was by way of an open tender.",Cimigo Limited,"HK$11,683,500.",2026-02-13,13 February 2026
Notice of Contract Award,Contract C25C05,"Professional Services for Capital Works (Mechanical, Electrical and Plumbing)",https://www.hongkongairport.com/en/airport-authority/tender-notices/C25C05_NOA#nca,"Notice of Contract Award
Professional Services for Capital Works (Mechanical, Electrical and Plumbing) (Contract C25C05)

Notice is hereby given that the Airport Authority awarded Contract C25C05 for Professional Services for Capital Works (Mechanical, Electrical and Plumbing) to WSP (Asia) Limited of 7/F, One Kowloon, 1 Wang Yuen Street, Kowloon Bay, Kowloon, Hong Kong on 30 October 2025.","Here are the company names extracted:

1. WSP (Asia) Limited",,2025-11-27,27 November 2025
Notice of Contract Award,PRO/T615/25/DL,Framework Agreement for the Supply of Spare Parts for Fixed Ground Power System (Dynell Equipment) at Hong Kong International Airport,https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T615_25_DL_Award#nca,"Notice of Contract Award
Framework Agreement for the Supply of Spare Parts for Fixed Ground Power System (Dynell Equipment) at Hong Kong International Airport (PRO/T615/25/DL)

Notice is hereby given that Airport Authority of HKIA Tower, 1 Sky Plaza Road, Hong Kong International Airport, Lantau, Hong Kong has awarded a contract for Framework Agreement for the Supply of Spare Parts for Fixed Ground Power System (Dynell Equipment) (Tender Ref: PRO/T615/25/DL) to Complete Solutions International Limited at Room 5 & 7, 6/F Favor Industrial Centre, 2-6 Kin Hong Street, Kwai Chung, New Territories, Hong Kong on 28 November 2025.  This Contract is for a contract period from 8 December 2025 to 7 December 2029.  The estimated contract value for this Framework Agreement is HK$7.4 million.

Procurement was by way of limited tendering due to an absence of competition for technical reasons.",Complete Solutions International Limited,HK$7.4 million,2025-10-28,28 October 2025
Notice of Contract Award,PRO/T626/25/DL,Framework Agreement for the Supply of Spare Parts for Fixed Ground Power System (ITW Equipment) at Hong Kong International Airport,,,,,2025-10-28,28 October 2025
Notice of Contract Award,PRO/T271/25/DL,"Contract T25S004 Upgrade of Train-Track Communication for APM On-board CCTV, PIS, PA, Intercom and ODR with 5G Connectivity",,,,,2025-08-27,27 August 2025
