Agreement No. and Title,Date of Award,Name of Contractor,Contract Value ($M),Contract Duration (Month),url
"TD(T) 5/2025

Parking Survey (On-Street Facilities) 2026 and 2027

",12.2.2026,AECOM Asia Company Limited,3.5,29 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"CE 42/2024(TT)

Toll Review for Government Tunnels – Feasibility Study",3.2.2026,Ove Arup and Partners Hong Kong Limited,6.3,21 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 12/2024

Contracts for Provision of Fee Collection Services for Parking Meter System through Electronic Payment System (Other than Faster Payment System (""FPS"") in Hong Kong)",24.11.2025,BOC Credit Card (International) Limited,"Transaction Fee Percentage: 2.20% (on collection of metered parking fee via Stored Value Facilities of WeChat Pay HK and AlipayHK; and contactless credit cards and debit cards of Visa, MasterCard and UnionPay)","53 months and 19 days
(1.12.2025 - 19.5.2030)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"CE 5/2025 (TT)

Retrofitting of Traffic Signal Controllers under Kowloon and Tai Po & North Area Traffic Control Systems to enable Wireless Communication and Ancillary Works - Design and Construction",23.10.2025,AECOM Asia Company Limited,7.6255,45 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"CE 4/2025 (TT)

Renewal of Area Traffic Control System for Tuen Mun and Yuen Long Districts and Ancillary Works for the System to Operate on Wireless Communication - Design and Construction

",23.10.2025,Ove Arup & Partners Hong Kong Limited,5.489,60 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 5/2024

Agreement for Management, Operation and Maintenance of Tsing Sha Control Area

",3.9.2025,TIML MOM Limited,"1,655.06","72 months
(19.9.2025 - 18.9.2031)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 1/2024

Design, Supply, Implementation and Maintenance of Vehicles and Drivers Licensing Integrated Data System VI for the Transport Department

",2.9.2025,Autotoll Limited,206.99,"159 months
(2.9.2025 - 1.12.2038)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 6/2024

Agreements for Management, Operation and Maintenance of Tsing Ma Control Area and Provision of Towing Services on North Lantau Highway and Sections of Roads in Penny's Bay

",18.8.2025,"TIML MOM Limited

","1,996.60","72 months
(19.11.2025 - 18.11.2031)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 4/2024

Agreement for Management, Operation and Maintenance of Eastern Harbour Crossing

",1.8.2025,Pacific Infrastructure Limited,612.2472,"72 months
(7.8.2025 - 6.8.2031)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 7/2023

Agreement for Management, Operation and Maintenance of the Route 6

",14.7.2025,Chun Wo Tunnel Management Limited,1008.707064,48 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 11/2024

Evaluation Study on the Effectiveness of New Generation Pedestrian Countdown Devices

",25.6.2025,Hong Kong University of Science and Technology R and D Corporation Limited,2.496,12 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 12/2023

Agreement for Management, Operation and Maintenance of Tai Lam Tunnel

",22.4.2025,Transport Infrastructure Management Limited,319.511609,"36 months
(31.5.2025 – 30.5.2028)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 7/2024

Provision of Telecommunication Services for the TD142 Closed Circuit Television System to the Transport Depratment",11.4.2025,Hong Kong Telecommunications (HKT) Limited,32.60664,36 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 11/2023

Agreement for Management, Operation and Maintenance of the Portion of Ground Floor of Transport Department Vehicle Examination Complex",24.3.2025,"Dah Chong Hong
(Motor Service Centre) Limited",155.722,"48 months
(1.4.2025 - 31.3.2029)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"CE 26/2024 (TT)

Traffic Review for Yuen Long and Tuen Mun East - Feasibility Study",28.2.2025,AtkinsRealis Asia Limited,8.18,24 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 3/2024

Parking Survey (On-Street Facilities) 2025",11.2.2025,Ho Wang SPB Limited,1.192524,17 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 2/2024

Parking Survey (Off-Street Facilities) 2025 and 2026",11.2.2025,AECOM Asia Company Limited,3.3,28 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD PTFSS 2/2024

Agreement Relating to Provision of Services for the Public Transport Fare Subsidy Scheme",24.12.2024,Octopus Cards Limited,76.2,36 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD PTFSS 1/2024

Agreement Relating to Provision of Services for the Public Transport Fare Subsidy Scheme",20.12.2024,Alipay Financial Services (HK) Limited and Alipay Payment Services (HK) Limited,14.06,36 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 9/2023

Agreement for Management, Operation and Maintenance of Tuen Mun - Chek Lap Kok Tunnel",9.12.2024,Transport Infrastructure Management Limited,553.556784,"72 months
(27.12.2024 - 26.12.2030)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 9/2024

Collection of Traffic Flow Information for Annual Traffic Census 2025 and 2026",2.12.2024,AECOM Asia Company Limited,23.35,35 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 10/2023

Agreements for Provision of Transport Facilities Management Services for Facilitating and Monitoring the Operation of (i) Taxi and Green Minibus Services at Lok Ma Chau Control Point and (ii) Taxi Services at Lok Ma Chau Spur Line Public Transport Interchange",15.7.2024,Pacific Extend Properties Management Limited,7.63130606,"(i) and (ii) : 
Nineteen (19) months and twenty-seven (27) days",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 2/2023

Agreement for Management, Operation and Maintenance of Kai Tak Tunnel and Lion Rock Tunnel

",8.7.2024,"Serco Group (HK) Limited
(currently known as ""AEON Delight (Asia) Limited"")",619.92,"72 months
(1.8.2024 – 31.7.2030)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"CE 69/2023 (TT)

Implementation of Real-time Adaptive Traffic Signal System at Isolated Signalised Junctions – Design and Construction",5.7.2024,WSP (Asia) Limited,6,41 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 1/2023

Agreement for Management, Operation and Maintenance of Shing Mun Tunnels and Tseung Kwan O Tunnel

",10.5.2024,"Serco Group (HK) Limited
(currently known as ""AEON Delight (Asia) Limited"")",661.08,"72 months
(1.6.2024 – 31.5.2030)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"CE 46/2023 (TT)

Replacement of Traffic Signal Controllers in Hong Kong Island and Ancillary Works for SCATS to Operate on Wireless Communication – Design and Construction",24.1.2024,WSP (Asia) Limited,8.382888,61 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 11/2022

Provision of Telecom Lines for Area Traffic Control (ATC) System in Tuen Mun and Yuen Long Districts",20.9.2023,Hong Kong Telecommunications (HKT) Limited,26.776,60 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 9/2022

Agreement for Management, Operation and Maintenance of Austin Road Cross Boundary Coach Terminus",9.8.2023,The Motor Transport Company of Guangdong and Hong Kong Limited,4.49,"48 months
(13.8.2023 – 12.8.2027)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 2/2022

Agreement for Management, Operation and Maintenance of Western Harbour Crossing",26.7.2023,Pacific Infrastructure Limited,371.864534,"36 months
(2.8.2023 – 1.8.2026)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 10/2022

Provision of Security Guard Services for the Transport Department Vehicle Examination Complex",20.7.2023,ISS Adams Secuforce Limited,22.3130448,36 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 3/2022

Contract for Design, Development, Implementation and Provision of System Support and Maintenance Services for Online Auction Platform for Vehicle Registration Marks and Provision of Customer and Auction Management Services
",28.6.2023,PCCW Digital Solutions Limited,25.852583,"63 months
(28.6.2023 – 27.9.2028)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 4/2022

Agreement for Management, Operation and Maintenance of Lung Shan Tunnel and Cheung Shan Tunnel",10.5.2023,Transport Infrastructure Management Limited,560.799528,"72 months
(19.5.2023 - 18.5.2029)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 8/2022

Contracts for Management, Operation and Maintenance of Government Carparks and Design, Production and Distribution of Tickets for Government Tunnels and Toll Roads",20.4.2023,Wilson Parking (Holdings) Limited,76.573195,"36 months
(1.5.2023 - 30.4.2026)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 7/2022

Contract for Management, Operation and Maintenance of Government Carparks",20.4.2023,Mack & Company Carpark Management Limited,78.130584,"36 months
(1.5.2023 - 30.4.2026)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 10/2021



Agreement for Management, Operation and Maintenance of Central – Wan Chai Bypass Tunnel",13.1.2023,Pacific Infrastructure Limited,998.95968,"72 months
(20.1.2023-19.1.2029)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"CE 59/2022 (TT)

Renewal of TD142 and Part of Closed Circuit Television System in New Territories Area - Design and Construction",30.12.2022,WSP (Asia) Limited,9.888988,63 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 5/2022

Collection of Traffic Flow Information for Annual Traffic Census 2023 and 2024",12.12.2022,Ove Arup & Partners Hong Kong Limited,23.2488,33 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"CE 7/2022 (TT)

Traffic Review for Pok Fu Lam Area - Feasibility Study",17.11.2022,Ove Arup & Partners Hong Kong Limited,6.951308,28 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 11/2021

Provision of Telecom Lines for Closed Circuits Television (CCTV) System in Tuen Mun and Yuen Long District",1.11.2022,Hong Kong Telecommunications (HKT) Limited,3.384,"60 months
(1.3.2023 - 29.2.2028)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 4/2021



Agreement for Management, Operation and Maintenance of Cross-Harbour Tunnel",7.10.2022,"Serco Group (HK) Limited
(currently known as ""AEON Delight (Asia) Limited"")",538.896224,"72 months
(1.11.2022-31.10.2028)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 1/2022



Supply of Desktop Personal Computers and Provision of Related Services to the Transport Department",21.9.2022,Xenus Technology Limited,2.793,6 months + 60 months maintenance period,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 9/2021



Provision of Telecommunication Services for Closed Circuits Television (CCTV) System and Other Equipment",7.9.2022,Hong Kong Telecommunications (HKT) Limited,57.09624,60 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 8/2021



Provision of Telecommunication Services for On Street Traffic Signal Control System and Related Equipment",7.9.2022,Hong Kong Telecommunications (HKT) Limited,94.12222,60 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
