ref,department,url,batch_time,award_date,awardee,sum,Year
TD(T) 5/2025  Parking Survey (On-Street Facilities) 2026 and 2027  ,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,2/12/26,AECOM Asia Company Limited,3.5,6065
CE 42/2024(TT)  Toll Review for Government Tunnels – Feasibility Study,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,2/3/26,Ove Arup and Partners Hong Kong Limited,6.3,6056
"TD(T) 12/2024  Contracts for Provision of Fee Collection Services for Parking Meter System through Electronic Payment System (Other than Faster Payment System (""FPS"") in Hong Kong)",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,11/24/25,BOC Credit Card (International) Limited,"Transaction Fee Percentage: 2.20% (on collection of metered parking fee via Stored Value Facilities of WeChat Pay HK and AlipayHK; and contactless credit cards and debit cards of Visa, MasterCard and UnionPay)",5985
CE 5/2025 (TT)  Retrofitting of Traffic Signal Controllers under Kowloon and Tai Po & North Area Traffic Control Systems to enable Wireless Communication and Ancillary Works - Design and Construction,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,10/23/25,AECOM Asia Company Limited,7.6255,5953
CE 4/2025 (TT)  Renewal of Area Traffic Control System for Tuen Mun and Yuen Long Districts and Ancillary Works for the System to Operate on Wireless Communication - Design and Construction  ,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,10/23/25,Ove Arup & Partners Hong Kong Limited,5.489,5953
"TD(T) 5/2024  Agreement for Management, Operation and Maintenance of Tsing Sha Control Area  ",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,9/3/25,TIML MOM Limited,"1,655.06",5903
"TD(T) 1/2024  Design, Supply, Implementation and Maintenance of Vehicles and Drivers Licensing Integrated Data System VI for the Transport Department  ",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,9/2/25,Autotoll Limited,206.99,5902
"TD(T) 6/2024  Agreements for Management, Operation and Maintenance of Tsing Ma Control Area and Provision of Towing Services on North Lantau Highway and Sections of Roads in Penny's Bay  ",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,8/18/25,TIML MOM Limited  ,"1,996.60",5887
"TD(T) 4/2024  Agreement for Management, Operation and Maintenance of Eastern Harbour Crossing  ",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,8/1/25,Pacific Infrastructure Limited,612.2472,5870
"TD(T) 7/2023  Agreement for Management, Operation and Maintenance of the Route 6  ",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,7/14/25,Chun Wo Tunnel Management Limited,1008.707064,5852
