PWP No.,Contract No.,Contract Title,District,Contractor,Contract Sum* (HK$ M),Awarded Date,Responsible Division,url,award_date
2GXWF,9/WSD/25,Provision of Mechanical and Electrical Equipment for Remote Operation of Red Hill Water Treatment Works,Red Hill Water Treatment Works,Maxson Company Limited,20.8744,21/11/2025,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=1,2025-11-21
9377WF,6/WSD/25,Improvement of Water Supply to Northern New Territories,"Tai Po, North",MH-CY Joint Venture,790.49,17/10/2025,Construction Division,https://www.wsd.gov.hk/index.html?id=2,2025-10-17
9100WX,10/WSD/24,Term contract for improvement of small water mains (2024-2029) - Hong Kong & Islands and New Territories West,"Central & Western, Southern, Wan Chai, Eastern, Islands, Yuen Long, Tuen Mun, Kwai Tsing, Tsuen Wan",Yee Hop Engineering Company Limited,326.75,29/11/2024,Design Division,https://www.wsd.gov.hk/index.html?id=3,2024-11-29
9100WX,11/WSD/24,Term contract for improvement of small water mains (2024-2029) - Kowloon and New Territories East,"North, Tai Po, Sha Tin, Sai Kung, Sham Shui Po, Wong Tai Sin, Yau Tsim Mong, Kowloon City, Kwun Tong",Tonic Engineering & Construction Company Limited,331.69,29/11/2024,Design Division,https://www.wsd.gov.hk/index.html?id=4,2024-11-29
9100WX,12/WSD/24,"Term Contract for Improvement of Water Mains (2024-2029)
- Hong Kong & Islands","Central & Western, Southern, Wan Chai, Eastern, Islands",MH-CY Joint Venture,768.61,30/07/2025,Design Division,https://www.wsd.gov.hk/index.html?id=5,2025-07-30
9100WX,13/WSD/24,"Term Contract for Improvement of Water Mains (2024-2029)
- New Territories West","Yuen Long, Tuen Mun, Kwai Tsing, Tsuen Wan",LSK Joint Venture,784.25,07/11/2025,Design Division,https://www.wsd.gov.hk/index.html?id=6,2025-11-07
9382WF,3/WSD/24,"Ngau Tam Mei Water Treatment Works Extension –
Extension of Ngau Tam Mei Fresh Water Primary Service Reservoir, Modification of Raw Water Tunnel Junction (Chamber G) and Associated Mainlaying",Yuen Long,Chun Wo – CCECC JV,2978,14/10/2025,Consultants Management Division,https://www.wsd.gov.hk/index.html?id=7,2025-10-14
9382WF,18/WSD/24,Extension of Ngau Tam Mei Water Treatment Works and Associated Improvement Works of Existing Treatment Stream,Yuen Long,CRBC – CNCEC Joint Venture,4999.19,14/10/2025,Consultants Management Division,https://www.wsd.gov.hk/index.html?id=8,2025-10-14
9100WX,14/WSD/24,"Term Contract for Improvement of Water Mains (2024-2029)
- Kowloon","Sham Shui Po, Wong Tai Sin, Yau Tsim Mong, Kowloon City, Kwun Tong",Wo Hing - Hing Cheong Joint Venture,905.7,30/07/2025,Design Division,https://www.wsd.gov.hk/index.html?id=9,2025-07-30
9100WX,15/WSD/24,"Term Contract for Improvement of Water Mains (2024-2029)
- New Territories East","North, Tai Po, Sha Tin, Sai Kung",Ming Hing - Waterland Joint Venture,839.35,07/11/2025,Design Division,https://www.wsd.gov.hk/index.html?id=10,2025-11-07
35HWS,5/WSD/25,Improvement of Pipework for Sha Tin Seafront Salt Water Pumping Station,Sha Tin,Bestwise Envirotech Limited,13.078,18/08/2025,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=11,2025-08-18
9100WX,9/WSD/24,"Installation of Meters in Housing Estates in
Hong Kong & Island and New Territories East","Central & Western, Wan Chai, Eastern, Southern, Islands, North, Tai Po, Sha Tin, Sai Kung","CH-MH
Joint Venture",281.718,03/04/2025,Project Management Division,https://www.wsd.gov.hk/index.html?id=12,2025-04-03
2EGWF,20/WSD/24,Replacement of Two Filter Presses at Pak Kong Water Treatment Works,Sai Kung,The Jardine Engineering Corporation Limited,23.98,26/03/2025,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=13,2025-03-26
9100WX,8/WSD/24,Installation of Meters in Housing Estates in Kowloon and New Territories West,Kowloon and New Territories West,Maxful Click Joint Venture,307.95,13/01/2025,Project Management Division,https://www.wsd.gov.hk/index.html?id=14,2025-01-13
2CLWF,2/WSD/24,Improvement Works for Sludge Dewatering Facilities at Au Tau Water Treatment Works,Yuen Long,Hsin Chong Aster Building Services Limited,21.851,20/09/2024,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=15,2024-09-20
2CMWF,19/WSD/24,Provision of Liquid Fluoride Dosing System at Ma On Shan Water Treatment Works,Ma On Shan,ATAL Engineering Limited,11.858,03/09/2024,Mechanical & Electrical / Sustainability Division,https://www.wsd.gov.hk/index.html?id=16,2024-09-03
2CHWF,1/WSD/24,Replacement of Filter Presses and Associated Equipment at Sham Tseng Water Treatment Works,Tsuen Wan,The Jardine Engineering Corporation Limited,30.88,29/08/2024,Mechanical & Electrical / Sustainability Division,https://www.wsd.gov.hk/index.html?id=17,2024-08-29
"9379WF, 9370WF",2/WSD/23,"Improvement of Fresh Water Supply Systems in Sham Shui Po, Eastern, Central and Western Districts","Sham Shui Po, Eastern, Central & Western",CWE-MH Joint Venture,864.9,18/06/2024,Construction Division,https://www.wsd.gov.hk/index.html?id=18,2024-06-18
2AHWF,16/WSD/23,Provision of Mechanical and Electrical Equipment for Remote Operation of Sham Tseng Water Treatment Works,Tsuen Wan,Maxson Company Limited,23.277,09/05/2024,Mechanical & Electrical / Sustainability Division,https://www.wsd.gov.hk/index.html?id=19,2024-05-09
1YRWF,12/WSD/23,Replacement of Two Filter Presses at Ma On Shan Water Treatment Works,Sha Tin,ATAL Engineering Limited,24.138,12/01/2024,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=20,2024-01-12
1XAWF,8/WSD/23,Replacement of Ozone Generation Equipment at Ngau Tam Mei Water Treatment Works,Yuen Long,ATAL Engineering  Limited,16.98,25/10/2023,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=21,2023-10-25
9100WX,7/WSD/22,Relocation of Yau Tong Group Fresh Water and Salt Water Service Reservoirs to Caverns – Ground Investigation,Kwun Tong,DrilTech Ground Engineering Limited,20.24,14/04/2023,Project Management Division,https://www.wsd.gov.hk/index.html?id=22,2023-04-14
9100WX,11/WSD/22,"Ground Investigation Works at Tsuen Wan, Kwai Tsing and Other Areas in Hong Kong","Tsuen Wan, Kwai Tsing",Gammon Construction Limited,17.4,28/04/2023,Project Management Division,https://www.wsd.gov.hk/index.html?id=23,2023-04-28
