ref,department,url,batch_time,description,award_date,awardee,sum
9/WSD/25,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=1,2026-03-08 21:38:19.710571,Provision of Mechanical and Electrical Equipment for Remote Operation of Red Hill Water Treatment Works,2025-11-21,Maxson Company Limited,20.8744
6/WSD/25,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=2,2026-03-08 21:38:19.710571,Improvement of Water Supply to Northern New Territories,2025-10-17,MH-CY Joint Venture,790.49
10/WSD/24,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=3,2026-03-08 21:38:19.710571,Term contract for improvement of small water mains (2024-2029) - Hong Kong & Islands and New Territories West,2024-11-29,Yee Hop Engineering Company Limited,326.75
11/WSD/24,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=4,2026-03-08 21:38:19.710571,Term contract for improvement of small water mains (2024-2029) - Kowloon and New Territories East,2024-11-29,Tonic Engineering & Construction Company Limited,331.69
12/WSD/24,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=5,2026-03-08 21:38:19.710571,Term Contract for Improvement of Water Mains (2024-2029) - Hong Kong & Islands,2025-07-30,MH-CY Joint Venture,768.61
13/WSD/24,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=6,2026-03-08 21:38:19.710571,Term Contract for Improvement of Water Mains (2024-2029) - New Territories West,2025-11-07,LSK Joint Venture,784.25
3/WSD/24,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=7,2026-03-08 21:38:19.710571,"Ngau Tam Mei Water Treatment Works Extension – Extension of Ngau Tam Mei Fresh Water Primary Service Reservoir, Modification of Raw Water Tunnel Junction (Chamber G) and Associated Mainlaying",2025-10-14,Chun Wo – CCECC JV,2978.0
18/WSD/24,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=8,2026-03-08 21:38:19.710571,Extension of Ngau Tam Mei Water Treatment Works and Associated Improvement Works of Existing Treatment Stream,2025-10-14,CRBC – CNCEC Joint Venture,4999.19
14/WSD/24,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=9,2026-03-08 21:38:19.710571,Term Contract for Improvement of Water Mains (2024-2029) - Kowloon,2025-07-30,Wo Hing - Hing Cheong Joint Venture,905.7
15/WSD/24,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=10,2026-03-08 21:38:19.710571,Term Contract for Improvement of Water Mains (2024-2029) - New Territories East,2025-11-07,Ming Hing - Waterland Joint Venture,839.35
5/WSD/25,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=11,2026-03-08 21:38:19.710571,Improvement of Pipework for Sha Tin Seafront Salt Water Pumping Station,2025-08-18,Bestwise Envirotech Limited,13.078
9/WSD/24,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=12,2026-03-08 21:38:19.710571,Installation of Meters in Housing Estates in Hong Kong & Island and New Territories East,2025-04-03,CH-MH Joint Venture,281.718
