,ref,department,description,awardee,award_date,sum,period,url,start,end
0,RL25001,Environmental Protection Department,Second Follow-on Contract of Low-Level Radioactive Waste Storage Facility at Siu A Chau,ATAL ENGINEERING LIMITED,2026-06-01 00:00:00,"HK$89,880,000.00",120-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260618.html,,
1,WRR25165,Environmental Protection Department,"Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Eastern District - Yiu Tung Estate, Hing Tung Estate, Yue Wan Estate, Siu Sai Wan Estate and Wan Tsui Estate (Item 1)",Youth Chain Limited,2026-05-01 00:00:00,"HK$13,553,000.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
2,WRR25165,Environmental Protection Department,"Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Wong Tai Sin District - Choi Wan (I) Estate, Wang Tau Hom Estate, Chuk Yuen South Estate, Tsz Ching Estate, Tsz Man Estate and Tsz Lok Estate (Item 2)",East Kowloon District Residents' Committee Limited,2026-05-01 00:00:00,"HK$11,861,680.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
3,WRR25165,Environmental Protection Department,"Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Kwun Tong District and the Designated Government Premises at On Yu Road - Shun Lee Estate, Kai Yip Estate, Yau Lai Estate, Ping Tin Estate, Sau Mau Ping (South) Estate, Choi Tak Estate, Upper Ngau Tau Kok Estate, Choi Ying Estate and the Designated Government Premises at On Yu Road (Item 3)",Hong Kong Community &amp; Construction Association Charitable Foundation Limited,2026-05-01 00:00:00,"HK$14,654,850.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
4,WRR25165,Environmental Protection Department,"Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Kwai Tsing District - Cheung Hong Estate, Lai King Estate, Kwai Fong Estate, Tai Wo Hau Estate, On Yam Estate and Kwai Shing West Estate (Item 4)",WRR25165,2026-05-01 00:00:00,"HK$10,257,880.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
5,WRR25165,Environmental Protection Department,Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Tsuen Wan District - Shek Wai Kok Estate and Lei Muk Shue (2) Estate (Item 5),Tsuen Wan Development Association Limited,2026-05-01 00:00:00,"HK$4,589,158.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
6,WRR25165,Environmental Protection Department,Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for North District - Queens Hill Estate and Ching Ho Estate (Item 6),Luen Heep Social Service Limited,2026-05-01 00:00:00,"HK$5,511,690.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
7,WRR25165,Environmental Protection Department,"Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Sha Tin District (Item 7) and Sham Shui Po District (Item 12) - Sha Kok Estate, Shui Chuen O Estate, Chun Yeung Estate, Yan On Estate, Un Chau Estate, So Uk Estate and Pak Tin Estate",Christian Family Service Centre,2026-05-01 00:00:00,"HK$11,537,115.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
8,WRR25165,Environmental Protection Department,"Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Tuen Mun District - On Ting Estate, Wu King Estate, Yan Tin Estate and Fu Tai Estate (Item 8)",New Territories West Power Social Service Limited,2026-05-01 00:00:00,"HK$8,830,300.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
9,WRR25165,Environmental Protection Department,Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Sai Kung District - Sheung Tak Estate and Kin Ming Estate (Item 9),Tseung Kwan O Kai Fong Joint Association Limited,2026-05-01 00:00:00,"HK$4,677,000.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
10,WRR25165,Environmental Protection Department,Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Islands District - Yat Tung (2) Estate and Ying Tung Estate (Item 10),OIWA LIMITED,2026-05-01 00:00:00,"HK$4,486,732.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
11,WRR25165,Environmental Protection Department,Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Kowloon City District - Tak Long Estate (Item 11),Community Care Limited,2026-05-01 00:00:00,"HK$2,504,896.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
