[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html                    | ✓ | ⏱: 8.32s 
[SCRAPE].. ◆ https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html                    | ✓ | ⏱: 0.12s 
[EXTRACT]. ■ https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html                    | ✓ | ⏱: 0.08s 
[COMPLETE] ● https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html                    | ✓ | ⏱: 8.58s 
[FETCH]... ↓ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1317.html           | ✓ | ⏱: 5.39s 
[SCRAPE].. ◆ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1317.html           | ✓ | ⏱: 0.13s 
[COMPLETE] ● https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1317.html           | ✓ | ⏱: 5.58s 
[FETCH]... ↓ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2382.html           | ✓ | ⏱: 6.80s 
[SCRAPE].. ◆ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2382.html           | ✓ | ⏱: 0.18s 
[COMPLETE] ● https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2382.html           | ✓ | ⏱: 7.04s 
[FETCH]... ↓ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1375.html           | ✓ | ⏱: 7.11s 
[SCRAPE].. ◆ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1375.html           | ✓ | ⏱: 0.17s 
[COMPLETE] ● https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1375.html           | ✓ | ⏱: 7.34s 
[FETCH]... ↓ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2386.html           | ✓ | ⏱: 7.49s 
[SCRAPE].. ◆ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2386.html           | ✓ | ⏱: 0.15s 
[COMPLETE] ● https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2386.html           | ✓ | ⏱: 7.68s 
[FETCH]... ↓ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2389.html           | ✓ | ⏱: 7.71s 
[SCRAPE].. ◆ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2389.html           | ✓ | ⏱: 0.17s 
[COMPLETE] ● https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2389.html           | ✓ | ⏱: 7.93s 
[FETCH]... ↓ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2390.html           | ✓ | ⏱: 5.83s 
[SCRAPE].. ◆ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2390.html           | ✓ | ⏱: 0.20s 
[COMPLETE] ● https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2390.html           | ✓ | ⏱: 6.08s 
[FETCH]... ↓ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2395.html           | ✓ | ⏱: 4.85s 
[SCRAPE].. ◆ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2395.html           | ✓ | ⏱: 0.17s 
[COMPLETE] ● https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2395.html           | ✓ | ⏱: 5.09s 
[FETCH]... ↓ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2391.html           | ✓ | ⏱: 6.34s 
[SCRAPE].. ◆ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2391.html           | ✓ | ⏱: 0.17s 
[COMPLETE] ● https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2391.html           | ✓ | ⏱: 6.57s 
[FETCH]... ↓ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2392.html           | ✓ | ⏱: 6.63s 
[SCRAPE].. ◆ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2392.html           | ✓ | ⏱: 0.09s 
[COMPLETE] ● https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2392.html           | ✓ | ⏱: 6.77s 
[FETCH]... ↓ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2394.html           | ✓ | ⏱: 6.66s 
[SCRAPE].. ◆ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2394.html           | ✓ | ⏱: 0.13s 
[COMPLETE] ● https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2394.html           | ✓ | ⏱: 6.86s 
[FETCH]... ↓ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2397.html           | ✓ | ⏱: 5.50s 
[SCRAPE].. ◆ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2397.html           | ✓ | ⏱: 0.31s 
[COMPLETE] ● https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2397.html           | ✓ | ⏱: 5.97s 
[FETCH]... ↓ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2398.html           | ✓ | ⏱: 5.59s 
[SCRAPE].. ◆ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2398.html           | ✓ | ⏱: 0.21s 
[COMPLETE] ● https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2398.html           | ✓ | ⏱: 5.86s 
[FETCH]... ↓ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2399.html           | ✓ | ⏱: 5.74s 
[SCRAPE].. ◆ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2399.html           | ✓ | ⏱: 0.23s 
[COMPLETE] ● https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2399.html           | ✓ | ⏱: 6.03s 
[FETCH]... ↓ https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2400.html           | ✓ | ⏱: 6.26s 
